META; english/league-2/plymouth-v-stevenage; 2017-01-08 00:23:07 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stevenage; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/plymouth-v-stevenage; 2017-01-08 04:21:52 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stevenage; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Plymouth; 1; 1; 21/20; 21/20; 1; 19/20; 11/10; 10/11; 21/20; 1; 1; 5/6; 1; 21/20; 1; 1; 1; 1; 20/21; 1; 103/100; 19/20; 39/40; 21/20; ; 1; 1; 21/20
Draw; 5/2; 5/2; 23/10; 12/5; 13/5; 9/4; 5/2; 23/10; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 13/5; 27/11; 12/5; 12/5; 27/11; 133/50; 5/2; 27/11; 12/5; ; 12/5; 23/10; 13/5
Stevenage; 13/5; 13/5; 12/5; 5/2; 11/4; 5/2; 5/2; 12/5; 11/4; 5/2; 13/5; 5/2; 51/20; 13/5; 13/5; 13/5; 28/11; 13/5; 13/5; 28/11; 57/20; 12/5; 45/17; 5/2; ; 13/5; 27/10; 11/4
META; english/league-2/plymouth-v-stevenage; 2017-01-12 00:21:55 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 21/20; 21/20; 21/20; 11/10; 19/20; 11/10; 10/11; 21/20; 1; 21/20; 5/6; 1; 21/20; 1; 1; 1; 1; 20/21; 1; 27/25; 1; 39/40; 21/20; ; 1; 1; 21/20
Draw; 5/2; 12/5; 23/10; 12/5; 5/2; 9/4; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 13/5; 5/2; 12/5; 12/5; 5/2; 133/50; 5/2; 27/11; 12/5; ; 12/5; 23/10; 5/2
Stevenage; 13/5; 5/2; 49/20; 5/2; 13/5; 5/2; 5/2; 11/4; 13/5; 5/2; 5/2; 5/2; 51/20; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 67/25; 23/10; 45/17; 5/2; ; 13/5; 13/5; 27/10
META; english/league-2/plymouth-v-stevenage; 2017-01-12 04:22:02 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 21/20; 21/20; 21/20; 11/10; 19/20; 11/10; 10/11; 21/20; 1; 21/20; 5/6; 1; 21/20; 1; 1; 1; 1; 20/21; 1; 27/25; 1; 39/40; 21/20; ; 1; 1; 21/20
Draw; 5/2; 5/2; 23/10; 12/5; 5/2; 9/4; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 13/5; 5/2; 12/5; 12/5; 5/2; 133/50; 5/2; 27/11; 12/5; ; 12/5; 23/10; 5/2
Stevenage; 13/5; 5/2; 49/20; 5/2; 13/5; 5/2; 5/2; 11/4; 13/5; 5/2; 5/2; 5/2; 51/20; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 67/25; 23/10; 45/17; 5/2; ; 13/5; 13/5; 27/10
META; english/league-2/plymouth-v-stevenage; 2017-01-12 08:22:09 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 21/20; 21/20; 21/20; 11/10; 19/20; 11/10; 10/11; 21/20; 1; 21/20; 5/6; 1; 21/20; 1; 1; 1; 1; 20/21; 1; 27/25; 1; 39/40; 21/20; ; 1; 1; 21/20
Draw; 5/2; 5/2; 23/10; 12/5; 5/2; 9/4; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 13/5; 5/2; 12/5; 12/5; 5/2; 133/50; 5/2; 27/11; 12/5; ; 5/2; 23/10; 5/2
Stevenage; 13/5; 5/2; 49/20; 5/2; 13/5; 5/2; 5/2; 11/4; 13/5; 5/2; 5/2; 5/2; 51/20; 13/5; 13/5; 13/5; 28/11; 13/5; 13/5; 28/11; 67/25; 23/10; 45/17; 5/2; ; 13/5; 13/5; 27/10
META; english/league-2/plymouth-v-stevenage; 2017-01-12 12:23:20 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 21/20; 1; 1; 21/20; 19/20; 21/20; 10/11; 21/20; 1; 1; 5/6; 1; 1; 1; 1; 1; 1; 20/21; 1; 26/25; 1; 39/40; 1; ; 1; 1; 1
Draw; 5/2; 5/2; 47/20; 23/10; 5/2; 9/4; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 13/5; 5/2; 12/5; 5/2; 5/2; 133/50; 5/2; 28/11; 12/5; ; 5/2; 23/10; 27/10
Stevenage; 13/5; 5/2; 5/2; 14/5; 11/4; 5/2; 13/5; 11/4; 13/5; 13/5; 13/5; 5/2; 53/20; 13/5; 13/5; 13/5; 45/17; 13/5; 5/2; 45/17; 139/50; 23/10; 28/11; 13/5; ; 11/4; 13/5; 14/5
META; english/league-2/plymouth-v-stevenage; 2017-01-12 16:24:20 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 1; 1; 1; 21/20; 19/20; 21/20; 1; 21/20; 1; 1; 21/20; 1; 1; 1; 21/20; 1; 1; 20/21; 1; 26/25; 1; 39/40; 1; ; 1; 1; 1
Draw; 5/2; 5/2; 47/20; 23/10; 5/2; 9/4; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 133/50; 5/2; 28/11; 12/5; ; 5/2; 23/10; 27/10
Stevenage; 13/5; 13/5; 5/2; 14/5; 11/4; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 53/20; 13/5; 13/5; 13/5; 45/17; 13/5; 5/2; 45/17; 139/50; 12/5; 28/11; 13/5; ; 11/4; 13/5; 14/5
META; english/league-2/plymouth-v-stevenage; 2017-01-12 20:23:13 GMT+2; 2017-01-14 15:00; e70300-dr003
