META; english/league-2/notts-county-v-colchester; 2017-03-26 04:22:06 GMT+2; 2017-04-01 15:00; e70300-dr003
Notts County; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Colchester; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/notts-county-v-colchester; 2017-03-26 08:22:24 GMT+2; 2017-04-01 15:00; e70300-dr003
Notts County; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Colchester; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 21/10; 23/10; 21/10; 11/5; 9/4; 21/10; 23/10; 9/4; 23/10; 11/5; 21/10; 11/5; 9/4; 9/4; 11/5; 23/10; 28/13; 9/4; 9/4; 28/13; 47/20; 11/5; 9/4; 21/10; 9/4; ; 21/10; 2; 23/10
META; english/league-2/notts-county-v-colchester; 2017-03-29 16:20:42 GMT+3; 2017-04-01 15:00; e70300-dr003
Notts County; 31/20; 6/4; 6/4; 29/20; 8/5; 29/20; 31/20; 7/5; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 16/11; 6/4; ; 16/11; 13/8; 7/5; ; 6/4; 17/11; ; 6/4; 6/4; 6/4
Colchester; 15/8; 9/5; 7/4; 17/10; 15/8; 17/10; 9/5; 6/4; 9/5; 15/8; 9/5; 15/8; 9/5; 9/5; 15/8; 9/5; 24/13; 7/4; ; 24/13; 15/8; 17/10; ; 15/8; 9/5; ; 9/5; 9/5; 2
Draw; 21/10; 23/10; 21/10; 11/5; 9/4; 21/10; 23/10; 9/4; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 11/5; 23/10; 28/13; 9/4; ; 28/13; 47/20; 11/5; ; 21/10; 9/4; ; 21/10; 2; 23/10
META; english/league-2/notts-county-v-colchester; 2017-03-29 20:19:21 GMT+3; ; e70300-dr003
Nice; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; ; ; 1/16; 1/25; 1/33; ; 1/41; 1/25; ; 1/25; ; 1/100; ; 
Lyon; ; ; ; ; ; ; ; ; ; ; ; ; ; 12; ; ; ; 13/2; 7/2; 14; ; 17/2; 15/4; ; 15/4; ; 19/10; ; 
St Etienne; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 150; 100; ; ; ; 100; ; 100; ; 17/2; ; 
Marseille; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 70; 100; 225; ; 80; 100; ; 100; ; 17/2; ; 
Bordeaux; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 100; 100; 300; ; ; 100; ; 100; ; 17/2; ; 
Monaco; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/league-2/notts-county-v-colchester; 2017-03-30 01:47:02 GMT+3; 2017-04-01 15:00; e70300-dr003
Notts County; 6/4; 6/4; 6/4; 29/20; 8/5; 29/20; 31/20; 6/4; 6/4; 7/5; 6/4; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 16/11; 17/11; 6/4; 17/11; ; 6/4; 6/4; 6/4
Colchester; 2; 15/8; 9/5; 17/10; 19/10; 17/10; 15/8; 9/5; 15/8; 19/10; 15/8; 19/10; 37/20; 15/8; 19/10; 15/8; 19/10; 7/4; 9/5; 19/10; 103/50; 24/13; 9/5; 2; 9/5; ; 19/10; 9/5; 2
Draw; 2; 9/4; 41/20; 11/5; 11/5; 21/10; 9/4; 11/5; 9/4; 21/10; 11/5; 21/10; 11/5; 11/5; 11/5; 11/5; 28/13; 9/4; 9/4; 28/13; 113/50; 11/5; 9/4; 2; 9/4; ; 21/10; 2; 9/4
META; english/league-2/notts-county-v-colchester; 2017-03-30 03:47:02 GMT+3; ; e70300-dr003
GIF Sundsvall; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/20; ; ; ; ; ; ; ; ; ; 
Halmstad; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; 
Jonkoping S; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; 
Kalmar FF; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9; ; ; ; ; ; ; ; ; ; 
Orebro; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9; ; ; ; ; ; ; ; ; ; 
Hammarby; 8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; 
Ostersund; 10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; 
Hacken; 25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 25; ; ; ; ; ; ; ; ; ; 
Djurgaarden; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 33; ; ; ; ; ; ; ; ; ; 
Elfsborg; 33; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 40; ; ; ; ; ; ; ; ; ; 
Norrkoping; 40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 53; ; ; ; ; ; ; ; ; ; 
IFK Gothenborg; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; 
AIK; 125; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 275; ; ; ; ; ; ; ; ; ; 
Malmo FF; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; 
META; english/league-2/notts-county-v-colchester; 2017-03-30 08:18:23 GMT+3; 2017-04-01 15:00; e70300-dr003
Notts County; 6/4; 6/4; 6/4; 29/20; 8/5; 29/20; 31/20; 6/4; 6/4; 7/5; 6/4; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; ; 31/20; 16/11; 17/11; 6/4; 17/11; ; 6/4; 6/4; 6/4
Colchester; 2; 15/8; 9/5; 17/10; 19/10; 17/10; 15/8; 9/5; 15/8; 19/10; 15/8; 19/10; 37/20; 15/8; 19/10; 15/8; 19/10; 7/4; 9/5; ; 103/50; 24/13; 9/5; 2; 9/5; ; 19/10; 9/5; 2
Draw; 2; 9/4; 41/20; 11/5; 11/5; 21/10; 9/4; 11/5; 9/4; 21/10; 11/5; 21/10; 11/5; 11/5; 11/5; 11/5; 28/13; 9/4; 9/4; ; 113/50; 11/5; 9/4; 2; 9/4; ; 2; 2; 9/4
META; english/league-2/notts-county-v-colchester; 2017-03-30 11:47:09 GMT+3; 2017-04-01 15:00; e70300-dr003
Notts County; 6/4; 6/4; 6/4; 29/20; 8/5; 29/20; 31/20; 6/4; 6/4; 7/5; 6/4; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 16/11; 17/11; 6/4; 17/11; ; 6/4; 6/4; 6/4
Colchester; 2; 15/8; 9/5; 17/10; 19/10; 17/10; 15/8; 9/5; 15/8; 19/10; 15/8; 19/10; 37/20; 15/8; 19/10; 15/8; 19/10; 7/4; 9/5; 19/10; 103/50; 24/13; 9/5; 2; 9/5; ; 19/10; 9/5; 2
Draw; 2; 9/4; 41/20; 11/5; 11/5; 21/10; 9/4; 11/5; 9/4; 21/10; 11/5; 21/10; 11/5; 11/5; 11/5; 11/5; 28/13; 9/4; 9/4; 28/13; 113/50; 11/5; 9/4; 2; 9/4; ; 2; 2; 9/4
META; english/league-2/notts-county-v-colchester; 2017-03-30 12:20:52 GMT+3; 2017-04-01 15:00; e70300-dr003
Notts County; 6/4; 6/4; 6/4; 29/20; 8/5; 29/20; 31/20; 6/4; 6/4; 7/5; 6/4; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 16/11; 17/11; 6/4; 17/11; ; 6/4; 6/4; 6/4
Colchester; 2; 15/8; 9/5; 17/10; 19/10; 17/10; 15/8; 9/5; 15/8; 19/10; 15/8; 15/8; 37/20; 15/8; 19/10; 15/8; 19/10; 7/4; 9/5; 19/10; 103/50; 24/13; 9/5; 2; 9/5; ; 19/10; 9/5; 2
Draw; 2; 9/4; 41/20; 11/5; 11/5; 21/10; 9/4; 11/5; 9/4; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 28/13; 9/4; 9/4; 28/13; 113/50; 11/5; 9/4; 2; 9/4; ; 2; 2; 9/4
META; english/league-2/notts-county-v-colchester; 2017-03-30 13:47:10 GMT+3; 2017-04-01 15:30; e70300-dr003
Levski Sofia; 5/4; 5/4; 13/10; ; 5/4; ; 13/10; 5/4; 5/4; ; 13/10; 6/5; 13/10; ; ; ; 6/5; 13/10; ; 6/5; 27/20; ; ; ; 5/4; ; 11/10; ; 
Cherno More Varna; 2; 2; 21/10; ; 2; ; 11/5; 2; 15/8; ; 2; 2; 21/10; ; ; ; 37/19; 19/10; ; 37/19; 99/50; ; ; ; 21/10; ; 19/10; ; 
Draw; 2; 19/10; 21/10; ; 2; ; 2; 2; 2; ; 2; 21/10; 21/10; ; ; ; 37/19; 21/10; ; 37/19; 23/10; ; ; ; 2; ; 19/10; ; 
META; english/league-2/notts-county-v-colchester; 2017-03-30 16:20:00 GMT+3; ; e70300-dr003
Helsinki; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; ; 4/7; ; ; 11/17; ; ; ; ; ; ; 
Seinajoen JK; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; 4; ; ; 3; ; ; ; ; ; ; 
IFK Mariehamn; 8; ; ; ; ; ; ; ; ; ; ; ; ; ; 8; ; ; ; 13; ; ; 8; ; ; ; ; ; ; 
KuPS; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; 11; ; ; ; 13; ; ; 12; ; ; ; ; ; ; 
