Draw; 12/5; 23/10; ; 23/10; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; ; 21/10; 21/10; 47/20; 9/4; ; 12/5; 12/5; 21/10; 12/5; 23/10; ; ; ; 11/5; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-17 12:21:03 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 8/5; 13/8; ; 13/8; 13/8; 6/4; 17/10; 8/5; 13/8; 17/11; ; 8/5; 6/4; 8/5; 8/5; ; 8/5; 17/11; 17/11; 6/4; 17/11; ; ; ; 1/4; ; 
Crewe; 8/5; 3/2; ; 13/8; 8/5; 6/4; 17/10; 8/5; 13/8; 28/17; ; 8/5; 7/4; 13/8; 13/8; ; 8/5; 28/17; 8/5; 13/8; 28/17; ; ; ; 1; ; 
Draw; 12/5; 23/10; ; 23/10; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; ; 21/10; 21/10; 47/20; 9/4; ; 12/5; 12/5; 21/10; 12/5; 23/10; ; ; ; 11/5; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-17 20:22:03 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 7/5; 7/5; 27/20; 29/20; 13/8; 11/8; 7/5; 6/4; 6/4; 17/11; 7/5; 29/20; 6/4; 7/5; 7/5; 7/5; 17/11; 17/11; 17/11; 6/4; ; 17/11; ; ; 7/5; ; 
Crewe; 7/4; 19/10; 19/10; 19/10; 8/5; 7/4; 2; 6/4; 15/8; 28/17; 19/10; 15/8; 7/4; 37/20; 19/10; 37/20; 7/4; 28/17; 8/5; 13/8; ; 133/67; ; ; 9/5; ; 
Draw; 12/5; 23/10; 43/20; 11/5; 23/10; 43/20; 12/5; 21/10; 23/10; 12/5; 23/10; 23/10; 21/10; 47/20; 11/5; 12/5; 9/4; 12/5; 21/10; 12/5; ; 40/17; ; ; 11/5; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-18 00:20:27 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 7/5; 7/5; 27/20; 29/20; 13/8; 27/20; 29/20; 8/5; 6/4; 17/11; 7/5; 29/20; 6/4; 7/5; 7/5; ; 17/11; 17/11; 17/11; 6/4; 6/4; 17/11; ; ; 7/5; ; 
Crewe; 7/4; 19/10; 19/10; 19/10; 8/5; 7/4; 2; 8/5; 15/8; 28/17; 19/10; 15/8; 7/4; 37/20; 2; ; 7/4; 28/17; 8/5; 13/8; 24/13; 133/67; ; ; 15/8; ; 
Draw; 12/5; 23/10; 43/20; 11/5; 23/10; 43/20; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 21/10; 47/20; 21/10; ; 9/4; 12/5; 21/10; 12/5; 11/5; 40/17; ; ; 11/5; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-18 04:20:09 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 7/5; 7/5; 27/20; 29/20; 13/8; 27/20; 7/5; 8/5; 6/4; 17/11; 7/5; 29/20; 6/4; 7/5; 7/5; ; 17/11; 17/11; 17/11; 6/4; 6/4; 17/11; ; ; 7/5; ; 
Crewe; 7/4; 19/10; 19/10; 19/10; 8/5; 7/4; 2; 8/5; 15/8; 28/17; 19/10; 15/8; 7/4; 37/20; 2; ; 7/4; 28/17; 8/5; 13/8; 9/5; 133/67; ; ; 9/5; ; 
Draw; 12/5; 23/10; 43/20; 11/5; 23/10; 43/20; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 21/10; 47/20; 21/10; ; 9/4; 12/5; 21/10; 12/5; 9/4; 40/17; ; ; 11/5; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-18 08:19:59 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 7/5; 7/5; 11/8; 29/20; 13/8; 27/20; 29/20; 8/5; 6/4; 7/5; 7/5; 7/5; 6/4; 7/5; 7/5; 7/5; 6/4; 7/5; 17/11; 7/5; 16/11; 17/11; 6/4; ; 7/5; ; 
Crewe; 9/5; 19/10; 19/10; 19/10; 8/5; 9/5; 2; 8/5; 2; 19/10; 19/10; 19/10; 7/4; 19/10; 2; 37/20; 9/5; 19/10; 8/5; 19/10; 19/10; 133/67; 24/13; ; 9/5; ; 
Draw; 12/5; 23/10; 43/20; 11/5; 23/10; 43/20; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 21/10; 23/10; 21/10; 12/5; 9/4; 23/10; 21/10; 23/10; 11/5; 40/17; 40/17; ; 11/5; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-18 12:25:57 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 7/5; 7/5; 11/8; 29/20; 6/4; 27/20; 29/20; 7/5; 6/4; ; 7/5; 7/5; 6/4; 7/5; 7/5; 7/5; 16/11; 7/5; 17/11; 7/5; 7/5; 17/11; 6/4; ; 7/5; 27/20; 
Crewe; 9/5; 19/10; 19/10; 19/10; 19/10; 9/5; 2; 15/8; 2; ; 19/10; 19/10; 7/4; 19/10; 2; 37/20; 15/8; 19/10; 8/5; 19/10; 19/10; 133/67; 24/13; ; 15/8; 15/8; 
Draw; 12/5; 23/10; 21/10; 11/5; 23/10; 43/20; 12/5; 12/5; 23/10; ; 9/4; 23/10; 21/10; 23/10; 21/10; 12/5; 9/4; 23/10; 21/10; 23/10; 9/4; 40/17; 40/17; ; 11/5; 2; 
META; english/league-2/newport-county-v-crewe; 2016-08-18 16:22:13 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 7/5; 7/5; 11/8; 29/20; 6/4; 27/20; 29/20; 7/5; 6/4; 7/5; 7/5; 7/5; 6/4; 7/5; 7/5; 7/5; 16/11; 7/5; 17/11; 7/5; 7/5; 17/11; 6/4; ; 6/4; 27/20; 7/5
Crewe; 9/5; 19/10; 19/10; 19/10; 19/10; 9/5; 2; 15/8; 2; 19/10; 19/10; 19/10; 7/4; 19/10; 2; 37/20; 15/8; 19/10; 8/5; 19/10; 19/10; 133/67; 24/13; ; 9/5; 15/8; 2
Draw; 12/5; 23/10; 21/10; 11/5; 23/10; 43/20; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; 21/10; 23/10; 21/10; 12/5; 9/4; 23/10; 21/10; 23/10; 9/4; 40/17; 40/17; ; 11/5; 2; 12/5
META; english/league-2/newport-county-v-crewe; 2016-08-18 20:20:29 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 7/5; 7/5; 29/20; 6/4; 6/4; 27/20; 6/4; 7/5; 6/4; ; 6/4; 29/20; 6/4; 29/20; 6/4; 7/5; 16/11; 7/5; 17/11; ; 6/4; 17/11; 6/4; ; 7/5; 7/5; 6/4
Crewe; 9/5; 19/10; 37/20; 19/10; 19/10; 9/5; 19/10; 15/8; 2; ; 9/5; 19/10; 7/4; 37/20; 15/8; 37/20; 15/8; 19/10; 8/5; ; 9/5; 79/40; 24/13; ; 15/8; 9/5; 19/10
Draw; 12/5; 23/10; 21/10; 11/5; 23/10; 43/20; 12/5; 12/5; 23/10; ; 9/4; 9/4; 21/10; 23/10; 21/10; 12/5; 9/4; 23/10; 21/10; ; 9/4; 40/17; 40/17; ; 9/4; 2; 23/10
META; english/league-2/newport-county-v-crewe; 2016-08-19 00:21:13 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 7/5; 7/5; 29/20; 6/4; 6/4; 27/20; 6/4; 7/5; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; 6/4; 7/5; 16/11; 7/5; 17/11; ; ; 17/11; 6/4; ; 7/5; 7/5; 6/4
Crewe; 9/5; 15/8; 37/20; 19/10; 19/10; 9/5; 19/10; 15/8; 2; 19/10; 9/5; 15/8; 7/4; 37/20; 15/8; 37/20; 15/8; 19/10; 8/5; ; ; 79/40; 24/13; ; 19/10; 9/5; 19/10
Draw; 12/5; 23/10; 21/10; 11/5; 23/10; 43/20; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; 21/10; 23/10; 21/10; 12/5; 9/4; 23/10; 21/10; ; ; 40/17; 40/17; ; 23/10; 2; 23/10
META; english/league-2/newport-county-v-crewe; 2016-08-19 00:55:58 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 7/5; 7/5; 29/20; 6/4; 6/4; 27/20; 6/4; 7/5; 6/4; ; 6/4; 29/20; 6/4; 29/20; 6/4; 7/5; 16/11; 7/5; 17/11; 7/5; 6/4; 17/11; 6/4; ; 7/5; 7/5; 6/4
Crewe; 9/5; 15/8; 37/20; 19/10; 19/10; 9/5; 19/10; 15/8; 2; ; 9/5; 15/8; 7/4; 37/20; 15/8; 37/20; 15/8; 19/10; 8/5; 19/10; 9/5; 79/40; 24/13; ; 19/10; 9/5; 19/10
Draw; 12/5; 23/10; 21/10; 11/5; 23/10; 43/20; 12/5; 12/5; 23/10; ; 9/4; 23/10; 21/10; 23/10; 21/10; 12/5; 9/4; 23/10; 21/10; 23/10; 9/4; 40/17; 40/17; ; 23/10; 2; 23/10
META; english/league-2/newport-county-v-crewe; 2016-08-19 01:46:50 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 7/5; 7/5; 29/20; 6/4; 6/4; 27/20; 6/4; 7/5; 6/4; ; 6/4; 29/20; 6/4; 29/20; 6/4; 7/5; 16/11; 7/5; 17/11; 7/5; 6/4; 17/11; 6/4; ; 7/5; 7/5; 6/4
Crewe; 9/5; 15/8; 37/20; 19/10; 19/10; 9/5; 19/10; 15/8; 2; ; 9/5; 15/8; 7/4; 37/20; 15/8; 37/20; 15/8; 19/10; 8/5; 19/10; 9/5; 79/40; 24/13; ; 19/10; 9/5; 19/10
Draw; 12/5; 23/10; 21/10; 11/5; 23/10; 43/20; 12/5; 12/5; 23/10; ; 9/4; 23/10; 21/10; 23/10; 21/10; 12/5; 9/4; 23/10; 21/10; 23/10; 9/4; 40/17; 40/17; ; 12/5; 21/10; 23/10
META; english/league-2/newport-county-v-crewe; 2016-08-19 03:46:52 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 7/5; 7/5; 29/20; 6/4; 6/4; 27/20; 6/4; 7/5; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; 6/4; 7/5; 16/11; 7/5; 17/11; ; ; 17/11; 6/4; ; 7/5; 7/5; 6/4
Crewe; 9/5; 15/8; 37/20; 19/10; 19/10; 9/5; 19/10; 15/8; 2; 19/10; 9/5; 15/8; 7/4; 37/20; 15/8; 37/20; 15/8; 19/10; 8/5; ; ; 79/40; 24/13; ; 19/10; 9/5; 19/10
Draw; 12/5; 23/10; 21/10; 11/5; 23/10; 43/20; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; 21/10; 23/10; 21/10; 12/5; 9/4; 23/10; 21/10; ; ; 40/17; 40/17; ; 12/5; 21/10; 23/10
META; english/league-2/newport-county-v-crewe; 2016-08-19 04:20:26 GMT+3; 2016-08-20 15:00; e70300-dr003
