Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-06 04:22:41 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-06 08:22:36 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-06 12:23:06 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-06 16:23:29 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-06 20:24:27 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-07 00:23:00 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-07 04:23:06 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-07 08:22:43 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-07 12:24:44 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-07 16:23:56 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-07 20:25:54 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-08 00:23:42 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-08 04:23:52 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-08 08:24:49 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-08 12:26:39 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-08 16:24:43 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-08 20:25:03 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-09 00:22:45 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; 11/10; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; 
Wycombe; ; 23/10; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-09 04:22:39 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; 11/10; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wycombe; ; 23/10; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-09 08:22:27 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; ; 11/10; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; 
Wycombe; ; 23/10; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-09 12:23:53 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; 11/10; 11/10; 21/20; ; 23/20; ; 23/20; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Draw; 9/4; 23/10; 9/4; ; 23/10; ; 23/10; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Wycombe; 5/2; 23/10; 12/5; ; 12/5; ; 5/2; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-09 16:24:31 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; 11/10; 11/10; 21/20; ; 23/20; ; 11/10; ; 11/10; 11/10; ; 6/5; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 9/4; 23/10; 9/4; ; 23/10; ; 23/10; ; 23/10; 9/4; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Wycombe; 5/2; 23/10; 12/5; ; 12/5; ; 13/5; ; 5/2; 13/5; ; 9/4; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; 27/20; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-09 20:23:32 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; 19/20; 11/10; 1; ; 23/20; 19/20; 11/10; ; 11/10; 11/10; 21/20; 6/5; ; 1; 1; ; ; ; ; 1; ; ; ; ; ; ; 10/11; ; 
Draw; 5/2; 23/10; 9/4; ; 23/10; 9/4; 5/2; ; 12/5; 9/4; 23/10; 9/4; ; 12/5; 12/5; ; ; ; ; 9/4; ; ; ; ; ; ; 21/10; ; 
Wycombe; 14/5; 23/10; 27/10; ; 12/5; 12/5; 5/2; ; 13/5; 13/5; 13/5; 9/4; ; 27/10; 13/5; ; ; ; ; 12/5; ; ; ; ; ; ; 23/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-10 00:22:30 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; 19/20; 11/10; 1; 21/20; 23/20; 19/20; 11/10; ; 11/10; 11/10; 11/10; 6/5; ; 1; 1; ; ; ; ; 1; ; ; ; ; ; ; 10/11; ; 
Draw; 5/2; 23/10; 11/5; 23/10; 23/10; 9/4; 5/2; ; 12/5; 9/4; 23/10; 9/4; ; 12/5; 12/5; ; ; ; ; 9/4; ; ; ; ; ; ; 21/10; ; 
Wycombe; 14/5; 23/10; 13/5; 13/5; 12/5; 12/5; 5/2; ; 13/5; 13/5; 5/2; 9/4; ; 53/20; 13/5; ; ; ; ; 12/5; ; ; ; ; ; ; 23/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-10 04:22:34 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; 19/20; 11/10; 1; 21/20; 23/20; 19/20; 11/10; ; 11/10; 11/10; 11/10; 6/5; ; 1; 1; ; ; ; ; 1; ; ; ; ; ; ; 10/11; ; 
Draw; 5/2; 23/10; 11/5; 23/10; 23/10; 9/4; 5/2; ; 12/5; 9/4; 23/10; 9/4; ; 12/5; 12/5; ; ; ; ; 9/4; ; ; ; ; ; ; 21/10; ; 
Wycombe; 14/5; 23/10; 13/5; 13/5; 12/5; 12/5; 5/2; ; 13/5; 13/5; 5/2; 9/4; ; 53/20; 13/5; ; ; ; ; 12/5; ; ; ; ; ; ; 23/10; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-10 08:22:41 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; 19/20; 11/10; 21/20; 11/10; 23/20; 19/20; 21/20; ; 11/10; 11/10; 21/20; 6/5; ; 21/20; 11/10; ; ; ; ; 1; ; ; ; ; ; ; 21/20; ; 
Draw; 5/2; 23/10; 43/20; 9/4; 23/10; 9/4; 5/2; ; 12/5; 9/4; 23/10; 9/4; ; 47/20; 9/4; ; ; ; ; 9/4; ; ; ; ; ; ; 9/4; ; 
Wycombe; 14/5; 23/10; 5/2; 13/5; 12/5; 12/5; 13/5; ; 13/5; 13/5; 13/5; 9/4; ; 53/20; 5/2; ; ; ; ; 12/5; ; ; ; ; ; ; 5/2; ; 
META; english/league-2/mansfield-v-wycombe; 2016-10-10 12:24:11 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; 23/20; 11/10; 5/4; 13/10; 6/5; 11/10; 5/4; ; 5/4; 5/4; 6/5; 5/4; 6/5; 5/4; 5/4; ; ; ; 1; ; ; ; ; 11/10; ; ; 23/20; 6/5; 
Draw; 12/5; 23/10; 43/20; 11/5; 23/10; 43/20; 12/5; ; 23/10; 9/4; 9/4; 9/4; 23/10; 11/5; 21/10; ; ; ; 9/4; ; ; ; ; 9/4; ; ; 21/10; 21/10; 
Wycombe; 23/10; 23/10; 43/20; 11/5; 23/10; 9/4; 11/5; ; 23/10; 11/5; 9/4; 9/4; 9/4; 11/5; 12/5; ; ; ; 12/5; ; ; ; ; 13/5; ; ; 12/5; 23/10; 
META; english/league-2/mansfield-v-wycombe; 2016-10-10 16:23:05 GMT+3; 2016-10-15 15:00; e70300-dr003
Mansfield; 6/5; 11/10; 5/4; 13/10; 6/5; 23/20; 5/4; 1; 5/4; 5/4; 6/5; 5/4; ; 5/4; 5/4; ; ; ; 1; ; ; ; ; 6/5; 5/4; ; 23/20; 6/5; 
Draw; 12/5; 23/10; 41/20; 21/10; 23/10; 43/20; 12/5; 23/10; 23/10; 11/5; 9/4; 9/4; ; 11/5; 21/10; ; ; ; 9/4; ; ; ; ; 23/10; 11/5; ; 21/10; 21/10; 
