META; english/premier-league/hull-v-west-ham; 2017-03-06 00:16:37 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-07 04:16:37 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-07 08:16:35 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-07 12:16:40 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-07 16:16:39 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-07 20:16:38 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-08 00:16:33 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-08 04:16:33 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-08 08:16:40 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-08 12:16:43 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-08 16:11:30 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-08 20:16:24 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-09 00:16:20 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-09 04:16:17 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-09 08:16:19 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-09 12:16:19 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-09 16:16:18 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-09 20:16:14 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-10 00:16:19 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-10 04:15:59 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-10 08:16:06 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-10 12:16:03 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-10 16:16:02 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-10 20:16:17 GMT+2; 2017-04-01 15:00; e70300-dr003
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-11 00:16:31 GMT+2; 2017-04-01 15:00; e70300-dr003
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-11 04:16:19 GMT+2; 2017-04-01 15:00; e70300-dr003
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-11 08:16:25 GMT+2; 2017-04-01 15:00; e70300-dr003
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-11 12:16:23 GMT+2; 2017-04-01 15:00; e70300-dr003
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-11 16:16:21 GMT+2; 2017-04-01 15:00; e70300-dr003
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-11 20:16:16 GMT+2; 2017-04-01 15:00; e70300-dr003
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-12 00:16:12 GMT+2; 2017-04-01 15:00; e70300-dr003
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-12 04:16:17 GMT+2; 2017-04-01 15:00; e70300-dr003
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-12 08:16:11 GMT+2; 2017-04-01 15:00; e70300-dr003
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-12 12:16:12 GMT+2; 2017-04-01 15:00; e70300-dr003
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-12 16:16:10 GMT+2; 2017-04-01 15:00; e70300-dr003
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-12 20:16:10 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; 17/10; ; ; 9/5; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 15/8; ; ; ; ; ; ; ; ; 17/11; ; ; 7/4; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-13 00:16:10 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; 6/4; ; 8/5; ; 6/4; ; 8/5; 6/4; 6/4; ; ; ; ; ; ; 17/11; 17/11; 17/10; 8/5; 17/11; 9/5; ; 8/5; ; ; ; ; 
West Ham; 7/4; ; 6/4; ; 9/5; ; 15/8; 17/10; 15/8; ; ; ; ; ; ; 9/5; 7/4; 17/11; 7/4; 7/4; 7/4; ; 7/4; ; ; ; ; 
Draw; 23/10; ; 23/10; ; 23/10; ; 12/5; 11/5; 23/10; ; ; ; ; ; ; 23/10; 11/5; 9/4; 11/5; 11/5; 47/20; ; 11/5; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-13 04:16:09 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; 6/4; ; 8/5; ; 6/4; ; 13/8; 6/4; 6/4; 7/5; 29/20; ; ; ; ; 17/11; 17/11; 8/5; 8/5; 17/11; 9/5; ; 8/5; ; ; ; ; 
West Ham; 7/4; ; 6/4; ; 9/5; ; 19/10; 17/10; 15/8; 9/5; 17/10; ; ; ; ; 9/5; 7/4; 28/17; 7/4; 7/4; 7/4; ; 7/4; ; ; ; ; 
Draw; 23/10; ; 23/10; ; 23/10; ; 23/10; 11/5; 23/10; 23/10; 11/5; ; ; ; ; 23/10; 11/5; 9/4; 11/5; 11/5; 47/20; ; 11/5; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-13 08:16:09 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; 6/4; ; 8/5; ; 6/4; ; 13/8; 6/4; 6/4; 7/5; 29/20; ; ; ; ; 17/11; 17/11; 8/5; 8/5; 17/11; 9/5; ; 8/5; ; ; ; ; 
West Ham; 7/4; ; 6/4; ; 9/5; ; 19/10; 17/10; 15/8; 9/5; 17/10; ; ; ; ; 9/5; 7/4; 28/17; 7/4; 7/4; 7/4; ; 7/4; ; ; ; ; 
Draw; 23/10; ; 23/10; ; 23/10; ; 23/10; 11/5; 23/10; 23/10; 11/5; ; ; ; ; 23/10; 11/5; 9/4; 11/5; 11/5; 47/20; ; 11/5; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-13 12:16:19 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; 6/4; ; 6/4; ; 8/5; ; 8/5; 6/4; 6/4; 7/5; 29/20; ; ; ; 6/4; 17/11; 17/11; 8/5; 8/5; 17/11; 17/10; 6/4; 8/5; ; ; ; ; 
West Ham; 7/4; ; 37/20; ; 15/8; ; 15/8; 17/10; 15/8; 9/5; 17/10; ; ; ; 15/8; 9/5; 7/4; 28/17; 7/4; 7/4; 37/20; 15/8; 7/4; ; ; ; ; 
Draw; 23/10; ; 23/10; ; 12/5; ; 12/5; 11/5; 23/10; 23/10; 11/5; ; ; ; 23/10; 23/10; 11/5; 9/4; 11/5; 11/5; 12/5; 23/10; 11/5; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-13 16:17:06 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; 6/4; ; 6/4; ; 6/4; ; 8/5; 6/4; 6/4; 6/4; 29/20; ; ; ; 6/4; 17/11; 6/4; 8/5; 8/5; 6/4; 17/10; 6/4; 8/5; ; 8/5; ; ; ; 
West Ham; 7/4; ; 37/20; ; 9/5; ; 15/8; 17/10; 15/8; 9/5; 17/10; ; ; ; 15/8; 9/5; 7/4; 28/17; 7/4; 7/4; 37/20; 15/8; 7/4; ; 7/4; ; ; ; 
Draw; 23/10; ; 23/10; ; 12/5; ; 12/5; 11/5; 23/10; 9/4; 11/5; ; ; ; 23/10; 23/10; 9/4; 9/4; 11/5; 9/4; 12/5; 23/10; 11/5; ; 11/5; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-13 20:16:15 GMT+2; 2017-04-01 15:00; e70300-dr003
