META; english/premier-league/man-city-v-chelsea; 2016-11-07 20:17:41 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-09 08:17:38 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-09 12:18:11 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-09 16:17:48 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-09 20:17:48 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-10 00:17:41 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-10 04:17:40 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-10 08:17:53 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-10 12:17:57 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-10 16:18:44 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-10 20:18:07 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-11 00:17:45 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-11 04:17:40 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-11 08:17:41 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-11 12:18:27 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-11 16:18:28 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 56/19; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-11 20:19:11 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 56/19; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-12 00:18:26 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 56/19; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-12 04:18:09 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 56/19; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-12 08:18:18 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 56/19; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-12 12:19:23 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 56/19; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-12 16:18:52 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-12 20:18:38 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-13 00:17:44 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-13 04:17:50 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-13 08:17:49 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-13 12:18:04 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-13 16:18:15 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-13 20:18:23 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-14 00:17:43 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-14 04:17:40 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-14 08:17:40 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-14 12:17:52 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-14 20:17:52 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-15 00:17:53 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-15 04:17:54 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-15 08:17:48 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-15 12:18:02 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-15 16:18:35 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-15 20:18:06 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-16 00:17:45 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-16 08:17:44 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-16 12:18:20 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
