META; english/premier-league/bournemouth-v-tottenham; 2016-09-27 00:17:32 GMT+3; 2016-10-22 12:30; e70300-dr003
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-28 12:18:14 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-28 16:17:31 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-28 20:17:56 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-29 00:17:17 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-29 04:17:07 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-29 08:18:09 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-29 12:17:05 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-29 16:21:06 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-29 20:17:18 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-30 00:17:02 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-30 04:16:06 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-30 08:16:06 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-30 12:16:39 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-30 16:17:07 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-30 20:17:31 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-01 00:17:10 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-01 04:17:06 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-01 08:17:14 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-01 12:17:11 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-01 16:17:27 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-01 20:17:07 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-02 00:16:56 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-02 04:16:55 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-02 08:16:57 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-02 12:17:03 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-02 16:17:13 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-02 20:18:06 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; 17/20; 19/20; 5/6; 9/10; 4/5; ; ; ; ; ; 19/20; 19/20; 9/10; 13/15; 9/10; 19/20; 11/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 13/5; 23/10; 13/5; 5/2; 13/5; ; ; ; ; ; 13/5; 12/5; 5/2; 5/2; 5/2; 12/5; 45/17; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 7/2; 11/4; 7/2; 3; 10/3; ; ; ; ; ; 10/3; 29/10; 3; 3; 3; 29/10; 39/11; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-03 00:17:20 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; 20/23; 19/20; 5/6; 9/10; 4/5; 4/5; ; ; ; ; 10/11; 10/11; 9/10; 4/5; 9/10; 10/11; 10/11; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; ; 13/5; 27/11; 5/2; 5/2; 5/2; 27/11; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 7/2; 11/4; 7/2; 3; 10/3; 16/5; ; ; ; ; 10/3; 58/19; 3; 57/17; 3; 58/19; 18/5; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-03 04:17:19 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 5/6; ; ; ; 17/20; 19/20; 5/6; 9/10; 4/5; 4/5; ; ; ; ; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; ; ; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; ; 13/5; 27/11; 5/2; 5/2; 5/2; 27/11; 13/5; ; ; ; ; ; 
Bournemouth; 7/2; ; 17/5; ; ; ; 15/4; 11/4; 7/2; 3; 10/3; 16/5; ; ; ; ; 7/2; 16/5; 3; 57/17; 3; 16/5; 18/5; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-03 08:17:24 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 5/6; ; ; ; 17/20; 19/20; 5/6; 9/10; 4/5; 4/5; ; ; ; ; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; ; ; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; ; 13/5; 27/11; 5/2; 5/2; 5/2; 27/11; 13/5; ; ; ; ; ; 
Bournemouth; 7/2; ; 17/5; ; ; ; 15/4; 11/4; 7/2; 3; 10/3; 13/4; ; ; ; ; 7/2; 16/5; 3; 57/17; 3; 16/5; 18/5; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-03 12:17:24 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 9/10; 19/20; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 10/11; 9/10; 4/5; 9/10; 10/11; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 5/2; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 27/11; 5/2; 5/2; 5/2; 27/11; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 11/4; 10/3; 3; 16/5; 3; ; ; ; 16/5; 10/3; 31/10; 3; 57/17; 3; 31/10; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-03 16:17:33 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 5/2; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 16/5; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-03 20:17:47 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 5/2; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 16/5; 3; ; ; ; 16/5; 7/2; 16/5; 3; 57/17; 3; 16/5; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-04 00:17:18 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 5/2; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 16/5; 3; ; ; ; 16/5; 7/2; 16/5; 3; 57/17; 3; 16/5; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-04 04:17:27 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 5/2; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 16/5; 3; ; ; ; 16/5; 7/2; 16/5; 3; 57/17; 3; 16/5; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-04 08:17:29 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 5/2; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 16/5; 3; ; ; ; 16/5; 7/2; 16/5; 3; 57/17; 3; 16/5; 18/5; 39/11; ; ; ; ; 
