META; english/premier-league/swansea-v-tottenham; 2017-03-19 16:16:57 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; ; ; 8/15; ; ; ; ; 4/6; 8/13; ; ; ; ; ; ; ; ; 4/7; ; ; 8/13; ; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 13/5; 14/5; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; ; 
Swansea; ; ; 5; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; 9/2; ; ; 29/5; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-19 20:16:43 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; ; ; 8/15; ; ; ; ; 4/6; 4/6; 4/6; 8/13; ; ; ; 4/6; 7/10; 8/13; 4/7; ; 8/13; 69/100; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-20 08:16:04 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; ; 8/15; ; 4/6; ; 4/6; 4/6; 4/6; 4/6; 4/6; ; ; ; 7/10; 7/10; 9/13; 8/13; 4/7; 4/6; 69/100; ; 3/5; ; 3/5; ; ; ; 
Draw; 3; ; 11/4; ; 3; ; 3; 13/5; 3; 14/5; 11/4; ; ; ; 14/5; 31/10; 29/10; 29/10; 14/5; 29/10; 31/10; ; 56/19; ; 56/19; ; ; ; 
Swansea; 4; ; 5; ; 4; ; 22/5; 4; 17/4; 15/4; 15/4; ; ; ; 4; 9/2; 39/10; 4; 9/2; 4; 9/2; ; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-20 12:16:28 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; ; 7/10; ; 4/6; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; ; ; ; 7/10; 7/10; 4/6; 8/13; 4/7; 4/6; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; ; 29/10; ; 3; 16/5; 3; 13/5; 3; 14/5; 11/4; ; ; ; 14/5; 31/10; 29/10; 29/10; 14/5; 29/10; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; ; 19/5; ; 4; 4; 21/5; 4; 17/4; 15/4; 18/5; ; ; ; 4; 9/2; 41/10; 4; 9/2; 41/10; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-20 16:16:19 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; ; 7/10; ; 4/6; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; ; ; 7/10; 7/10; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; ; 29/10; ; 3; 16/5; 3; 13/5; 3; 14/5; 11/4; 14/5; ; ; 14/5; 31/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; ; 19/5; ; 4; 4; 21/5; 4; 17/4; 15/4; 18/5; 15/4; ; ; 4; 9/2; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-20 20:16:07 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 7/10; ; 4/6; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; ; ; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 29/10; 29/10; ; 3; 16/5; 3; 13/5; 3; 14/5; 11/4; 14/5; ; ; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 19/5; 19/5; ; 4; 4; 21/5; 4; 17/4; 15/4; 18/5; 15/4; ; ; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-21 00:16:04 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 7/10; ; 4/6; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; ; ; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 29/10; 29/10; ; 3; 16/5; 3; 13/5; 3; 14/5; 11/4; 14/5; ; ; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 19/5; 19/5; ; 4; 4; 21/5; 4; 17/4; 15/4; 18/5; 15/4; ; ; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-21 04:16:03 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 7/10; ; 4/6; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; ; 13/20; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 29/10; 29/10; ; 3; 16/5; 3; 13/5; 3; 14/5; 11/4; 14/5; ; 27/10; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 19/5; 19/5; ; 4; 4; 21/5; 4; 17/4; 15/4; 18/5; 15/4; ; 18/5; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-21 08:16:04 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 7/10; ; 7/10; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; ; 13/20; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 29/10; 29/10; ; 11/4; 16/5; 3; 13/5; 3; 14/5; 11/4; 14/5; ; 27/10; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 19/5; 19/5; ; 4; 4; 21/5; 4; 17/4; 15/4; 18/5; 15/4; ; 18/5; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-21 12:16:44 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 7/10; 7/10; 8/11; 7/10; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; ; 13/20; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 14/5; 29/10; 14/5; 11/4; 16/5; 3; 13/5; 3; 14/5; 11/4; 14/5; ; 27/10; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 18/5; 19/5; 18/5; 4; 4; 21/5; 4; 17/4; 15/4; 18/5; 15/4; ; 18/5; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-21 16:16:24 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 7/10; 7/10; 8/11; 7/10; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; ; 13/20; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 14/5; 29/10; 14/5; 11/4; 16/5; 3; 13/5; 3; 14/5; 11/4; 14/5; ; 27/10; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 18/5; 19/5; 18/5; 4; 4; 21/5; 4; 17/4; 15/4; 18/5; 15/4; ; 18/5; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-22 00:16:05 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 7/10; 7/10; 8/11; 4/6; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; ; 7/10; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 14/5; 29/10; 14/5; 3; 16/5; 3; 13/5; 3; 14/5; 11/4; 14/5; ; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 18/5; 19/5; 18/5; 4; 4; 21/5; 4; 17/4; 15/4; 18/5; 15/4; ; 4; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-22 08:16:05 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 7/10; 7/10; 8/11; 4/6; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 14/5; 29/10; 14/5; 3; 16/5; 3; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 18/5; 19/5; 18/5; 4; 4; 21/5; 4; 17/4; 15/4; 18/5; 15/4; 4; 4; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-23 13:20:06 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 7/10; 7/10; 8/11; 4/6; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 14/5; 29/10; 14/5; 3; 16/5; 3; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 18/5; 19/5; 18/5; 4; 4; 21/5; 4; 17/4; 15/4; 18/5; 15/4; 4; 4; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-23 16:16:22 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 7/10; 7/10; 8/11; 4/6; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 14/5; 29/10; 14/5; 3; 16/5; 3; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 18/5; 19/5; 18/5; 4; 4; 21/5; 4; 17/4; 15/4; 18/5; 15/4; 4; 4; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-23 20:16:41 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 8/11; 7/10; 8/11; 4/6; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 14/5; 29/10; 14/5; 3; 16/5; 3; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 18/5; 19/5; 18/5; 4; 4; 21/5; 4; 17/4; 15/4; 18/5; 15/4; 4; 4; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-24 00:16:14 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 7/10; 7/10; 8/11; 4/6; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 14/5; 29/10; 14/5; 3; 16/5; 3; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 15/4; 19/5; 18/5; 4; 4; 21/5; 4; 17/4; 15/4; 18/5; 15/4; 4; 4; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-24 04:16:12 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 7/10; 7/10; 8/11; 4/6; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 14/5; 29/10; 14/5; 3; 16/5; 3; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 15/4; 19/5; 18/5; 4; 4; 21/5; 4; 17/4; 15/4; 18/5; 15/4; 4; 4; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-24 12:16:16 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 7/10; 7/10; 8/11; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 14/5; 29/10; 14/5; 11/4; 3; 3; 13/5; 3; 3; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 15/4; 19/5; 18/5; 4; 4; 21/5; 4; 4; 15/4; 18/5; 15/4; 4; 4; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-24 16:16:31 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 7/10; 7/10; 8/11; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 11/17; 8/13; 4/7; ; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 14/5; 29/10; 14/5; 11/4; 3; 3; 13/5; 3; 3; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; ; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 15/4; 19/5; 18/5; 4; 4; 21/5; 4; 4; 15/4; 18/5; 15/4; 4; 4; 4; 4; 54/13; 4; 9/2; ; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-24 20:16:33 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 7/10; 7/10; 8/11; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 11/4; 3; 3; 13/5; 3; 3; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 18/5; 19/5; 18/5; 4; 4; 21/5; 4; 4; 15/4; 18/5; 15/4; 4; 4; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-25 00:16:26 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 7/10; 7/10; 8/11; 7/10; 7/10; 7/10; 4/6; 4/6; ; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 11/4; 3; 3; 13/5; 3; ; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 18/5; 19/5; 18/5; 4; 4; 21/5; 4; 4; ; 18/5; 15/4; 4; 4; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-25 04:16:44 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 7/10; 7/10; 8/11; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 3/5; ; 3/5; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 11/4; 3; 3; 13/5; 3; 3; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 18/5; 19/5; 18/5; 4; 4; 21/5; 4; 4; 15/4; 18/5; 15/4; 4; 4; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-26 04:16:05 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 8/11; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 13/19; 3/5; ; 3/5; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 14/5; 56/19; 29/10; 14/5; 56/19; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 4; 4; 18/5; 4; 4; 9/2; 4; 4; 15/4; 15/4; 4; 4; 4; 4; 4; 21/5; 4; 9/2; 21/5; 9/2; 50/13; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-26 08:16:24 GMT+2; 2017-03-25 17:00; e70300-dr003
Switzerland; 1/10; 1/10; 1/10; 1/12; 1/11; 1/10; 1/10; 1/9; 1/12; 1/11; 1/14; 1/12; 1/11; 1/10; 1/11; 1/10; 1/11; 1/12; 1/12; 1/11; 1/10; 1/10; 1/11; 1/10; 1/10; ; 1/10; 1/9; 
Draw; 10; 15/2; 9; 17/2; 9; 9; 19/2; 8; 9; 9; 9; 15/2; 9; 12; 9; 9; 37/4; 10; 9; 37/4; 11; 9; 9; 17/2; 9; ; 10; 48/5; 
Latvia; 40; 28; 35; 28; 28; 33; 33; 25; 33; 28; 33; 25; 28; 40; 28; 33; 99/4; 28; 21; 99/4; 35; 27; 21; 22; 22; ; 45; 45; 
META; english/premier-league/swansea-v-tottenham; 2017-03-26 12:16:37 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal 2-0; 8; 7; 8; 15/2; ; 13/2; 15/2; ; 7; 7; 7; 7; 7; 7; 13/2; 7; 8; ; ; 8; ; 36/5; ; ; ; ; ; ; 
Arsenal 2-1; 7; 15/2; 8; 15/2; ; 7; 15/2; ; 15/2; 7; 7; 7; 7; 15/2; 15/2; 7; 33/4; ; ; 33/4; ; 39/5; ; ; ; ; ; ; 
Arsenal 1-0; 8; 17/2; 9; 9; ; 15/2; 17/2; ; 17/2; 8; 8; 8; 15/2; 17/2; 15/2; 8; 19/2; ; ; 19/2; ; 87/10; ; ; ; ; ; ; 
Draw 1-1; 10; 8; 9; 9; ; 8; 9; ; 17/2; 17/2; 17/2; 8; 9; 9; 8; 17/2; 39/4; ; ; 39/4; ; 44/5; ; ; ; ; ; ; 
Arsenal 3-0; 10; 9; 10; 10; ; 17/2; 19/2; ; 9; 9; 9; 9; 9; 9; 9; 9; 41/4; ; ; 41/4; ; 9; ; ; ; ; ; ; 
Arsenal 3-1; 11; 9; 10; 10; ; 9; 19/2; ; 9; 9; 9; 9; 9; 10; 9; 9; 43/4; ; ; 43/4; ; 10; ; ; ; ; ; ; 
Any Other Score; ; ; 9; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; 8; ; ; ; ; ; ; 
Arsenal 4-0; 18; 16; 17; 16; ; 12; 17; ; 14; 14; 16; 16; 16; 16; 14; 16; 69/4; ; ; 69/4; ; 17; ; ; ; ; ; ; 
Arsenal 4-1; 18; 16; 17; 16; ; 12; 17; ; 16; 16; 16; 16; 14; 16; 12; 16; 18; ; ; 18; ; 18; ; ; ; ; ; ; 
Draw 2-2; 18; 14; 16; 16; ; 12; 15; ; 14; 14; 14; 14; 14; 14; 14; 14; 17; ; ; 17; ; 17; ; ; ; ; ; ; 
Draw 0-0; 18; 20; 20; 16; ; 12; 14; ; 20; 16; 18; 14; 16; 20; 14; 14; 47/4; ; ; 47/4; ; 21; ; ; ; ; ; ; 
Arsenal 3-2; 20; 20; 20; 20; ; 16; 19; ; 20; 18; 18; 18; 18; 20; 18; 18; 85/4; ; ; 85/4; ; 23; ; ; ; ; ; ; 
West Ham 2-1; 25; 20; 22; 18; ; 16; 21; ; 20; 20; 20; 20; 20; 20; 18; 18; 39/2; ; ; 39/2; ; 21; ; ; ; ; ; ; 
West Ham 1-0; 28; 22; 25; 20; ; 16; 25; ; 22; 22; 22; 22; 22; 25; 18; 20; 43/2; ; ; 43/2; ; 23; ; ; ; ; ; ; 
Arsenal 5-0; 33; 33; ; 33; ; 25; 35; ; 33; 28; 33; 28; 33; 33; 25; 28; 127/4; ; ; 127/4; ; ; ; ; ; ; ; ; 
Arsenal 5-1; 33; 33; ; 33; ; 25; 35; ; 33; 28; 33; 28; 33; 33; 25; 28; 33; ; ; 33; ; ; ; ; ; ; ; ; 
Arsenal 4-2; 33; 33; 33; 33; ; 25; 30; ; 33; 28; 28; 28; 30; 33; 25; 28; 127/4; ; ; 127/4; ; 38; ; ; ; ; ; ; 
West Ham 2-0; 40; 40; 50; 40; ; 40; 50; ; 40; 40; 45; 40; 50; 45; 33; 40; 151/4; ; ; 151/4; ; 50; ; ; ; ; ; ; 
West Ham 3-2; 50; 50; 45; 40; ; 40; 50; ; 50; 40; 45; 40; 45; 40; 40; 40; 83/2; ; ; 83/2; ; 50; ; ; ; ; ; ; 
Draw 3-3; 50; 50; 50; 50; ; 50; 50; ; 50; 50; 45; 40; 55; 45; 50; 40; 195/4; ; ; 195/4; ; 60; ; ; ; ; ; ; 
West Ham 3-1; 50; 50; 60; 50; ; 50; 60; ; 50; 50; 55; 50; 55; 50; 50; 40; 185/4; ; ; 185/4; ; 60; ; ; ; ; ; ; 
Arsenal 5-2; 50; 50; ; 66; ; 50; 60; ; ; 50; 55; 50; 66; 66; 50; 50; 107/2; ; ; 107/2; ; ; ; ; ; ; ; ; 
Arsenal 6-0; 50; 66; ; 80; ; 50; 70; ; 80; 66; 66; 50; 80; 80; 50; 50; 117/2; ; ; 117/2; ; ; ; ; ; ; ; ; 
Arsenal 6-1; 66; 66; ; 80; ; 50; 70; ; ; 66; 66; 50; 75; 80; 50; 50; 239/4; ; ; 239/4; ; ; ; ; ; ; ; ; 
Arsenal 4-3; 66; 80; 80; 80; ; 66; 75; ; ; 75; 70; 50; 75; 80; 80; 66; 129/2; ; ; 129/2; ; 110; ; ; ; ; ; ; 
Arsenal 5-3; 150; 150; ; ; ; 100; 110; ; ; 125; 100; 80; 125; 150; 100; 100; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 6-2; 100; 100; ; 150; ; 80; 110; ; ; 100; 100; 80; 125; 150; 100; 80; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham 3-0; 100; 100; 125; 80; ; 80; 110; ; 100; 100; 100; 80; 100; 150; 80; 80; 283/4; ; ; 283/4; ; 150; ; ; ; ; ; ; 
