META; english/premier-league/swansea-v-watford; 2016-10-02 00:17:08 GMT+3; 2016-10-22 15:00; e70300-dr003
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; ; 12/5; 40/17; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; ; 12/5; 40/17; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-05 20:17:46 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 5/4; 5/4; 13/10; 13/10; 6/5; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; ; 39/29; 6/5; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 12/5; 11/5; 23/10; 9/4; 23/10; ; 12/5; 40/17; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; ; 12/5; 40/17; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-06 00:17:17 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 5/4; 5/4; 13/10; 13/10; 6/5; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; 5/4; 39/29; 6/5; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 12/5; 11/5; 23/10; 9/4; 23/10; 11/5; 12/5; 40/17; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; 9/4; 12/5; 40/17; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-06 04:17:17 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 5/4; 5/4; 13/10; 13/10; 6/5; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; 5/4; 39/29; 6/5; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 12/5; 11/5; 23/10; 9/4; 23/10; 11/5; 12/5; 40/17; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; 9/4; 12/5; 40/17; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-06 08:17:12 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 5/4; 5/4; 13/10; 13/10; 6/5; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; 5/4; 39/29; 6/5; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 12/5; 11/5; 23/10; 9/4; 23/10; 11/5; 12/5; 40/17; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; 9/4; 12/5; 40/17; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-06 12:17:18 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 5/4; 5/4; 13/10; 13/10; 6/5; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; 5/4; 39/29; 6/5; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 40/17; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; 9/4; 12/5; 40/17; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-06 16:17:27 GMT+3; 2016-10-22 15:00; e70300-dr003
