META; english/premier-league/sunderland-v-arsenal; 2016-10-04 16:18:20 GMT+3; 2016-10-29 12:30; e70300-dr003
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-07 04:17:34 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-07 08:17:25 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-07 12:17:50 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-07 16:17:51 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-07 20:18:09 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-08 00:17:46 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-08 04:17:37 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-08 08:18:05 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-08 12:18:23 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-08 16:18:01 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-08 20:18:09 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-09 00:17:41 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-09 04:17:39 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-09 08:17:36 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-09 12:18:09 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-09 16:18:43 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-09 20:17:50 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-10 00:17:40 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-10 04:17:45 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-10 08:17:42 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-10 12:18:08 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-10 16:17:45 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-10 20:18:05 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-11 00:17:23 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-11 04:17:43 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-11 08:17:47 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-11 12:17:47 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-11 16:18:01 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-11 20:17:50 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-12 00:17:32 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-12 08:17:38 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-12 12:18:32 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-12 16:18:04 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-12 20:17:57 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-13 10:43:17 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-13 12:17:37 GMT+3; 2016-10-29 12:30; e70300-dr003
