Man Utd; 2/7; 2/7; 2/7; 2/7; ; 3/10; 2/7; 2/7; 3/10; 2/7; 1/4; 2/7; ; 2/7; 30/100; 3/10; 3/10; 3/11; 3/10; 1/4; 3/10; 3/10; 1/4; 3/11; ; ; 1/4; ; 
Draw; 4; 4; 17/4; 4; ; 470/100; 9/2; 4; 19/4; 17/4; 4; 4; ; 24/5; 9/2; 9/2; 21/5; 9/2; 17/4; 9/2; 21/5; 49/10; 9/2; 9/2; ; ; 22/5; ; 
Middlesbrough; 11; 11; 11; 11; ; 11; 14; 9; 10; 11; 11; 11; ; 11; 9; 12; 35/4; 10; 8; 10; 35/4; 12; 10; 10; ; ; 10; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-20 00:16:42 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 2/7; 2/7; 2/7; ; 3/10; 2/7; 2/7; 3/10; 2/7; 1/4; 2/7; 1/4; 2/7; 30/100; 3/10; 3/10; 3/11; 3/10; 1/4; 3/10; 3/10; 1/4; 3/11; ; ; 1/4; ; 
Draw; 4; 4; 17/4; 4; ; 470/100; 9/2; 4; 19/4; 17/4; 4; 4; 17/4; 24/5; 9/2; 9/2; 21/5; 9/2; 17/4; 9/2; 21/5; 49/10; 9/2; 9/2; ; ; 22/5; ; 
Middlesbrough; 11; 11; 11; 11; ; 11; 14; 9; 10; 11; 11; 11; 14; 11; 9; 12; 35/4; 10; 8; 10; 35/4; 12; 10; 10; ; ; 10; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-20 04:16:42 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 2/7; 2/7; 2/7; ; 3/10; 2/7; 2/7; 3/10; 2/7; 1/4; 2/7; 1/4; 2/7; 30/100; 3/10; 3/10; 3/11; 3/10; 1/4; 3/10; 3/10; 1/4; 3/11; ; ; 1/4; ; 
Draw; 4; 4; 17/4; 4; ; 470/100; 9/2; 4; 19/4; 17/4; 4; 4; 17/4; 24/5; 9/2; 9/2; 54/13; 9/2; 17/4; 9/2; 54/13; 49/10; 9/2; 9/2; ; ; 22/5; ; 
Middlesbrough; 11; 11; 11; 11; ; 11; 14; 9; 10; 11; 11; 11; 14; 11; 9; 12; 9; 10; 8; 10; 9; 12; 10; 10; ; ; 10; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-20 08:16:39 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 2/7; 2/7; 2/7; ; 3/10; 2/7; 2/7; 3/10; 2/7; 1/4; 2/7; 1/4; 2/7; 30/100; 3/10; 3/10; 3/11; 3/10; 1/4; 3/10; 3/10; 1/4; 3/11; ; ; 1/4; ; 
Draw; 4; 4; 17/4; 4; ; 470/100; 9/2; 4; 19/4; 17/4; 4; 4; 17/4; 24/5; 9/2; 9/2; 54/13; 9/2; 17/4; 9/2; 54/13; 49/10; 9/2; 9/2; ; ; 22/5; ; 
Middlesbrough; 11; 11; 11; 11; ; 11; 14; 9; 10; 11; 11; 11; 14; 11; 9; 12; 9; 10; 8; 10; 9; 12; 10; 10; ; ; 10; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-20 12:16:48 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 2/7; 2/7; 2/7; ; 3/10; 2/7; 2/7; 3/10; 2/7; 1/4; 2/7; 1/4; 2/7; 30/100; 3/10; 3/10; 3/11; 3/10; 1/4; 3/10; 3/10; 1/4; 3/11; ; ; 1/4; ; 
Draw; 4; 4; 17/4; 4; ; 470/100; 9/2; 4; 19/4; 17/4; 4; 4; 17/4; 24/5; 17/4; 9/2; 54/13; 9/2; 17/4; 9/2; 54/13; 49/10; 9/2; 9/2; ; ; 22/5; ; 
Middlesbrough; 11; 11; 11; 11; ; 11; 14; 9; 10; 11; 11; 11; 14; 11; 10; 12; 9; 10; 8; 10; 9; 12; 10; 10; ; ; 10; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-20 16:16:55 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 2/7; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 3/11; 3/10; 1/4; 2/7; 3/10; 3/10; 3/11; ; ; 1/4; ; 
Draw; 4; 4; 4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 19/5; 4; 4; 9/2; 17/4; 9/2; 21/5; 9/2; 17/4; 9/2; 21/5; 49/10; 22/5; 9/2; ; ; 4; ; 
Middlesbrough; 11; 11; 10; 10; 10; 10; 12; 9; 9; 10; 10; 11; 11; 10; 10; 11; 37/4; 10; 8; 10; 37/4; 12; 9; 10; ; ; 9; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-20 20:17:00 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 2/7; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 3/11; 3/10; 1/4; 2/7; 8/25; 3/10; 3/11; ; ; 1/4; ; 
Draw; 4; 4; 4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 19/5; 4; 4; 9/2; 17/4; 9/2; 21/5; 9/2; 17/4; 9/2; 21/5; 23/5; 22/5; 9/2; ; ; 4; ; 
Middlesbrough; 11; 9; 10; 10; 10; 10; 12; 9; 9; 10; 10; 11; 11; 10; 10; 11; 37/4; 10; 8; 10; 37/4; 12; 9; 10; ; ; 9; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-21 00:16:46 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 2/7; 2/7; ; 3/10; 30/100; 3/10; 2/7; 3/11; 3/10; 1/4; 2/7; 8/25; 3/10; 3/11; ; ; 1/4; ; 
Draw; 4; 4; 4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 19/5; 4; ; 9/2; 17/4; 9/2; 21/5; 9/2; 17/4; 9/2; 21/5; 23/5; 22/5; 9/2; ; ; 4; ; 
Middlesbrough; 11; 9; 10; 10; 10; 10; 12; 9; 9; 10; 10; 11; ; 10; 10; 11; 37/4; 10; 8; 10; 37/4; 12; 9; 10; ; ; 9; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-21 04:16:39 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 2/7; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 3/11; 3/10; 1/4; 2/7; 8/25; 3/10; 3/11; ; ; 1/4; ; 
Draw; 4; 4; 4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 19/5; 4; 4; 9/2; 17/4; 9/2; 21/5; 9/2; 17/4; 9/2; 21/5; 23/5; 22/5; 9/2; ; ; 1/20; ; 
Middlesbrough; 11; 9; 10; 10; 10; 10; 12; 9; 9; 10; 10; 11; 11; 10; 10; 11; 37/4; 10; 8; 10; 37/4; 12; 9; 10; ; ; 1/20; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-21 08:16:47 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 2/7; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 3/11; 3/10; 1/4; 2/7; 8/25; 3/10; 3/11; ; ; 2/7; ; 
Draw; 4; 4; 4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 19/5; 4; 4; 9/2; 17/4; 9/2; 17/4; 9/2; 17/4; 9/2; 17/4; 23/5; 22/5; 9/2; ; ; 4; ; 
Middlesbrough; 11; 9; 10; 10; 10; 10; 12; 9; 9; 10; 10; 11; 11; 10; 10; 11; 9; 10; 8; 10; 9; 12; 9; 10; ; ; 52/5; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-21 12:16:53 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 2/7; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 3/11; 3/10; 1/4; 2/7; 8/25; 3/10; 3/11; ; ; 2/7; ; 
Draw; 4; 4; 4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 19/5; 4; 4; 9/2; 17/4; 9/2; 21/5; 9/2; 17/4; 9/2; 21/5; 23/5; 22/5; 9/2; ; ; 4; ; 
Middlesbrough; 11; 9; 10; 10; 10; 10; 12; 9; 9; 10; 10; 11; 11; 10; 10; 11; 37/4; 10; 8; 10; 37/4; 12; 9; 10; ; ; 52/5; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-21 16:16:58 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 1/3; 2/7; ; 3/10; 30/100; 3/10; 2/7; 3/11; 3/10; 1/4; 2/7; 8/25; 3/10; 3/11; ; ; 2/7; ; 
Draw; 4; 4; 4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 4; 4; ; 9/2; 17/4; 9/2; 21/5; 9/2; 17/4; 9/2; 21/5; 23/5; 22/5; 9/2; ; ; 4; ; 
Middlesbrough; 11; 10; 10; 10; 10; 10; 12; 9; 9; 10; 11; 11; ; 10; 10; 11; 37/4; 10; 8; 10; 37/4; 12; 9; 10; ; ; 52/5; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-21 20:17:50 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 1/3; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 3/11; 3/10; 1/4; 2/7; 8/25; 3/10; 3/11; 3/10; ; 2/7; ; 
Draw; 4; 4; 4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 4; 4; 4; 9/2; 17/4; 9/2; 21/5; 9/2; 17/4; 9/2; 21/5; 23/5; 22/5; 9/2; 4; ; 4; ; 
Middlesbrough; 11; 10; 10; 10; 10; 10; 12; 9; 9; 10; 11; 11; 11; 10; 10; 11; 37/4; 10; 8; 10; 37/4; 12; 9; 10; 17/2; ; 52/5; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-22 00:16:42 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 1/3; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 3/11; 5/18; 1/4; 2/7; 8/25; 3/10; 3/11; 3/10; ; 2/7; ; 
Draw; 4; 4; 17/4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 4; 4; 4; 9/2; 17/4; 9/2; 21/5; 9/2; 17/4; 9/2; 21/5; 23/5; 22/5; 9/2; 4; ; 4; ; 
Middlesbrough; 11; 9; 11; 10; 10; 10; 12; 9; 9; 10; 11; 11; 11; 10; 10; 11; 37/4; 10; 9; 10; 37/4; 12; 9; 10; 17/2; ; 52/5; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-22 04:16:45 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 1/3; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 3/11; 5/18; 1/4; 2/7; 8/25; 3/10; 3/11; 3/10; ; 2/7; ; 
