West Ham; 3/5; 4/6; 4/6; 4/6; 4/7; 13/20; 4/6; 1/2; 8/13; 13/20; 8/13; 13/20; 8/13; 13/20; 13/20; 8/13; 8/13; 3/5; 4/7; 4/7; 8/13; 63/100; 4/7; 3/5; 8/13; ; 4/7; ; 
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 14/5; 3; 14/5; 14/5; 27/10; 3; 14/5; 14/5; 14/5; 3; 37/13; 11/4; 27/10; 11/4; 37/13; 61/20; 14/5; 11/4; 11/4; ; 14/5; ; 
Hull; 5; 4; 17/4; 4; 9/2; 19/4; 5; 5; 9/2; 17/4; 4; 4; 9/2; 9/2; 9/2; 5; 23/5; 5; 21/4; 5; 23/5; 27/5; 23/5; 5; 17/4; ; 21/5; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-13 00:16:32 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 4/6; 4/6; 8/13; 4/7; 13/20; 13/20; 1/2; 8/13; 8/13; 8/13; 13/20; 8/13; 13/20; 13/20; 4/6; 11/18; 5/8; 4/7; 4/7; 11/18; 63/100; 4/7; 5/8; 8/13; ; 4/7; ; 
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 29/10; 3; 3; 14/5; 27/10; 3; 57/20; 14/5; 14/5; 3; 56/19; 45/17; 27/10; 13/5; 56/19; 61/20; 14/5; 45/17; 11/4; ; 14/5; ; 
Hull; 9/2; 4; 17/4; 9/2; 9/2; 19/4; 5; 5; 17/4; 17/4; 4; 4; 9/2; 9/2; 9/2; 9/2; 23/5; 19/4; 21/4; 23/5; 23/5; 27/5; 9/2; 19/4; 17/4; ; 21/5; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-13 04:16:34 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 4/6; 4/6; 8/13; 4/7; 8/13; 13/20; 1/2; 8/13; 8/13; 8/13; 13/20; 8/13; 13/20; 13/20; 4/6; 8/13; 5/8; 8/13; 4/7; 8/13; 13/20; 4/7; 5/8; 8/13; ; 4/7; ; 
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 29/10; 3; 3; 14/5; 27/10; 3; 57/20; 14/5; 14/5; 3; 56/19; 45/17; 27/10; 13/5; 56/19; 63/20; 14/5; 45/17; 11/4; ; 14/5; ; 
Hull; 9/2; 4; 17/4; 9/2; 9/2; 5; 5; 5; 17/4; 17/4; 4; 4; 9/2; 9/2; 9/2; 9/2; 9/2; 19/4; 9/2; 23/5; 9/2; 5; 9/2; 19/4; 17/4; ; 21/5; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-13 08:16:38 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 4/6; 4/6; 8/13; 4/7; 8/13; 13/20; 1/2; 8/13; 8/13; 8/13; 13/20; 8/13; 13/20; 13/20; 4/6; 8/13; 5/8; 8/13; 4/7; 8/13; 13/20; 4/7; 5/8; 8/13; ; 4/7; ; 
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 29/10; 3; 3; 14/5; 27/10; 3; 57/20; 14/5; 14/5; 3; 56/19; 45/17; 27/10; 13/5; 56/19; 63/20; 14/5; 45/17; 11/4; ; 14/5; ; 
Hull; 9/2; 4; 17/4; 9/2; 9/2; 5; 5; 5; 17/4; 17/4; 4; 4; 9/2; 9/2; 9/2; 9/2; 9/2; 19/4; 9/2; 23/5; 9/2; 5; 9/2; 19/4; 17/4; ; 21/5; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-13 12:16:38 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 4/6; 4/6; 4/6; 4/7; 8/13; 13/20; 1/2; 8/13; 8/13; 8/13; 13/20; 8/13; 13/20; 4/6; 4/6; 8/13; 5/8; 8/13; 4/7; 8/13; 33/50; 4/7; 5/8; 8/13; ; 4/7; ; 
Draw; 11/4; 14/5; 14/5; 11/4; 11/4; 14/5; 3; 3; 3; 14/5; 27/10; 3; 57/20; 14/5; 3; 3; 56/19; 45/17; 27/10; 13/5; 56/19; 61/20; 14/5; 45/17; 11/4; ; 14/5; ; 
Hull; 9/2; 4; 17/4; 4; 9/2; 5; 19/4; 5; 17/4; 17/4; 4; 4; 9/2; 9/2; 4; 9/2; 9/2; 19/4; 9/2; 23/5; 9/2; 5; 9/2; 19/4; 17/4; ; 22/5; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-13 16:17:01 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 4/6; 4/6; 8/13; 4/7; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 13/20; 8/13; 13/20; 4/6; 4/6; 8/13; 5/8; 8/13; 4/7; 8/13; 33/50; 4/7; 5/8; 8/13; ; 4/7; ; 
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 3; 29/10; 3; 14/5; 27/10; 3; 57/20; 14/5; 3; 3; 56/19; 45/17; 27/10; 13/5; 56/19; 61/20; 14/5; 45/17; 11/4; ; 14/5; ; 
Hull; 9/2; 4; 17/4; 4; 9/2; 5; 19/4; 9/2; 17/4; 17/4; 4; 4; 9/2; 9/2; 4; 9/2; 9/2; 19/4; 9/2; 23/5; 9/2; 5; 24/5; 19/4; 17/4; ; 21/5; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-13 20:16:56 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 4/6; 4/6; 8/13; 4/7; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 13/20; 8/13; 13/20; 13/20; 4/6; 11/18; 5/8; 8/13; 4/7; 11/18; 33/50; 4/7; 5/8; 8/13; ; 4/7; ; 
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 3; 3; 3; 14/5; 27/10; 3; 57/20; 14/5; 3; 3; 56/19; 45/17; 3; 13/5; 56/19; 61/20; 14/5; 45/17; 14/5; ; 14/5; ; 
Hull; 9/2; 4; 17/4; 4; 9/2; 5; 19/4; 9/2; 17/4; 9/2; 4; 4; 9/2; 9/2; 17/4; 9/2; 50/11; 19/4; 4; 23/5; 50/11; 5; 24/5; 19/4; 17/4; ; 21/5; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-14 00:16:29 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 4/6; 4/6; 8/13; 4/7; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 13/20; 8/13; 13/20; 13/20; 4/6; 11/18; 5/8; 8/13; 4/7; 11/18; 33/50; 4/7; 5/8; 8/13; ; 8/13; ; 
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 3; 29/10; 3; 14/5; 27/10; 3; 57/20; 14/5; 3; 3; 3; 45/17; 3; 13/5; 3; 61/20; 14/5; 45/17; 14/5; ; 3; ; 
Hull; 9/2; 4; 17/4; 4; 9/2; 5; 19/4; 9/2; 17/4; 9/2; 4; 4; 9/2; 9/2; 17/4; 9/2; 50/11; 19/4; 4; 23/5; 50/11; 5; 24/5; 19/4; 17/4; ; 21/5; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-14 04:16:32 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 4/6; 4/6; 8/13; 4/7; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 13/20; 8/13; 13/20; 13/20; 4/6; 11/18; 5/8; 8/13; 4/7; 11/18; 33/50; 4/7; 5/8; 8/13; ; 4/7; ; 
Draw; 11/4; 14/5; 14/5; 3; 11/4; 14/5; 3; 29/10; 3; 14/5; 27/10; 3; 57/20; 14/5; 3; 3; 3; 45/17; 3; 13/5; 3; 61/20; 14/5; 45/17; 14/5; ; 14/5; ; 
Hull; 9/2; 4; 17/4; 4; 9/2; 5; 19/4; 9/2; 17/4; 9/2; 4; 4; 9/2; 9/2; 17/4; 9/2; 50/11; 19/4; 4; 23/5; 50/11; 5; 22/5; 19/4; 17/4; ; 9/2; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-14 08:16:32 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 4/6; 13/20; 8/13; 4/7; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 13/20; 8/13; 8/13; 13/20; 4/6; 8/13; 5/8; 8/13; 4/7; 8/13; 33/50; 4/7; 5/8; 8/13; ; 4/7; ; 
Draw; 11/4; 14/5; 14/5; 3; 11/4; 14/5; 3; 29/10; 3; 14/5; 27/10; 3; 57/20; 29/10; 3; 3; 29/10; 45/17; 3; 13/5; 29/10; 61/20; 14/5; 45/17; 14/5; ; 14/5; ; 
Hull; 9/2; 4; 17/4; 4; 9/2; 5; 19/4; 9/2; 17/4; 9/2; 4; 4; 9/2; 9/2; 17/4; 9/2; 50/11; 19/4; 4; 23/5; 50/11; 5; 22/5; 19/4; 17/4; ; 21/5; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-14 12:16:49 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 4/6; 13/20; 8/13; 4/7; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 13/20; 8/13; 8/13; 13/20; 4/6; 11/18; 5/8; 8/13; 4/7; 11/18; 33/50; 4/7; 5/8; 8/13; ; 4/7; ; 
Draw; 11/4; 14/5; 14/5; 3; 11/4; 14/5; 3; 29/10; 3; 14/5; 27/10; 3; 57/20; 29/10; 3; 3; 56/19; 3; 3; 3; 56/19; 61/20; 14/5; 3; 14/5; ; 14/5; ; 
Hull; 9/2; 4; 17/4; 4; 9/2; 5; 19/4; 9/2; 17/4; 9/2; 4; 4; 9/2; 9/2; 17/4; 9/2; 50/11; 19/4; 4; 23/5; 50/11; 5; 22/5; 19/4; 17/4; ; 9/2; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-14 16:16:57 GMT+2; 2016-12-17 15:00; e70300-dr003
