META; english/premier-league/west-ham-v-stoke; 2016-10-22 20:17:54 GMT+3; 2016-11-05 15:00; e70300-dr003
META; english/premier-league/west-ham-v-stoke; 2016-10-25 08:17:42 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; ; ; 6/5; 6/5; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 21/20; ; 
Draw; 12/5; ; 49/20; ; ; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 23/10; ; 
Stoke; 9/4; ; 23/10; ; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 9/4; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-25 12:18:00 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; ; ; 6/5; 6/5; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 21/20; ; 
Draw; 12/5; ; 49/20; ; ; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 23/10; ; 
Stoke; 9/4; ; 23/10; ; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 9/4; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-25 16:17:49 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; ; ; 6/5; 6/5; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 21/20; ; 
Draw; 12/5; ; 49/20; ; ; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 23/10; ; 
Stoke; 9/4; ; 23/10; ; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 9/4; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-25 20:17:53 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 6/5; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 21/20; ; 
Draw; 12/5; ; 49/20; 5/2; ; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 23/10; ; 
Stoke; 9/4; ; 23/10; 9/4; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 9/4; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-26 00:17:35 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 21/20; ; 
Draw; 12/5; ; 49/20; 5/2; ; 5/2; 13/5; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 23/10; ; 
Stoke; 9/4; ; 23/10; 9/4; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 9/4; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-26 04:17:28 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 21/20; ; 
Draw; 12/5; ; 49/20; 5/2; ; 5/2; 13/5; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 23/10; ; 
Stoke; 9/4; ; 23/10; 9/4; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 9/4; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-26 08:17:28 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 21/20; ; 
Draw; 12/5; ; 49/20; 5/2; ; 5/2; 13/5; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 23/10; ; 
Stoke; 9/4; ; 23/10; 9/4; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 9/4; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-26 12:18:01 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 11/10; ; 
Draw; 12/5; ; 49/20; 5/2; ; 5/2; 13/5; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 5/2; ; 
Stoke; 9/4; ; 23/10; 9/4; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 9/4; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 9/4; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-26 16:18:04 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 21/20; ; 
Draw; 12/5; ; 49/20; 5/2; ; 5/2; 13/5; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 13/5; ; 
Stoke; 9/4; ; 23/10; 9/4; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 9/4; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 9/4; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-26 20:17:45 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 11/10; ; 
Draw; 12/5; ; 49/20; 5/2; ; 12/5; 13/5; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 5/2; ; 
Stoke; 9/4; ; 23/10; 9/4; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 23/10; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-27 00:17:25 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 19/20; 6/5; 11/10; 11/10; ; ; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 10/9; ; 
Draw; 12/5; ; 49/20; 5/2; ; 12/5; 13/5; 12/5; 5/2; 12/5; 23/10; ; ; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 5/2; ; 
Stoke; 9/4; ; 23/10; 9/4; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; ; 23/10; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-27 04:17:30 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 10/9; ; 
Draw; 12/5; ; 49/20; 5/2; ; 12/5; 13/5; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 5/2; ; 
Stoke; 9/4; ; 23/10; 9/4; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 23/10; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-27 08:17:39 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 10/9; ; 
Draw; 12/5; ; 49/20; 5/2; ; 12/5; 13/5; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 5/2; ; 
Stoke; 9/4; ; 23/10; 9/4; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 23/10; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-27 12:18:07 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 10/9; ; 
Draw; 12/5; ; 49/20; 12/5; ; 5/2; 13/5; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 5/2; ; 
Stoke; 9/4; ; 23/10; 11/5; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 23/10; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-27 16:17:53 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 19/20; 6/5; 11/10; 11/10; ; ; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 10/9; ; 
Draw; 12/5; ; 49/20; 12/5; ; 12/5; 13/5; 12/5; 5/2; 12/5; 23/10; ; ; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 5/2; ; 
Stoke; 9/4; ; 23/10; 11/5; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; ; 23/10; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-27 20:17:51 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 11/10; ; 
Draw; 12/5; ; 49/20; 12/5; ; 12/5; 13/5; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 5/2; ; 
Stoke; 9/4; ; 23/10; 11/5; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 23/10; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 9/4; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-28 00:17:37 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 10/9; ; 
Draw; 12/5; ; 49/20; 12/5; ; 12/5; 13/5; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 5/2; ; 
Stoke; 9/4; ; 23/10; 11/5; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 23/10; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-28 04:17:36 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 10/9; ; 
Draw; 12/5; ; 49/20; 12/5; ; 5/2; 13/5; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 5/2; ; 
Stoke; 9/4; ; 23/10; 11/5; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 23/10; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-28 08:17:44 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 10/9; ; 
Draw; 12/5; ; 49/20; 12/5; ; 12/5; 13/5; 12/5; 5/2; 12/5; 23/10; ; 49/20; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 5/2; ; 
Stoke; 9/4; ; 23/10; 11/5; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 12/5; 23/10; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-28 12:18:30 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 11/10; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 10/9; ; 
Stoke; 9/4; ; 23/10; 11/5; ; 12/5; 5/2; 23/10; 12/5; 12/5; 11/5; ; 47/20; 23/10; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 9/4; ; 
Draw; 12/5; ; 49/20; 12/5; ; 12/5; 13/5; 5/2; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 13/5; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-28 16:17:32 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 11/10; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 10/9; ; 
Stoke; 9/4; ; 23/10; 11/5; ; 12/5; 5/2; 23/10; 12/5; 12/5; 11/5; ; 47/20; 23/10; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 9/4; ; 
Draw; 12/5; ; 49/20; 12/5; ; 5/2; 13/5; 5/2; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 12/5; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-28 20:18:21 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; 11/10; ; 6/5; 23/20; 11/10; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; 23/20; ; 10/9; ; 
Stoke; 9/4; ; 23/10; 11/5; 12/5; 12/5; 5/2; 23/10; 12/5; 12/5; 11/5; ; 47/20; 23/10; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; 9/4; ; 21/10; ; 
Draw; 12/5; ; 49/20; 12/5; ; 5/2; 13/5; 5/2; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; 12/5; ; 5/2; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-29 00:17:31 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 19/20; ; 1; 1; 23/20; 1; 1; 11/10; 6/5; 20/21; 11/10; ; 21/20; 1; 1; ; ; ; 11/10; ; ; ; ; 11/10; 1; ; 1; ; 
Draw; 5/2; ; 5/2; 12/5; 12/5; 13/5; 27/10; 5/2; 5/2; 5/2; 23/10; ; 5/2; 13/5; 5/2; ; ; ; 23/10; ; ; ; ; 12/5; 5/2; ; 12/5; ; 
Stoke; 14/5; ; 27/10; 13/5; 12/5; 14/5; 29/10; 23/10; 12/5; 11/4; 11/5; ; 49/20; 13/5; 11/4; ; ; ; 12/5; ; ; ; ; 27/11; 13/5; ; 13/5; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-29 04:17:29 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 19/20; ; 1; 1; 23/20; 1; 1; 11/10; 21/20; 20/21; 19/20; ; 19/20; 1; 1; ; ; ; 21/20; ; ; ; ; 19/20; 1; ; 1; ; 
Draw; 5/2; ; 5/2; 12/5; 12/5; 13/5; 27/10; 5/2; 13/5; 5/2; 12/5; ; 51/20; 13/5; 5/2; ; ; ; 40/17; ; ; ; ; 5/2; 5/2; ; 5/2; ; 
