META; english/premier-league/west-brom-v-southampton; 2017-03-30 00:25:57 GMT+3; 2017-04-08 15:00; e70300-dr003
Southampton; ; ; 11/8; ; ; ; ; 6/4; 6/4; ; ; 6/4; ; ; ; ; ; 7/5; ; ; 7/4; ; ; ; ; ; ; ; 
West Brom; ; ; 7/4; ; ; ; ; 7/4; 15/8; ; ; 9/5; ; ; ; ; ; 24/13; ; ; 9/5; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 11/5; 12/5; ; ; 23/10; ; ; ; ; ; 23/10; ; ; 47/20; ; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-southampton; 2017-04-01 20:16:36 GMT+3; 2017-04-08 15:00; e70300-dr003
Southampton; ; ; 11/8; ; ; 29/20; 13/8; 6/4; 6/4; ; ; 31/20; ; ; ; 8/5; 6/4; 7/5; ; 6/4; 33/20; ; ; ; ; ; 17/10; ; 
Southampton; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 13/8; 6/4; 6/4; 6/4; 6/4; 6/4; 29/20; 8/5; 6/4; 17/11; 6/4; 7/5; 6/4; 6/4; 13/8; 22/15; 6/4; 7/5; 6/4; ; 6/4; ; 6/4
West Brom; 19/10; 19/10; 2; 19/10; 19/10; 2; 19/10; 19/10; 2; 19/10; 15/8; 2; 39/20; 2; 19/10; 2; 2; 19/10; 2; 2; 2; 37/19; 2; 15/8; 2; ; 19/10; ; 2
Draw; 9/4; 11/5; 43/20; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 21/10; 2; 21/10; 11/5; 9/4; 9/4; 23/10; 11/5; 11/5; 9/4; 11/5; 23/10; 9/4; 9/4; 11/5; 9/4; ; 21/10; ; 9/4
META; english/premier-league/west-brom-v-southampton; 2017-04-06 11:16:40 GMT+3; 2017-04-08 15:00; e70300-dr003
Southampton; 7/5; 6/4; 6/4; 6/4; 6/4; 6/4; 13/8; 6/4; 6/4; 7/5; 29/20; 6/4; 29/20; 6/4; 6/4; 17/11; 16/11; 7/5; 7/5; 16/11; 13/8; 24/17; 16/11; 7/5; 6/4; ; 6/4; 27/20; 6/4
West Brom; 19/10; 19/10; 41/20; 19/10; 19/10; 41/20; 19/10; 19/10; 2; 2; 19/10; 2; 2; 21/10; 19/10; 2; 21/10; 19/10; 21/10; 21/10; 2; 39/19; 21/10; 2; 28/13; ; 19/10; 15/8; 21/10
Draw; 9/4; 11/5; 43/20; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 21/10; 2; 21/10; 11/5; 21/10; 9/4; 23/10; 11/5; 11/5; 11/5; 11/5; 23/10; 9/4; 11/5; 21/10; 9/4; ; 21/10; 19/10; 9/4
META; english/premier-league/west-brom-v-southampton; 2017-04-06 16:01:16 GMT+3; 2017-04-08 15:00; e70300-dr003
Southampton; 11/8; 7/5; 6/4; 6/4; 6/4; 29/20; 31/20; 6/4; 6/4; 11/8; 6/4; 29/20; 29/20; 29/20; 7/5; 6/4; 7/5; 7/5; 7/5; 7/5; 31/20; 13/9; 16/11; 11/8; 6/4; ; 7/5; 7/5; 7/5
West Brom; 2; 2; 43/20; 19/10; 2; 43/20; 19/10; 19/10; 2; 2; 19/10; 2; 21/10; 11/5; 21/10; 2; 28/13; 19/10; 21/10; 28/13; 21/10; 21/10; 21/10; 21/10; 28/13; ; 2; 2; 9/4
Draw; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 23/10; 23/10; 9/4; 21/10; 11/5; 21/10; 11/5; 11/5; 9/4; 23/10; 11/5; 11/5; 11/5; 11/5; 23/10; 11/5; 11/5; 21/10; 9/4; ; 21/10; 21/10; 9/4
META; english/premier-league/west-brom-v-southampton; 2017-04-06 20:01:58 GMT+3; 2017-04-08 15:00; e70300-dr003
Southampton; 11/8; 7/5; 6/4; 6/4; 6/4; 29/20; 31/20; 6/4; 6/4; 7/5; 6/4; 29/20; 29/20; 6/4; 7/5; 6/4; 16/11; 7/5; 7/5; 16/11; 38/25; 13/9; 16/11; 7/5; 6/4; ; ; 7/5; 7/5
West Brom; 2; 2; 43/20; 19/10; 2; 21/10; 19/10; 19/10; 2; 2; 19/10; 2; 21/10; 21/10; 21/10; 2; 39/19; 19/10; 21/10; 39/19; 109/50; 11/5; 21/10; 2; 28/13; ; ; 2; 11/5
Draw; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 23/10; 23/10; 9/4; 21/10; 11/5; 21/10; 11/5; 23/10; 9/4; 9/4; 11/5; 11/5; 11/5; 11/5; 23/10; 28/13; 11/5; 21/10; 9/4; ; ; 21/10; 9/4
META; english/premier-league/west-brom-v-southampton; 2017-04-07 13:03:09 GMT+3; 2017-04-08 15:00; e70300-dr003
Southampton; 6/4; 7/5; 6/4; 8/5; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 6/4; 29/20; 29/20; 8/5; 31/20; 6/4; 6/4; 16/11; 7/5; 6/4; 153/100; 13/9; 16/11; 6/4; 6/4; ; ; 6/4; 7/5
West Brom; 21/10; 2; 21/10; 9/5; 2; 21/10; 19/10; 19/10; 2; 19/10; 19/10; 2; 21/10; 21/10; 2; 2; 2; 37/19; 21/10; 2; 43/20; 21/10; 21/10; 2; 28/13; ; ; 2; 21/10
Draw; 23/10; 11/5; 11/5; 21/10; 9/4; 9/4; 23/10; 23/10; 9/4; 11/5; 11/5; 21/10; 11/5; 23/10; 9/4; 9/4; 9/4; 23/10; 11/5; 9/4; 23/10; 11/5; 11/5; 9/4; 9/4; ; ; 21/10; 9/4
