West Ham; ; ; 9/4; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-24 20:16:36 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 23/20; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 9/4; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-25 00:16:31 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 23/20; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 9/4; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-25 04:16:35 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 23/20; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 9/4; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-25 08:16:30 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 23/20; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
