META; english/premier-league/arsenal-v-west-ham; 2017-03-22 12:29:05 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; 4/11; 4/9; 2/5; 2/5; 2/5; 1/3; 2/5; 4/11; 4/9; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 7/19; 10/29; 1/3; 7/19; 21/50; 7/17; 6/17; ; 6/17; ; ; ; 
Draw; 4; 18/5; 15/4; 15/4; 4; 4; 4; 10/3; 4; 15/4; 18/5; 7/2; 4; 4; 17/4; 7/2; 41/10; 4; 4; 41/10; 41/10; 4; 4; ; 4; ; ; ; 
West Ham; 13/2; 11/2; 13/2; 6; 13/2; 8; 7; 8; 6; 13/2; 6; 13/2; 7; 7; 6; 13/2; 7; 7; 36/5; 7; 15/2; 6; 73/10; ; 73/10; ; ; ; 
META; english/premier-league/arsenal-v-west-ham; 2017-03-23 13:19:54 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; 4/11; 4/9; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 4/9; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 7/19; 10/29; 1/3; 7/19; 21/50; 7/17; 6/17; ; 6/17; ; ; ; 
Draw; 4; 18/5; 15/4; 15/4; 4; 4; 4; 10/3; 4; 15/4; 18/5; 7/2; 4; 4; 17/4; 7/2; 41/10; 4; 4; 41/10; 43/10; 4; 4; ; 4; ; ; ; 
West Ham; 13/2; 11/2; 13/2; 6; 13/2; 7; 7; 8; 6; 13/2; 6; 13/2; 7; 7; 6; 13/2; 7; 7; 36/5; 7; 71/10; 6; 73/10; ; 73/10; ; ; ; 
META; english/premier-league/arsenal-v-west-ham; 2017-03-23 16:16:10 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; 4/11; 4/9; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 4/9; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 7/19; 10/29; 1/3; 7/19; 21/50; 7/17; 6/17; ; 6/17; ; ; ; 
Draw; 4; 18/5; 15/4; 15/4; 4; 4; 4; 10/3; 4; 15/4; 18/5; 7/2; 4; 4; 17/4; 7/2; 41/10; 4; 4; 41/10; 43/10; 4; 4; ; 4; ; ; ; 
West Ham; 13/2; 11/2; 13/2; 6; 13/2; 7; 7; 8; 6; 13/2; 6; 13/2; 7; 7; 6; 13/2; 7; 7; 36/5; 7; 71/10; 6; 73/10; ; 73/10; ; ; ; 
META; english/premier-league/arsenal-v-west-ham; 2017-03-23 20:16:23 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; 4/11; 4/9; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 4/9; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 4/11; 10/29; 1/3; 4/11; 21/50; 7/17; 6/17; ; 6/17; ; ; ; 
