Southampton; 11/10; 21/20; ; 23/20; 23/20; 23/20; 23/20; ; ; 11/10; ; ; 11/10; ; 11/10; 15/13; 21/20; 21/20; 11/10; 21/20; 21/20; 6/5; 11/10; 21/20; 11/10; ; 1; ; 
Draw; 12/5; 23/10; ; 11/5; 12/5; 12/5; 23/10; ; ; 11/5; ; ; 9/4; ; 9/4; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; ; 21/10; ; 
Burnley; 12/5; 13/5; ; 13/5; 11/4; 13/5; 14/5; ; ; 13/5; ; ; 27/10; ; 11/4; 11/4; 13/5; 11/4; 23/10; 11/4; 13/5; 11/4; 13/5; 11/4; 12/5; ; 2; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-02 20:16:20 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 21/20; ; 23/20; 23/20; 23/20; 23/20; ; ; 11/10; ; ; 11/10; 23/20; 11/10; 15/13; 15/13; 21/20; 11/10; 21/20; 15/13; 6/5; 11/10; 21/20; 11/10; ; 21/20; ; 
Draw; 12/5; 23/10; ; 11/5; 5/2; 12/5; 23/10; ; ; 11/5; ; ; 9/4; 13/5; 9/4; 5/2; 40/17; 23/10; 12/5; 23/10; 40/17; 12/5; 23/10; 23/10; 23/10; ; 12/5; ; 
Burnley; 12/5; 13/5; ; 13/5; 13/5; 13/5; 14/5; ; ; 13/5; ; ; 13/5; 12/5; 11/4; 13/5; 40/17; 11/4; 23/10; 11/4; 40/17; 11/4; 13/5; 11/4; 12/5; ; 11/5; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-03 00:16:11 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 21/20; ; 23/20; 23/20; 23/20; 23/20; ; ; 11/10; ; ; 11/10; 23/20; 11/10; 15/13; 15/13; 21/20; 11/10; 21/20; 15/13; 6/5; 11/10; 21/20; 11/10; ; 10/9; ; 
Draw; 12/5; 23/10; ; 11/5; 5/2; 12/5; 23/10; ; ; 11/5; ; ; 9/4; 13/5; 9/4; 5/2; 40/17; 23/10; 12/5; 23/10; 40/17; 12/5; 23/10; 23/10; 23/10; ; 12/5; ; 
Burnley; 12/5; 13/5; ; 13/5; 13/5; 13/5; 14/5; ; ; 13/5; ; ; 13/5; 12/5; 11/4; 13/5; 23/10; 11/4; 23/10; 11/4; 23/10; 11/4; 13/5; 11/4; 12/5; ; 23/10; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-03 04:16:10 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 21/20; ; 23/20; 23/20; 23/20; 23/20; ; ; 11/10; ; ; 11/10; 23/20; 11/10; 15/13; 11/10; 21/20; 11/10; 21/20; 11/10; 6/5; 11/10; 21/20; 11/10; ; 10/9; ; 
Draw; 12/5; 23/10; ; 11/5; 5/2; 12/5; 23/10; ; ; 11/5; ; ; 9/4; 13/5; 9/4; 12/5; 9/4; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; ; 12/5; ; 
Burnley; 12/5; 13/5; ; 13/5; 13/5; 13/5; 14/5; ; ; 13/5; ; ; 13/5; 12/5; 11/4; 11/4; 28/11; 11/4; 23/10; 11/4; 28/11; 11/4; 13/5; 11/4; 12/5; ; 23/10; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-03 08:16:16 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 21/20; ; 23/20; 23/20; 23/20; 23/20; ; ; 11/10; ; ; 11/10; 23/20; 11/10; 15/13; 11/10; 21/20; 11/10; 21/20; 11/10; 6/5; 11/10; 21/20; 11/10; ; 10/9; ; 
Draw; 12/5; 23/10; ; 11/5; 5/2; 12/5; 23/10; ; ; 11/5; ; ; 9/4; 13/5; 9/4; 12/5; 9/4; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; ; 12/5; ; 
Burnley; 12/5; 13/5; ; 13/5; 13/5; 13/5; 14/5; ; ; 13/5; ; ; 13/5; 12/5; 11/4; 11/4; 28/11; 11/4; 23/10; 11/4; 28/11; 11/4; 13/5; 11/4; 12/5; ; 23/10; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-03 12:16:11 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 21/20; ; 23/20; 23/20; 23/20; 23/20; ; ; 11/10; ; 23/20; 11/10; 23/20; 11/10; 15/13; 11/10; 21/20; 11/10; 21/20; 11/10; 59/50; 11/10; 21/20; 11/10; ; 23/20; ; 
Draw; 12/5; 23/10; ; 11/5; 5/2; 12/5; 23/10; ; ; 11/5; ; 11/5; 9/4; 13/5; 9/4; 12/5; 9/4; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; ; 12/5; ; 
Burnley; 12/5; 13/5; ; 13/5; 13/5; 13/5; 14/5; ; ; 13/5; ; 5/2; 13/5; 12/5; 11/4; 11/4; 28/11; 11/4; 23/10; 11/4; 28/11; 14/5; 13/5; 11/4; 12/5; ; 12/5; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-03 16:16:27 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 21/20; 6/5; 23/20; 23/20; 23/20; 6/5; ; 11/10; 11/10; ; 23/20; 11/10; 23/20; 11/10; 6/5; 11/10; 21/20; 11/10; 21/20; 11/10; 59/50; 11/10; 21/20; 11/10; ; 10/9; ; 
Draw; 12/5; 23/10; 43/20; 11/5; 5/2; 12/5; 23/10; ; 23/10; 11/5; ; 11/5; 23/10; 13/5; 9/4; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; ; 12/5; ; 
