Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-26 16:16:35 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-26 20:16:44 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-27 00:16:41 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-27 04:16:39 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-27 08:16:34 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-27 12:16:37 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-27 16:17:50 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-27 20:17:51 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-28 00:17:04 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-28 04:17:04 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-28 08:17:01 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-28 12:17:11 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-28 16:17:16 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; 11/10; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; 13/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-28 20:17:24 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 6/5; 21/20; 11/10; ; 23/20; ; ; ; ; ; 6/5; ; 15/13; ; 11/10; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5/2; 23/10; 5/2; ; 5/2; ; ; ; ; ; 5/2; ; 11/5; ; 23/10; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; 5/2; 12/5; 12/5; ; 9/4; ; ; ; ; ; 13/5; ; 12/5; ; 27/11; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-29 00:17:04 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; ; 6/5; 21/20; 11/10; 11/10; 11/10; ; ; ; ; ; 6/5; 11/10; 15/13; 11/10; 15/13; 8/7; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 12/5; 23/10; 5/2; 40/17; 12/5; ; ; ; ; ; 5/2; 40/17; 11/5; 23/10; 40/17; 5/2; ; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; ; 13/5; 12/5; 12/5; 5/2; 23/10; ; ; ; ; ; 13/5; 5/2; 12/5; 5/2; 40/17; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-29 04:16:55 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; ; 6/5; 21/20; 11/10; 11/10; 11/10; ; ; ; ; ; 6/5; 11/10; 15/13; 11/10; 15/13; 8/7; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 12/5; 23/10; 5/2; 40/17; 12/5; ; ; ; ; ; 5/2; 40/17; 11/5; 23/10; 40/17; 5/2; ; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; ; 13/5; 12/5; 12/5; 5/2; 23/10; ; ; ; ; ; 13/5; 5/2; 12/5; 5/2; 40/17; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-29 08:16:54 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; ; 6/5; 21/20; 11/10; 11/10; 11/10; ; ; ; ; ; 6/5; 11/10; 15/13; 11/10; 15/13; 8/7; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 12/5; 23/10; 5/2; 40/17; 12/5; ; ; ; ; ; 5/2; 40/17; 11/5; 23/10; 40/17; 5/2; ; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; ; 13/5; 12/5; 12/5; 5/2; 23/10; ; ; ; ; ; 13/5; 5/2; 12/5; 5/2; 40/17; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-29 12:17:03 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; ; ; ; ; ; 11/10; 11/10; 15/13; 11/10; 15/13; 13/11; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; ; ; ; ; ; 23/10; 40/17; 11/5; 23/10; 40/17; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; ; ; ; ; ; 12/5; 5/2; 12/5; 5/2; 23/10; 27/10; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-29 16:16:59 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; ; ; ; ; 6/5; 11/10; 11/10; 15/13; 11/10; 15/13; 13/11; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 23/10; ; ; ; ; 12/5; 23/10; 40/17; 11/5; 23/10; 40/17; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; ; ; ; ; 23/10; 12/5; 5/2; 12/5; 5/2; 40/17; 27/10; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-29 20:17:17 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; ; ; ; ; 6/5; 1; 11/10; 15/13; 11/10; 11/10; 13/11; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 23/10; ; ; ; ; 12/5; 11/5; 40/17; 11/5; 23/10; 40/17; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; ; ; ; ; 23/10; 11/5; 5/2; 12/5; 5/2; 12/5; 27/10; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-30 00:16:54 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; ; ; ; ; 6/5; 1; 11/10; 15/13; 11/10; 11/10; 13/11; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 23/10; ; ; ; ; 12/5; 11/5; 40/17; 11/5; 23/10; 40/17; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; ; ; ; ; 23/10; 11/5; 5/2; 12/5; 5/2; 12/5; 27/10; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-30 04:17:01 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; ; ; ; ; 6/5; 1; 11/10; 15/13; 11/10; 11/10; 13/11; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 23/10; ; ; ; ; 12/5; 11/5; 40/17; 11/5; 23/10; 40/17; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; ; ; ; ; 23/10; 11/5; 5/2; 12/5; 5/2; 12/5; 27/10; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-30 08:17:00 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; ; ; ; ; 6/5; 1; 11/10; 15/13; 11/10; 11/10; ; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 23/10; ; ; ; ; 12/5; 11/5; 40/17; 11/5; 23/10; 40/17; ; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; ; ; ; ; 23/10; 11/5; 5/2; 12/5; 5/2; 12/5; ; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-30 12:17:12 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; ; ; ; ; 6/5; 1; 11/10; 15/13; 11/10; 11/10; ; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; ; ; ; ; 12/5; 11/5; 40/17; 11/5; 23/10; 40/17; ; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; ; ; ; ; 23/10; 11/5; 5/2; 12/5; 5/2; 12/5; ; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-30 16:17:14 GMT+3; 2016-09-16 20:00; e70300-dr003
