META; english/premier-league/man-utd-v-arsenal; 2016-10-25 20:18:13 GMT+3; 2016-11-19 12:30; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-27 04:17:46 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 22/15; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 24/11; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-27 08:18:00 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 22/15; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 24/11; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-27 12:18:27 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 22/15; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 24/11; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-27 16:18:09 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 22/15; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 24/11; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-27 20:18:16 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 22/15; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 24/11; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-28 00:17:56 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 22/15; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 24/11; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-28 04:17:53 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 22/15; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 24/11; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-28 08:18:01 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 22/15; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 24/11; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-28 12:18:51 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 22/15; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 24/11; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-28 16:17:48 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 22/15; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 24/11; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-28 20:18:47 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 22/15; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; 2; ; ; 24/11; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-29 00:17:48 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 16/11; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; 2; ; ; 9/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 40/17; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-29 04:17:46 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 16/11; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; 2; ; ; 9/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 40/17; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-29 08:17:58 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 16/11; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; 2; ; ; 9/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 40/17; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-29 12:17:57 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 16/11; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; 2; ; ; 9/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 40/17; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-29 16:18:04 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 6/5; 7/5; ; ; ; ; ; ; ; ; ; 23/17; ; ; 16/11; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; 11/5; 11/5; ; ; ; ; ; ; ; ; ; 2; ; ; 9/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; ; 11/5; ; ; 40/17; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-29 20:17:39 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 6/5; 7/5; ; ; ; ; ; ; ; ; ; 23/17; ; ; 16/11; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; 11/5; 11/5; ; ; ; ; ; ; ; ; ; 2; ; ; 9/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; ; 11/5; ; ; 40/17; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-30 00:17:32 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 6/5; 7/5; ; ; ; ; ; ; ; ; ; 23/17; ; ; 16/11; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; 11/5; 11/5; ; ; ; ; ; ; ; ; ; 2; ; ; 9/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; ; 11/5; ; ; 40/17; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-30 04:18:24 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 6/5; 7/5; ; ; ; ; ; ; ; ; ; 23/17; ; ; 16/11; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; 11/5; 11/5; ; ; ; ; ; ; ; ; ; 2; ; ; 9/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; ; 11/5; ; ; 40/17; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-30 08:17:54 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 6/5; 7/5; ; ; ; ; ; ; ; ; ; 23/17; ; ; 16/11; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; 11/5; 11/5; ; ; ; ; ; ; ; ; ; 2; ; ; 9/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; ; 11/5; ; ; 40/17; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-30 12:18:12 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 6/5; 7/5; ; ; ; ; ; ; ; ; ; 23/17; ; ; 16/11; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; 11/5; 11/5; ; ; ; ; ; ; ; ; ; 2; ; ; 9/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; ; 11/5; ; ; 40/17; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-30 16:17:55 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 6/5; 7/5; ; ; ; ; ; ; ; ; ; 23/17; ; ; 16/11; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; 11/5; 11/5; ; ; ; ; ; ; ; ; ; 2; ; ; 9/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; ; 11/5; ; ; 40/17; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-30 20:18:14 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; 9/5; 6/5; 13/8; 13/8; 13/8; ; ; ; 9/5; 17/11; 13/10; ; 23/17; ; 13/10; 8/5; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; 13/8; 11/5; 15/8; 6/4; 6/4; ; ; ; 6/4; 2; 28/13; ; 2; ; 28/13; 57/29; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 12/5; 11/5; 12/5; 12/5; 9/4; ; ; ; 12/5; 12/5; 9/4; ; 11/5; ; 9/4; 12/5; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-31 00:17:49 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; 15/8; 5/4; 9/5; 17/10; 33/20; ; ; ; 2; 9/5; 8/5; 8/5; 8/5; 8/5; 8/5; 15/8; ; 8/5; ; ; ; ; 
Arsenal; ; ; ; ; ; ; 8/5; 21/10; 8/5; 6/4; 29/20; ; ; ; 7/5; 8/5; 28/17; 8/5; 28/17; 8/5; 28/17; 32/19; ; 8/5; ; ; ; ; 
Draw; ; ; ; ; ; ; 12/5; 11/5; 12/5; 12/5; 9/4; ; ; ; 23/10; 5/2; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; ; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-31 04:17:29 GMT+3; 2016-11-19 12:30; e70300-dr003
Arsenal; 8/5; ; ; ; ; ; 8/5; 13/8; 8/5; 6/4; 29/20; ; ; ; 8/5; 8/5; 8/5; 8/5; 28/17; 8/5; 8/5; 32/19; ; 8/5; ; ; ; ; 
Man Utd; 17/10; ; ; ; ; ; 15/8; 6/4; 9/5; 17/10; 33/20; ; ; ; 9/5; 9/5; 28/17; 8/5; 8/5; 8/5; 28/17; 15/8; ; 8/5; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 12/5; 9/4; 12/5; 12/5; 9/4; ; ; ; 11/5; 5/2; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; ; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-31 08:17:28 GMT+3; 2016-11-19 12:30; e70300-dr003
Arsenal; 8/5; ; ; ; ; ; 8/5; 13/8; 8/5; 6/4; 29/20; ; ; ; 8/5; 8/5; 8/5; 8/5; 28/17; 8/5; 8/5; 32/19; ; 8/5; ; ; ; ; 
Man Utd; 17/10; ; ; ; ; ; 15/8; 6/4; 9/5; 17/10; 33/20; ; ; ; 9/5; 9/5; 28/17; 8/5; 8/5; 8/5; 28/17; 15/8; ; 8/5; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 12/5; 9/4; 12/5; 12/5; 9/4; ; ; ; 11/5; 5/2; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; ; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-31 12:17:38 GMT+3; 2016-11-19 12:30; e70300-dr003
Arsenal; 17/10; ; ; ; ; ; 7/4; 13/8; 13/8; 17/10; 8/5; ; ; ; 17/10; 7/4; 8/5; 8/5; 28/17; 8/5; 8/5; 7/4; 31/18; 8/5; ; ; ; ; 
Man Utd; 6/4; ; ; ; ; ; 13/8; 6/4; 13/8; 8/5; 31/20; ; ; ; 13/8; 7/4; 28/17; 8/5; 8/5; 8/5; 28/17; 7/4; 11/7; 8/5; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 5/2; 9/4; 12/5; 23/10; 9/4; ; ; ; 12/5; 5/2; 23/10; 12/5; 9/4; 12/5; 23/10; 27/11; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-31 16:17:44 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; ; ; 6/4; 13/8; 6/4; 13/8; 8/5; 31/20; ; ; ; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 17/10; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 33/20; ; ; 17/10; 7/4; 13/8; 13/8; 13/8; 8/5; ; ; ; 17/10; 7/4; 28/17; 8/5; 28/17; 8/5; 28/17; 9/5; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 9/4; 12/5; 23/10; 9/4; ; ; ; 12/5; 12/5; 23/10; 12/5; 9/4; 12/5; 23/10; 52/21; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-31 20:18:02 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; ; ; 6/4; 13/8; 6/4; 13/8; 8/5; 31/20; ; ; ; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 17/10; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 33/20; ; ; 17/10; 7/4; 13/8; 13/8; 13/8; 8/5; ; ; ; 17/10; 7/4; 28/17; 8/5; 28/17; 8/5; 28/17; 9/5; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 9/4; 12/5; 23/10; 9/4; ; ; ; 12/5; 12/5; 23/10; 12/5; 9/4; 12/5; 23/10; 52/21; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-01 00:17:41 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; ; ; 6/4; 13/8; 6/4; 13/8; 13/8; 31/20; ; ; ; 13/8; 8/5; 28/17; 8/5; 8/5; 8/5; 28/17; 17/10; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 33/20; ; ; 17/10; 7/4; 13/8; 13/8; 13/8; 8/5; ; ; ; 17/10; 7/4; 28/17; 8/5; 28/17; 8/5; 28/17; 9/5; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 9/4; 12/5; 23/10; 9/4; ; ; ; 12/5; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 52/21; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-01 04:17:30 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; ; ; 6/4; 13/8; 6/4; 13/8; 13/8; 31/20; ; ; ; 13/8; 8/5; 28/17; 8/5; 8/5; 8/5; 28/17; 17/10; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 33/20; ; ; 17/10; 7/4; 13/8; 13/8; 13/8; 8/5; ; ; ; 17/10; 7/4; 28/17; 8/5; 28/17; 8/5; 28/17; 9/5; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 9/4; 12/5; 23/10; 9/4; ; ; ; 12/5; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 52/21; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-01 08:17:40 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; ; ; 6/4; 13/8; 6/4; 13/8; 13/8; 31/20; ; ; ; 13/8; 8/5; 28/17; 8/5; 8/5; 8/5; 28/17; 17/10; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 33/20; ; ; 17/10; 7/4; 13/8; 13/8; 13/8; 8/5; ; ; ; 17/10; 7/4; 28/17; 8/5; 28/17; 8/5; 28/17; 9/5; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 9/4; 12/5; 23/10; 9/4; ; ; ; 12/5; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 52/21; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-01 12:17:45 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; ; ; 6/4; 13/8; 6/4; 13/8; 13/8; 31/20; ; ; ; 13/8; 8/5; 28/17; 8/5; 8/5; 8/5; 28/17; 17/10; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 33/20; ; ; 17/10; 7/4; 13/8; 13/8; 13/8; 8/5; ; ; ; 17/10; 7/4; 28/17; 8/5; 28/17; 8/5; 28/17; 9/5; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 9/4; 12/5; 23/10; 9/4; ; ; ; 12/5; 12/5; 11/5; 12/5; 9/4; 12/5; 11/5; 52/21; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-01 16:18:38 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; ; ; 6/4; 13/8; 6/4; 13/8; 13/8; 31/20; ; ; ; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 17/10; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 33/20; ; ; 17/10; 7/4; 13/8; 13/8; 13/8; 8/5; ; ; ; 17/10; 7/4; 28/17; 8/5; 28/17; 8/5; 28/17; 9/5; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 9/4; 12/5; 23/10; 9/4; ; ; ; 12/5; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 52/21; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-01 20:17:49 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; ; ; 6/4; 13/8; 6/4; 13/8; 13/8; 6/4; ; ; ; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 17/10; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 33/20; ; ; 17/10; 7/4; 13/8; 13/8; 13/8; 8/5; ; ; ; 17/10; 7/4; 28/17; 8/5; 28/17; 8/5; 28/17; 9/5; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 9/4; 12/5; 23/10; 9/4; ; ; ; 12/5; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 52/21; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-02 00:18:17 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; ; ; 6/4; 13/8; 6/4; 13/8; 6/4; 6/4; ; ; ; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 17/10; ; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 33/20; ; ; 17/10; 7/4; 13/8; 13/8; 7/4; 8/5; ; ; ; 17/10; 7/4; 28/17; 8/5; 28/17; 8/5; 28/17; 9/5; ; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 9/4; 12/5; 9/4; 9/4; ; ; ; 12/5; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 52/21; ; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-02 04:17:29 GMT+3; 2016-11-19 12:30; e70300-dr003
