META; english/premier-league/chelsea-v-crystal-palace; 2017-03-06 00:16:34 GMT+2; 2017-04-01 15:00; e70300-dr003
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-07 00:16:35 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-07 04:16:35 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-07 08:16:32 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-07 12:16:35 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-07 16:16:37 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-07 20:16:35 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-08 00:16:30 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-08 04:16:31 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-08 08:16:37 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-08 12:16:40 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-08 20:16:21 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-09 00:16:17 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-09 04:16:14 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-09 08:16:16 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-09 12:16:17 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-09 16:16:16 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-09 20:16:12 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-10 00:16:16 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-10 04:15:57 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-10 08:16:03 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-10 12:16:00 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-10 16:15:59 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-10 20:16:15 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-11 00:16:26 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-11 04:16:17 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-11 08:16:22 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-11 12:16:20 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-11 16:16:18 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-11 20:16:14 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-12 00:16:09 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-12 04:16:15 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-12 08:16:09 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-12 12:16:10 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-12 16:16:07 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-12 20:16:07 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 3/10; ; ; ; ; ; ; 1/4; 3/16; 2/9; ; 2/9; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 19/4; ; ; ; ; ; ; 11/2; 54/13; 5; ; 19/5; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 10; ; ; ; ; ; ; 12; 15/2; 11; ; 7; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-13 00:16:08 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; ; 2/9; ; 2/9; ; 1/4; 1/5; 3/10; ; ; ; ; ; ; 1/4; 1/4; 2/9; 1/4; 1/4; 27/100; ; 1/4; ; ; ; ; 
Draw; 5; ; 9/2; ; 5; ; 21/4; 9/2; 19/4; ; ; ; ; ; ; 5; 23/5; 5; 9/2; 23/5; 26/5; ; 9/2; ; ; ; ; 
Crystal Palace; 12; ; 12; ; 12; ; 14; 14; 10; ; ; ; ; ; ; 12; 11; 11; 12; 11; 14; ; 12; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-13 04:16:05 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; ; 2/9; ; 2/9; ; 1/4; 1/5; 3/10; 1/4; 1/4; ; ; ; ; 1/4; 1/4; 2/9; 1/4; 1/4; 27/100; ; 1/4; ; ; ; ; 
Draw; 5; ; 9/2; ; 5; ; 5; 9/2; 19/4; 9/2; 17/4; ; ; ; ; 5; 9/2; 5; 9/2; 9/2; 26/5; ; 9/2; ; ; ; ; 
Crystal Palace; 12; ; 12; ; 12; ; 14; 14; 10; 11; 11; ; ; ; ; 12; 43/4; 11; 12; 43/4; 14; ; 12; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-13 08:16:06 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; ; 2/9; ; 2/9; ; 1/4; 1/5; 3/10; 1/4; 1/4; ; ; ; ; 1/4; 1/4; 2/9; 1/4; 1/4; 27/100; ; 1/4; ; ; ; ; 
Draw; 5; ; 9/2; ; 5; ; 5; 9/2; 19/4; 9/2; 17/4; ; ; ; ; 5; 9/2; 5; 9/2; 9/2; 26/5; ; 9/2; ; ; ; ; 
Crystal Palace; 12; ; 12; ; 12; ; 14; 14; 10; 11; 11; ; ; ; ; 12; 43/4; 11; 12; 43/4; 14; ; 12; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-13 12:16:16 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; ; 2/7; ; 1/4; ; 1/4; 1/5; 3/10; 1/4; 1/4; ; ; ; 2/7; 1/4; 1/4; 2/9; 1/4; 1/4; 13/50; 1/4; 1/4; ; ; ; ; 
Draw; 5; ; 9/2; ; 11/2; ; 21/4; 9/2; 19/4; 9/2; 17/4; ; ; ; 19/4; 5; 23/5; 5; 9/2; 23/5; 11/2; 5; 9/2; ; ; ; ; 
Crystal Palace; 12; ; 11; ; 14; ; 14; 14; 11; 11; 11; ; ; ; 10; 12; 11; 11; 12; 11; 14; 11; 12; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-13 16:17:02 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; ; 1/4; ; 2/9; ; 1/4; 1/5; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/9; 3/13; 2/9; 1/4; 3/13; 13/50; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; ; 9/2; ; 5; ; 5; 9/2; 19/4; 9/2; 17/4; ; ; ; 19/4; 5; 47/10; 5; 9/2; 47/10; 11/2; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; ; 11; ; 14; ; 14; 14; 11; 12; 11; ; ; ; 10; 14; 12; 11; 12; 12; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-13 20:16:13 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; ; 1/4; ; 2/9; ; 1/4; 1/5; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/9; 3/13; 2/9; 1/4; 3/13; 13/50; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; ; 9/2; ; 5; ; 5; 9/2; 19/4; 9/2; 17/4; ; ; ; 19/4; 5; 19/4; 5; 9/2; 19/4; 11/2; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; ; 11; ; 14; ; 14; 14; 11; 12; 11; ; ; ; 10; 14; 12; 11; 12; 12; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-14 00:16:07 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; ; 1/4; ; ; ; 1/4; 1/5; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/9; 3/13; 2/9; 1/4; 3/13; 13/50; ; 1/4; ; 1/4; ; ; ; 
Draw; 5; ; 9/2; ; ; ; 5; 9/2; 19/4; 9/2; 17/4; ; ; ; 19/4; 5; 19/4; 5; 9/2; 19/4; 11/2; ; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; ; 11; ; ; ; 14; 14; 11; 12; 11; ; ; ; 10; 14; 12; 11; 12; 12; 14; ; 12; ; 12; ; ; ; 
