West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 10; 10; 10; ; ; ; 19/2; 11; 39/4; 10; 13; 10; ; 12; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-05 20:17:51 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/7; 4/17; 3/10; 1/5; 3/10; ; 2/7; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 4; 19/4; 17/4; ; ; ; 19/4; 5; 49/10; 4; 5; 4; ; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 10; 10; 10; ; ; ; 19/2; 11; 10; 10; 13; 10; ; 12; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-06 00:17:23 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/7; 4/17; 3/10; 1/5; 3/10; 4/17; 2/7; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 4; 19/4; 17/4; ; ; ; 19/4; 5; 49/10; 4; 5; 4; 49/10; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 10; 10; 10; ; ; ; 19/2; 11; 10; 10; 13; 10; 10; 12; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-06 04:17:22 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/7; 4/17; 3/10; 1/5; 3/10; 4/17; 2/7; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 4; 19/4; 17/4; ; ; ; 19/4; 5; 49/10; 4; 5; 4; 49/10; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 10; 10; 10; ; ; ; 19/2; 11; 10; 10; 13; 10; 10; 12; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-06 08:17:17 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/7; 4/17; 3/10; 1/5; 3/10; 4/17; 2/7; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 4; 19/4; 17/4; ; ; ; 19/4; 5; 49/10; 4; 5; 4; 49/10; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 10; 10; 10; ; ; ; 19/2; 11; 10; 10; 13; 10; 10; 12; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-06 12:17:22 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/7; 1/4; 3/10; 1/5; 3/10; 1/4; 2/7; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 4; 19/4; 17/4; ; ; ; 19/4; 5; 63/13; 4; 5; 4; 63/13; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 10; 10; 10; ; ; ; 19/2; 11; 39/4; 10; 13; 10; 39/4; 12; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-06 16:17:31 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/7; 1/4; 3/10; 1/5; 3/10; 1/4; 2/7; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 4; 19/4; 17/4; ; ; ; 19/4; 5; 24/5; 4; 5; 4; 24/5; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 10; 10; 10; ; ; ; 19/2; 11; 39/4; 10; 13; 10; 39/4; 12; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-06 20:17:57 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/7; 3/11; 3/10; 1/5; 3/10; 3/11; 2/7; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 4; 19/4; 17/4; ; ; ; 19/4; 5; 23/5; 4; 5; 4; 23/5; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 10; 10; 10; ; ; ; 19/2; 11; 9; 10; 13; 10; 9; 12; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-07 00:17:26 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/7; 1/4; 3/10; 1/5; 3/10; 1/4; 2/7; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 4; 19/4; 17/4; ; ; ; 19/4; 5; 63/13; 4; 5; 4; 63/13; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 10; 10; 10; ; ; ; 19/2; 11; 39/4; 10; 13; 10; 39/4; 12; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-07 04:17:27 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/7; 1/4; 3/10; 1/5; 3/10; 1/4; 2/7; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 4; 19/4; 17/4; ; ; ; 19/4; 5; 63/13; 4; 5; 4; 63/13; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 10; 10; 10; ; ; ; 19/2; 11; 39/4; 10; 13; 10; 39/4; 12; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-07 08:17:18 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/7; 1/4; 3/10; 1/5; 3/10; 1/4; 2/7; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 4; 19/4; 17/4; ; ; ; 19/4; 5; 63/13; 4; 5; 4; 63/13; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 10; 10; 10; ; ; ; 19/2; 11; 39/4; 10; 13; 10; 39/4; 12; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-07 12:17:43 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/7; 1/4; 3/10; 1/5; 3/10; ; 3/10; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 4; 19/4; 17/4; ; ; ; 19/4; 5; 63/13; 4; 5; 4; ; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 10; 10; 10; ; ; ; 19/2; 11; 39/4; 10; 13; 10; ; 11; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-07 16:17:44 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/7; 1/4; 3/10; 1/5; 3/10; 1/4; 3/10; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 4; 19/4; 17/4; ; ; ; 19/4; 5; 63/13; 4; 5; 4; 63/13; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 10; 10; 10; ; ; ; 19/2; 11; 39/4; 10; 13; 10; ; 11; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-07 20:18:01 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; ; 1/4; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/7; 1/4; 3/10; 1/5; 3/10; 1/4; 3/10; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; ; 11/2; 15/4; 5; 4; 19/4; 17/4; ; ; ; 19/4; 5; 63/13; 4; 5; 4; 63/13; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; ; 12; 9; 9; 10; 10; 10; ; ; ; 19/2; 11; 39/4; 10; 13; 10; ; 11; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-08 00:17:37 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/11; 1/4; 1/4; ; ; ; 2/7; 2/7; ; 3/11; 1/5; 1/4; 1/4; 3/10; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 17/4; 19/4; 17/4; ; ; ; 19/4; 5; ; 17/4; 5; 21/5; 63/13; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 11; 10; 10; ; ; ; 19/2; 11; ; 11; 13; 11; 39/4; 11; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-08 04:17:28 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/11; 1/4; 1/4; ; ; ; 2/7; 2/7; 1/4; 3/11; 1/5; 1/4; 1/4; 3/10; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 17/4; 19/4; 17/4; ; ; ; 19/4; 5; 63/13; 17/4; 5; 21/5; 63/13; 26/5; 5; ; ; ; ; 
