META; english/premier-league/swansea-v-man-utd; 2016-10-23 00:17:49 GMT+3; 2016-11-06 15:00; e70300-dr003
META; english/premier-league/swansea-v-man-utd; 2016-10-26 00:17:47 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 6/10; 4/7; ; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; ; ; 4/7; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 8/15; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 33/10; 14/5; 3; 3; 29/10; ; ; 16/5; 3; ; ; ; 31/10; ; 31/10; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 21/4; 5; 9/2; 9/2; 17/4; ; ; 9/2; 5; ; ; ; 17/4; ; 50/11; ; ; 5; ; ; 21/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-26 04:17:47 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 6/10; 4/7; ; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; ; ; 4/7; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 8/15; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 33/10; 14/5; 3; 3; 29/10; ; ; 16/5; 3; ; ; ; 31/10; ; 31/10; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 21/4; 5; 9/2; 9/2; 17/4; ; ; 9/2; 5; ; ; ; 17/4; ; 50/11; ; ; 5; ; ; 21/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-26 08:17:44 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 6/10; 4/7; ; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; ; ; 4/7; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 8/15; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 33/10; 14/5; 3; 3; 29/10; ; ; 16/5; 3; ; ; ; 31/10; ; 31/10; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 21/4; 5; 9/2; 9/2; 17/4; ; ; 9/2; 5; ; ; ; 17/4; ; 50/11; ; ; 5; ; ; 21/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-26 12:18:26 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 6/10; 4/7; ; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; ; ; 4/7; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 8/15; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 33/10; 14/5; 3; 3; 29/10; ; ; 16/5; 3; ; ; ; 31/10; ; 31/10; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 21/4; 5; 9/2; 9/2; 17/4; ; ; 9/2; 5; ; ; ; 17/4; ; 23/5; ; ; 5; ; ; 21/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-26 16:18:16 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 6/10; 4/7; ; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; ; ; 4/7; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 8/15; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 33/10; 14/5; 3; 3; 29/10; ; ; 16/5; 3; ; ; ; 31/10; ; 41/13; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 21/4; 5; 9/2; 9/2; 17/4; ; ; 9/2; 5; ; ; ; 17/4; ; 23/5; ; ; 5; ; ; 21/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-26 20:18:00 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 6/10; 4/7; ; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; ; 11/20; 4/7; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 8/15; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 33/10; 14/5; 3; 3; 29/10; ; 3; 16/5; 3; ; ; ; 31/10; ; 41/13; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 21/4; 5; 9/2; 9/2; 17/4; ; 5; 9/2; 5; ; ; ; 17/4; ; 23/5; ; ; 5; ; ; 21/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-27 00:17:36 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 8/13; 4/7; ; 8/13; 3/5; 8/15; 4/7; 4/7; 4/7; ; 4/7; 6/10; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 8/15; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 16/5; 14/5; 3; 3; 29/10; ; 3; 16/5; 3; ; ; ; 31/10; ; 41/13; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 5; 5; 9/2; 9/2; 21/5; ; 19/4; 4; 5; ; ; ; 17/4; ; 23/5; ; ; 5; ; ; 7/2; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-27 04:17:41 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 8/13; 4/7; ; 8/13; 3/5; 8/15; 4/7; 4/7; 4/7; ; 4/7; 6/10; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 8/15; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 16/5; 14/5; 3; 3; 29/10; ; 3; 16/5; 3; ; ; ; 31/10; ; 41/13; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 5; 5; 9/2; 9/2; 21/5; ; 19/4; 4; 5; ; ; ; 17/4; ; 23/5; ; ; 5; ; ; 7/2; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-27 08:17:50 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 8/13; 4/7; ; 8/13; 3/5; 8/15; 4/7; 4/7; 4/7; ; ; 6/10; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 4/7; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 16/5; 14/5; 3; 3; 29/10; ; ; 16/5; 3; ; ; ; 31/10; ; 41/13; ; ; 29/10; ; ; 3; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 5; 5; 9/2; 9/2; 21/5; ; ; 4; 5; ; ; ; 17/4; ; 23/5; ; ; 5; ; ; 9/2; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-27 12:18:22 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 8/13; 4/7; ; 8/13; 3/5; 8/15; 4/7; 4/7; 4/7; ; 4/7; 6/10; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 4/7; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 16/5; 14/5; 3; 3; 29/10; ; 3; 16/5; 3; ; ; ; 31/10; ; 31/10; ; ; 29/10; ; ; 3; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 5; 5; 9/2; 9/2; 21/5; ; 19/4; 4; 5; ; ; ; 17/4; ; 50/11; ; ; 5; ; ; 9/2; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-27 16:18:04 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 8/13; 4/7; ; 8/13; 3/5; 8/15; 4/7; 4/7; 4/7; ; 4/7; 4/7; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 4/7; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 16/5; 14/5; 3; 3; 29/10; ; 3; 29/10; 3; ; ; ; 31/10; ; 41/13; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 5; 5; 9/2; 9/2; 21/5; ; 19/4; 24/5; 5; ; ; ; 17/4; ; 23/5; ; ; 5; ; ; 9/2; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-27 20:18:09 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 8/13; 4/7; ; 8/13; 3/5; 8/15; 4/7; 4/7; 4/7; ; 4/7; 4/7; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 4/7; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 16/5; 14/5; 3; 3; 29/10; ; 3; 29/10; 3; ; ; ; 31/10; ; 41/13; ; ; 29/10; ; ; 3; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 5; 5; 9/2; 9/2; 21/5; ; 19/4; 24/5; 5; ; ; ; 17/4; ; 23/5; ; ; 5; ; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-28 00:17:51 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 8/13; 4/7; ; 8/13; 3/5; 8/15; 4/7; 4/7; 4/7; ; 4/7; 4/7; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 4/7; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 16/5; 14/5; 3; 3; 29/10; ; 3; 29/10; 3; ; ; ; 31/10; ; 31/10; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 5; 5; 9/2; 9/2; 21/5; ; 19/4; 24/5; 5; ; ; ; 17/4; ; 50/11; ; ; 5; ; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-28 04:17:49 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 8/13; 4/7; ; 8/13; 3/5; 8/15; 4/7; 4/7; 4/7; ; 4/7; 4/7; 4/7; ; ; ; 4/7; ; ; ; ; 4/7; ; ; 4/7; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 16/5; 14/5; 3; 3; 29/10; ; 3; 29/10; 3; ; ; ; 31/10; ; 31/10; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 5; 5; 9/2; 9/2; 21/5; ; 19/4; 24/5; 5; ; ; ; 17/4; ; 79/17; ; ; 5; ; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-28 08:17:56 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 8/13; 4/7; ; 8/13; 3/5; 8/15; 4/7; 4/7; 4/7; ; 4/7; 4/7; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 4/7; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 16/5; 14/5; 3; 3; 29/10; ; 3; 29/10; 3; ; ; ; 31/10; ; 41/13; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 5; 5; 9/2; 9/2; 21/5; ; 19/4; 24/5; 5; ; ; ; 17/4; ; 23/5; ; ; 5; ; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-28 12:18:46 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 8/13; 4/7; ; 8/13; 3/5; 4/7; 4/7; 4/7; 4/7; ; 4/7; 4/7; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 4/7; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 16/5; 29/10; 3; 3; 29/10; ; 3; 29/10; 3; ; ; ; 31/10; ; 31/10; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 5; 5; 9/2; 9/2; 21/5; ; 19/4; 24/5; 5; ; ; ; 17/4; ; 50/11; ; ; 5; ; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-28 16:17:43 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 8/13; 4/7; ; 8/13; 3/5; 4/7; 4/7; 4/7; 4/7; ; 4/7; 4/7; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 4/7; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 16/5; 29/10; 3; 3; 29/10; ; 3; 29/10; 3; ; ; ; 31/10; ; 31/10; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 5; 5; 9/2; 9/2; 21/5; ; 19/4; 24/5; 5; ; ; ; 17/4; ; 23/5; ; ; 5; ; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-28 20:18:41 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 8/13; 6/10; ; 8/13; 3/5; 4/7; 4/7; 3/5; 6/10; ; ; 6/10; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 4/7; ; 
Draw; 14/5; ; 3; 3; ; 16/5; 16/5; 29/10; 3; 3; 14/5; ; ; 29/10; 16/5; ; ; ; 31/10; ; 41/13; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 17/4; 9/2; ; 460/100; 5; 5; 9/2; 17/4; 4; ; ; 24/5; 19/4; ; ; ; 17/4; ; 23/5; ; ; 5; ; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-29 00:17:43 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 8/13; 6/10; ; 8/13; 3/5; 4/7; 8/13; 8/13; 6/10; ; ; 6/10; 4/7; ; ; ; 4/7; ; 10/17; ; ; 4/7; 6/10; ; 4/7; ; 
Draw; 14/5; ; 3; 3; ; 3; 16/5; 29/10; 3; 3; 14/5; ; ; 29/10; 16/5; ; ; ; 31/10; ; 58/19; ; ; 29/10; 3; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 9/2; ; 460/100; 5; 5; 9/2; 17/4; 4; ; ; 24/5; 19/4; ; ; ; 17/4; ; 49/11; ; ; 5; 17/4; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-29 04:17:41 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 8/13; 6/10; ; 8/13; 3/5; 4/7; 8/13; 8/13; 6/10; ; 4/7; 6/10; 4/7; ; ; ; 4/7; ; 4/7; ; ; 4/7; 6/10; ; 4/7; ; 
Draw; 14/5; ; 3; 3; ; 3; 16/5; 29/10; 3; 3; 14/5; ; 3; 29/10; 16/5; ; ; ; 31/10; ; 3; ; ; 29/10; 3; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 9/2; ; 470/100; 5; 5; 9/2; 17/4; 21/5; ; 19/4; 24/5; 19/4; ; ; ; 17/4; ; 9/2; ; ; 5; 17/4; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-29 08:17:52 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 8/13; 6/10; ; 8/13; 3/5; 4/7; 8/13; 8/13; 6/10; ; 4/7; 6/10; 4/7; ; ; ; 4/7; ; 10/17; ; ; 4/7; 6/10; ; 4/7; ; 
Draw; 14/5; ; 3; 3; ; 3; 16/5; 29/10; 3; 3; 14/5; ; 3; 29/10; 16/5; ; ; ; 31/10; ; 3; ; ; 29/10; 3; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 9/2; ; 460/100; 5; 5; 9/2; 17/4; 21/5; ; 19/4; 24/5; 19/4; ; ; ; 17/4; ; 9/2; ; ; 5; 17/4; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-29 12:17:52 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 8/13; 6/10; ; 8/13; 3/5; 4/7; 8/13; 8/13; 6/10; ; 4/7; 6/10; 4/7; ; ; ; 4/7; ; 4/7; ; ; 4/7; 6/10; ; 4/7; ; 
