META; english/premier-league/leicester-v-stoke; 2017-03-07 00:16:40 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-10 08:16:09 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-10 12:16:05 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-10 16:16:04 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-10 20:16:19 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 27/20; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-11 00:16:38 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 27/20; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-11 04:16:22 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 27/20; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-11 08:16:27 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 27/20; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-11 12:16:25 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 27/20; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-11 16:16:23 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 27/20; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-11 20:16:19 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 27/20; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-12 00:16:14 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 27/20; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-12 04:16:20 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 27/20; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-12 08:16:13 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 27/20; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-12 12:16:15 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 27/20; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-12 16:16:12 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 27/20; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-12 20:16:13 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 11/10; ; ; ; ; ; ; 13/10; 21/20; 6/5; ; 11/10; 27/20; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; 5/2; 39/19; 23/10; ; 2; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 5/2; ; ; ; ; ; ; 9/4; 2; 11/5; ; 19/10; 47/20; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-13 00:16:12 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 21/20; ; 1; ; 21/20; ; 21/20; 5/4; 11/10; ; ; ; ; ; ; 15/13; 11/10; 21/20; 21/20; 11/10; 119/100; ; 21/20; ; ; ; ; 
Draw; 12/5; ; 12/5; ; 12/5; ; 5/2; 9/4; 12/5; ; ; ; ; ; ; 12/5; 40/17; 40/17; 12/5; 40/17; 51/20; ; 12/5; ; ; ; ; 
Stoke; 13/5; ; 5/2; ; 13/5; ; 29/10; 2; 13/5; ; ; ; ; ; ; 5/2; 27/11; 5/2; 5/2; 27/11; 13/5; ; 28/11; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-13 04:16:11 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 21/20; ; 1; ; 21/20; ; 11/10; 5/4; 11/10; 21/20; 21/20; ; ; ; ; 15/13; 21/20; 21/20; 21/20; 21/20; 119/100; ; 21/20; ; ; ; ; 
Draw; 12/5; ; 12/5; ; 12/5; ; 5/2; 9/4; 12/5; 12/5; 9/4; ; ; ; ; 12/5; 12/5; 40/17; 12/5; 12/5; 51/20; ; 12/5; ; ; ; ; 
Stoke; 13/5; ; 5/2; ; 13/5; ; 11/4; 2; 13/5; 13/5; 12/5; ; ; ; ; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; ; 28/11; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-13 08:16:11 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 21/20; ; 1; ; 21/20; ; 11/10; 5/4; 11/10; 21/20; 21/20; ; ; ; ; 15/13; 21/20; 21/20; 21/20; 21/20; 119/100; ; 21/20; ; ; ; ; 
Draw; 12/5; ; 12/5; ; 12/5; ; 5/2; 9/4; 12/5; 12/5; 9/4; ; ; ; ; 12/5; 12/5; 40/17; 12/5; 12/5; 51/20; ; 12/5; ; ; ; ; 
Stoke; 13/5; ; 5/2; ; 13/5; ; 11/4; 2; 13/5; 13/5; 12/5; ; ; ; ; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; ; 28/11; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-13 12:16:21 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 21/20; ; 21/20; ; 11/10; ; 21/20; 5/4; 11/10; 21/20; 21/20; ; ; ; 21/20; 15/13; 21/20; 21/20; 21/20; 21/20; 23/20; 21/20; 21/20; ; ; ; ; 
Draw; 12/5; ; 47/20; ; 5/2; ; 5/2; 9/4; 12/5; 12/5; 9/4; ; ; ; 5/2; 12/5; 12/5; 40/17; 12/5; 12/5; 5/2; 12/5; 12/5; ; ; ; ; 
Stoke; 13/5; ; 27/10; ; 11/4; ; 29/10; 2; 13/5; 13/5; 12/5; ; ; ; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 11/4; 27/10; 28/11; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-13 16:17:10 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 21/20; ; 21/20; ; 21/20; ; 21/20; 5/4; 11/10; 1; 21/20; ; ; ; 21/20; 11/10; 1; 21/20; 21/20; 1; 23/20; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 12/5; ; 47/20; ; 12/5; ; 5/2; 9/4; 12/5; 12/5; 9/4; ; ; ; 5/2; 12/5; 12/5; 40/17; 12/5; 12/5; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 13/5; ; 27/10; ; 11/4; ; 29/10; 2; 13/5; 13/5; 12/5; ; ; ; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 11/4; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-13 20:16:18 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 21/20; ; 21/20; ; 21/20; ; 21/20; 5/4; 11/10; 21/20; 21/20; ; ; ; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 12/5; ; 47/20; ; 12/5; ; 5/2; 9/4; 12/5; 23/10; 9/4; ; ; ; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 13/5; ; 27/10; ; 11/4; ; 29/10; 2; 13/5; 13/5; 12/5; ; ; ; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 11/4; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-14 00:16:12 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 21/20; ; 21/20; ; 21/20; ; 21/20; 5/4; 11/10; 21/20; 21/20; ; ; ; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 12/5; ; 47/20; ; 12/5; ; 5/2; 9/4; 12/5; 23/10; 9/4; ; ; ; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 13/5; ; 27/10; ; 11/4; ; 29/10; 2; 13/5; 13/5; 12/5; ; ; ; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 11/4; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-14 04:16:12 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 21/20; ; 21/20; ; 21/20; ; 21/20; 5/4; 11/10; 21/20; 21/20; ; ; ; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 12/5; ; 47/20; ; 12/5; ; 5/2; 9/4; 12/5; 23/10; 9/4; ; ; ; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 13/5; ; 27/10; ; 11/4; ; 29/10; 2; 13/5; 13/5; 12/5; ; ; ; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 11/4; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-14 08:16:12 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 21/20; ; 21/20; ; 21/20; ; 21/20; 5/4; 11/10; 21/20; 21/20; ; ; ; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 12/5; ; 47/20; ; 12/5; ; 5/2; 9/4; 12/5; 23/10; 9/4; ; ; ; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 13/5; ; 27/10; ; 11/4; ; 29/10; 2; 13/5; 13/5; 12/5; ; ; ; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 11/4; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-14 12:16:33 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 21/20; ; 11/10; 21/20; 21/20; ; 21/20; 5/4; 11/10; 21/20; 21/20; ; ; ; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 21/20; 21/20; ; 21/20; ; ; ; 
