META; english/premier-league/burnley-v-man-city; 2016-11-01 04:17:55 GMT+3; 2016-11-26 12:30; e70300-dr003
META; english/premier-league/burnley-v-man-city; 2016-11-02 00:18:44 GMT+3; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-02 04:17:52 GMT+3; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-02 08:17:50 GMT+3; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-02 12:18:15 GMT+3; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-02 16:18:33 GMT+3; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-02 20:18:47 GMT+3; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-03 00:17:29 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-03 04:18:12 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-03 08:17:20 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-03 12:17:48 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-03 16:17:48 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-03 20:18:17 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-04 00:17:20 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-04 04:16:25 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-04 08:16:33 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-04 12:16:33 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-04 16:16:36 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-04 20:17:07 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-05 00:16:37 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-05 04:16:37 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-05 08:16:41 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-05 12:17:26 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-05 16:16:57 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 3/10; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-05 20:17:04 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 3/10; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-06 00:16:32 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 3/10; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-06 04:16:24 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 3/10; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-06 08:16:32 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 3/10; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-06 12:16:42 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 3/10; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-06 16:16:33 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 3/10; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-06 20:16:23 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 3/10; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 7/18; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 22/5; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-07 00:16:07 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; 4/11; 3/10; ; 4/11; 1/3; ; ; ; ; 4/11; 7/19; 3/8; 2/5; 4/11; 7/19; 7/18; ; 3/8; ; ; ; ; 
Draw; ; ; ; ; ; ; 4; 4; ; 4; 15/4; ; ; ; ; 4; 19/5; 19/5; 7/2; 7/2; 19/5; 22/5; ; 19/5; ; ; ; ; 
Burnley; ; ; ; ; ; ; 9; 8; ; 15/2; 15/2; ; ; ; ; 17/2; 7; 27/4; 13/2; 33/5; 7; 41/5; ; 27/4; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-07 04:16:06 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; ; ; ; ; 1/3; 3/10; ; 3/10; 3/10; ; ; ; ; 1/3; 6/17; 3/8; 3/10; 4/11; 6/17; 7/18; ; 3/8; ; ; ; ; 
Draw; 17/4; ; ; ; ; ; 9/2; 4; ; 17/4; 19/5; ; ; ; ; 9/2; 4; 19/5; 9/2; 7/2; 4; 22/5; ; 19/5; ; ; ; ; 
Burnley; 7; ; ; ; ; ; 19/2; 8; ; 17/2; 17/2; ; ; ; ; 17/2; 7; 27/4; 15/2; 33/5; 7; 41/5; ; 27/4; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-07 08:16:06 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; ; ; ; ; 3/10; 3/10; ; 3/10; 3/10; ; ; ; ; 1/3; 10/29; 3/8; 3/10; 4/11; 10/29; 7/18; ; 3/8; ; ; ; ; 
Draw; 17/4; ; ; ; ; ; 19/4; 4; ; 17/4; 19/5; ; ; ; ; 9/2; 77/19; 19/5; 9/2; 7/2; 77/19; 22/5; ; 19/5; ; ; ; ; 
Burnley; 7; ; ; ; ; ; 10; 8; ; 17/2; 17/2; ; ; ; ; 17/2; 29/4; 27/4; 15/2; 33/5; 29/4; 41/5; ; 27/4; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-07 12:16:10 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; ; ; ; 7/20; 1/3; 3/10; 1/3; 1/3; 3/10; ; ; ; ; 1/3; 6/19; 3/8; 3/10; 4/11; 6/19; 7/18; 6/17; 3/8; ; ; ; ; 
Draw; 17/4; ; ; ; ; 9/2; 9/2; 4; 9/2; 4; 19/5; ; ; ; ; 9/2; 54/13; 19/5; 9/2; 7/2; 54/13; 22/5; 22/5; 19/5; ; ; ; ; 
Burnley; 7; ; ; ; ; 15/2; 19/2; 8; 8; 8; 17/2; ; ; ; ; 17/2; 31/4; 27/4; 15/2; 33/5; 31/4; 41/5; 36/5; 27/4; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-07 16:17:15 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; ; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 1/3; 2/7; 2/7; 3/10; 2/7; 2/7; 7/19; 6/19; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; ; ; 9/2; 19/4; 4; 9/2; 17/4; 19/5; ; ; ; ; 9/2; 22/5; 47/10; 9/2; 23/5; 22/5; 9/2; 9/2; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; ; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; ; 9; 17/2; 8; 15/2; 8; 17/2; 17/2; 79/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-07 20:17:15 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 2/7; 2/7; 3/10; 2/7; 2/7; 7/19; 6/19; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 22/5; 47/10; 9/2; 23/5; 22/5; 9/2; 9/2; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; ; 17/2; 17/2; 8; 15/2; 8; 17/2; 17/2; 79/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-08 00:17:10 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 2/7; 2/7; 3/10; 2/7; 2/7; 7/19; 6/19; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 74/17; 47/10; 9/2; 23/5; 74/17; 9/2; 9/2; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; ; 17/2; 17/2; 8; 15/2; 8; 17/2; 17/2; 79/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-08 04:17:09 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 2/7; 2/7; 3/10; 2/7; 2/7; 7/19; 6/19; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 74/17; 47/10; 9/2; 23/5; 74/17; 9/2; 9/2; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; ; 17/2; 17/2; 8; 15/2; 8; 17/2; 17/2; 79/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-08 08:17:12 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 2/7; 2/7; 3/10; 2/7; 2/7; 7/19; 6/19; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 74/17; 47/10; 9/2; 23/5; 74/17; 9/2; 9/2; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 9; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; ; 17/2; 17/2; 8; 15/2; 8; 17/2; 17/2; 79/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-08 12:17:18 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 2/7; 2/7; 3/10; 2/7; 2/7; 7/19; 6/19; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 43/10; 47/10; 9/2; 23/5; 43/10; 9/2; 9/2; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 9; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; ; 17/2; 17/2; 8; 15/2; 8; 17/2; 17/2; 79/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-08 16:17:28 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 2/7; 2/7; 3/10; 2/7; 2/7; 7/19; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 22/5; 47/10; 9/2; 23/5; 22/5; 9/2; 23/5; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; ; 17/2; 17/2; 8; 15/2; 8; 17/2; 17/2; 81/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-08 20:17:19 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 2/7; 2/7; 3/10; 2/7; 2/7; 7/19; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 22/5; 47/10; 9/2; 23/5; 22/5; 9/2; 23/5; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; ; 17/2; 17/2; 8; 15/2; 8; 17/2; 17/2; 81/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-09 00:17:14 GMT+2; 2016-11-26 12:30; e70300-dr003
