Norwich; 11/10; 11/10; 11/10; ; 23/20; 6/5; 11/10; 11/10; 11/10; 11/10; 23/20; 11/10; ; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 15/14; 11/10; 11/10; 11/10; 11/10; 15/13; ; ; ; 
Draw; 23/10; 12/5; 23/10; ; 5/2; 12/5; 23/10; 23/10; 40/17; 9/4; 12/5; 23/10; ; 47/20; 12/5; 12/5; 23/10; 9/4; 23/10; 28/11; 23/10; 12/5; 5/2; 23/10; 23/10; ; ; ; 
Burton; 5/2; 5/2; 12/5; ; 27/10; 11/4; 5/2; 13/5; 5/2; 12/5; 13/5; 5/2; ; 5/2; 12/5; 13/5; 12/5; 27/11; 12/5; 23/10; 27/11; 13/5; 5/2; 51/20; 5/2; ; ; ; 
META; english/championship/burton-v-norwich; 2017-12-26 18:21:30 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 11/10; 11/10; 11/10; 23/20; 23/20; 6/5; 11/10; 11/10; 11/10; 11/10; 23/20; 11/10; ; 23/20; 23/20; 11/10; 11/10; 15/13; 11/10; 15/14; 11/10; 11/10; 11/10; 23/20; 6/5; ; ; 10/9; 
Draw; 23/10; 12/5; 23/10; 23/10; 5/2; 12/5; 23/10; 23/10; 40/17; 9/4; 12/5; 23/10; ; 47/20; 12/5; 12/5; 23/10; 23/10; 23/10; 28/11; 23/10; 12/5; 5/2; 23/10; 23/10; ; ; 2; 
Burton; 5/2; 5/2; 12/5; 12/5; 27/10; 11/4; 12/5; 13/5; 5/2; 12/5; 13/5; 5/2; ; 49/20; 12/5; 13/5; 12/5; 27/11; 12/5; 23/10; 27/11; 5/2; 5/2; 49/20; 27/11; ; ; 21/10; 
META; english/championship/burton-v-norwich; 2017-12-26 22:20:36 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 11/10; 11/10; 15/13; 23/20; 111/ 100; 6/5; 11/10; 11/10; 11/10; 11/10; 23/20; 11/10; ; 23/20; 23/20; 11/10; 11/10; 15/13; 11/10; 10/9; 11/10; 11/10; 11/10; 11/10; 15/13; ; ; 10/9; 
Draw; 23/10; 12/5; 23/10; 23/10; 62/25; 12/5; 23/10; 23/10; 40/17; 9/4; 12/5; 23/10; ; 47/20; 12/5; 12/5; 23/10; 23/10; 23/10; 5/2; 23/10; 12/5; 5/2; 23/10; 23/10; ; ; 2; 
Burton; 5/2; 5/2; 12/5; 12/5; 143/ 50; 11/4; 5/2; 13/5; 5/2; 12/5; 13/5; 5/2; ; 5/2; 12/5; 13/5; 12/5; 5/2; 12/5; 9/4; 27/11; 13/5; 5/2; 5/2; 28/11; ; ; 21/10; 
META; english/championship/burton-v-norwich; 2017-12-27 02:20:33 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 11/10; 11/10; 15/13; 23/20; 29/25; 23/20; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; ; 23/20; 23/20; 11/10; 11/10; 15/13; 11/10; 10/9; 11/10; 11/10; 11/10; 11/10; 15/13; ; ; 10/9; 
Draw; 23/10; 12/5; 11/5; 23/10; 49/20; 5/2; 23/10; 12/5; 40/17; 11/5; 12/5; 11/5; ; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 5/2; 23/10; 12/5; 5/2; 23/10; 23/10; ; ; 19/10; 
Burton; 5/2; 5/2; 5/2; 12/5; 137/ 50; 27/10; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; ; 13/5; 5/2; 13/5; 12/5; 5/2; 12/5; 9/4; 27/11; 13/5; 5/2; 5/2; 28/11; ; ; 21/10; 
META; english/championship/burton-v-norwich; 2017-12-27 10:20:40 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 23/20; 11/10; ; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 10/9; 11/10; 11/10; 11/10; 21/20; 11/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 23/10; 61/25; 5/2; 9/4; 12/5; 40/17; 11/5; 12/5; 11/5; ; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 5/2; 23/10; 23/10; 12/5; 23/10; 23/10; ; ; ; 
Burton; 5/2; 13/5; 13/5; 12/5; 139/ 50; 27/10; 13/5; 5/2; 5/2; 5/2; 13/5; 13/5; ; 13/5; 5/2; 13/5; 12/5; 45/17; 12/5; 9/4; 27/11; 11/4; 13/5; 53/20; 45/17; ; ; ; 
META; english/championship/burton-v-norwich; 2017-12-27 14:22:40 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; ; 23/20; 23/20; 11/10; 11/10; 15/13; 11/10; 10/9; 17/16; 11/10; 11/10; 21/20; 15/13; ; 21/20; 21/20; 
Draw; 23/10; 23/10; 11/5; 23/10; 61/25; 12/5; 9/4; 12/5; 40/17; 9/4; 12/5; 11/5; ; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 5/2; 23/10; 23/10; 12/5; 23/10; 23/10; ; 9/4; 9/4; 
Burton; 5/2; 13/5; 13/5; 12/5; 139/ 50; 13/5; 13/5; 5/2; 45/17; 13/5; 13/5; 13/5; ; 13/5; 5/2; 13/5; 12/5; 28/11; 12/5; 9/4; 13/5; 11/4; 13/5; 53/20; 13/5; ; 5/2; 5/2; 
META; english/championship/burton-v-norwich; 2017-12-27 18:20:45 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 11/10; 21/20; 21/20; 23/20; 28/25; 21/20; 11/10; 1; 11/10; 21/20; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 12/11; 17/16; 11/10; 21/20; 21/20; 11/10; ; 5/6; 1; 11/10
Draw; 23/10; 23/10; 11/5; 23/10; 49/20; 5/2; 23/10; 12/5; 40/17; 9/4; 12/5; 11/5; 9/4; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 40/17; 23/10; 23/10; 12/5; 23/10; 23/10; ; 23/10; 23/10; 12/5
Burton; 5/2; 11/4; 27/10; 12/5; 143/ 50; 27/10; 13/5; 13/5; 45/17; 11/4; 13/5; 13/5; 11/4; 11/4; 5/2; 13/5; 12/5; 27/10; 12/5; 45/17; 13/5; 11/4; 27/10; 53/20; 11/4; ; 5/2; 13/5; 14/5
META; english/championship/burton-v-norwich; 2017-12-27 22:21:03 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 11/10; 21/20; 21/20; 23/20; 28/25; 21/20; 11/10; 1; 11/10; 21/20; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 12/11; 17/16; 11/10; 21/20; 21/20; 11/10; ; 10/11; 1; 11/10
Draw; 23/10; 23/10; 11/5; 23/10; 49/20; 5/2; 23/10; 12/5; 40/17; 9/4; 12/5; 11/5; 9/4; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 40/17; 23/10; 23/10; 12/5; 23/10; 23/10; ; 23/10; 21/10; 12/5
Burton; 5/2; 11/4; 27/10; 12/5; 143/ 50; 27/10; 13/5; 13/5; 45/17; 11/4; 13/5; 13/5; 11/4; 11/4; 5/2; 13/5; 12/5; 27/10; 12/5; 45/17; 13/5; 11/4; 27/10; 53/20; 11/4; ; 5/2; 13/5; 14/5
META; english/championship/burton-v-norwich; 2017-12-28 02:21:42 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 11/10; 21/20; 21/20; 23/20; 28/25; 21/20; 11/10; 1; 11/10; 21/20; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 12/11; 17/16; 11/10; 21/20; 21/20; 11/10; ; 10/11; 1; 11/10
Draw; 23/10; 23/10; 11/5; 23/10; 49/20; 5/2; 23/10; 12/5; 40/17; 9/4; 12/5; 11/5; 9/4; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 40/17; 23/10; 23/10; 12/5; 23/10; 23/10; ; 23/10; 21/10; 12/5
Burton; 5/2; 11/4; 27/10; 12/5; 143/ 50; 27/10; 13/5; 13/5; 45/17; 11/4; 13/5; 13/5; 11/4; 11/4; 5/2; 13/5; 12/5; 27/10; 12/5; 45/17; 13/5; 11/4; 27/10; 53/20; 11/4; ; 5/2; 13/5; 14/5
META; english/championship/burton-v-norwich; 2017-12-28 10:21:02 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 11/10; 21/20; 21/20; 23/20; 28/25; 21/20; 11/10; 1; 11/10; 21/20; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 12/11; 17/16; 11/10; 21/20; 21/20; 11/10; ; 1; 1; 11/10
Draw; 23/10; 23/10; 11/5; 23/10; 49/20; 5/2; 23/10; 12/5; 40/17; 9/4; 12/5; 11/5; 9/4; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 40/17; 23/10; 23/10; 12/5; 23/10; 40/17; ; 23/10; 21/10; 12/5
