META; english/championship/aston-villa-v-barnsley; 2018-01-13 22:20:33 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Barnsley; 6; 5; 11/2; 6; 6; 6; 11/2; 6; 23/4; 11/2; 11/2; 11/2; 6; 11/2; 5; 11/2; 11/2; 59/10; 11/2; 47/10; 23/4; 21/4; 11/2; 11/2; 113/19; ; 28/5; 26/5; 31/5
META; english/championship/aston-villa-v-barnsley; 2018-01-16 22:22:11 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 1/2; 4/7; 8/15; 1/2; 14/25; 1/2; 8/15; 1/2; 11/21; 4/7; 1/2; 11/20; 8/15; 4/7; 11/20; 8/15; 1/2; 8/15; 1/2; 18/35; 1/2; 8/15; 11/20; 8/15; 8/15; ; 4/9; 1/2; 8/15
Draw; 3; 29/10; 29/10; 3; 13/4; 16/5; 3; 3; 31/10; 29/10; 3; 14/5; 11/4; 29/10; 16/5; 14/5; 3; 3; 3; 58/19; 3; 3; 3; 59/20; 58/19; ; 14/5; 14/5; 3
Barnsley; 6; 5; 11/2; 6; 6; 6; 11/2; 6; 23/4; 11/2; 11/2; 11/2; 6; 11/2; 5; 11/2; 11/2; 29/5; 11/2; 47/10; 23/4; 21/4; 11/2; 11/2; 76/13; ; 28/5; 26/5; 31/5
META; english/championship/aston-villa-v-barnsley; 2018-01-17 10:20:54 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 1/2; 4/7; 8/15; 1/2; 14/25; 1/2; 8/15; 1/2; 11/21; 4/7; 1/2; 11/20; 8/15; 4/7; 11/20; 8/15; 1/2; 8/15; 1/2; 18/35; 1/2; 8/15; 11/20; 8/15; 8/15; ; 1/2; 1/2; 8/15
Draw; 3; 29/10; 29/10; 3; 13/4; 16/5; 3; 3; 31/10; 29/10; 3; 14/5; 11/4; 29/10; 16/5; 14/5; 3; 3; 3; 58/19; 3; 3; 3; 59/20; 58/19; ; 14/5; 14/5; 3
Barnsley; 6; 5; 11/2; 6; 6; 6; 11/2; 6; 23/4; 11/2; 11/2; 11/2; 6; 5; 5; 11/2; 11/2; 29/5; 11/2; 47/10; 23/4; 21/4; 11/2; 11/2; 76/13; ; 28/5; 26/5; 31/5
META; english/championship/aston-villa-v-barnsley; 2018-01-17 14:23:30 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 8/15; 4/7; 8/15; 1/2; 29/50; 1/2; 8/15; 1/2; 11/21; 4/7; 8/15; 11/20; 8/15; 4/7; 4/7; 8/15; 1/2; 8/15; 1/2; 8/15; 1/2; 8/15; 4/7; 8/15; 8/15; ; 1/2; 1/2; 8/15
Draw; 3; 29/10; 29/10; 3; 63/20; 16/5; 3; 3; 31/10; 29/10; 3; 14/5; 11/4; 29/10; 3; 14/5; 3; 3; 3; 3; 3; 3; 3; 59/20; 58/19; ; 14/5; 14/5; 3
Barnsley; 11/2; 5; 11/2; 6; 29/5; 6; 11/2; 6; 23/4; 5; 11/2; 11/2; 6; 5; 5; 11/2; 11/2; 61/11; 11/2; 23/5; 23/4; 21/4; 21/4; 11/2; 76/13; ; 28/5; 26/5; 31/5
META; english/championship/aston-villa-v-barnsley; 2018-01-17 18:20:14 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
