META; english/championship/reading-v-cardiff; 2017-12-03 02:21:28 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
META; english/championship/reading-v-cardiff; 2017-12-04 18:21:57 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff; ; 6/4; 6/4; ; ; 13/8; 6/4; 6/4; 17/11; 6/4; 6/4; 31/20; 6/4; 31/20; 6/4; ; 6/4; 6/4; 13/8; 23/17; 17/11; 6/4; 31/20; 6/4; 6/4; ; 13/10; 7/5; 
Reading; ; 9/5; 7/4; ; ; 15/8; 9/5; 9/5; 7/4; 7/4; 9/5; 7/4; 9/5; 9/5; 15/8; ; 7/4; 7/4; 19/10; 13/8; 17/10; 9/5; 7/4; 37/20; 7/4; ; 13/8; 13/8; 
Draw; ; 23/10; 9/4; ; ; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; ; 9/4; 11/5; 12/5; 12/5; 40/17; 23/10; 12/5; 9/4; 9/4; ; 21/10; 19/10; 
META; english/championship/reading-v-cardiff; 2017-12-04 22:22:03 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff; ; 6/4; 6/4; 1/100; ; 13/8; 6/4; 6/4; 17/11; 6/4; 6/4; 31/20; 6/4; 31/20; 6/4; ; 6/4; 6/4; 13/8; 23/17; 17/11; 6/4; 31/20; 6/4; 6/4; ; 13/10; 7/5; 
Reading; ; 9/5; 7/4; 1/100; ; 15/8; 9/5; 9/5; 7/4; 7/4; 9/5; 7/4; 9/5; 9/5; 15/8; 9/5; 7/4; 9/5; 19/10; 13/8; 17/10; 9/5; 7/4; 37/20; 9/5; ; 13/8; 13/8; 
Draw; ; 23/10; 9/4; 1/100; ; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; ; 9/4; 28/13; 12/5; 12/5; 40/17; 23/10; 12/5; 9/4; 28/13; ; 21/10; 19/10; 
META; english/championship/reading-v-cardiff; 2017-12-05 02:21:51 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff; ; 6/4; 6/4; 6/4; ; 13/8; 6/4; 6/4; 17/11; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4; 13/8; 23/17; 17/11; 6/4; 31/20; 6/4; 6/4; ; 27/20; 7/5; 
Reading; ; 9/5; 7/4; 9/5; ; 15/8; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5; 9/5; 15/8; 9/5; 7/4; 9/5; 19/10; 13/8; 17/10; 9/5; 7/4; 37/20; 9/5; ; 17/10; 13/8; 
Draw; ; 23/10; 9/4; 23/10; ; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; ; 9/4; 28/13; 12/5; 12/5; 40/17; 23/10; 12/5; 9/4; 28/13; ; 21/10; 19/10; 
META; english/championship/reading-v-cardiff; 2017-12-05 10:21:52 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff; ; 6/4; 6/4; 6/4; ; 13/8; 6/4; 6/4; 17/11; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4; 13/8; 23/17; 17/11; 6/4; 31/20; 6/4; 16/11; ; 27/20; 7/5; 
Reading; ; 9/5; 7/4; 9/5; ; 15/8; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5; 9/5; 15/8; 9/5; 7/4; 9/5; 19/10; 13/8; 17/10; 9/5; 7/4; 37/20; 9/5; ; 17/10; 13/8; 
Draw; ; 23/10; 9/4; 23/10; ; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; ; 9/4; 28/13; 12/5; 12/5; 40/17; 23/10; 12/5; 9/4; 9/4; ; 11/5; 19/10; 
META; english/championship/reading-v-cardiff; 2017-12-05 14:22:00 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff; ; 6/4; 6/4; 6/4; ; 13/8; 6/4; 6/4; 17/11; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 16/11; 13/8; 23/17; 17/11; 6/4; 31/20; 6/4; 16/11; ; 27/20; 7/5; 
Reading; ; 9/5; 9/5; 9/5; ; 15/8; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5; 9/5; 15/8; 15/8; 7/4; 9/5; 19/10; 13/8; 17/10; 9/5; 7/4; 37/20; 24/13; ; 17/10; 13/8; 
Draw; ; 23/10; 9/4; 23/10; ; 12/5; 9/4; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 23/10; 23/10; ; 9/4; 11/5; 12/5; 12/5; 40/17; 23/10; 12/5; 9/4; 11/5; ; 11/5; 19/10; 
META; english/championship/reading-v-cardiff; 2017-12-05 18:21:53 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff; ; 6/4; 6/4; 6/4; ; 13/8; 6/4; 6/4; 17/11; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 16/11; 13/8; 23/17; 17/11; 6/4; 31/20; 6/4; 16/11; ; 27/20; 7/5; 
Reading; ; 9/5; 9/5; 9/5; ; 15/8; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 93/50; 9/5; 15/8; 15/8; 7/4; 9/5; 19/10; 13/8; 17/10; 9/5; 7/4; 37/20; 24/13; ; 17/10; 13/8; 
Draw; ; 23/10; 11/5; 23/10; ; 12/5; 9/4; 23/10; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; ; 9/4; 11/5; 12/5; 12/5; 40/17; 23/10; 12/5; 9/4; 11/5; ; 11/5; 19/10; 
META; english/championship/reading-v-cardiff; 2017-12-05 22:21:56 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff; 6/4; 6/4; 17/11; 6/4; ; 31/20; 6/4; 7/5; 17/11; 31/20; 6/4; 31/20; 6/4; 31/20; 6/4; 6/4; 6/4; 17/11; 13/8; 23/17; 17/11; 6/4; 31/20; 6/4; 17/11; ; 27/20; 7/5; 
Reading; 9/5; 9/5; 9/5; 9/5; ; 15/8; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 93/50; 37/20; 15/8; 9/5; 7/4; 9/5; 19/10; 13/8; 17/10; 9/5; 7/4; 37/20; 9/5; ; 17/10; 13/8; 
Draw; ; 23/10; 11/5; 23/10; ; 13/5; 9/4; 12/5; 12/5; 11/5; 23/10; 11/5; 11/5; 9/4; 23/10; ; 9/4; 11/5; 12/5; 12/5; 40/17; 23/10; 12/5; 9/4; 11/5; ; 21/10; 19/10; 
META; english/championship/reading-v-cardiff; 2017-12-06 02:21:31 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff; 6/4; 6/4; 17/11; 6/4; ; 31/20; 6/4; 7/5; 17/11; 31/20; 6/4; 31/20; 6/4; 31/20; 6/4; ; 6/4; 17/11; 167/100; 23/17; 17/11; 6/4; 31/20; 6/4; 17/11; ; 27/20; 7/5; 
Reading; 9/5; 9/5; 9/5; 9/5; ; 15/8; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 93/50; 37/20; 15/8; ; 7/4; 9/5; 193/100; 13/8; 17/10; 9/5; 7/4; 37/20; 9/5; ; 17/10; 13/8; 
Draw; ; 23/10; 11/5; 23/10; ; 13/5; 9/4; 12/5; 12/5; 11/5; 23/10; 11/5; 11/5; 9/4; 23/10; ; 9/4; 11/5; 57/25; 12/5; 40/17; 23/10; 12/5; 9/4; 11/5; ; 21/10; 19/10; 
META; english/championship/reading-v-cardiff; 2017-12-06 10:21:37 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff; 6/4; 6/4; 17/11; 6/4; ; 31/20; 8/5; 7/5; 17/11; 31/20; 6/4; 31/20; 6/4; 31/20; 6/4; ; 6/4; 17/11; 167/100; 23/17; 17/11; 6/4; 31/20; 6/4; 17/11; ; 27/20; ; 
Reading; 9/5; 9/5; 9/5; 9/5; ; 15/8; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 93/50; 37/20; 15/8; ; 7/4; 9/5; 193/100; 13/8; 17/10; 9/5; 7/4; 37/20; 9/5; ; 17/10; ; 
Draw; ; 23/10; 11/5; 23/10; ; 13/5; 11/5; 12/5; 12/5; 11/5; 23/10; 11/5; 11/5; 9/4; 23/10; ; 9/4; 11/5; 57/25; 12/5; 40/17; 23/10; 12/5; 9/4; 11/5; ; 21/10; ; 
META; english/championship/reading-v-cardiff; 2017-12-06 14:21:47 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff; 6/4; 6/4; 16/11; 6/4; ; 31/20; 6/4; 7/5; 17/11; 29/20; 6/4; 6/4; ; 6/4; 6/4; 6/4; 6/4; 17/11; 33/20; 39/29; 17/11; 6/4; 6/4; 6/4; 6/4; ; 5/4; ; 6/4
Reading; 9/5; 9/5; 28/15; 9/5; ; 15/8; 15/8; 9/5; 7/4; 15/8; 9/5; 9/5; ; 19/10; 15/8; 15/8; 7/4; 9/5; 97/50; 32/19; 17/10; 9/5; 15/8; 37/20; 19/10; ; 17/10; ; 2
Draw; ; 23/10; 11/5; 23/10; ; 13/5; 11/5; 12/5; 12/5; 11/5; 23/10; 23/10; ; 9/4; 23/10; ; 9/4; 11/5; 23/10; 40/17; 40/17; 23/10; 23/10; 9/4; 11/5; ; 21/10; ; 23/10
META; english/championship/reading-v-cardiff; 2017-12-06 18:22:00 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff; 6/4; 7/5; 16/11; 6/4; ; 31/20; 6/4; 7/5; 17/11; 29/20; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 16/11; 31/20; 39/29; 17/11; 6/4; 6/4; 6/4; 16/11; ; 5/4; 11/8; 6/4
Reading; 9/5; 9/5; 28/15; 9/5; ; 15/8; 15/8; 9/5; 7/4; 15/8; 9/5; 9/5; 93/50; 19/10; 19/10; 15/8; 7/4; 19/10; 2; 32/19; 17/10; 9/5; 15/8; 37/20; 19/10; ; 17/10; 7/4; 2
Draw; ; 23/10; 11/5; 23/10; ; 13/5; 11/5; 12/5; 12/5; 11/5; 23/10; 23/10; 11/5; 9/4; 9/4; ; 9/4; 11/5; 12/5; 40/17; 40/17; 23/10; 23/10; 9/4; 9/4; ; 21/10; ; 23/10
META; english/championship/reading-v-cardiff; 2017-12-06 22:22:07 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff ; 6/4; 7/5; 16/11; 6/4; ; 31/20; 6/4; 7/5; 16/11; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 16/11; 31/20; 39/29; 10/7; 6/4; 6/4; 6/4; 16/11; ; 13/10; ; 6/4
Reading; 9/5; 9/5; 28/15; 9/5; ; 15/8; 15/8; 9/5; 19/10; 19/10; 9/5; 9/5; 93/50; 19/10; 19/10; 15/8; 7/4; 19/10; 2; 32/19; 24/13; 9/5; 15/8; 37/20; 19/10; ; 17/10; ; 2
