META; english/championship/hull-v-birmingham; 2017-09-24 02:22:05 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; ; 10/11; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
Birmingham; ; 11/4; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/championship/hull-v-birmingham; 2017-09-24 10:22:03 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; ; 10/11; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
Birmingham; ; 11/4; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/championship/hull-v-birmingham; 2017-09-24 14:22:06 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 5/6; 10/11; ; ; ; ; 9/10; 10/11; 1; ; ; ; ; ; ; 10/11; ; ; 10/11; ; ; 1; ; 10/11; ; ; ; ; 
Hull; 19/20; 10/11; 19/20; 19/20; 10/11; 9/10; 19/20; 10/11; 19/20; 19/20; 20/21; 19/20; ; 20/21; 10/11; 19/20; 11/13; 11/12; 19/20; 101/100; 9/10; 11/12; 10/11; 20/21; 10/11; ; 5/6; 10/11; 
Draw; 23/10; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 23/10; 49/20; ; 11/4; 13/5; 5/2; 12/5; 27/11; 27/11; 129/50; 27/11; 27/11; 5/2; 12/5; 5/2; ; 12/5; 11/5; 
Birmingham; 3; 3; 29/10; 14/5; 3; 10/3; 3; 3; 3; 29/10; 3; 3; ; 16/5; 3; 3; 16/5; 56/19; 56/19; 31/10; 11/4; 56/19; 3; 29/10; 3; ; 14/5; 12/5; 
META; english/championship/hull-v-birmingham; 2017-09-27 18:20:54 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 19/20; 10/11; 19/20; 19/20; 10/11; 9/10; 19/20; 10/11; 19/20; 19/20; 20/21; 19/20; ; 20/21; 10/11; 19/20; 11/13; 11/12; 19/20; 101/100; 9/10; 11/12; 10/11; 20/21; 10/11; ; 8/11; 10/11; 20/21
Draw; 23/10; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 23/10; 49/20; ; 11/4; 13/5; 5/2; 12/5; 27/11; 27/11; 129/50; 27/11; 27/11; 5/2; 12/5; 5/2; ; 11/5; 11/5; 5/2
Birmingham; 3; 3; 29/10; 14/5; 3; 10/3; 3; 3; 3; 29/10; 3; 3; ; 16/5; 3; 3; 16/5; 56/19; 29/10; 31/10; 11/4; 56/19; 3; 29/10; 3; ; 4/9; 12/5; 3
META; english/championship/hull-v-birmingham; 2017-09-27 22:21:39 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 19/20; 10/11; 19/20; 19/20; 10/11; 9/10; 19/20; 10/11; 19/20; 19/20; 20/21; 19/20; ; 20/21; 10/11; 19/20; 11/13; 11/12; 19/20; 101/100; 9/10; 11/12; 10/11; 20/21; 10/11; ; 10/11; 10/11; 20/21
Draw; 23/10; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 23/10; 49/20; ; 11/4; 13/5; 5/2; 12/5; 27/11; 27/11; 129/50; 27/11; 27/11; 5/2; 12/5; 5/2; ; 23/10; 9/4; 5/2
Birmingham; 3; 3; 29/10; 14/5; 3; 10/3; 3; 3; 3; 29/10; 3; 3; ; 16/5; 3; 3; 16/5; 56/19; 29/10; 31/10; 11/4; 56/19; 3; 29/10; 3; ; 14/5; 11/4; 3
META; english/championship/hull-v-birmingham; 2017-09-28 02:21:34 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 19/20; 10/11; 19/20; 19/20; 10/11; 9/10; 19/20; 10/11; 19/20; 19/20; 20/21; 19/20; ; 10/11; 10/11; 19/20; 11/13; 11/12; 19/20; 1; 9/10; 11/12; 10/11; 20/21; 10/11; ; 10/11; 10/11; 20/21
Draw; 23/10; 12/5; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 23/10; 49/20; ; 13/5; 13/5; 5/2; 12/5; 27/11; 27/11; 131/50; 27/11; 27/11; 5/2; 12/5; 5/2; ; 12/5; 9/4; 5/2
Birmingham; 3; 29/10; 29/10; 14/5; 3; 10/3; 3; 3; 3; 29/10; 3; 3; ; 3; 3; 3; 16/5; 56/19; 29/10; 31/10; 11/4; 56/19; 3; 29/10; 3; ; 14/5; 11/4; 3
META; english/championship/hull-v-birmingham; 2017-09-28 10:21:34 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 19/20; 10/11; 10/11; 19/20; 10/11; 9/10; 19/20; 10/11; 19/20; 10/11; 20/21; 19/20; ; 10/11; 10/11; 19/20; 11/13; 11/12; 10/11; 19/20; 9/10; 11/12; 10/11; 10/11; 10/11; ; 5/6; 10/11; 10/11
Draw; 23/10; 12/5; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 49/20; ; 13/5; 13/5; 5/2; 12/5; 27/11; 5/2; 13/5; 27/11; 27/11; 5/2; 5/2; 5/2; ; 23/10; 9/4; 5/2
Birmingham; 3; 29/10; 3; 14/5; 3; 10/3; 3; 3; 3; 29/10; 14/5; 3; ; 3; 3; 3; 16/5; 56/19; 31/10; 67/20; 11/4; 56/19; 3; 29/10; 3; ; 3; 14/5; 3
META; english/championship/hull-v-birmingham; 2017-09-28 14:21:48 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 17/20; 10/11; 10/11; 19/20; 9/10; 9/10; 19/20; 5/6; 19/20; 10/11; 20/21; 19/20; ; 10/11; 10/11; 10/11; 11/13; 11/12; 10/11; 47/50; 9/10; 11/12; 10/11; 10/11; 19/20; ; 5/6; 9/10; 20/21
Draw; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 49/20; ; 5/2; 13/5; 5/2; 12/5; 27/11; 27/11; 13/5; 27/11; 27/11; 5/2; 5/2; 51/20; ; 12/5; 23/10; 5/2
Birmingham; 10/3; 29/10; 3; 14/5; 16/5; 10/3; 3; 16/5; 3; 29/10; 14/5; 3; ; 16/5; 3; 3; 16/5; 56/19; 58/19; 17/5; 11/4; 56/19; 3; 3; 3; ; 14/5; 14/5; 3
META; english/championship/hull-v-birmingham; 2017-09-28 18:21:54 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 10/11; 19/20; 1; 19/20; 10/11; 9/10; 1; 10/11; 19/20; 19/20; 20/21; 1; 11/10; 10/11; 1; 19/20; 11/13; 11/12; 19/20; 101/100; 22/23; 11/12; 10/11; 20/21; 19/20; ; 20/21; 10/11; 1
Draw; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 23/10; 12/5; 12/5; 12/5; 13/5; 5/2; 5/2; 12/5; 27/11; 12/5; 62/25; 27/11; 27/11; 5/2; 12/5; 51/20; ; 12/5; 9/4; 12/5
Birmingham; 3; 14/5; 14/5; 14/5; 3; 10/3; 31/10; 3; 3; 11/4; 14/5; 29/10; 5/2; 3; 14/5; 3; 16/5; 56/19; 3; 13/4; 28/11; 56/19; 3; 29/10; 3; ; 3; 14/5; 3
META; english/championship/hull-v-birmingham; 2017-09-28 22:21:09 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 10/11; 19/20; 19/20; 19/20; 10/11; 9/10; 1; 10/11; 19/20; 19/20; 20/21; 1; 11/10; 10/11; 1; 19/20; 11/13; 11/12; 1; 101/100; 66/67; 11/12; 1; 20/21; 19/20; ; 20/21; 10/11; 1
Draw; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 23/10; 12/5; 12/5; 12/5; 13/5; 5/2; 5/2; 12/5; 27/11; 12/5; 63/25; 27/11; 27/11; 5/2; 12/5; 5/2; ; 23/10; 11/5; 12/5
Birmingham; 3; 14/5; 14/5; 14/5; 3; 10/3; 3; 3; 3; 14/5; 14/5; 29/10; 5/2; 3; 14/5; 3; 16/5; 56/19; 56/19; 16/5; 37/13; 56/19; 3; 29/10; 3; ; 3; 3; 3
META; english/championship/hull-v-birmingham; 2017-09-29 02:20:32 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 10/11; 19/20; 19/20; 19/20; 10/11; 9/10; 1; 10/11; 19/20; 19/20; 20/21; 1; 11/10; 10/11; 1; 19/20; 11/13; 11/12; 19/20; 101/100; 66/67; 11/12; 1; 20/21; 19/20; ; 20/21; 10/11; 1
Draw; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 49/20; 12/5; 13/5; 5/2; 5/2; 12/5; 27/11; 12/5; 63/25; 27/11; 27/11; 5/2; 12/5; 5/2; ; 23/10; 11/5; 12/5
Birmingham; 3; 14/5; 14/5; 14/5; 3; 10/3; 3; 3; 3; 14/5; 14/5; 29/10; 5/2; 3; 14/5; 3; 16/5; 56/19; 56/19; 16/5; 37/13; 56/19; 3; 29/10; 3; ; 3; 3; 3
META; english/championship/hull-v-birmingham; 2017-09-29 10:20:32 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
