META; english/championship/aston-villa-v-birmingham; 2018-02-03 22:19:45 GMT+2; 2018-02-11 12:00; Nothing; Xlenovo
Aston Villa; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Birmingham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 
META; english/championship/aston-villa-v-birmingham; 2018-02-04 02:19:36 GMT+2; 2018-02-11 12:00; Nothing; Xlenovo
Aston Villa; ; 8/13; ; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Draw; ; 14/5; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
Birmingham; ; 9/2; ; ; 47/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 
META; english/championship/aston-villa-v-birmingham; 2018-02-04 10:19:35 GMT+2; 2018-02-11 12:00; Nothing; Xlenovo
Aston Villa; 13/20; 8/11; 8/11; 7/10; 37/50; ; 7/10; ; 4/6; 8/11; 4/6; ; 5/7; 3/4; 8/11; 7/10; 9/13; 8/13; 14/19; 4/6; 4/6; 7/10; 7/10; 9/13; ; 4/6; 8/11; 8/11
Draw; 5/2; 5/2; 12/5; 12/5; 133/50; ; 5/2; ; 45/17; 12/5; 5/2; ; 12/5; 12/5; 5/2; 12/5; 27/11; 14/5; 5/2; 13/5; 5/2; 13/5; 49/20; 5/2; ; 12/5; 23/10; 13/5
Birmingham; 19/4; 17/4; 9/2; 9/2; 24/5; ; 9/2; ; 22/5; 9/2; 9/2; ; 9/2; 9/2; 9/2; 9/2; 22/5; 17/4; 43/10; 43/10; 9/2; 22/5; 9/2; 49/11; ; 4; 10/3; 24/5
META; english/championship/aston-villa-v-birmingham; 2018-02-06 22:20:05 GMT+2; 2018-02-11 12:00; Nothing; Xlenovo
Aston Villa; 13/20; 8/11; 8/11; 7/10; 37/50; ; 7/10; ; 4/6; 8/11; 4/6; ; 5/7; 3/4; 8/11; 7/10; 9/13; 8/13; 14/19; 4/6; 4/6; 7/10; 7/10; 9/13; ; 4/6; 8/11; 8/11
Draw; 5/2; 5/2; 12/5; 12/5; 133/50; ; 5/2; ; 45/17; 12/5; 5/2; ; 12/5; 12/5; 5/2; 12/5; 27/11; 14/5; 5/2; 13/5; 5/2; 13/5; 49/20; 5/2; ; 12/5; 23/10; 13/5
Birmingham; 19/4; 17/4; 9/2; 9/2; 24/5; ; 9/2; ; 22/5; 9/2; 9/2; ; 9/2; 9/2; 9/2; 9/2; 22/5; 17/4; 43/10; 43/10; 9/2; 22/5; 9/2; 49/11; ; 4; 10/3; 24/5
META; english/championship/aston-villa-v-birmingham; 2018-02-07 02:20:02 GMT+2; 2018-02-11 12:00; Nothing; Xlenovo
Aston Villa; 13/20; 8/11; 8/11; 7/10; 37/50; ; 7/10; ; 4/6; 8/11; 4/6; ; 5/7; 3/4; 8/11; 7/10; 9/13; 8/13; 14/19; 4/6; 4/6; 7/10; 7/10; 9/13; ; 4/6; 8/11; 8/11
Draw; 5/2; 5/2; 12/5; 12/5; 133/50; ; 5/2; ; 45/17; 12/5; 5/2; ; 12/5; 12/5; 5/2; 12/5; 27/11; 14/5; 5/2; 13/5; 5/2; 13/5; 49/20; 5/2; ; 12/5; 23/10; 13/5
Birmingham; 19/4; 17/4; 9/2; 9/2; 24/5; ; 9/2; ; 22/5; 9/2; 9/2; ; 9/2; 9/2; 9/2; 9/2; 22/5; 17/4; 43/10; 43/10; 9/2; 22/5; 9/2; 49/11; ; 4; 10/3; 24/5
META; english/championship/aston-villa-v-birmingham; 2018-02-07 10:20:04 GMT+2; 2018-02-11 12:00; Nothing; Xlenovo
Aston Villa; 13/20; 8/11; 8/11; 7/10; 37/50; ; 7/10; ; 4/6; 8/11; 4/6; ; 5/7; 8/11; 8/11; 7/10; 5/7; 8/13; 14/19; 4/6; 8/11; 7/10; 7/10; 5/7; ; 4/6; 8/11; 
Draw; 5/2; 5/2; 12/5; 12/5; 133/50; ; 5/2; ; 45/17; 12/5; 5/2; ; 12/5; 49/20; 5/2; 12/5; 27/11; 14/5; 5/2; 13/5; 13/5; 13/5; 49/20; 27/11; ; 12/5; 23/10; 
Birmingham; 19/4; 17/4; 9/2; 9/2; 24/5; ; 9/2; ; 22/5; 9/2; 9/2; ; 9/2; 9/2; 9/2; 9/2; 17/4; 17/4; 43/10; 43/10; 9/2; 22/5; 9/2; 43/10; ; 7/2; 10/3; 
META; english/championship/aston-villa-v-birmingham; 2018-02-07 14:20:14 GMT+2; 2018-02-11 12:00; Nothing; Xlenovo
Aston Villa; 13/20; 8/11; 8/11; 7/10; 37/50; 8/11; 7/10; 4/6; 4/6; 8/11; 4/6; 8/11; 5/7; 8/11; 8/11; 7/10; 5/7; 8/13; 14/19; 4/6; 8/11; 7/10; 7/10; 5/7; ; 4/6; 8/11; 8/11
Draw; 5/2; 5/2; 12/5; 12/5; 133/50; 27/10; 5/2; 13/5; 45/17; 12/5; 5/2; 12/5; 12/5; 49/20; 5/2; 12/5; 5/2; 14/5; 5/2; 13/5; 13/5; 13/5; 49/20; 28/11; ; 12/5; 12/5; 13/5
