META; english/championship/nottingham-forest-v-birmingham; 2018-02-24 22:19:48 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; ; 1; ; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/11; ; ; ; 4/7; ; 
Draw; ; 12/5; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; 19/10; ; 
Birmingham; ; 11/4; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/championship/nottingham-forest-v-birmingham; 2018-02-25 02:19:23 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; ; 1; ; ; ; ; 20/21; 4/5; 11/13; ; ; 10/11; ; ; ; ; 5/6; ; ; 11/13; ; 10/11; ; 13/15; ; 4/7; ; 
Birmingham; 16/5; 16/5; 16/5; 3; ; 27/10; 3; 5/2; 13/4; 16/5; 16/5; 7/2; 3; ; 3; 10/3; 41/13; 13/4; 14/5; 16/5; 100/30; 33/10; 16/5; 16/5; ; 3; ; 13/5
META; english/championship/nottingham-forest-v-birmingham; 2018-02-26 14:20:13 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 10/11; 10/11; 19/20; 19/20; 99/100; 11/10; 20/21; 1; 11/13; 19/20; 19/20; 10/11; 19/20; 19/20; 19/20; 19/20; 10/11; 13/15; 9/10; 11/13; 37/40; 10/11; 10/11; ; 20/21; ; 20/21
Draw; 23/10; 12/5; 9/4; 12/5; 62/25; 23/10; 23/10; 21/10; 5/2; 11/5; 12/5; 23/10; 12/5; 23/10; 5/2; 23/10; 23/10; 23/10; 11/5; 27/11; 12/5; 47/20; ; ; 9/4; ; 12/5
Birmingham; 16/5; 16/5; 16/5; 3; 67/20; 27/10; 3; 5/2; 13/4; 3; 3; 3; 3; 16/5; 3; 3; 41/13; 13/4; 14/5; 16/5; 16/5; 16/5; ; ; 3; ; 10/3
META; english/championship/nottingham-forest-v-birmingham; 2018-02-26 18:20:08 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 10/11; 10/11; 19/20; 19/20; 99/100; 11/10; 20/21; 1; 11/13; 19/20; 1; 10/11; ; 19/20; 19/20; 19/20; 10/11; 13/15; 9/10; 11/13; 37/40; 10/11; 10/11; ; 20/21; 10/11; 20/21
Draw; 23/10; 12/5; 9/4; 12/5; 62/25; 23/10; 23/10; 21/10; 5/2; 11/5; 9/4; 23/10; ; 23/10; 5/2; 23/10; 23/10; 23/10; 11/5; 27/11; 12/5; 47/20; ; ; 11/5; 23/10; 12/5
Birmingham; 16/5; 16/5; 16/5; 3; 67/20; 27/10; 3; 5/2; 13/4; 3; 3; 3; ; 16/5; 3; 3; 41/13; 13/4; 14/5; 16/5; 16/5; 16/5; ; ; 3; 3; 10/3
META; english/championship/nottingham-forest-v-birmingham; 2018-02-26 22:20:06 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 10/11; 10/11; 19/20; 19/20; 99/100; 11/10; 20/21; 1; 9/10; 19/20; 19/20; 10/11; ; 19/20; 19/20; 19/20; 5/6; 13/15; 9/10; 8/9; 37/40; 10/11; 5/6; ; 10/11; 10/11; 20/21
Draw; 23/10; 12/5; 9/4; 12/5; 62/25; 23/10; 23/10; 21/10; 27/11; 11/5; 23/10; 23/10; ; 23/10; 5/2; 23/10; 21/10; 23/10; 11/5; 12/5; 12/5; 47/20; 21/10; ; 11/5; 23/10; 12/5
Birmingham; 16/5; 16/5; 16/5; 3; 67/20; 27/10; 3; 5/2; 16/5; 3; 3; 3; ; 16/5; 3; 3; 14/5; 13/4; 14/5; 31/10; 16/5; 16/5; 37/13; ; 3; 3; 10/3
META; english/championship/nottingham-forest-v-birmingham; 2018-02-27 02:20:02 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 10/11; 10/11; 19/20; 19/20; 20/21; 11/10; 20/21; 1; 9/10; 19/20; 19/20; 10/11; ; 19/20; 19/20; 19/20; 10/11; 13/15; 9/10; 8/9; 37/40; 10/11; 10/11; ; 20/21; 10/11; 20/21
Draw; 23/10; 12/5; 9/4; 12/5; 123/50; 23/10; 23/10; 21/10; 27/11; 11/5; 23/10; 23/10; ; 23/10; 5/2; 23/10; 23/10; 23/10; 11/5; 12/5; 12/5; 47/20; 23/10; ; 11/5; 23/10; 12/5
Birmingham; 16/5; 16/5; 16/5; 3; 71/20; 27/10; 16/5; 5/2; 16/5; 3; 3; 3; ; 16/5; 3; 3; 58/19; 13/4; 14/5; 31/10; 16/5; 16/5; 58/19; ; 3; 14/5; 10/3
META; english/championship/nottingham-forest-v-birmingham; 2018-02-27 10:20:02 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 10/11; 10/11; 19/20; 19/20; 99/100; 11/10; 20/21; 1; 9/10; 19/20; 19/20; 10/11; ; 19/20; 19/20; 19/20; 10/11; 13/15; 9/10; 8/9; 37/40; 10/11; 10/11; ; 20/21; 10/11; 20/21
Draw; 23/10; 12/5; 9/4; 12/5; 62/25; 23/10; 23/10; 21/10; 27/11; 11/5; 23/10; 23/10; ; 23/10; 5/2; 23/10; 23/10; 23/10; 11/5; 12/5; 12/5; 47/20; 23/10; ; 11/5; 23/10; 12/5
Birmingham; 16/5; 16/5; 16/5; 3; 67/20; 27/10; 3; 5/2; 16/5; 3; 3; 3; ; 16/5; 3; 3; 58/19; 13/4; 14/5; 31/10; 16/5; 16/5; 31/10; ; 3; 14/5; 10/3
META; english/championship/nottingham-forest-v-birmingham; 2018-02-27 14:20:54 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 10/11; 10/11; 19/20; 19/20; 99/100; 11/10; 20/21; 1; 9/10; 19/20; 19/20; 10/11; ; 19/20; 19/20; 19/20; 10/11; 13/15; 9/10; 8/9; 37/40; 10/11; 10/11; ; 20/21; 20/21; 20/21
Draw; 23/10; 12/5; 9/4; 12/5; 62/25; 23/10; 12/5; 21/10; 27/11; 9/4; 23/10; 23/10; ; 23/10; 5/2; 23/10; 23/10; 23/10; 11/5; 12/5; 12/5; 47/20; 23/10; ; 21/10; 23/10; 12/5
Birmingham; 16/5; 16/5; 16/5; 3; 67/20; 27/10; 3; 5/2; 16/5; 16/5; 3; 3; ; 16/5; 3; 3; 58/19; 13/4; 14/5; 31/10; 16/5; 16/5; 31/10; ; 3; 10/3; 10/3
META; english/championship/nottingham-forest-v-birmingham; 2018-02-27 18:20:06 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 10/11; 10/11; 19/20; 19/20; 99/100; 11/10; 20/21; 1; 9/10; 19/20; 19/20; 10/11; ; 19/20; 19/20; 19/20; 10/11; 13/15; 9/10; 8/9; 37/40; 10/11; 10/11; ; 20/21; 20/21; 20/21
Draw; 23/10; 12/5; 9/4; 12/5; 62/25; 23/10; 23/10; 21/10; 27/11; 9/4; 23/10; 23/10; ; 23/10; 5/2; 23/10; 23/10; 23/10; 11/5; 12/5; 12/5; 47/20; 23/10; ; 21/10; 23/10; 12/5
Birmingham; 16/5; 16/5; 16/5; 3; 67/20; 27/10; 3; 5/2; 16/5; 16/5; 3; 3; ; 16/5; 3; 3; 58/19; 13/4; 14/5; 31/10; 16/5; 16/5; 31/10; ; 3; 10/3; 10/3
META; english/championship/nottingham-forest-v-birmingham; 2018-03-02 17:44:08 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 1; 19/20; 19/20; 10/11; 21/20; 1; 20/21; 10/11; 19/20; 19/20; 10/11; 20/21; 1; 1; 19/20; 19/20; 13/15; 22/23; 11/12; 1; 19/20; 19/20; 1; 1; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 12/5; 5/2; 23/10; 23/10; 40/17; 9/4; 12/5; 21/10; 11/5; 9/4; 23/10; 9/4; 11/5; 23/10; 23/10; 23/10; 23/10; 47/20; 9/4; 11/5; 23/10; 23/10
Birmingham; 7/2; 3; 7/2; 16/5; 10/3; 16/5; 3; 13/4; 16/5; 10/3; 3; 31/10; 3; 16/5; 29/10; 13/4; 16/5; 16/5; 16/5; 16/5; 56/19; 3; 10/3; 3; ; 
META; english/championship/nottingham-forest-v-birmingham; 2018-03-02 22:21:45 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 1; 19/20; 19/20; 10/11; 101/00; 1; 10/11; 19/20; 19/20; 10/11; 20/21; 21/20; 1; 19/20; 19/20; 13/15; 22/23; 11/12; 1; 19/20; 19/20; 20/21; 20/21; 20/21; ; 
Draw; 23/10; 23/10; 9/4; 11/5; 121/0; 5/2; 23/10; 23/10; 40/17; 9/4; 12/5; 21/10; 11/5; 9/4; 23/10; 9/4; 11/5; 23/10; 23/10; 23/10; 23/10; 47/20; 9/4; 9/4; 23/10; 12/5
Birmingham; 7/2; 3; 16/5; 7/2; 67/20; 10/3; 3; 13/4; 16/5; 10/3; 3; 31/10; 3; 16/5; 3; 13/4; 16/5; 16/5; 16/5; 16/5; 58/19; 10/3; 10/3; 10/3; ; 
META; english/championship/nottingham-forest-v-birmingham; 2018-03-03 02:21:28 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 1; 19/20; 19/20; 10/11; 101/00; 1; 10/11; 19/20; 19/20; 10/11; 20/21; 21/20; 1; 19/20; 19/20; 13/15; 66/67; 11/12; 1; 19/20; 19/20; 20/21; 1; 20/21; ; 
Draw; 23/10; 23/10; 9/4; 11/5; 121/0; 5/2; 23/10; 23/10; 40/17; 9/4; 12/5; 21/10; 11/5; 9/4; 23/10; 9/4; 11/5; 23/10; 23/10; 23/10; 23/10; 47/20; 9/4; 9/4; 23/10; 9/4
Birmingham; 7/2; 3; 7/2; 67/20; 10/3; 16/5; 3; 13/4; 16/5; 10/3; 3; 31/10; 3; 16/5; 3; 13/4; 31/10; 16/5; 16/5; 16/5; 58/19; 3; 10/3; 10/3; ; 
META; english/championship/nottingham-forest-v-birmingham; 2018-03-03 10:22:06 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 21/20; 19/20; 21/20; 1; 109/00; 1; 21/20; 10/11; 19/20; 21/20; 10/11; 20/21; 21/20; 21/20; 1; 1; 13/15; 17/16; 11/12; 11/10; 1; 1; 21/20; ; ; 
Draw; 23/10; 23/10; 9/4; 11/5; 58/25; 5/2; 9/4; 23/10; 40/17; 23/10; 12/5; 11/5; 23/10; 9/4; 23/10; 9/4; 9/4; 23/10; 23/10; 23/10; 23/10; 47/20; 23/10; 11/5; 23/10; 23/10
Birmingham; 10/3; 3; 3; 63/20; 10/3; 3; 13/4; 3; 10/3; 14/5; 14/5; 29/10; 3; 3; 13/4; 14/5; 16/5; 3; 58/19; 3; 3; ; ; ; ; 
META; english/championship/nottingham-forest-v-birmingham; 2018-03-03 14:21:28 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 21/20; 1; 1; 11/10; 21/20; 21/20; 1; 42/41; 1; 10/11; 1; 21/20; 21/20; 1; 21/20; 13/15; 21/20; 1; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 
Draw; 23/10; 9/4; 9/4; 11/5; 58/25; 23/10; 9/4; 21/10; 9/4; 9/4; 12/5; 21/10; 23/10; 11/5; 11/5; 9/4; 9/4; 23/10; 23/10; 11/5; 23/10; 23/10; 21/10; 9/4; 9/4
Birmingham; 10/3; 29/10; 3; 31/10; 10/3; 3; 3; 10/3; 14/5; 14/5; 3; 37/13; 13/4; 29/10; 56/19; 31/10; 3; 29/10; 3; 3; ; ; ; ; 
META; english/championship/nottingham-forest-v-birmingham; 2018-03-03 18:21:15 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 1/4; 1/4; 2/9; 1/4; 8/25; 2/9; 1/4; 1/5; 2/9; 2/7; 1/4; 1/4; 2/7; 1/4; 2/9; 1/4; 1/5; 1/4; 1/4; 1/4; 3/10; 2/7; 2/7
Draw; 4; 18/5; 4; 19/5; 4; 17/4; 7/2; 4; 15/4; 7/2; 15/4; 7/2; 4; 19/5; 4; 15/4; 4; 50/13; 7/2; 4; 7/2; ; 
Birmingham; 18; 22; 16; 16; 23/2; 19; 20; 14; 16; 18; 14; 12; 14; 12; 16; 33/2; 20; 27/2; 22; 67/4; 17; 20; 88/5
