Leeds; 13/20; 8/11; 8/11; 4/6; 4/6; 7/10; 7/10; 4/6; 13/18; 8/11; 8/11; 3/4; ; 4/6; 7/10; 7/10; 11/17; 9/13; 3/4; 7/10; 13/18; 8/11; 7/10; 7/10; ; 8/11; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 29/10; 13/5; 11/4; 27/10; 13/5; 13/5; 27/10; ; 29/10; 14/5; 13/5; 14/5; 45/17; 57/20; 28/11; 45/17; 14/5; 14/5; 14/5; ; 5/2; ; 
Reading; 4; 19/5; 19/5; 9/2; 4; 21/5; 15/4; 4; 39/10; 15/4; 4; 19/5; ; 4; 4; 15/4; 4; 19/5; 43/10; 33/10; 19/5; 19/5; 4; 15/4; ; 7/2; ; 
META; english/championship/leeds-v-reading; 2017-10-05 22:21:57 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 8/11; 8/11; 3/4; 4/5; 4/6; 7/10; 8/11; 4/6; 13/18; 3/4; 3/4; 4/5; ; 8/11; 3/4; 8/11; 11/17; 5/7; 3/4; 3/4; 13/18; 4/5; 3/4; 3/4; ; 8/11; ; 
Draw; 11/4; 13/5; 13/5; 13/5; 11/4; 29/10; 13/5; 11/4; 27/10; 5/2; 5/2; 13/5; ; 14/5; 13/5; 13/5; 14/5; 13/5; 57/20; 28/11; 45/17; 11/4; 11/4; 27/10; ; 5/2; ; 
Reading; 7/2; 19/5; 18/5; 17/5; 4; 21/5; 7/2; 4; 39/10; 18/5; 15/4; 18/5; ; 4; 4; 7/2; 4; 62/17; 43/10; 3; 19/5; 7/2; 15/4; 7/2; ; 7/2; ; 
META; english/championship/leeds-v-reading; 2017-10-06 02:23:17 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 8/11; 3/4; 3/4; 4/5; 4/6; 7/10; 8/11; 4/6; 13/18; 3/4; 3/4; 4/5; ; 8/11; 3/4; 8/11; 11/17; 5/7; 3/4; 3/4; 13/18; 4/5; 3/4; 3/4; ; 8/11; ; 
Draw; 11/4; 13/5; 13/5; 13/5; 11/4; 29/10; 13/5; 11/4; 27/10; 5/2; 5/2; 13/5; ; 14/5; 13/5; 13/5; 14/5; 13/5; 57/20; 28/11; 45/17; 11/4; 11/4; 27/10; ; 5/2; ; 
Reading; 7/2; 7/2; 18/5; 17/5; 4; 21/5; 7/2; 4; 39/10; 18/5; 15/4; 18/5; ; 4; 4; 7/2; 4; 62/17; 43/10; 3; 19/5; 7/2; 15/4; 7/2; ; 7/2; ; 
META; english/championship/leeds-v-reading; 2017-10-06 10:21:54 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 8/11; 3/4; 3/4; 4/5; 4/6; 7/10; 8/11; 4/6; 13/18; 3/4; 3/4; 4/5; ; 8/11; 3/4; 8/11; 11/17; 5/7; 3/4; 3/4; 13/18; 4/5; 3/4; 3/4; ; 8/11; ; 
Draw; 11/4; 13/5; 13/5; 13/5; 11/4; 29/10; 13/5; 11/4; 27/10; 5/2; 5/2; 13/5; ; 14/5; 13/5; 13/5; 14/5; 13/5; 57/20; 28/11; 45/17; 11/4; 11/4; 27/10; ; 5/2; ; 
Reading; 7/2; 7/2; 18/5; 17/5; 4; 21/5; 7/2; 4; 39/10; 18/5; 15/4; 18/5; ; 4; 4; 7/2; 4; 62/17; 43/10; 3; 19/5; 7/2; 15/4; 7/2; ; 7/2; ; 
META; english/championship/leeds-v-reading; 2017-10-06 14:22:31 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 8/11; 3/4; 3/4; 4/5; 4/6; 7/10; 8/11; 4/6; 13/18; 3/4; 3/4; 4/5; ; 8/11; 3/4; 8/11; 11/17; 5/7; 3/4; 3/4; 13/18; 4/5; 3/4; 3/4; ; 8/11; ; 
Draw; 11/4; 13/5; 13/5; 13/5; 11/4; 29/10; 13/5; 11/4; 27/10; 5/2; 5/2; 13/5; ; 14/5; 13/5; 13/5; 14/5; 13/5; 57/20; 28/11; 45/17; 11/4; 11/4; 27/10; ; 5/2; ; 
Reading; 7/2; 7/2; 18/5; 17/5; 4; 21/5; 7/2; 4; 39/10; 18/5; 15/4; 18/5; ; 4; 4; 7/2; 4; 62/17; 43/10; 3; 19/5; 7/2; 15/4; 7/2; ; 6/5; ; 
