META; english/championship/barnsley-v-ipswich; 2017-08-06 02:19:59 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; ; 11/8; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Ipswich; ; 9/5; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; 9/5; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; ; ; ; ; 
META; english/championship/barnsley-v-ipswich; 2017-08-06 10:19:55 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; ; 11/8; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Ipswich; ; 9/5; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; 9/5; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; ; ; ; ; 
META; english/championship/barnsley-v-ipswich; 2017-08-06 14:20:01 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Draw; 11/5; 23/10; 11/5; 11/5; 11/5; 23/10; 23/10; 11/5; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 23/10; 23/10; 11/5; 11/5; 11/5; 47/20; 23/10; 11/5; ; 23/10; 11/5; ; 11/5; 2; 23/10
META; english/championship/barnsley-v-ipswich; 2017-08-08 18:20:16 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 8/5; 6/4; 8/5; 29/20; 6/4; 31/20; 6/4; 6/4; 6/4; 17/11; 31/20; 31/20; 6/4; 6/4; 6/4; 17/11; 17/11; 31/21; 17/11; 33/20; 17/12; 31/21; ; 6/4; 8/5; ; 6/4; 7/5; 13/8
Ipswich; 7/4; 9/5; 37/20; 17/10; 15/8; 37/20; 15/8; 15/8; 19/10; 9/5; 9/5; 9/5; 37/20; 19/10; 15/8; 15/8; 7/4; 15/8; 9/5; 19/10; 7/4; 15/8; ; 15/8; 9/5; ; 9/5; 17/10; 19/10
Draw; 11/5; 23/10; 11/5; 11/5; 11/5; 23/10; 23/10; 11/5; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 23/10; 23/10; 11/5; 11/5; 9/4; 47/20; 23/10; 11/5; ; 23/10; 11/5; ; 11/5; 21/10; 23/10
META; english/championship/barnsley-v-ipswich; 2017-08-08 22:20:24 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 8/5; 6/4; 8/5; 29/20; 6/4; 31/20; 6/4; 6/4; 6/4; 17/11; 31/20; 31/20; 6/4; 6/4; 6/4; 17/11; 17/11; 31/21; 17/11; 33/20; 17/12; 31/21; 8/5; 6/4; 8/5; ; 6/4; 7/5; 13/8
Ipswich; 7/4; 9/5; 37/20; 17/10; 15/8; 37/20; 15/8; 15/8; 19/10; 9/5; 9/5; 9/5; 37/20; 19/10; 15/8; 15/8; 7/4; 15/8; 9/5; 19/10; 7/4; 15/8; 7/4; 15/8; 9/5; ; 9/5; 17/10; 19/10
Draw; 11/5; 23/10; 11/5; 11/5; 11/5; 23/10; 23/10; 11/5; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 23/10; 23/10; 11/5; 11/5; 9/4; 47/20; 23/10; 11/5; 23/10; 23/10; 11/5; ; 11/5; 21/10; 23/10
META; english/championship/barnsley-v-ipswich; 2017-08-09 02:20:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 6/4; 6/4; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4; 17/11; 17/11; 31/21; 17/11; 77/50; 17/12; 31/21; 6/4; 6/4; 6/4; ; 6/4; 7/5; 6/4
Ipswich; 9/5; 9/5; 19/10; 17/10; 15/8; 19/10; 15/8; 15/8; 19/10; 9/5; 15/8; 9/5; 37/20; 19/10; 15/8; 19/10; 7/4; 15/8; 24/13; 51/25; 7/4; 15/8; 15/8; 15/8; 15/8; ; 9/5; 9/5; 2
Draw; 11/5; 23/10; 9/4; 11/5; 11/5; 23/10; 23/10; 11/5; 9/4; 11/5; 11/5; 23/10; 9/4; 9/4; 23/10; 23/10; 11/5; 11/5; 9/4; 59/25; 23/10; 11/5; 23/10; 23/10; 11/5; ; 11/5; 2; 23/10
META; english/championship/barnsley-v-ipswich; 2017-08-09 10:20:15 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 6/4; 6/4; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 17/11; 17/11; 31/21; 6/4; 77/50; 17/12; 31/21; 6/4; 6/4; 6/4; ; 7/5; ; 6/4
