META; english/championship/derby-v-ipswich; 2017-11-25 22:20:47 GMT+2; 2017-11-28 19:45; Nothing; Xlenovo
Ipswich; 5; 4; 17/4; 9/2; 9/2; 9/2; 17/4; 4; 19/4; 17/4; 9/2; 9/2; 5; 9/2; 9/2; 9/2; 17/4; 49/11; 9/2; 21/5; 23/5; 9/2; 9/2; 9/2; 9/2; ; 23/5; 22/5; 23/5
META; english/championship/derby-v-ipswich; 2017-11-28 10:21:24 GMT+2; 2017-11-28 19:45; Nothing; Xlenovo
Derby; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 4/6; 8/13; 3/5; 7/10; 4/6; 7/10; 8/13; 7/10; 7/10; 4/6; 8/13; 11/17; 7/10; 9/13; 7/12; 8/13; 7/10; 4/6; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 13/5; 27/10; 13/5; 3; 29/10; 14/5; 11/4; 3; 14/5; 11/4; 13/5; 13/5; 11/4; 14/5; 14/5; 14/5; 37/13; 3; 37/13; 56/19; 14/5; 3; 29/10; 37/13; ; 14/5; 27/10; 14/5
Ipswich; 5; 4; 21/5; 9/2; 9/2; 9/2; 17/4; 9/2; 19/4; 9/2; 9/2; 4; 5; 17/4; 4; 9/2; 17/4; 74/17; 9/2; 4; 23/5; 9/2; 9/2; 9/2; 22/5; ; 23/5; 21/5; 24/5
META; english/championship/derby-v-ipswich; 2017-11-28 14:21:20 GMT+2; 2017-11-28 19:45; Nothing; Xlenovo
Derby; 7/10; 8/13; 8/11; 7/10; ; 7/10; 7/10; 8/11; 7/10; 8/11; 4/6; 7/10; 8/13; 7/10; 7/10; 7/10; 11/17; 9/13; 7/10; 5/7; 4/6; 4/6; 8/11; 4/6; 9/13; ; 4/6; 4/6; 8/11
Draw; 14/5; 11/4; 11/4; 11/4; ; 14/5; 11/4; 13/5; 37/13; 14/5; 11/4; 13/5; 13/5; 27/10; 14/5; 14/5; 13/5; 11/4; 57/20; 37/13; 14/5; 14/5; 14/5; 29/10; 14/5; ; 27/10; 27/10; 14/5
Ipswich; 19/4; 9/2; 17/4; 4; ; 4; 4; 4; 4; 17/4; 9/2; 4; 5; 17/4; 4; 9/2; 17/4; 54/13; 24/5; 19/5; 39/10; 17/4; 9/2; 9/2; 54/13; ; 9/2; 9/2; 23/5
META; english/championship/derby-v-ipswich; 2017-11-28 18:21:18 GMT+2; 2017-11-28 19:45; Nothing; Xlenovo
Derby; 7/10; 7/10; 7/10; 7/10; 11/17; 7/10; 8/11; 8/11; 7/10; 8/11; 4/6; 7/10; 8/13; 7/10; 7/10; 7/10; 11/17; 9/13; 7/10; 7/10; 4/6; 4/6; 8/11; 8/11; 9/13; ; 4/6; 4/6; 4/6
Draw; 14/5; 13/5; 11/4; 11/4; 13/5; 14/5; 11/4; 13/5; 37/13; 14/5; 11/4; 11/4; 13/5; 11/4; 14/5; 14/5; 13/5; 11/4; 57/20; 29/10; 14/5; 14/5; 14/5; 27/10; 11/4; ; 27/10; 11/4; 14/5
Ipswich; 19/4; 4; 21/5; 4; 17/4; 4; 17/4; 4; 4; 17/4; 9/2; 4; 5; 17/4; 4; 9/2; 17/4; 54/13; 24/5; 19/5; 39/10; 17/4; 22/5; 4; 21/5; ; 23/5; 9/2; 23/5
META; english/championship/derby-v-ipswich; 2017-11-28 22:21:16 GMT+2; 2017-11-28 19:45; In Play; Xlenovo
Ipswich; 6/5; 5/4; 5/4; 11/10; 11/10; ; 5/4; 1; 11/10; 6/5; 5/4; 6/5; ; 5/4; 23/20; 6/5; 11/10; 5/4; ; ; 11/10; ; 6/5; 5/4; ; ; 27/20; 5/4; 7/5
Draw; 11/5; 2; 21/10; 19/10; 2; ; 21/10; 9/4; 23/10; 21/10; 9/4; 2; ; 41/20; 21/10; 11/5; 2; 11/5; ; ; 23/10; ; 85/40; 2; ; ; 21/10; 2; 21/10
Derby; 5/2; 9/4; 5/2; 11/5; 27/10; ; 5/2; 13/5; 11/4; 5/2; 12/5; 9/4; ; 49/20; 11/5; 9/4; 27/10; 9/4; ; ; 11/4; ; 12/5; 27/10; ; ; 23/10; 13/5; 12/5
META; english/championship/derby-v-ipswich; 2017-11-29 02:21:11 GMT+2; 2017-11-28 19:45; In Play; Xlenovo
Ipswich; ; 1/50; 1/12; 1/12; 1/16; 4; 1/14; 1/25; 1/41; 2/15; 1/100; ; ; 1/9; 1/14; ; ; 1; ; ; 1/41; ; 1/14; 21/50; 1; ; ; ; 1/20
Draw; ; 20; 17/2; 24/5; 7; 14/5; 10; 13; 18; 6; 28; ; ; 6; 13/2; ; ; 61/4; ; ; 15; ; 15/2; 13/5; 31/2; ; ; ; 39/5
Derby; ; 500; 150; 25; 100; 7/10; 250; 500; 475; 80; 250; ; ; 55; 28; ; ; 397/4; ; ; 475; ; 80; 14; 401/4; ; ; ; 1/5
META; english/championship/derby-v-ipswich; 2017-11-29 10:21:17 GMT+2; 2017-11-28 19:45; In Play; Xlenovo
Ipswich; ; 1/50; 1/12; 1/12; 1/16; 4; 1/14; 1/25; 1/41; 2/15; 1/100; ; ; 1/9; 1/14; ; ; 1; ; ; 1/41; ; 1/14; 21/50; 1; ; ; ; 1/20
Draw; ; 20; 17/2; 24/5; 7; 14/5; 10; 13; 18; 6; 28; ; ; 6; 13/2; ; ; 61/4; ; ; 15; ; 15/2; 13/5; 31/2; ; ; ; 39/5
Derby; ; 500; 150; 25; 100; 7/10; 250; 500; 475; 80; 250; ; ; 55; 28; ; ; 397/4; ; ; 475; ; 80; 14; 401/4; ; ; ; 1/5
