META; english/championship/bristol-city-v-preston; 2017-11-21 02:21:27 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
Bristol City; 19/20; 10/11; 19/20; ; 19/20; 19/20; 20/21; 10/11; 11/12; 19/20; 10/11; 20/21; 17/20; 19/20; 10/11; 19/20; 9/10; 19/20; 20/21; 13/14; 8/9; 10/11; 20/21; 10/11; 19/20; ; 10/11; 10/11; 20/21
Draw; 11/4; 5/2; 5/2; ; 5/2; 27/10; 13/5; 5/2; 27/10; 5/2; 5/2; 12/5; 11/4; 13/5; 13/5; 13/5; 12/5; 13/5; 11/4; 27/10; 45/17; 13/5; 11/4; 53/20; 45/17; ; 13/5; ; 11/4
Preston; 3; 29/10; 14/5; ; 16/5; 16/5; 14/5; 3; 29/10; 14/5; 3; 3; 29/10; 29/10; 3; 3; 3; 37/13; 63/20; 14/5; 37/13; 3; 3; 3; 29/10; ; 3; 3; 3
META; english/championship/bristol-city-v-preston; 2017-11-21 10:21:37 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
Bristol City; 19/20; 1; 1; ; 19/20; 1; 1; 10/11; 11/12; 1; 10/11; 1; 17/20; 1; 19/20; 1; 9/10; 19/20; 20/21; 1; 8/9; 10/11; 1; 19/20; 1; ; 20/21; 20/21; 1
Draw; 11/4; 5/2; 5/2; ; 5/2; 11/4; 5/2; 13/5; 27/10; 13/5; 5/2; 5/2; 11/4; 13/5; 11/4; 13/5; 12/5; 13/5; 11/4; 27/10; 45/17; 13/5; 27/10; 27/10; 45/17; ; 13/5; ; 13/5
Preston; 3; 13/5; 27/10; ; 16/5; 3; 11/4; 11/4; 29/10; 11/4; 3; 11/4; 29/10; 11/4; 11/4; 14/5; 3; 11/4; 63/20; 13/5; 37/13; 14/5; 29/10; 59/20; 14/5; ; 14/5; 14/5; 14/5
META; english/championship/bristol-city-v-preston; 2017-11-21 14:21:40 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
Bristol City; 19/20; 10/11; 1; ; 19/20; 1; 20/21; 5/6; 1; 19/20; 10/11; 10/11; 17/20; 10/11; 10/11; 19/20; 10/11; 10/11; 1; 13/14; 28/29; 10/11; 19/20; 19/20; 10/11; ; 10/11; 10/11; 10/11
Draw; 11/4; 5/2; 13/5; ; 13/5; 11/4; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 11/4; 13/5; 13/5; 13/5; 5/2; 13/5; 27/10; 27/10; 28/11; 13/5; 11/4; 27/10; 45/17; ; 13/5; 13/5; 11/4
Preston; 3; 13/5; 29/10; ; 29/10; 3; 29/10; 11/4; 27/10; 3; 3; 14/5; 29/10; 29/10; 3; 14/5; 14/5; 29/10; 3; 14/5; 45/17; 14/5; 31/10; 59/20; 56/19; ; 3; 3; 14/5
META; english/championship/bristol-city-v-preston; 2017-11-21 18:21:37 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
Bristol City; 19/20; 17/20; 19/20; ; 19/20; 19/20; 1; 5/6; 9/10; 19/20; 10/11; 10/11; 19/20; 19/20; 10/11; 10/11; 10/11; 19/20; 49/50; 22/23; 13/15; 10/11; 1; 10/11; 19/20; ; 20/21; 20/21; 20/21
Draw; 11/4; 11/4; 27/10; ; 13/5; 14/5; 13/5; 13/5; 27/10; 27/10; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 45/17; 11/4; 45/17; 45/17; 13/5; 11/4; 27/10; 27/10; ; 13/5; 13/5; 14/5
Preston; 3; 3; 14/5; ; 29/10; 31/10; 14/5; 11/4; 3; 29/10; 3; 14/5; 14/5; 14/5; 3; 3; 14/5; 14/5; 61/20; 11/4; 56/19; 14/5; 29/10; 59/20; 37/13; ; 14/5; 14/5; 14/5
META; english/championship/bristol-city-v-preston; 2017-11-21 22:21:28 GMT+2; 2017-11-21 19:45; In Play; Xlenovo
Bristol City; 6/5; 1; 1; 1; 9/8; ; 1; 1; 1; 1; 11/10; 1; ; 1; 19/20; 11/10; 21/20; 9/10; ; ; ; ; 1; 21/20; 19/20; ; 20/21; 21/20; 1
Draw; 7/4; 13/8; 2; 9/5; 7/4; ; 21/10; 17/10; 39/19; 19/10; 15/8; 17/10; ; 41/20; 9/5; 7/4; 17/10; 9/4; ; ; ; ; 15/8; 9/5; 39/19; ; 2; 19/10; 9/5
Preston; 3; 7/2; 7/2; 15/4; 7/2; ; 7/2; 4; 31/10; 7/2; 10/3; 16/5; ; 16/5; 10/3; 10/3; 7/2; 33/10; ; ; ; ; 18/5; 15/4; 39/11; ; 7/2; 7/2; 7/2
