META; english/championship/hull-v-ipswich; 2017-11-05 02:21:45 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Ipswich; 14/5; 5/2; 12/5; 12/5; 11/4; ; ; 13/5; 13/5; 12/5; 11/4; 5/2; ; ; 5/2; 5/2; 13/5; 5/2; 3; 21/10; 28/11; 13/5; 13/5; 27/10; 28/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-07 14:21:37 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 21/20; 21/20; 21/20; 21/20; ; ; 1; 21/20; 21/20; 11/10; 21/20; ; ; 21/20; 1; 1; 1; 107/ 100; 68/67; 24/23; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 5/2; 5/2; 13/5; 5/2; ; ; 5/2; 5/2; 12/5; 12/5; 13/5; ; ; 13/5; 12/5; 12/5; 27/11; 51/20; 12/5; 27/11; 5/2; 5/2; 49/20; 27/11; ; ; ; 
Ipswich; 14/5; 5/2; 12/5; 12/5; 11/4; ; ; 13/5; 13/5; 12/5; 11/4; 5/2; ; ; 5/2; 5/2; 13/5; 5/2; 29/10; 11/5; 28/11; 13/5; 13/5; 27/10; 28/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-07 18:21:12 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 21/20; 21/20; 21/20; 21/20; ; ; 1; 21/20; 21/20; 11/10; 21/20; ; ; 21/20; 1; 1; 1; 109/ 100; 68/67; 24/23; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 5/2; 5/2; 13/5; 5/2; ; ; 5/2; 5/2; 12/5; 12/5; 13/5; ; ; 13/5; 12/5; 12/5; 27/11; 51/20; 12/5; 27/11; 5/2; 5/2; 49/20; 27/11; ; ; ; 
Ipswich; 14/5; 5/2; 12/5; 12/5; 11/4; ; ; 13/5; 13/5; 12/5; 11/4; 5/2; ; ; 5/2; 5/2; 13/5; 5/2; 71/25; 11/5; 28/11; 13/5; 13/5; 27/10; 28/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-07 22:21:19 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 1; 21/20; 21/20; 21/20; ; ; 1; 21/20; 21/20; 11/10; 1; ; 21/20; 21/20; 1; 1; 1; 27/25; 68/67; 24/23; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 5/2; 5/2; 13/5; 5/2; ; ; 13/5; 5/2; 5/2; 12/5; 5/2; ; 13/5; 13/5; 12/5; 12/5; 5/2; 66/25; 12/5; 27/11; 13/5; 5/2; 5/2; 28/11; ; ; ; 
Ipswich; 14/5; 5/2; 12/5; 12/5; 11/4; ; ; 13/5; 13/5; 23/10; 11/4; 5/2; ; 49/20; 5/2; 5/2; 13/5; 27/11; 139/ 50; 11/5; 28/11; 13/5; 13/5; 53/20; 27/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-08 02:21:09 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 21/20; 21/20; 21/20; 21/20; ; ; 1; 21/20; 21/20; 11/10; 1; ; 21/20; 21/20; 1; 1; 1; 27/25; 68/67; 24/23; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 13/5; 5/2; 13/5; 5/2; ; ; 13/5; 5/2; 5/2; 12/5; 5/2; ; 13/5; 13/5; 12/5; 12/5; 5/2; 66/25; 12/5; 27/11; 13/5; 13/5; 5/2; 28/11; ; ; ; 
Ipswich; 14/5; 12/5; 12/5; 12/5; 11/4; ; ; 13/5; 13/5; 23/10; 11/4; 5/2; ; 49/20; 5/2; 5/2; 13/5; 27/11; 139/ 50; 11/5; 28/11; 13/5; 5/2; 53/20; 27/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-08 10:21:16 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 21/20; 21/20; 21/20; 21/20; ; ; 1; 21/20; 21/20; 11/10; 1; ; 21/20; 21/20; 1; 1; 1; 27/25; 68/67; 24/23; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 13/5; 5/2; 13/5; 5/2; ; ; 13/5; 5/2; 5/2; 12/5; 5/2; ; 13/5; 13/5; 12/5; 12/5; 5/2; 66/25; 12/5; 27/11; 13/5; 13/5; 5/2; 28/11; ; ; ; 
Ipswich; 14/5; 12/5; 12/5; 12/5; 11/4; ; ; 13/5; 13/5; 23/10; 11/4; 5/2; ; 49/20; 5/2; 5/2; 13/5; 27/11; 139/ 50; 11/5; 28/11; 13/5; 5/2; 53/20; 27/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-08 14:22:19 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 21/20; 21/20; 21/20; 21/20; ; ; 1; 21/20; 21/20; 11/10; 1; ; 21/20; 21/20; 1; 1; 1; 107/ 100; 68/67; 24/23; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 13/5; 5/2; 13/5; 5/2; ; ; 13/5; 5/2; 5/2; 12/5; 5/2; ; 13/5; 13/5; 12/5; 12/5; 5/2; 53/20; 12/5; 27/11; 13/5; 13/5; 5/2; 28/11; ; ; ; 
