Draw; 12/5; 12/5; 9/4; 9/4; 23/10; 5/2; 12/5; 12/5; 5/2; 9/4; 9/4; 11/5; 47/20; 5/2; 12/5; 12/5; 12/5; ; 12/5; 5/2; 23/10; 27/11; ; 12/5; 23/10; ; 12/5; 9/4; 12/5
Sheffield Wednesday; 5/2; 13/5; 27/10; 5/2; 13/5; 13/5; 11/4; 13/5; 11/4; 13/5; 13/5; 5/2; 27/10; 11/4; 11/4; 27/10; 14/5; 27/10; 27/10; 143/50; 23/10; 27/10; ; 13/5; 13/5; ; 13/5; 11/4; 14/5
META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-14 02:21:21 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 21/20; 21/20; 11/10; 23/20; 21/20; 21/20; 21/20; 1; 19/20; 11/10; 11/10; 1; 21/20; 23/20; 21/20; 11/10; 19/20; 19/20; 21/20; 11/10; 68/67; 19/20; ; 11/10; 21/20; ; 21/20; 21/20; 11/10
Draw; 12/5; 12/5; 9/4; 9/4; 12/5; 5/2; 12/5; 12/5; 5/2; 9/4; 9/4; 9/4; 47/20; 5/2; 12/5; 12/5; 12/5; ; 12/5; 5/2; 23/10; 27/11; ; 12/5; 23/10; ; 12/5; 9/4; 12/5
Sheffield Wednesday; 5/2; 13/5; 27/10; 5/2; 5/2; 13/5; 11/4; 13/5; 11/4; 13/5; 13/5; 5/2; 27/10; 11/4; 11/4; 27/10; 14/5; 27/10; 27/10; 143/50; 23/10; 27/10; ; 13/5; 13/5; ; 27/10; 11/4; 14/5
META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-14 10:21:35 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 21/20; 1; 19/20; 11/10; 23/20; 21/20; 11/10; 23/20; 21/20; 15/13; 21/20; 19/20; 11/10; 23/20; 21/20; 19/20; ; 11/10; 11/10; ; 11/10; 21/20; 10/9
Draw; 12/5; 12/5; 9/4; 9/4; 23/10; 12/5; 12/5; 12/5; 5/2; 11/5; 9/4; 11/5; 47/20; 5/2; 12/5; 12/5; 23/10; ; 40/17; 12/5; 23/10; 27/11; ; 12/5; 23/10; ; 23/10; 11/5; 12/5
Sheffield Wednesday; 12/5; 13/5; 27/10; 5/2; 5/2; 13/5; 27/10; 13/5; 11/4; 5/2; 13/5; 12/5; 51/20; 11/4; 11/4; 13/5; 13/5; 27/10; 13/5; 141/50; 9/4; 27/10; ; 13/5; 5/2; ; 27/10; 11/4; 11/4
META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-14 14:21:43 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 1; 21/20; 21/20; 20/21; 21/20; 21/20; 1; 21/20; 21/20; 28/29; 11/10; 107/100; 1; 28/29; ; 21/20; 21/20; ; 1; 20/21; 21/20
Draw; 12/5; 12/5; 9/4; 23/10; 23/10; 12/5; 12/5; 23/10; 12/5; 11/5; 11/5; 21/10; 47/20; 5/2; 23/10; 12/5; 23/10; 40/17; 40/17; 61/25; 23/10; 40/17; ; 12/5; 23/10; ; 23/10; 21/10; 12/5
Sheffield Wednesday; 11/4; 13/5; 29/10; 13/5; 11/4; 14/5; 29/10; 11/4; 56/19; 14/5; 29/10; 14/5; 29/10; 3; 3; 29/10; 13/5; 29/10; 13/5; 61/20; 40/17; 29/10; ; 14/5; 14/5; ; 14/5; 11/4; 14/5
META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-14 18:21:32 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 1; 21/20; 21/20; 21/20; 1; 1; 11/10; 1; 1; 21/20; 21/20; 20/21; 1; 21/20; 1; 21/20; 21/20; 28/29; 1; 107/100; 1; 28/29; ; 21/20; 21/20; ; 1; 1; 21/20
Draw; 12/5; 12/5; 23/10; 23/10; 23/10; 12/5; 12/5; 23/10; 12/5; 11/5; 9/4; 21/10; 12/5; 5/2; 23/10; 12/5; 23/10; 40/17; 23/10; 61/25; 23/10; 40/17; ; 12/5; 23/10; ; 23/10; 9/4; 12/5
Sheffield Wednesday; 11/4; 13/5; 29/10; 13/5; 11/4; 14/5; 3; 11/4; 56/19; 14/5; 14/5; 14/5; 29/10; 3; 3; 14/5; 13/5; 29/10; 29/10; 61/20; 40/17; 29/10; ; 14/5; 14/5; ; 14/5; 14/5; 14/5
