META; english/championship/qpr-v-wolves; 2017-10-21 22:23:32 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Wolves; ; ; ; ; ; ; 6/5; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
QPR; ; ; ; ; ; ; 23/10; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/championship/qpr-v-wolves; 2017-10-22 02:22:36 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Wolves; ; 6/5; ; ; ; ; 6/5; 11/10; 11/10; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 23/20; ; ; 4/6; ; 
Draw; 12/5; 5/2; 23/10; 11/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 23/10; ; 12/5; 13/5; 12/5; 12/5; 40/17; 129/50; 40/17; 40/17; 5/2; 5/2; 49/20; 12/5; ; 23/10; 21/10; 
QPR; 13/5; 12/5; 5/2; 5/2; 11/4; 27/10; 5/2; 13/5; 28/11; 13/5; 11/4; 5/2; ; 13/5; 5/2; 5/2; 13/5; 28/11; 131/50; 23/10; 5/2; 5/2; 13/5; 5/2; 13/5; ; 5/2; 23/10; 
META; english/championship/qpr-v-wolves; 2017-10-24 10:22:13 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Wolves; 21/20; 11/10; ; 1; 21/20; 21/20; 11/10; 1; 11/10; 21/20; ; 11/10; ; 11/10; 21/20; 11/10; 1; 21/20; 23/20; 68/67; 11/10; 11/10; 11/10; 21/20; 21/20; ; 20/21; 1; 
Draw; 12/5; 12/5; ; 11/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; ; 23/10; ; 12/5; 13/5; 12/5; 12/5; 40/17; 129/50; 40/17; 40/17; 5/2; 12/5; 49/20; 12/5; ; 23/10; 21/10; 
QPR; 13/5; 5/2; ; 5/2; 11/4; 27/10; 5/2; 13/5; 28/11; 13/5; ; 5/2; ; 13/5; 5/2; 5/2; 13/5; 28/11; 131/50; 23/10; 5/2; 13/5; 13/5; 13/5; 13/5; ; 12/5; 23/10; 
META; english/championship/qpr-v-wolves; 2017-10-24 14:22:44 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Wolves; 21/20; 11/10; 11/10; 1; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 1; 11/10; ; 11/10; 21/20; 21/20; 1; 21/20; 23/20; 68/67; 11/10; 11/10; 21/20; 21/20; 21/20; ; 20/21; 1; 
Draw; 12/5; 12/5; 23/10; 11/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 23/10; ; 12/5; 13/5; 12/5; 12/5; 12/5; 129/50; 40/17; 40/17; 5/2; 5/2; 49/20; 12/5; ; 23/10; 2; 
QPR; 13/5; 5/2; 5/2; 5/2; 11/4; 27/10; 5/2; 13/5; 28/11; 13/5; 11/4; 5/2; ; 13/5; 5/2; 13/5; 13/5; 13/5; 131/50; 23/10; 5/2; 13/5; 13/5; 13/5; 13/5; ; 12/5; 11/5; 
META; english/championship/qpr-v-wolves; 2017-10-24 18:22:00 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Wolves; 21/20; 11/10; 11/10; 1; 21/20; 21/20; 11/10; 1; 11/10; 11/10; 1; 11/10; ; 23/20; 21/20; 21/20; 1; 21/20; 28/25; 13/12; 11/10; 11/10; 11/10; 21/20; 21/20; ; 20/21; ; 
Draw; 12/5; 12/5; 23/10; 11/5; 5/2; 5/2; 12/5; 12/5; 12/5; 23/10; 5/2; 23/10; ; 47/20; 13/5; 12/5; 12/5; 27/11; 13/5; 40/17; 40/17; 5/2; 5/2; 49/20; 27/11; ; 23/10; ; 
