META; english/championship/sheffield-utd-v-burton; 2018-02-24 22:19:51 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; 4/9; 4/9; 4/9; ; ; ; 4/9; 2/5; 5/11; 4/9; 4/9; 4/9; ; ; 9/20; 4/9; 4/9; 4/9; 4/9; 5/11; 1/2; 9/20; 9/20; 5/11; ; 1/3; ; 
Draw; 3; 16/5; 3; ; ; ; 16/5; 3; 13/4; 3; 16/5; 3; ; ; 100/30; 16/5; 3; 3; 31/10; 16/5; 100/30; 16/5; 16/5; 58/19; ; 14/5; ; 
Burton; 7; 13/2; 13/2; ; ; ; 13/2; 6; 6; 13/2; 13/2; 13/2; ; ; 13/2; 7; 25/4; 7; 51/10; 23/4; 13/2; 7; 13/2; 25/4; ; 26/5; ; 
META; english/championship/sheffield-utd-v-burton; 2018-02-25 18:19:59 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; 4/9; 4/9; 4/9; ; ; ; ; 2/5; 5/11; 4/9; 9/20; 4/9; 4/9; ; 9/20; 4/9; 7/15; 4/9; 4/9; 5/11; 1/2; 9/20; 9/20; 7/15; ; 1/3; ; 4/9
Draw; 3; 16/5; 3; ; ; ; 3; 3; 13/4; 3; 16/5; 3; 16/5; ; 100/30; 16/5; 58/19; 3; 31/10; 16/5; 100/30; 16/5; 16/5; 31/10; ; 14/5; ; 14/5
Burton; 7; 13/2; 13/2; ; ; ; ; 6; 6; 13/2; 13/2; 13/2; 13/2; ; 13/2; 7; 13/2; 7; 51/10; 23/4; 13/2; 7; 13/2; 13/2; ; 26/5; ; 6
META; english/championship/sheffield-utd-v-burton; 2018-02-25 22:19:58 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; 4/9; 4/9; 4/9; ; ; ; ; 2/5; 5/11; 4/9; 4/9; 4/9; 4/9; ; 9/20; 4/9; 7/15; 4/9; 4/9; 5/11; 1/2; 9/20; 9/20; 7/15; ; 1/3; ; 4/9
Draw; 3; 16/5; 3; ; ; ; 3; 3; 13/4; 3; 16/5; 3; 16/5; ; 100/30; 16/5; 58/19; 3; 31/10; 16/5; 100/30; 16/5; 16/5; 31/10; ; 23/10; ; 14/5
Burton; 7; 13/2; 13/2; ; ; ; ; 6; 6; 13/2; 13/2; 13/2; 13/2; ; 13/2; 7; 13/2; 7; 51/10; 23/4; 13/2; 7; 13/2; 13/2; ; 26/5; ; 6
META; english/championship/sheffield-utd-v-burton; 2018-02-26 02:19:36 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; 4/9; 4/9; 4/9; ; ; ; ; 2/5; 5/11; 4/9; 4/9; 4/9; 4/9; ; 9/20; 4/9; 7/15; 4/9; 4/9; 5/11; 1/2; 4/9; 9/20; 10/21; ; 4/9; ; 4/9
Draw; 3; 16/5; 3; ; ; ; 3; 11/4; 13/4; 3; 16/5; 3; 16/5; ; 100/30; 16/5; 58/19; 3; 31/10; 16/5; 100/30; 33/10; 16/5; 31/10; ; 14/5; ; 14/5
Burton; 7; 13/2; 13/2; ; ; ; ; 13/2; 6; 13/2; 13/2; 13/2; 13/2; ; 13/2; 7; 25/4; 7; 51/10; 23/4; 13/2; 7; 13/2; 25/4; ; 34/5; ; 6
META; english/championship/sheffield-utd-v-burton; 2018-02-26 10:19:38 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; 4/9; 1/2; 1/2; 1/2; ; 40/85; ; 2/5; 5/11; 1/2; 9/20; 4/9; 4/9; ; 9/20; 1/2; 10/21; 4/9; 4/9; 5/11; 1/2; 9/20; 12/25; 10/21; ; 4/9; ; 4/9
Draw; 3; 3; 3; 3; ; 31/10; 3; 11/4; 13/4; 3; 16/5; 3; 16/5; ; 100/30; 3; 58/19; 3; 31/10; 16/5; 100/30; 16/5; 16/5; 31/10; ; 14/5; ; 14/5
Burton; 7; 6; 13/2; 6; ; 15/2; ; 13/2; 6; 6; 13/2; 13/2; 13/2; ; 13/2; 13/2; 25/4; 7; 51/10; 23/4; 13/2; 13/2; 6; 25/4; ; 34/5; ; 27/5
META; english/championship/sheffield-utd-v-burton; 2018-02-26 14:20:15 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; 4/9; 1/2; 1/2; 1/2; 1/2; 40/85; ; 2/5; 5/11; 1/2; 9/20; 4/9; 4/9; 1/2; 1/2; 4/9; 5/11; 4/9; 4/9; 5/11; 9/20; 12/25; 7/15; ; 4/9; ; 4/9
Draw; 3; 3; 3; 3; 17/5; 31/10; 16/5; 11/4; 13/4; 3; 16/5; 3; 16/5; 31/10; 100/30; 3; 41/13; 3; 31/10; 16/5; 33/10; 16/5; 41/13; ; 14/5; ; 10/3
Burton; 7; 6; 13/2; 6; 7; 15/2; ; 13/2; 6; 6; 13/2; 13/2; 13/2; 13/2; 11/2; 13/2; 25/4; 7; 51/10; 23/4; 13/2; 6; 25/4; ; 34/5; ; 34/5
META; english/championship/sheffield-utd-v-burton; 2018-02-26 18:20:11 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; 4/9; 1/2; 1/2; 1/2; 1/2; 40/85; ; 2/5; 5/11; 1/2; 1/2; 4/9; ; 1/2; 1/2; 1/2; 5/11; 4/9; 4/9; 5/11; 9/20; 12/25; 7/15; ; 4/9; 4/9; 4/9
Draw; 3; 3; 3; 3; 17/5; 31/10; 16/5; 11/4; 13/4; 3; 3; 3; ; 31/10; 100/30; 3; 41/13; 3; 31/10; 16/5; 33/10; 16/5; 41/13; ; 14/5; 14/5; 10/3
Burton; 7; 6; 13/2; 6; 7; 15/2; ; 13/2; 6; 6; 13/2; 13/2; ; 13/2; 11/2; 13/2; 25/4; 7; 51/10; 23/4; 13/2; 6; 25/4; ; 34/5; 7; 34/5
META; english/championship/sheffield-utd-v-burton; 2018-02-26 22:20:08 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; 4/9; 1/2; 1/2; 1/2; 1/2; 40/85; ; 2/5; 5/11; 1/2; 1/2; 4/9; ; 1/2; 1/2; 1/2; 3/8; 4/9; 4/9; 5/11; 9/20; 12/25; 7/18; ; 1/2; 4/9; 4/9
Draw; 3; 3; 3; 3; 17/5; 31/10; 16/5; 11/4; 13/4; 3; 3; 3; ; 31/10; 100/30; 3; 37/13; 3; 31/10; 16/5; 33/10; 16/5; 37/13; ; 3; 3; 10/3
Burton; 7; 6; 13/2; 6; 7; 15/2; ; 13/2; 6; 6; 13/2; 13/2; ; 13/2; 11/2; 13/2; 11/2; 7; 51/10; 6; 13/2; 6; 28/5; ; 34/5; 7; 34/5
META; english/championship/sheffield-utd-v-burton; 2018-02-27 02:20:04 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; 4/9; 1/2; 1/2; 1/2; 1/2; 40/85; ; 2/5; 5/11; 1/2; 1/2; 4/9; ; 1/2; 1/2; 1/2; 4/9; 4/9; 4/9; 5/11; 9/20; 12/25; 4/9; ; 1/2; 4/9; 4/9
Draw; 3; 3; 3; 3; 13/4; 31/10; 16/5; 11/4; 13/4; 3; 3; 3; ; 31/10; 100/30; 3; 31/10; 3; 31/10; 16/5; 33/10; 16/5; 31/10; ; 3; 14/5; 10/3
Burton; 7; 6; 13/2; 6; 15/2; 15/2; ; 13/2; 6; 6; 13/2; 13/2; ; 13/2; 11/2; 13/2; 25/4; 7; 51/10; 6; 13/2; 6; 25/4; ; 34/5; 6; 34/5
META; english/championship/sheffield-utd-v-burton; 2018-02-27 10:20:05 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; 4/9; 1/2; 1/2; 1/2; 1/2; 40/85; ; 2/5; 5/11; 1/2; 1/2; 4/9; ; 1/2; 1/2; 1/2; 4/9; 4/9; 4/9; 5/11; 9/20; 12/25; 5/11; ; 1/2; 4/9; 4/9
Draw; 3; 3; 3; 3; 17/5; 31/10; 16/5; 11/4; 13/4; 3; 3; 3; ; 31/10; 100/30; 3; 58/19; 3; 31/10; 16/5; 33/10; 16/5; 31/10; ; 3; 14/5; 10/3
Burton; 7; 6; 13/2; 6; 7; 15/2; ; 13/2; 6; 6; 13/2; 13/2; ; 13/2; 11/2; 13/2; 25/4; 7; 51/10; 6; 13/2; 6; 25/4; ; 34/5; 6; 34/5
META; english/championship/sheffield-utd-v-burton; 2018-02-27 14:20:57 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; 4/9; 1/2; 1/2; 1/2; 1/2; 40/85; ; 2/5; 5/11; 1/2; 1/2; 4/9; ; 1/2; 1/2; 1/2; 4/9; 4/9; 4/9; 5/11; 9/20; 12/25; 5/11; ; 1/2; 4/9; 4/9
Draw; 3; 3; 3; 3; 17/5; 31/10; 16/5; 11/4; 13/4; 3; 3; 3; ; 31/10; 100/30; 3; 58/19; 3; 31/10; 16/5; 33/10; 16/5; 31/10; ; 3; 3; 10/3
Burton; 7; 6; 13/2; 6; 7; 15/2; ; 13/2; 6; 13/2; 13/2; 13/2; ; 13/2; 11/2; 13/2; 25/4; 7; 51/10; 6; 13/2; 6; 25/4; ; 34/5; 7; 34/5
META; english/championship/sheffield-utd-v-burton; 2018-02-27 18:20:09 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; 4/9; 1/2; 1/2; 1/2; 1/2; 40/85; ; 2/5; 5/11; 1/2; 1/2; 4/9; ; 1/2; 1/2; 1/2; 4/9; 4/9; 4/9; 5/11; 9/20; 12/25; 5/11; ; 1/2; 4/9; 4/9
Draw; 3; 3; 3; 3; 17/5; 31/10; 16/5; 11/4; 13/4; 3; 3; 3; ; 31/10; 100/30; 3; 58/19; 3; 31/10; 16/5; 33/10; 16/5; ; ; 3; 3; 10/3
Burton; 7; 6; 13/2; 6; 7; 15/2; ; 13/2; 6; 13/2; 13/2; 13/2; ; 13/2; 11/2; 13/2; 25/4; 7; 51/10; 6; 13/2; 6; ; ; 34/5; 7; 34/5
META; english/championship/sheffield-utd-v-burton; 2018-03-02 17:44:11 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; 4/9; 3/7; 5/11; 12/25; 3/7
Draw; 16/5; 41/13; 31/10; 16/5; 41/13
Burton; 7; 13/2; 25/4; 7; 27/4
META; english/championship/sheffield-utd-v-burton; 2018-03-02 22:21:49 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; 4/9; 5/11
Draw; 16/5; 31/10
Burton; 7; 25/4
META; english/championship/sheffield-utd-v-burton; 2018-03-03 02:21:31 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; 5/11
Draw; 31/10
Burton; 25/4
META; english/championship/sheffield-utd-v-burton; 2018-03-10 18:21:36 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Sheffield Utd; 1/3; 2/5; 4/11; 5/12; 4/11; 2/5; 4/11; 5/12; 4/11; 4/11; 1/3; 1/3
Draw; 3; 73/20; 18/5; 13/4; 7/2; 10/3; 7/2; 16/5; 7/2; 7/2; 3; 8/15
Burton; 9; 10; 10; 13/2; 11; 17/2; 10; 13/2; 19/2; 17/2; 9; 4/6
META; english/championship/sheffield-utd-v-burton; 2018-03-10 22:20:25 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Sheffield Utd; 1/3; 4/9; 1/3; 39/00; 4/11; 6/17; 4/11; 2/5; 4/11; 6/17; 4/11; 4/11; 1/3; 1/3
Draw; 15/4; 3; 4; 18/5; 7/2; 7/2; 10/3; 7/2; 17/5; 15/4; 7/2; 3; 8/11; 
Burton; 9; 15/2; 9; 89/10; 10; 17/2; 11; 17/2; 9; 9; 17/2; 9; 21/20; 
META; english/championship/sheffield-utd-v-burton; 2018-03-11 02:19:53 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Sheffield Utd; 4/11; 4/9; 1/3; 41/00; 4/11; 6/17; 4/11; 2/5; 2/5; 6/17; 4/11; 4/11; 1/3; 2/5
Draw; 15/4; 3; 4; 18/5; 7/2; 7/2; 10/3; 7/2; 17/5; 15/4; 7/2; 3; 23/20; 
Burton; 15/2; 15/2; 9; 10; 17/2; 11; 17/2; 17/2; 8; 17/2; 9; ; ; 
META; english/championship/sheffield-utd-v-burton; 2018-03-11 10:19:56 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Sheffield Utd; 4/11; 4/9; 1/3; 41/00; 4/11; 6/17; 4/11; 4/11; 2/5; 2/5; 2/5; 4/11; 6/17; 4/11; 4/11; 1/3; 2/5
Draw; 15/4; 3; 4; 18/5; 7/2; 7/2; 10/3; 10/3; 7/2; 7/2; 15/4; 17/5; 18/5; 7/2; 3; ; 
Burton; 15/2; 15/2; 9; 10; 17/2; 11; 17/2; 15/2; 17/2; 7; 9; 17/2; 9; ; ; ; 
META; english/championship/sheffield-utd-v-burton; 2018-03-11 14:20:36 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Sheffield Utd; 4/11; 4/9; 1/3; 11/25; 2/5; 6/17; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 3/8; 6/17; 4/11; 2/5; 4/11; 2/5
Draw; 15/4; 3; 19/5; 15/4; 7/2; 7/2; 16/5; 7/2; 10/3; 7/2; 7/2; 15/4; 17/5; 17/5; 18/5; 10/3; 10/3; 9/4; 
Burton; 15/2; 15/2; 9; 15/2; 19/2; 17/2; 17/2; 9; 15/2; 7; 17/2; 15/2; 8; 69/10; 8; 8; 17/2; 8; 
META; english/championship/sheffield-utd-v-burton; 2018-03-11 18:20:08 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Sheffield Utd; 2/5; 2/5; 1/3; 9/20; 2/5; 4/11; 2/5; 4/11; 2/5; 2/5; 4/9; 4/9; 2/5; 4/9; 4/11; 3/8; 2/5; 4/11; 21/50; 4/9; 4/11; 2/5
Draw; 7/2; 16/5; 3; 37/10; 7/2; 10/3; 16/5; 7/2; 16/5; 10/3; 31/10; 100/0; 7/2; 57/17; 15/4; 17/5; 16/5; 7/2; 16/5; 17/5; 3; 14/5
Burton; 15/2; 15/2; 9; 15/2; 9; 15/2; 9; 7; 15/2; 7; 27/4; 7; 69/10; 15/2; 9; 27/4; 41/5; 27/5; ; ; ; 
META; english/championship/sheffield-utd-v-burton; 2018-03-11 22:19:53 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Sheffield Utd; 2/5; 4/9; 4/9; 1/3; 23/50; 8/15; 4/9; 2/5; 4/9; 4/11; 4/9; 4/9; 40/85; 4/9; 2/5; 5/11; 2/5; 3/8; 2/5; 4/9; 21/50; 5/11; 4/9; 4/9; 4/9; 4/9
Draw; 7/2; 16/5; 16/5; 3; 37/10; 10/3; 3; 16/5; 16/5; 7/2; 3; 10/3; 31/10; 100/0; 10/3; 33/10; 16/5; 17/5; 16/5; 7/2; 16/5; 57/17; 3; 3; ; 
Burton; 15/2; 7; 15/2; 8; 71/10; 13/2; 11/2; 15/2; 15/2; 9; 13/2; 7; 15/2; 13/2; 31/4; 69/10; 15/2; 8; 13/2; 34/5; 7; 28/5; ; ; ; 
META; english/championship/sheffield-utd-v-burton; 2018-03-12 02:20:16 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Sheffield Utd; 2/5; 4/9; 4/9; 2/5; 47/00; 8/15; 4/9; 2/5; 4/9; 4/11; 4/9; 4/9; 40/85; 4/9; 2/5; 4/9; 5/12; 3/8; 2/5; 21/50; 4/9; 4/9; 2/5; 4/9; 4/9
Draw; 7/2; 3; 14/5; 69/20; 10/3; 3; 16/5; 16/5; 7/2; 3; 10/3; 3; 100/0; 16/5; 16/5; 16/5; 17/5; 16/5; 16/5; 13/4; 3; 14/5; 3; 10/3; 
Burton; 15/2; 15/2; 15/2; 6; 38/5; 13/2; 11/2; 15/2; 15/2; 9; 7; 15/2; 7; 15/2; 29/4; 27/4; 69/10; 15/2; 15/2; 29/4; 32/5; 33/5; 29/5; ; 
META; english/championship/sheffield-utd-v-burton; 2018-03-12 10:20:13 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Sheffield Utd; 9/20; 4/9; 4/9; 2/5; 47/00; 8/15; 4/9; 2/5; 4/9; 4/11; 4/9; 4/9; 40/85; 9/20; 4/9; 7/15; 5/12; 3/8; 2/5; 9/20; 7/15; 4/9; 2/5; 4/9; 1/2
Draw; 7/2; 3; 14/5; 7/2; 10/3; 3; 57/17; 3; 7/2; 3; 10/3; 3; 16/5; 3; 41/13; 16/5; 17/5; 33/10; 3; 16/5; 3; 3; ; ; 
Burton; 8; 15/2; 15/2; 6; 15/2; 13/2; 11/2; 7; 15/2; 9; 7; 7; 15/2; 27/4; 27/4; 69/10; 13/2; 7; 27/4; 38/5; 34/5; 34/5; ; ; 
META; english/championship/sheffield-utd-v-burton; 2018-03-12 14:20:50 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Sheffield Utd; 9/20; 4/9; 4/9; 4/9; 12/25; 8/15; 4/9; 5/11; 4/9; 9/20; 4/9; 1/2; 40/85; 9/20; 4/9; 7/15; 5/12; 3/7; 4/9; 9/20; 9/20; 7/15; 4/9; 4/9; 4/9; 4/9
Draw; 7/2; 3; 3; 7/2; 10/3; 3; 16/5; 3; 16/5; 3; 14/5; 3; 16/5; 3; 41/13; 16/5; 16/5; 31/10; 7/2; 3; 41/13; 3; 3; ; ; 
Burton; 8; 15/2; 7; 15/2; 36/5; 13/2; 11/2; 7; 15/2; 15/2; 7; 7; 7; 27/4; 27/4; 59/10; 7; 7; 27/4; 38/5; 37/5; 36/5; ; ; ; 
META; english/championship/sheffield-utd-v-burton; 2018-03-12 18:20:53 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Sheffield Utd; 9/20; 4/9; 4/9; 4/9; 49/00; 8/15; 4/9; 5/11; 4/9; 1/2; 4/9; 1/2; 40/85; 9/20; 4/9; 7/15; 5/12; 6/13; 4/9; 4/9; 4/9; 7/15; 4/9; 4/9; 4/9; 4/9
Draw; 7/2; 3; 3; 67/20; 10/3; 3; 16/5; 3; 16/5; 3; 14/5; 3; 16/5; 3; 41/13; 16/5; 16/5; 31/10; 7/2; 16/5; 41/13; 3; 10/3; 3; 10/3; 
Burton; 8; 15/2; 15/2; 15/2; 37/5; 13/2; 11/2; 7; 15/2; 7; 7; 7; 27/4; 27/4; 34/5; 7; 8; 27/4; 38/5; 38/5; 37/5; ; ; ; ; 
META; english/championship/sheffield-utd-v-burton; 2018-03-12 22:20:51 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Sheffield Utd; 9/20; 4/9; 4/9; 4/9; 47/00; 8/15; 4/9; 5/11; 4/9; 9/20; 4/9; 4/9; 40/85; 9/20; 4/9; 4/9; 5/12; 6/13; 4/9; 4/9; 21/50; 5/11; 4/9; 4/9; 4/9; 4/9
Draw; 7/2; 3; 3; 69/20; 10/3; 3; 16/5; 3; 16/5; 3; 16/5; 3; 16/5; 3; 41/13; 16/5; 16/5; 31/10; 7/2; 16/5; 16/5; 3; 3; ; ; 
Burton; 8; 15/2; 15/2; 15/2; 38/5; 13/2; 11/2; 7; 15/2; 8; 13/2; 15/2; 7; 15/2; 7; 27/4; 34/5; 7; 8; 29/4; 38/5; 38/5; 8; 44/5; ; 
META; english/championship/sheffield-utd-v-burton; 2018-03-13 02:20:43 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Sheffield Utd; 9/20; 4/9; 4/9; 4/9; 49/00; 40/85; 2/5; 5/11; 4/9; 4/9; 4/9; 4/9; 40/85; 9/20; 4/9; 5/11; 5/12; 6/13; 4/9; 4/9; 21/50; 7/15; 4/9; 2/5; 4/9; 4/9
Draw; 7/2; 3; 3; 17/5; 17/5; 16/5; 16/5; 3; 16/5; 3; 16/5; 3; 16/5; 3; 41/13; 16/5; 16/5; 31/10; 7/2; 16/5; 41/13; 3; 3; 10/3; ; 
Burton; 8; 15/2; 15/2; 15/2; 36/5; 8; 15/2; 7; 15/2; 8; 15/2; 13/2; 15/2; 7; 15/2; 7; 27/4; 34/5; 7; 8; 38/5; 36/5; 38/5; 8; ; 
META; english/championship/sheffield-utd-v-burton; 2018-03-13 10:20:53 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Sheffield Utd; 9/20; 4/9; 4/9; 4/9; 12/25; 4/9; 4/9; 2/5; 5/11; 4/9; 4/9; 4/9; 4/9; 40/85; 4/9; 4/9; 5/12; 5/12; 4/9; 4/9; 4/9; 4/9; 5/12; 4/9; 4/9; 2/5; 4/9
Draw; 7/2; 16/5; 3; 17/5; 10/3; 16/5; 16/5; 16/5; 16/5; 16/5; 3; 16/5; 3; 16/5; 3; 33/10; 16/5; 16/5; 31/10; 7/2; 16/5; 57/17; 3; 10/3; 10/3; ; 
Burton; 8; 15/2; 15/2; 15/2; 17/2; 15/2; 15/2; 7; 8; 7; 15/2; 15/2; 15/2; 31/4; 27/4; 73/10; 7; 8; 31/4; 8; 38/5; 43/5; 42/5; ; ; ; 
META; english/championship/sheffield-utd-v-burton; 2018-03-13 14:21:03 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Sheffield Utd; 1/2; 4/9; 8/15; 1/2; 27/50; 1/2; 1/2; 4/9; 5/11; 8/15; 1/2; 1/2; 1/2; 8/15; 8/15; 1/2; 17/35; 5/11; 18/35; 4/9; 1/2; 1/2; 1/2; 1/2; 1/2; 8/15; 8/15
Draw; 10/3; 16/5; 29/10; 14/5; 16/5; 16/5; 3; 16/5; 3; 14/5; 16/5; 14/5; 14/5; 3; 58/19; 31/10; 58/19; 31/10; 33/10; 3; 58/19; 3; 3; ; ; ; 
Burton; 7; 13/2; 13/2; 13/2; 7; 13/2; 13/2; 7; 7; 13/2; 6; 13/2; 13/2; 13/2; 13/2; 25/4; 6; 7; 13/2; 13/2; 36/5; 37/5; 36/5; 37/5; ; ; 
META; english/championship/sheffield-utd-v-burton; 2018-03-13 18:21:07 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Sheffield Utd; 1/2; 8/15; 8/15; 1/2; 8/15; 1/2; 1/2; 4/9; 10/21; 8/15; 1/2; 1/2; 8/15; 8/15; 8/15; 1/2; 17/35; 5/11; 11/21; 6/13; 1/2; 1/2; 1/2; 1/2; 1/2; 8/15; 1/2
Draw; 16/5; 14/5; 29/10; 14/5; 13/4; 16/5; 3; 3; 3; 3; 14/5; 14/5; 14/5; 3; 31/10; 58/19; 3; 16/5; 3; 58/19; 3; 3; ; ; ; ; 
Burton; 7; 13/2; 13/2; 33/5; 7; 13/2; 13/2; 7; 7; 11/2; 13/2; 13/2; 13/2; 13/2; 25/4; 59/10; 7; 13/2; 13/2; 36/5; 37/5; 36/5; 37/5; ; ; ; 
META; english/championship/sheffield-utd-v-burton; 2018-03-13 22:20:57 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Sheffield Utd; 1/7; 1/8; 8/11; 3/5; 2/17; 3/4; 1/12; 7/10; 1/6; 2/13; 1/6; 8/11; 1/8; 1/7; 5/7; 1/8; 2/13; 1/7; 2/13; 19/29; 4/6; 1/6; 2/11; 2/11
Draw; 6; 19/10; 66/25; 13/2; 21/10; 13/2; 2; 5/2; 11/2; 5; 41/20; 6; 11/2; 21/10; 11/2; 27/5; 6; 11/2; 11/5; 21/10; 33/5; 6; 29/5; 
Burton; 25; 25; 29/5; 30; 11/2; 25; 11/2; 20; 22; 18; 11/2; 14; 18; 53/10; 22; 16; 21; 25; 113/9; 32/5; 26; 24; 26; 
