Draw; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 28/11; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 12/5; 27/11; 129/ 50; 27/11; 5/2; 5/2; 5/2; 5/2; 27/11; ; 9/4; 12/5; 9/4
META; english/championship/qpr-v-bristol-city; 2017-12-20 02:20:53 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 29/20; 7/5; 7/5; 13/10; 7/5; 7/5; 7/5; 11/8; 13/10; 7/5; 6/5; 29/20; 6/5; 29/20; 7/5; 11/8; 7/5; 16/11; 71/50; 15/11; 5/4; 7/5; 7/5; 7/5; 16/11; ; 27/20; 27/20; 7/5
QPR; 17/10; 15/8; 28/15; 2; 7/4; 19/10; 15/8; 15/8; 39/19; 15/8; 21/10; 7/4; 21/10; 15/8; 15/8; 19/10; 7/4; 24/13; 41/20; 12/7; 2; 15/8; 15/8; 9/5; 24/13; ; 19/10; 19/10; 19/10
Draw; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 28/11; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 12/5; 12/5; 129/ 50; 27/11; 5/2; 5/2; 5/2; 5/2; 27/11; ; 12/5; 12/5; 5/2
META; english/championship/qpr-v-bristol-city; 2017-12-20 10:20:50 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 7/5; 7/5; 7/5; 13/10; 7/5; 7/5; 7/5; 11/8; 13/10; 7/5; 6/5; 7/5; 6/5; 29/20; 7/5; 11/8; 7/5; 7/5; 71/50; ; 5/4; 7/5; 7/5; 7/5; 7/5; ; 13/10; 27/20; 7/5
QPR; 9/5; 15/8; 28/15; 2; 7/4; 19/10; 15/8; 15/8; 39/19; 15/8; 21/10; 15/8; 21/10; 15/8; 15/8; 19/10; 7/4; 24/13; 41/20; ; 2; 15/8; 15/8; 9/5; 19/10; ; 19/10; 19/10; 19/10
Draw; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 28/11; 12/5; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 12/5; 27/11; 129/ 50; ; 5/2; 5/2; 5/2; 5/2; 27/11; ; 23/10; 12/5; 5/2
META; english/championship/qpr-v-bristol-city; 2017-12-20 14:21:01 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 7/5; 7/5; 16/11; 13/10; 7/5; 7/5; 29/20; 11/8; 13/10; 6/4; 6/5; 29/20; 6/5; 6/4; 7/5; 7/5; 7/5; 16/11; 71/50; 15/11; 5/4; 6/4; 29/20; 29/20; 6/4; ; 11/8; 7/5; 6/4
