META; english/championship/hull-v-barnsley; 2018-02-24 18:20:16 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Hull; 10/11; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 19/20; 1; ; ; ; ; 1; ; 1; ; 8/11; ; 
Draw; 11/5; 12/5; ; 23/10; 59/25; ; 23/10; 23/10; 12/5; 9/4; 12/5; 23/10; ; 23/10; 5/2; 21/10; 40/17; 21/10; ; 40/17; 23/10; 12/5; 49/20; 40/17; ; 21/10; ; 
Barnsley; 3; 3; ; 12/5; 33/10; ; 29/10; 3; 11/4; 14/5; 3; 3; ; 29/10; 14/5; 11/4; 37/13; 3; ; 27/10; 3; 29/10; 3; 37/13; ; 13/5; ; 
META; english/championship/hull-v-barnsley; 2018-02-25 14:19:30 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Hull; 19/20; 1; 1; 1; 101/100; ; 1; 10/11; 1; 1; 1; 20/21; ; 1; 1; ; 1; 1; 1; 1; 1; 20/21; 1; 1; ; 5/6; ; 
Draw; 11/5; 23/10; 23/10; 23/10; 47/20; ; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; ; 47/20; 5/2; 21/10; 12/5; 21/10; 9/4; 40/17; 12/5; 5/2; 49/20; 12/5; ; 21/10; ; 
Barnsley; 16/5; 29/10; 29/10; 12/5; 69/20; ; 29/10; 11/4; 11/4; 29/10; 3; 3; ; 3; 14/5; 14/5; 29/10; 3; 12/5; 27/10; 3; 3; 59/20; 29/10; ; 27/10; ; 
META; english/championship/hull-v-barnsley; 2018-02-25 18:19:28 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Hull; 19/20; 19/20; 19/20; 1; 49/50; 1; 20/21; 10/11; 19/20; 19/20; 19/20; 20/21; 1; 1; 1; 10/11; 19/20; 1; 13/14; 11/12; 10/11; 19/20; 19/20; 19/20; ; 10/11; ; 10/11
Draw; 11/5; 12/5; 23/10; 23/10; 5/2; 5/2; 12/5; 23/10; 27/11; 23/10; 23/10; 23/10; 5/2; 47/20; 5/2; 9/4; 12/5; 21/10; 23/10; 12/5; 5/2; 5/2; 49/20; 12/5; ; 23/10; ; 12/5
Barnsley; 16/5; 3; 3; 12/5; 67/20; 16/5; 3; 3; 31/10; 3; 3; 3; 14/5; 3; 14/5; 14/5; 31/10; 3; 28/11; 3; 3; 3; 16/5; 41/13; ; 14/5; ; 5/2
META; english/championship/hull-v-barnsley; 2018-02-25 22:19:28 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Hull; 19/20; 19/20; 19/20; 1; 99/100; 1; 20/21; 10/11; 19/20; 1; 19/20; 20/21; 1; 1; 1; 10/11; 19/20; 19/20; 13/14; 11/12; 10/11; 1; 19/20; 19/20; ; 20/21; 20/21; 20/21
Draw; 11/5; 12/5; 23/10; 12/5; 5/2; 5/2; 12/5; 12/5; 27/11; 23/10; 12/5; 23/10; 5/2; 47/20; 5/2; 9/4; 12/5; 23/10; 23/10; 12/5; 5/2; 5/2; 49/20; 12/5; ; 12/5; 5/2; 5/2
Barnsley; 16/5; 3; 29/10; 14/5; 33/10; 16/5; 3; 3; 31/10; 3; 3; 3; 14/5; 3; 14/5; 14/5; 58/19; 29/10; 28/11; 3; 3; 16/5; 16/5; 31/10; ; 3; 3; 14/5
META; english/championship/hull-v-barnsley; 2018-02-26 02:19:07 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Hull; 19/20; 19/20; 19/20; 1; 49/50; 1; 20/21; 10/11; 19/20; 1; 19/20; 20/21; 1; 1; 1; 10/11; 19/20; 19/20; 13/14; 11/12; 10/11; 1; 19/20; 19/20; ; 10/11; 10/11; 10/11
Draw; 5/2; 12/5; 23/10; 12/5; 5/2; 5/2; 12/5; 5/2; 27/11; 23/10; 12/5; 23/10; 5/2; 47/20; 5/2; 9/4; 12/5; 23/10; 23/10; 12/5; 5/2; 5/2; 49/20; 12/5; ; 12/5; 12/5; 5/2
Barnsley; 10/3; 3; 29/10; 14/5; 67/20; 16/5; 3; 11/4; 31/10; 3; 3; 3; 14/5; 3; 14/5; 14/5; 58/19; 29/10; 28/11; 3; 3; 16/5; 16/5; 31/10; ; 3; 14/5; 14/5
META; english/championship/hull-v-barnsley; 2018-02-26 10:19:08 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Hull; 19/20; 19/20; 19/20; 1; 97/100; 1; 20/21; 10/11; 19/20; 19/20; 19/20; 20/21; 1; 1; 1; 10/11; 19/20; 19/20; 9/10; 11/12; 10/11; 1; 19/20; 19/20; ; 20/21; 10/11; 20/21
Draw; 5/2; 12/5; 23/10; 12/5; 64/25; 13/5; 12/5; 5/2; 27/11; 12/5; 12/5; 23/10; 5/2; 12/5; 5/2; 9/4; 27/11; 23/10; 23/10; 12/5; 5/2; 5/2; 49/20; 27/11; ; 12/5; 23/10; 5/2
Barnsley; 10/3; 3; 29/10; 14/5; 33/10; 3; 29/10; 11/4; 31/10; 29/10; 3; 3; 14/5; 3; 14/5; 14/5; 3; 29/10; 45/17; 3; 3; 31/10; 16/5; 58/19; ; 3; 14/5; 14/5
META; english/championship/hull-v-barnsley; 2018-02-26 14:19:45 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Hull; 19/20; 19/20; 19/20; 1; 97/100; 1; 20/21; 10/11; 19/20; 19/20; 19/20; 20/21; 1; 19/20; 1; 10/11; 19/20; 19/20; 9/10; 11/12; 1; 19/20; ; ; 20/21; 20/21; 20/21
Draw; 5/2; 12/5; 12/5; 12/5; 13/5; 13/5; 12/5; 5/2; 27/11; 12/5; 12/5; 23/10; 9/4; 12/5; 5/2; 9/4; 27/11; 23/10; 23/10; 12/5; 5/2; 49/20; 27/11; ; 12/5; 5/2; 5/2
Barnsley; 10/3; 3; 29/10; 14/5; 13/4; 3; 29/10; 11/4; 31/10; 3; 3; 3; 3; 3; 14/5; 14/5; 3; 29/10; 45/17; 3; 16/5; 16/5; 58/19; ; 3; 3; 3
META; english/championship/hull-v-barnsley; 2018-02-26 18:19:41 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Hull; 19/20; 19/20; 19/20; 19/20; 97/100; 1; 20/21; 10/11; 11/12; 19/20; 19/20; 20/21; 1; 19/20; 1; 10/11; 19/20; 19/20; 22/23; 8/9; 1; 19/20; ; ; 10/11; 20/21; 20/21
Draw; 5/2; 12/5; 12/5; 12/5; 13/5; 13/5; 12/5; 5/2; 5/2; 12/5; 12/5; 23/10; 9/4; 12/5; 5/2; 9/4; 27/11; 23/10; 28/11; 27/11; 5/2; 5/2; 27/11; ; 12/5; 5/2; 5/2
Barnsley; 10/3; 3; 3; 3; 13/4; 3; 3; 11/4; 31/10; 3; 3; 3; 3; 3; 14/5; 14/5; 3; 29/10; 29/10; 31/10; 16/5; 16/5; 58/19; ; 3; 3; 10/3
META; english/championship/hull-v-barnsley; 2018-02-26 22:19:38 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Hull; 19/20; 19/20; 19/20; 19/20; 97/100; 1; 20/21; 10/11; 11/12; 19/20; 10/11; 20/21; 1; 19/20; 1; 10/11; 5/6; 19/20; 22/23; 8/9; 1; 10/11; 5/6; ; 20/21; 20/21; 20/21
Draw; 5/2; 12/5; 12/5; 12/5; 13/5; 13/5; 12/5; 5/2; 5/2; 12/5; 12/5; 23/10; 9/4; 12/5; 5/2; 9/4; 11/5; 23/10; 28/11; 27/11; 5/2; 5/2; 9/4; ; 12/5; 5/2; 5/2
Barnsley; 10/3; 3; 3; 3; 13/4; 3; 3; 11/4; 31/10; 3; 16/5; 3; 3; 3; 14/5; 14/5; 27/10; 29/10; 29/10; 31/10; 16/5; 16/5; 11/4; ; 3; 3; 3
META; english/championship/hull-v-barnsley; 2018-02-27 02:19:35 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Hull; 19/20; 10/11; 19/20; 19/20; 49/50; 1; 20/21; 10/11; 11/12; 19/20; 10/11; 20/21; 19/20; 19/20; 19/20; 10/11; 10/11; 19/20; 22/23; 8/9; 1; 10/11; 10/11; ; 20/21; 20/21; 20/21
Draw; 5/2; 5/2; 12/5; 12/5; 127/50; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 9/4; 40/17; 23/10; 28/11; 27/11; 5/2; 5/2; 12/5; ; 12/5; 12/5; 5/2
Barnsley; 10/3; 3; 3; 3; 33/10; 3; 3; 11/4; 31/10; 3; 3; 3; 14/5; 3; 3; 14/5; 29/10; 29/10; 29/10; 31/10; 16/5; 16/5; 56/19; ; 3; 14/5; 3
META; english/championship/hull-v-barnsley; 2018-02-27 10:19:35 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Hull; 19/20; 10/11; 10/11; 19/20; 49/50; 1; 20/21; 10/11; 11/12; 19/20; 10/11; 20/21; 19/20; 19/20; 19/20; 17/20; 19/20; 19/20; 19/20; 8/9; 20/21; 10/11; 19/20; ; 20/21; 20/21; 1
Draw; 5/2; 5/2; 12/5; 12/5; 129/50; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 23/10; 5/2; 12/5; 5/2; 9/4; 27/11; 23/10; 5/2; 27/11; 5/2; 5/2; 5/2; ; 12/5; 12/5; 5/2
Barnsley; 10/3; 3; 3; 3; 13/4; 3; 3; 11/4; 31/10; 16/5; 16/5; 3; 14/5; 3; 3; 14/5; 58/19; 29/10; 56/19; 31/10; 33/10; 16/5; 58/19; ; 3; 3; 10/3
META; english/championship/hull-v-barnsley; 2018-02-27 14:20:17 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Hull; 19/20; 10/11; 19/20; 10/11; 24/25; 1; 20/21; 10/11; 11/12; 19/20; 9/10; 10/11; 19/20; 19/20; 19/20; 17/20; 19/20; 19/20; 19/20; 8/9; 20/21; 10/11; 19/20; ; 10/11; 20/21; 20/21
Draw; 5/2; 12/5; 5/2; 23/10; 127/50; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 47/20; 5/2; 9/4; 27/11; 23/10; 27/11; 27/11; 5/2; 51/20; 5/2; ; 12/5; 5/2; 5/2
Barnsley; 10/3; 16/5; 16/5; 16/5; 17/5; 3; 3; 11/4; 31/10; 16/5; 3; 3; 3; 31/10; 3; 14/5; 58/19; 29/10; 3; 31/10; 10/3; 16/5; 31/10; ; 3; 10/3; 10/3
META; english/championship/hull-v-barnsley; 2018-02-27 18:19:39 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Hull; 19/20; 19/20; 10/11; 10/11; 20/21; 19/20; 20/21; 5/6; 19/20; 10/11; 10/11; 20/21; 19/20; 19/20; 19/20; 10/11; 19/20; 10/11; 22/23; 11/12; 1; 19/20; 19/20; ; 10/11; 20/21; 20/21
Draw; 5/2; 12/5; 12/5; 23/10; 51/20; 13/5; 12/5; 12/5; 27/11; 12/5; 12/5; 23/10; 12/5; 12/5; 5/2; 12/5; 27/11; 12/5; 12/5; 12/5; 5/2; 12/5; 27/11; ; 12/5; 5/2; 5/2
Barnsley; 10/3; 3; 16/5; 16/5; 17/5; 10/3; 16/5; 16/5; 31/10; 16/5; 16/5; 3; 14/5; 3; 3; 3; 31/10; 3; 58/19; 3; 16/5; 16/5; 31/10; ; 3; 10/3; 10/3
