Sunderland; 15/8; 9/5; 9/5; 15/8; 193/100; 9/5; 15/8; 9/5; 19/10; 15/8; 9/5; 9/5; 33/20; 37/20; 19/10; 15/8; 7/4; 24/13; 7/4; 17/10; 24/13; 15/8; 9/5; 37/20; 24/13; ; 9/5; 7/4; 19/10
Draw; 11/5; 11/5; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 43/20; 21/10; 21/10; 21/10; 21/10; 21/10; 40/17; 28/13; 11/5; 23/10; 21/10; 28/13; ; 21/10; 21/10; 11/5
META; english/championship/sunderland-v-hull; 2018-01-16 18:23:52 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Hull; 6/4; 6/4; 6/4; 6/4; 159/100; 13/8; 6/4; 8/5; 19/12; 6/4; 6/4; 6/4; 17/10; 6/4; 8/5; 6/4; 8/5; 17/11; 8/5; 11/8; 17/11; 6/4; 6/4; 31/20; 17/11; ; 6/4; 7/5; 6/4
Sunderland; 15/8; 19/10; 19/10; 15/8; 101/50; 9/5; 19/10; 9/5; 19/10; 19/10; 15/8; 19/10; 33/20; 39/20; 19/10; 19/10; 7/4; 37/19; 7/4; 9/5; 24/13; 15/8; 19/10; 19/10; 37/19; ; 9/5; 9/5; 2
Draw; 11/5; 11/5; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 43/20; 21/10; 21/10; 21/10; 28/13; 21/10; 23/10; 28/13; 11/5; 23/10; 21/10; 11/5; ; 21/10; 21/10; 11/5
META; english/championship/sunderland-v-hull; 2018-01-16 22:22:34 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Hull; 6/4; 6/4; 6/4; 6/4; 159/100; 13/8; 6/4; 8/5; 19/12; 6/4; 6/4; 6/4; 17/10; 6/4; 8/5; 6/4; 8/5; 6/4; 8/5; 11/8; 17/11; 6/4; 6/4; 31/20; 17/11; ; 7/5; 7/5; 6/4
Sunderland; 15/8; 19/10; 19/10; 15/8; 101/50; 9/5; 19/10; 9/5; 19/10; 19/10; 15/8; 19/10; 33/20; 39/20; 19/10; 19/10; 7/4; 37/19; 7/4; 9/5; 24/13; 15/8; 19/10; 19/10; 37/19; ; 9/5; 9/5; 2
Draw; 11/5; 11/5; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 43/20; 21/10; 21/10; 21/10; 28/13; 21/10; 23/10; 28/13; 11/5; 23/10; 21/10; 28/13; ; 21/10; 21/10; 11/5
