Draw; 23/10; 12/5; ; 12/5; ; 23/10; 12/5; 23/10; 27/11; 12/5; 12/5; 12/5; 13/5; ; 5/2; 5/2; ; 40/17; 49/20; 40/17; 12/5; 12/5; 12/5; 47/20; 40/17; ; ; 21/10; 5/2
META; english/championship/sunderland-v-fulham; 2017-12-13 02:20:58 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 27/20; 11/8; 26/19; 11/8; ; 29/20; 7/5; 7/5; 10/7; 11/8; 6/4; 11/8; 6/5; 29/20; 7/5; 7/5; ; 23/17; 31/20; 23/17; 7/5; 7/5; 29/20; 11/8; 7/5; ; ; 13/10; 7/5
Sunderland; 2; 19/10; 19/10; 19/10; ; 9/5; 19/10; 9/5; 15/8; 19/10; 7/4; 15/8; 21/10; 19/10; 19/10; 19/10; ; 19/10; 39/20; 28/17; 24/13; 2; 15/8; 39/20; 19/10; ; 19/10; 9/5; 19/10
Draw; 23/10; 12/5; ; 12/5; ; 23/10; 12/5; 23/10; 27/11; 12/5; 12/5; 12/5; 13/5; ; 5/2; 5/2; ; 40/17; 49/20; 40/17; 12/5; 12/5; 12/5; 47/20; 40/17; ; 9/4; 21/10; 5/2
META; english/championship/sunderland-v-fulham; 2017-12-13 10:20:59 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 27/20; 11/8; 26/19; 11/8; ; 29/20; 7/5; 7/5; 10/7; ; 6/4; 7/5; 6/5; 29/20; 7/5; 7/5; ; 23/17; 31/20; 15/11; 7/5; 7/5; 29/20; 11/8; 7/5; ; ; ; 7/5
Sunderland; 2; 19/10; 19/10; 19/10; ; 9/5; 19/10; 9/5; 15/8; ; 7/4; 19/10; 21/10; 19/10; 19/10; 19/10; ; 19/10; 39/20; 23/13; 24/13; 2; 15/8; 39/20; 19/10; ; 19/10; ; 19/10
Draw; 23/10; 12/5; ; 12/5; ; 23/10; 12/5; 23/10; 27/11; ; 12/5; 23/10; 13/5; ; 5/2; 5/2; ; 40/17; 49/20; 5/2; 12/5; 12/5; 5/2; 47/20; 40/17; ; 9/4; ; 5/2
META; english/championship/sunderland-v-fulham; 2017-12-13 14:21:08 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 27/20; 11/8; 26/19; 11/8; ; 29/20; 7/5; 7/5; 10/7; ; 6/4; 7/5; 6/5; 29/20; 7/5; 7/5; ; 23/17; 31/20; 15/11; 7/5; 7/5; 29/20; 11/8; 7/5; ; ; 13/10; 7/5
Sunderland; 2; 19/10; 19/10; 19/10; ; 9/5; 19/10; 9/5; 15/8; ; 7/4; 19/10; 21/10; 19/10; 19/10; 19/10; ; 19/10; 39/20; 23/13; 24/13; 2; 15/8; 39/20; 19/10; ; 19/10; 19/10; 19/10
Draw; 23/10; 12/5; ; 12/5; ; 23/10; 12/5; 23/10; 27/11; ; 12/5; 23/10; 13/5; ; 5/2; 12/5; ; 40/17; 49/20; 5/2; 12/5; 12/5; 5/2; 47/20; 40/17; ; 9/4; 9/4; 5/2
META; english/championship/sunderland-v-fulham; 2017-12-13 18:21:13 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 13/10; 11/8; 13/10; 11/8; 7/5; 11/8; 11/8; 11/8; 10/7; ; 6/4; 7/5; 6/5; 27/20; 7/5; 11/8; 7/5; 23/17; 71/50; 23/18; 7/5; 13/10; 13/10; 27/20; 7/5; ; ; 13/10; 11/8
Sunderland; 21/10; 19/10; 2; 19/10; 24/13; 19/10; 2; 15/8; 15/8; ; 7/4; 19/10; 21/10; 2; 19/10; 2; 24/13; 19/10; 85/40; 17/9; 24/13; 2; 2; 2; 19/10; ; 19/10; 19/10; 21/10
Draw; 23/10; 12/5; ; 12/5; ; 23/10; 12/5; 23/10; 27/11; ; 12/5; 23/10; 13/5; ; 5/2; 12/5; ; 40/17; 49/20; 5/2; 12/5; 12/5; 5/2; 47/20; 40/17; ; 9/4; 9/4; 5/2
META; english/championship/sunderland-v-fulham; 2017-12-13 22:21:29 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 13/10; 11/8; 13/10; 11/8; 7/5; 11/8; 11/8; 11/8; 10/7; ; 6/4; 13/10; 6/5; 27/20; 7/5; 11/8; 7/5; 13/10; 71/50; 23/18; 7/5; 13/10; 13/10; 27/20; 23/17; ; ; 13/10; 11/8
Sunderland; 21/10; 19/10; 2; 19/10; 24/13; 19/10; 2; 15/8; 15/8; ; 7/4; 21/10; 21/10; 2; 19/10; 2; 24/13; 2; 85/40; 17/9; 24/13; 2; 2; 2; 39/19; ; 19/10; 19/10; 21/10
Draw; 23/10; 12/5; 12/5; 12/5; ; 23/10; 12/5; 23/10; 27/11; ; 12/5; 9/4; 13/5; ; 5/2; 12/5; ; 40/17; 49/20; 5/2; 12/5; 12/5; 5/2; 47/20; 27/11; ; 23/10; 23/10; 5/2
META; english/championship/sunderland-v-fulham; 2017-12-14 02:21:06 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 13/10; 11/8; 13/10; 11/8; 7/5; 11/8; 11/8; 11/8; 10/7; ; 6/4; 13/10; 6/5; 27/20; 7/5; 11/8; 7/5; 13/10; 71/50; 23/18; 7/5; 13/10; 13/10; 27/20; 23/17; ; ; 13/10; 11/8
Sunderland; 21/10; 19/10; 2; 19/10; 24/13; 19/10; 2; 15/8; 15/8; ; 7/4; 21/10; 21/10; 2; 19/10; 2; 24/13; 2; 85/40; 17/9; 24/13; 2; 2; 2; 39/19; ; 19/10; 15/8; 21/10
Draw; 23/10; 12/5; 12/5; 12/5; ; 23/10; 12/5; 23/10; 27/11; ; 12/5; 9/4; 13/5; ; 5/2; 12/5; ; 40/17; 5/2; 5/2; 12/5; 12/5; 5/2; 47/20; 27/11; ; 23/10; 21/10; 5/2
META; english/championship/sunderland-v-fulham; 2017-12-14 10:21:14 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 11/8; 11/8; 13/10; 11/8; 7/5; 13/10; 11/8; 11/8; 10/7; 11/8; 11/8; 13/10; 6/5; 27/20; 7/5; 11/8; 7/5; 23/17; 71/50; 23/18; 7/5; 13/10; 13/10; 27/20; 23/17; ; 27/20; 13/10; 11/8
Sunderland; 15/8; 19/10; 2; 19/10; 24/13; 2; 2; 15/8; 15/8; 19/10; 15/8; 21/10; 21/10; 2; 19/10; 2; 24/13; 2; 85/40; 17/9; 24/13; 2; 2; 2; 2; ; 2; 19/10; 21/10
Draw; 12/5; 12/5; 12/5; 12/5; ; 12/5; 12/5; 23/10; 27/11; 12/5; 12/5; 9/4; 13/5; ; 5/2; 12/5; ; 27/11; 5/2; 5/2; 12/5; 12/5; 5/2; 47/20; 27/11; ; 23/10; 11/5; 5/2
META; english/championship/sunderland-v-fulham; 2017-12-14 14:21:17 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 11/8; 11/8; 13/10; 11/8; 7/5; 13/10; 11/8; 13/10; 10/7; 13/10; 11/8; 13/10; 6/5; 27/20; 7/5; 11/8; 7/5; 23/17; 71/50; 23/18; 7/5; 13/10; 13/10; 27/20; 23/17; ; 27/20; 27/20; 11/8
Sunderland; 15/8; 19/10; 2; 19/10; 24/13; 2; 2; 2; 15/8; 2; 15/8; 2; 21/10; 2; 19/10; 2; 24/13; 2; 85/40; 17/9; 24/13; 2; 2; 2; 2; ; 2; 2; 21/10
