META; english/championship/birmingham-v-nottingham-forest; 2017-11-05 02:21:40 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Birmingham; 6/4; 6/4; 17/11; ; 6/4; ; ; 7/5; 17/11; 31/20; 11/8; 31/20; ; 31/20; 6/4; 7/5; 16/11; 6/4; 13/8; 25/18; 17/11; 6/4; 31/20; 6/4; 17/11; ; ; ; 
Nottingham Forest; 7/4; 7/4; 17/10; ; 19/10; ; ; 15/8; 7/4; 17/10; 21/10; 7/4; ; 7/4; 9/5; 7/4; 9/5; 17/10; 93/50; 28/17; 17/10; 9/5; 7/4; 7/4; 17/10; ; ; ; 
Draw; 23/10; 12/5; 23/10; ; 12/5; ; ; 9/4; 12/5; 9/4; 12/5; 23/10; ; 47/20; 12/5; 9/4; 9/4; 9/4; 49/20; 23/10; 40/17; 12/5; 12/5; 12/5; 9/4; ; ; ; 
META; english/championship/birmingham-v-nottingham-forest; 2017-11-08 02:21:04 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Birmingham; 6/4; 6/4; 17/11; ; 6/4; ; ; 7/5; 17/11; 31/20; 11/8; 6/4; ; 31/20; 6/4; 7/5; 16/11; 6/4; 13/8; 25/18; 17/11; 6/4; 31/20; 6/4; 17/11; ; ; ; 
Nottingham Forest; 7/4; 7/4; 17/10; ; 19/10; ; ; 15/8; 7/4; 17/10; 21/10; 7/4; ; 7/4; 9/5; 7/4; 9/5; 17/10; 93/50; 28/17; 17/10; 9/5; 7/4; 7/4; 17/10; ; ; ; 
Draw; 23/10; 12/5; 23/10; ; 12/5; ; ; 9/4; 12/5; 9/4; 12/5; 12/5; ; 47/20; 12/5; 9/4; 9/4; 9/4; 49/20; 23/10; 40/17; 12/5; 12/5; 12/5; 9/4; ; ; ; 
META; english/championship/birmingham-v-nottingham-forest; 2017-11-08 10:21:11 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Birmingham; 6/4; 6/4; 17/11; ; 6/4; ; ; 7/5; 17/11; 31/20; 11/8; 6/4; ; 31/20; 6/4; 7/5; 16/11; 6/4; 13/8; 25/18; 17/11; 6/4; 31/20; 6/4; 17/11; ; ; ; 
Nottingham Forest; 7/4; 7/4; 17/10; ; 19/10; ; ; 15/8; 7/4; 17/10; 21/10; 7/4; ; 7/4; 9/5; 7/4; 9/5; 17/10; 93/50; 28/17; 17/10; 9/5; 7/4; 7/4; 17/10; ; ; ; 
Draw; 23/10; 12/5; 23/10; ; 12/5; ; ; 9/4; 12/5; 9/4; 12/5; 12/5; ; 47/20; 12/5; 9/4; 9/4; 9/4; 49/20; 23/10; 40/17; 12/5; 12/5; 12/5; 9/4; ; ; ; 
META; english/championship/birmingham-v-nottingham-forest; 2017-11-08 14:22:14 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Birmingham; 6/4; 6/4; 17/11; ; 6/4; ; ; 7/5; 17/11; 31/20; 11/8; 6/4; ; 31/20; 6/4; 7/5; 16/11; 6/4; 13/8; 25/18; 17/11; 6/4; 31/20; 6/4; 17/11; ; ; ; 
Nottingham Forest; 7/4; 7/4; 17/10; ; 19/10; ; ; 15/8; 7/4; 17/10; 21/10; 7/4; ; 7/4; 9/5; 7/4; 9/5; 17/10; 93/50; 28/17; 17/10; 9/5; 7/4; 7/4; 17/10; ; ; ; 
