META; english/championship/middlesbrough-v-leeds; 2018-02-24 22:19:26 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; ; 4/5; ; 19/20; ; ; 10/11; 5/6; 19/20; ; ; ; ; ; ; ; ; ; ; 19/20; 1; ; ; ; ; 4/7; ; 
Leeds; 10/3; 18/5; 18/5; 18/5; 19/5; 16/5; 7/2; 3; 18/5; 18/5; 7/2; 7/2; ; 37/10; 15/4; 7/2; 17/5; 7/2; 17/5; 18/5; 15/4; 7/2; 17/5; ; 14/5; 10/3; 3
META; english/championship/middlesbrough-v-leeds; 2018-02-26 22:19:43 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; 5/6; 5/6; 5/6; 17/20; 17/20; 19/20; 5/6; 10/11; 4/5; 4/5; 5/6; 5/6; ; 5/6; 4/5; 5/6; 10/13; 4/5; 11/13; 4/5; 5/6; 4/5; 10/13; ; 5/6; 5/6; 4/5
Draw ; 5/2; 12/5; 12/5; 23/10; 67/25; 23/10; 12/5; 9/4; 5/2; 23/10; 12/5; 12/5; ; 12/5; 5/2; 12/5; 11/5; 12/5; 5/2; 27/11; 5/2; 5/2; 9/4; ; 9/4; 23/10; 23/10
Leeds; 10/3; 18/5; 18/5; 18/5; 19/5; 16/5; 7/2; 3; 18/5; 18/5; 7/2; 7/2; ; 37/10; 15/4; 7/2; 31/10; 7/2; 17/5; 18/5; 18/5; 7/2; 31/10; ; 3; 3; 3
META; english/championship/middlesbrough-v-leeds; 2018-02-27 02:19:40 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; 5/6; 5/6; 5/6; 17/20; 17/20; 19/20; 5/6; 10/11; 4/5; 4/5; 5/6; 5/6; ; 5/6; 4/5; 5/6; 5/6; 4/5; 5/6; 4/5; 5/6; 4/5; 5/6; ; 5/6; 5/6; 4/5
Draw ; 5/2; 12/5; 12/5; 23/10; 67/25; 23/10; 12/5; 9/4; 5/2; 23/10; 12/5; 12/5; ; 12/5; 5/2; 12/5; 12/5; 12/5; 28/11; 27/11; 5/2; 5/2; 12/5; ; 11/5; 9/4; 23/10
Leeds; 10/3; 18/5; 18/5; 18/5; 19/5; 16/5; 7/2; 3; 18/5; 7/2; 7/2; 7/2; ; 37/10; 15/4; 7/2; 33/10; 7/2; 38/11; 18/5; 18/5; 7/2; 57/17; ; 3; 3; 3
META; english/championship/middlesbrough-v-leeds; 2018-02-27 10:19:39 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; 5/6; 5/6; 5/6; 17/20; 43/50; 19/20; 5/6; 10/11; 4/5; 4/5; 5/6; 5/6; ; 5/6; 4/5; 5/6; 5/6; 4/5; 16/19; 4/5; 5/6; 4/5; 5/6; ; 5/6; 5/6; 4/5
Draw ; 5/2; 12/5; 12/5; 23/10; 67/25; 23/10; 12/5; 9/4; 5/2; 23/10; 12/5; 12/5; ; 12/5; 5/2; 12/5; 12/5; 12/5; 5/2; 27/11; 5/2; 5/2; 12/5; ; 11/5; 9/4; 23/10
Leeds; 10/3; 18/5; 18/5; 18/5; 15/4; 16/5; 7/2; 3; 18/5; 7/2; 7/2; 7/2; ; 37/10; 15/4; 7/2; 33/10; 7/2; 7/2; 18/5; 18/5; 7/2; 57/17; ; 3; 3; 3
META; english/championship/middlesbrough-v-leeds; 2018-02-27 14:20:24 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; 5/6; 5/6; 5/6; 17/20; 22/25; 19/20; 5/6; 10/11; 4/5; 5/6; 17/20; 5/6; ; 5/6; 4/5; 5/6; 4/5; 4/5; 9/11; 4/5; 5/6; 4/5; 4/5; ; 5/6; 4/5; 5/6
Draw ; 5/2; 12/5; 23/10; 23/10; 64/25; 23/10; 12/5; 9/4; 5/2; 12/5; 12/5; 12/5; ; 12/5; 5/2; 12/5; 12/5; 12/5; 5/2; 27/11; 5/2; 5/2; 12/5; ; 23/10; 9/4; 23/10
Leeds; 10/3; 18/5; 18/5; 18/5; 19/5; 16/5; 7/2; 3; 18/5; 18/5; 7/2; 7/2; ; 37/10; 15/4; 7/2; 38/11; 7/2; 18/5; 18/5; 18/5; 7/2; 7/2; ; 3; 14/5; 3
META; english/championship/middlesbrough-v-leeds; 2018-02-27 18:19:44 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; 8/11; 5/6; 3/4; 4/5; 81/100; 19/20; 3/4; 10/11; 4/5; ; 3/4; 3/4; ; 4/5; 4/5; 4/5; 14/19; 4/5; 10/13; 4/5; 3/4; 3/4; 14/19; ; 4/5; 4/6; 8/11
Draw ; 13/5; 12/5; 12/5; 5/2; 131/50; 23/10; 5/2; 9/4; 5/2; ; 5/2; 12/5; ; 49/20; 5/2; 5/2; 27/11; 12/5; 13/5; 27/11; 13/5; 5/2; 27/11; ; 23/10; 23/10; 13/5
Leeds; 15/4; 18/5; 4; 18/5; 21/5; 16/5; 15/4; 3; 18/5; ; 19/5; 4; ; 4; 15/4; 15/4; 15/4; 7/2; 15/4; 18/5; 4; 4; 19/5; ; 7/2; 10/3; 21/5
META; english/championship/middlesbrough-v-leeds; 2018-03-02 17:43:37 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; 10/11; 5/6; 20/23; 4/5; 9/10; 20/23; 5/6; 4/5; 11/13; 20/23; 4/5; 5/6; 17/20; 9/10; 17/20; 17/20; 13/15; 5/6; 7/8; 9/11; 10/11; 17/20; 13/15; 5/6; 10/11; 10/11
Draw; 12/5; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 23/10; 47/20; 5/2; 23/10; 40/17; 12/5; 40/17; 40/17; 12/5; 49/20; 40/17; 23/10; 12/5; 12/5
Leeds; 15/4; 4; 18/5; 19/5; 4; 15/4; 15/4; 7/2; 37/10; 18/5; 4; 10/3; 7/2; 7/2; 15/4; 15/4; 62/17; 15/4; 18/5; 18/5; 19/5; 15/4; 62/17; 7/2; 7/2; 7/2
META; english/championship/middlesbrough-v-leeds; 2018-03-02 22:21:14 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; 1/4; 1/5; 1/4; 2/9; 21/00; 2/9; 2/9; 1/5; 15/16; 1/4; 20/23; 1/4; 1/4; 2/9; 10/11; 19/20; 5/19; 1/4; 2/9; 2/9; 9/10; 20/21; 3/10; 20/21
Draw; 4; 9/2; 15/8; 9/2; 27/5; 4; 17/4; 4; 9/5; 9/2; 9/5; 15/4; 17/4; 17/4; 9/5; 19/10; 4; 41/10; 9/2; 9/2; 2; 19/10; 22/5; 19/10
Leeds; 14; 16; 18/5; 14; 15; 15; 12; 13; 14; 15/4; 11; 13; 10; 77/19; 11; 21/2; 14; 18; 21/5; 73/5; 23/5; ; ; 
