META; english/championship/norwich-v-preston; 2017-11-19 02:21:31 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Draw; 23/10; 5/2; 12/5; 5/2; 13/5; 11/4; 12/5; 13/5; 23/10; 5/2; 12/5; 5/2; ; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 45/17; 9/4; 5/2; 13/5; 49/20; 5/2; ; 23/10; ; 
Preston; 11/4; 5/2; 5/2; 12/5; 13/5; 14/5; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; ; 5/2; 5/2; 13/5; 5/2; 28/11; 11/4; 13/5; 27/10; 13/5; 5/2; 53/20; 13/5; ; 12/5; 11/5; 
META; english/championship/norwich-v-preston; 2017-11-22 22:22:20 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 1; 21/20; 21/20; 1; 21/20; ; 21/20; 21/20; 21/20; 1; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 1; 21/20; ; 20/21; 1; 11/10
Draw; 23/10; 5/2; 12/5; 5/2; 13/5; 27/10; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; ; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 45/17; 9/4; 5/2; 13/5; 49/20; 5/2; ; 23/10; 11/5; 13/5
Preston; 11/4; 5/2; 5/2; 12/5; 13/5; 27/10; 5/2; 5/2; 11/4; 5/2; 11/4; 5/2; ; 5/2; 5/2; 13/5; 5/2; 28/11; 11/4; 13/5; 27/10; 13/5; 5/2; 53/20; 13/5; ; 12/5; 9/4; 5/2
META; english/championship/norwich-v-preston; 2017-11-23 02:22:03 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; 21/20; 11/10; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 21/20; ; 21/20; 21/20; 21/20; 1; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 1; 21/20; ; 20/21; 1; 11/10
Draw; 23/10; 5/2; 12/5; 5/2; 13/5; 13/5; 12/5; 13/5; 23/10; 5/2; 12/5; 5/2; ; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 45/17; 9/4; 5/2; 13/5; 49/20; 5/2; ; 23/10; 11/5; 13/5
Preston; 11/4; 5/2; 5/2; 12/5; 13/5; 11/4; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; ; 5/2; 5/2; 13/5; 5/2; 28/11; 11/4; 13/5; 27/10; 13/5; 5/2; 53/20; 13/5; ; 12/5; 9/4; 5/2
META; english/championship/norwich-v-preston; 2017-11-23 10:22:21 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 1; 21/20; ; 21/20; 21/20; 21/20; 1; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 1; 21/20; ; 20/21; 1; 11/10
Draw; 23/10; 5/2; 12/5; 5/2; 13/5; 5/2; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; ; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 45/17; 9/4; 5/2; 13/5; 49/20; 5/2; ; 23/10; 21/10; 13/5
Preston; 11/4; 5/2; 5/2; 12/5; 13/5; 13/5; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; ; 13/5; 5/2; 13/5; 5/2; 28/11; 11/4; 13/5; 27/10; 13/5; 5/2; 53/20; 13/5; ; 12/5; 9/4; 5/2
META; english/championship/norwich-v-preston; 2017-11-23 14:22:20 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 1; 24/23; 21/20; 1; 21/20; ; 21/20; 21/20; 21/20; 1; 21/20; 11/10; 1; 42/41; 21/20; 21/20; 1; 21/20; ; 20/21; 20/21; 11/10
Draw; 23/10; 5/2; 12/5; 5/2; 13/5; 5/2; 12/5; 5/2; 13/5; 5/2; 12/5; 5/2; ; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 45/17; 28/11; 5/2; 13/5; 49/20; 5/2; ; 23/10; 23/10; 13/5
Preston; 11/4; 5/2; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 28/11; 13/5; 11/4; 5/2; ; 13/5; 5/2; 13/5; 5/2; 28/11; 11/4; 13/5; 5/2; 13/5; 5/2; 53/20; 13/5; ; 5/2; 5/2; 5/2
META; english/championship/norwich-v-preston; 2017-11-23 18:22:21 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 1; 1; 11/10; 21/20; 21/20; 21/20; 1; 24/23; 1; 1; 1; ; 21/20; 21/20; 21/20; 1; 1; 11/10; 21/20; 42/41; 21/20; 11/10; 1; 21/20; ; 20/21; 1; 1
Draw; 23/10; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 12/5; 12/5; ; 5/2; 5/2; 5/2; 5/2; 28/11; 13/5; 45/17; 28/11; 5/2; 13/5; 49/20; 28/11; ; 12/5; 12/5; 11/4
Preston; 11/4; 5/2; 13/5; 12/5; 13/5; 13/5; 13/5; 13/5; 28/11; 13/5; 11/4; 13/5; ; 13/5; 13/5; 13/5; 5/2; 45/17; 11/4; 27/11; 5/2; 13/5; 27/10; 53/20; 45/17; ; 13/5; 13/5; 14/5
META; english/championship/norwich-v-preston; 2017-11-23 22:20:55 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; 1; 11/10; 21/20; 21/20; 21/20; 1; 24/23; 1; 1; 1; ; 21/20; 21/20; 21/20; 1; 1; 11/10; 21/20; 42/41; 21/20; 11/10; 21/20; 1; ; 1; 1; 1
Draw; 23/10; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 12/5; 12/5; ; 5/2; 5/2; 5/2; 5/2; 28/11; 13/5; 45/17; 28/11; 5/2; 13/5; 49/20; 28/11; ; 12/5; 5/2; 27/10
