META; english/championship/hull-v-pne; 2017-09-17 02:21:56 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; ; ; 
META; english/championship/hull-v-pne; 2017-09-18 18:21:37 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; ; ; 
META; english/championship/hull-v-pne; 2017-09-18 22:21:35 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/9; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 9/10; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 20/21; ; 
META; english/championship/hull-v-pne; 2017-09-19 02:21:34 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/9; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 9/10; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 20/21; ; 
META; english/championship/hull-v-pne; 2017-09-19 10:21:42 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/9; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 9/10; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 20/21; ; 
META; english/championship/hull-v-pne; 2017-09-19 14:21:40 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/9; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 19/10; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 1; ; 
META; english/championship/hull-v-pne; 2017-09-19 18:21:47 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/9; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 19/10; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 1; ; 
META; english/championship/hull-v-pne; 2017-09-19 22:21:42 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/9; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 19/10; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 1; ; 
META; english/championship/hull-v-pne; 2017-09-20 02:21:40 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/9; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 19/10; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 1; ; 
META; english/championship/hull-v-pne; 2017-09-20 10:21:45 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/9; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 19/10; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 1; ; 
META; english/championship/hull-v-pne; 2017-09-20 14:21:43 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/9; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 19/10; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 1; ; 
META; english/championship/hull-v-pne; 2017-09-20 18:21:50 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/9; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 21/10; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 1; ; 
META; english/championship/hull-v-pne; 2017-09-20 22:22:30 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/9; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 21/10; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 1; ; 
META; english/championship/hull-v-pne; 2017-09-21 02:22:18 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/9; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 21/10; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 1; ; 
META; english/championship/hull-v-pne; 2017-09-21 10:22:27 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/9; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 21/10; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 1; ; 
META; english/championship/hull-v-pne; 2017-09-21 14:22:34 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/9; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 21/10; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 1; ; 
META; english/championship/hull-v-pne; 2017-09-21 18:22:29 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/5; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 11/5; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 11/5; ; 
META; english/championship/hull-v-pne; 2017-09-21 22:22:46 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/5; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 11/5; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 9/4; ; 
META; english/championship/hull-v-pne; 2017-09-22 02:22:29 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/5; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 11/5; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 9/4; ; 
META; english/championship/hull-v-pne; 2017-09-22 10:22:32 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 4/5; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 11/5; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; 9/4; ; 
