META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-21 02:20:38 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Draw; 13/5; ; ; ; 11/4; 13/5; 27/10; 13/5; 27/10; 13/5; 13/5; 13/5; ; 11/4; 13/5; 27/10; 5/2; ; 13/5; 14/5; 27/10; 27/10; ; 13/5; 27/10; ; 21/10; ; 
Betis; 16/5; ; ; ; 3; 3; 29/10; 10/3; 13/4; 11/4; 27/10; 14/5; ; 16/5; 3; 3; 29/10; 16/5; 14/5; 10/3; 13/5; 16/5; ; 14/5; 59/20; ; 7/4; ; 
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-23 02:20:48 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 5/6; ; ; 19/20; 9/10; 19/20; 9/10; 5/6; 4/5; 10/11; 10/11; 10/11; ; 9/10; 10/11; 10/11; 9/10; 4/5; 13/15; 23/25; 7/8; 4/5; ; 20/23; 17/20; ; 4/6; ; 
Draw; 13/5; ; ; 13/5; 11/4; 13/5; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; ; 11/4; 13/5; 27/10; 5/2; ; 13/5; 14/5; 27/10; 27/10; ; 13/5; 27/10; ; 21/10; ; 
Betis; 16/5; ; ; 11/4; 3; 3; 29/10; 3; 13/4; 11/4; 27/10; 14/5; ; 16/5; 3; 3; 29/10; 16/5; 11/4; 10/3; 13/5; 16/5; ; 14/5; 59/20; ; 7/4; ; 
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-23 10:20:43 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 5/6; ; ; 19/20; 9/10; 19/20; 9/10; 5/6; 4/5; 10/11; 10/11; 10/11; ; 9/10; 10/11; 10/11; 9/10; 4/5; 13/15; 23/25; 7/8; 4/5; ; 20/23; 17/20; ; 4/6; ; 
Draw; 13/5; ; ; 13/5; 11/4; 13/5; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; ; 11/4; 13/5; 27/10; 5/2; ; 13/5; 14/5; 27/10; 27/10; ; 13/5; 27/10; ; 21/10; ; 
Betis; 16/5; ; ; 11/4; 3; 3; 29/10; 3; 13/4; 11/4; 27/10; 14/5; ; 16/5; 3; 3; 29/10; 16/5; 11/4; 10/3; 13/5; 16/5; ; 14/5; 59/20; ; 21/10; ; 
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-23 14:21:39 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 5/6; ; ; 19/20; 9/10; 19/20; 9/10; 5/6; 4/5; 10/11; 10/11; 10/11; ; 9/10; 10/11; 10/11; 9/10; 4/5; 13/15; 23/25; 7/8; 4/5; ; 20/23; 17/20; ; 4/6; ; 
Draw; 13/5; ; ; 13/5; 11/4; 13/5; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; ; 11/4; 13/5; 11/4; 5/2; ; 13/5; 14/5; 27/10; 27/10; ; 13/5; 27/10; ; 21/10; ; 
Betis; 16/5; ; ; 11/4; 3; 3; 29/10; 3; 13/4; 11/4; 27/10; 14/5; ; 16/5; 3; 3; 29/10; 16/5; 11/4; 10/3; 13/5; 16/5; ; 14/5; 59/20; ; 7/4; ; 
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-23 18:21:02 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 5/6; ; ; 19/20; 9/10; 19/20; 9/10; 5/6; 4/5; 10/11; 10/11; 10/11; ; 9/10; 10/11; 10/11; 9/10; 4/5; 13/15; 23/25; 7/8; 4/5; ; 20/23; 17/20; ; 4/6; ; 
Draw; 13/5; ; ; 13/5; 11/4; 13/5; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; ; 11/4; 13/5; 11/4; 5/2; ; 13/5; 14/5; 27/10; 27/10; ; 13/5; 27/10; ; 21/10; ; 
Betis; 16/5; ; ; 11/4; 3; 3; 29/10; 3; 13/4; 11/4; 27/10; 14/5; ; 16/5; 3; 3; 29/10; 16/5; 14/5; 10/3; 13/5; 16/5; ; 14/5; 59/20; ; 7/4; ; 
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-23 22:20:37 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 5/6; ; ; 19/20; 9/10; 19/20; 9/10; 5/6; 4/5; 10/11; 10/11; 10/11; ; 9/10; 10/11; 10/11; 9/10; 4/5; 13/15; 23/25; 7/8; 4/5; 9/10; 20/23; 17/20; ; 4/6; ; 
Draw; 13/5; ; ; 13/5; 11/4; 13/5; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; ; 11/4; 13/5; 11/4; 5/2; ; 13/5; 14/5; 27/10; 27/10; 11/4; 13/5; 27/10; ; 21/10; ; 
Betis; 16/5; ; ; 11/4; 3; 3; 29/10; 3; 13/4; 11/4; 27/10; 14/5; ; 16/5; 3; 3; 29/10; 16/5; 11/4; 10/3; 13/5; 16/5; 14/5; 14/5; 59/20; ; 9/4; ; 
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-24 02:20:05 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 5/6; ; ; 19/20; 9/10; 19/20; 9/10; 5/6; 4/5; 10/11; 10/11; 10/11; ; 9/10; 10/11; 10/11; 9/10; 4/5; 13/15; 23/25; 7/8; 4/5; 9/10; 20/23; 17/20; ; 4/6; ; 
Draw; 13/5; ; ; 13/5; 11/4; 13/5; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; ; 11/4; 13/5; 11/4; 5/2; ; 13/5; 14/5; 27/10; 27/10; 11/4; 13/5; 27/10; ; 21/10; ; 
Betis; 16/5; ; ; 11/4; 3; 3; 29/10; 3; 13/4; 11/4; 27/10; 14/5; ; 16/5; 3; 3; 29/10; 16/5; 11/4; 10/3; 13/5; 16/5; 14/5; 14/5; 59/20; ; 7/4; ; 
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-24 10:20:03 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 5/6; ; ; 19/20; 9/10; 19/20; 9/10; 5/6; 4/5; 10/11; 10/11; 10/11; ; 9/10; 10/11; 10/11; 9/10; 4/5; 13/15; 23/25; 7/8; 4/5; 9/10; 20/23; 17/20; ; 4/6; ; 
Draw; 13/5; ; ; 13/5; 11/4; 13/5; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; ; 11/4; 13/5; 11/4; 5/2; ; 13/5; 14/5; 27/10; 27/10; 11/4; 13/5; 27/10; ; 21/10; ; 
Betis; 16/5; ; ; 11/4; 3; 3; 29/10; 3; 13/4; 11/4; 27/10; 14/5; ; 16/5; 3; 3; 29/10; 16/5; 11/4; 10/3; 13/5; 16/5; 14/5; 14/5; 59/20; ; 7/4; ; 
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-24 14:20:04 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 5/6; 17/20; ; 19/20; 9/10; 19/20; 9/10; 5/6; 4/5; 10/11; 10/11; 10/11; 10/11; 9/10; 10/11; 11/13; 9/10; 4/5; 13/15; 23/25; 7/8; 4/5; 9/10; 20/23; 17/20; ; 4/6; ; 
Draw; 13/5; 14/5; ; 13/5; 11/4; 13/5; 14/5; 13/5; 27/10; 13/5; 13/5; 13/5; 14/5; 11/4; 13/5; 13/5; 5/2; ; 13/5; 14/5; 27/10; 27/10; 11/4; 13/5; 27/10; ; 21/10; ; 
Betis; 16/5; 29/10; ; 11/4; 3; 3; 14/5; 3; 13/4; 11/4; 27/10; 14/5; 11/4; 16/5; 3; 37/13; 29/10; 16/5; 14/5; 10/3; 13/5; 16/5; 14/5; 14/5; 59/20; ; 21/10; ; 
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-24 18:19:57 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 5/6; 17/20; ; 19/20; 9/10; 19/20; 9/10; 5/6; 4/5; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 11/13; 9/10; 4/5; 13/15; 23/25; 7/8; 4/5; 9/10; 20/23; 17/20; ; 5/6; ; 
Draw; 13/5; 14/5; ; 13/5; 11/4; 13/5; 14/5; 13/5; 27/10; 13/5; 13/5; 13/5; 14/5; 14/5; 13/5; 13/5; 5/2; ; 13/5; 14/5; 27/10; 27/10; 11/4; 13/5; 27/10; ; 12/5; ; 
Betis; 16/5; 29/10; ; 11/4; 3; 3; 14/5; 11/4; 13/4; 11/4; 27/10; 14/5; 11/4; 3; 3; 37/13; 29/10; 16/5; 14/5; 10/3; 13/5; 16/5; 14/5; 14/5; 59/20; ; 5/2; ; 
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-24 22:19:51 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 5/6; 17/20; ; 19/20; 9/10; 19/20; 9/10; 5/6; 9/10; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 11/13; 9/10; 9/10; 13/15; 24/25; ; 9/10; 9/10; 20/23; 17/20; ; 5/6; ; 
