META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-13 02:19:23 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-14 02:19:12 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Real Madrid; ; ; ; ; 13/10; ; ; ; 11/8; ; ; ; ; ; ; 7/5; ; 11/8; ; ; ; 11/8; ; ; ; ; ; ; 
FC Barcelona; ; ; ; ; 8/5; ; ; ; 17/10; ; ; ; ; ; ; 17/10; ; ; ; ; ; 17/10; ; ; ; ; ; ; 
Draw; ; ; ; ; 11/4; ; ; ; 45/17; ; ; ; ; ; ; 14/5; ; 45/17; ; ; ; 45/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-14 10:19:11 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Real Madrid; ; ; ; ; 13/10; ; ; ; 11/8; ; ; ; ; ; ; 7/5; 13/10; 11/8; ; ; ; 11/8; ; ; ; ; ; ; 
FC Barcelona; ; ; ; ; 8/5; ; ; ; 17/10; ; ; ; ; ; ; 8/5; 8/5; ; ; ; ; 17/10; ; ; ; ; ; ; 
Draw; ; ; ; ; 11/4; ; ; ; 45/17; ; ; ; ; ; ; 29/10; 3; 45/17; ; ; ; 45/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-14 14:19:16 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Real Madrid; ; ; ; ; 13/10; ; ; ; 11/8; ; ; ; ; ; ; 7/5; 13/10; 11/8; ; ; ; 11/8; ; ; ; ; ; ; 
FC Barcelona; ; ; ; ; 8/5; ; ; ; 17/10; ; ; ; ; ; ; 8/5; 8/5; ; ; ; ; 17/10; ; ; ; ; ; ; 
Draw; ; ; ; ; 11/4; ; ; ; 45/17; ; ; ; ; ; ; 29/10; 3; 45/17; ; ; ; 45/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-14 18:19:45 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Real Madrid; ; ; ; ; 13/10; ; ; ; 11/8; ; ; ; ; ; ; 11/8; 13/10; 11/8; ; ; ; 11/8; ; ; ; ; ; ; 7/5
FC Barcelona; ; ; ; ; 8/5; ; ; ; 28/17; ; ; ; ; ; ; 17/10; 8/5; 28/17; ; ; ; 28/17; ; ; ; ; ; ; 17/10
Draw; ; ; ; ; 11/4; ; ; ; 27/10; ; ; ; ; ; ; 29/10; 3; 27/10; ; ; ; 27/10; ; ; ; ; ; ; 14/5
META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-14 22:19:52 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Real Madrid; ; ; ; ; 13/10; ; ; ; 11/8; ; ; ; ; ; ; 11/8; 13/10; 11/8; ; ; ; 11/8; ; ; ; ; ; ; 7/5
FC Barcelona; ; ; ; ; 8/5; ; ; ; 28/17; ; ; ; ; ; ; 17/10; 8/5; 28/17; ; ; ; 28/17; ; ; ; ; ; ; 17/10
Draw; ; ; ; ; 11/4; ; ; ; 27/10; ; ; ; ; ; ; 29/10; 3; 27/10; ; ; ; 27/10; ; ; ; ; ; ; 14/5
META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-15 02:19:39 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Real Madrid; ; ; ; ; 13/10; ; ; ; 11/8; ; ; ; ; ; ; 11/8; 13/10; 11/8; ; ; ; 11/8; ; ; ; ; ; ; 7/5
FC Barcelona; ; ; ; ; 8/5; ; ; ; 28/17; ; ; ; ; ; ; 17/10; 8/5; 28/17; ; ; ; 28/17; ; ; ; ; ; ; 17/10
Draw; ; ; ; ; 11/4; ; ; ; 27/10; ; ; ; ; ; ; 29/10; 3; 27/10; ; ; ; 27/10; ; ; ; ; ; ; 14/5
META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-15 10:19:46 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Real Madrid; ; ; ; ; 13/10; ; ; ; 11/8; ; ; ; ; ; ; 11/8; 13/10; 11/8; ; ; ; 11/8; ; ; ; ; ; ; 7/5
FC Barcelona; ; ; ; ; 8/5; ; ; ; 28/17; ; ; ; ; ; ; 17/10; 8/5; 28/17; ; ; ; 28/17; ; ; ; ; ; ; 17/10
Draw; ; ; ; ; 11/4; ; ; ; 27/10; ; ; ; ; ; ; 29/10; 3; 27/10; ; ; ; 27/10; ; ; ; ; ; ; 14/5
META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-15 14:19:47 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Real Madrid; ; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; 11/8; 13/10; 11/8; ; ; ; 11/8; ; ; ; ; ; ; 11/8
FC Barcelona; ; ; ; ; ; ; ; ; 17/11; ; ; ; ; ; ; 17/10; 8/5; 17/11; ; ; ; 17/11; ; ; ; ; ; ; 7/4
Draw; ; ; ; ; ; ; ; ; 29/10; ; ; ; ; ; ; 29/10; 3; 29/10; ; ; ; 29/10; ; ; ; ; ; ; 3
META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-15 18:19:46 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Real Madrid; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; 11/8; 13/10; 13/10; ; ; ; 13/10; ; ; ; ; ; ; 11/8
FC Barcelona; ; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; 17/10; 8/5; 17/10; ; ; ; 17/10; ; ; ; ; ; ; 7/4
Draw; ; ; ; ; ; ; ; ; 29/10; ; ; ; ; ; ; 29/10; 3; 29/10; ; ; ; 29/10; ; ; ; ; ; ; 3
META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-15 22:19:45 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Real Madrid; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; 11/8; 13/10; 13/10; ; ; ; 13/10; ; ; ; ; ; ; 7/5
FC Barcelona; ; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; 17/10; 8/5; 17/10; ; ; ; 17/10; ; ; ; ; ; ; 17/10
Draw; ; ; ; ; ; ; ; ; 29/10; ; ; ; ; ; ; 29/10; 3; 29/10; ; ; ; 29/10; ; ; ; ; ; ; 3
META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-16 02:19:40 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Real Madrid; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; 13/10; 13/10; 13/10; ; ; ; 13/10; ; ; ; ; ; ; 11/8
FC Barcelona; ; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; 17/10; 8/5; 17/10; ; ; ; 17/10; ; ; ; ; ; ; 7/4
Draw; ; ; ; ; ; ; ; ; 29/10; ; ; ; ; ; ; 3; 3; 29/10; ; ; ; 29/10; ; ; ; ; ; ; 3
META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-16 10:19:41 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Real Madrid; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; 13/10; 13/10; 13/10; ; ; ; 13/10; ; ; ; ; ; ; 11/8
FC Barcelona; ; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; 17/10; 8/5; 17/10; ; ; ; 17/10; ; ; ; ; ; ; 9/5
Draw; ; ; ; ; ; ; ; ; 29/10; ; ; ; ; ; ; 3; 3; 29/10; ; ; ; 29/10; ; ; ; ; ; ; 3
META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-16 14:19:46 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; ; ; ; ; ; 27/20
FC Barcelona; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; 7/4; ; ; ; ; ; ; ; ; ; ; ; 15/8
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 3; ; ; ; ; ; ; ; ; ; ; ; 3
