META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-21 02:20:06 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Draw; ; ; ; ; 51/20; ; 5/2; 5/2; ; ; ; 13/5; ; ; ; ; 13/5; ; 13/5; ; ; 13/5; ; 13/5; ; ; ; ; 
Eibar; ; ; ; ; 41/10; ; 4; 9/2; ; ; ; 4; ; ; ; ; 4; ; 4; ; ; 17/4; ; 17/4; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-24 14:19:27 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 87/ 100; ; 8/11; 4/6; 8/11; ; ; 8/11; ; ; ; ; 4/6; ; 4/6; ; 8/11; 8/11; ; 8/11; ; ; ; ; 
Draw; ; ; ; ; 51/20; ; 5/2; 13/5; 5/2; ; ; 13/5; ; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; 51/20; ; ; ; ; 
Eibar; ; ; ; ; 41/10; ; 4; 4; 4; ; ; 4; ; ; ; ; 4; ; 4; ; 39/10; 4; ; 4; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-24 18:19:26 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 87/ 100; ; 8/11; 4/6; 8/11; ; ; 3/4; ; ; ; ; 4/6; ; 4/6; ; 8/11; 8/11; ; 8/11; ; ; ; ; 
Draw; ; ; ; ; 51/20; ; 5/2; 13/5; 5/2; ; ; 5/2; ; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; 51/20; ; ; ; ; 
Eibar; ; ; ; ; 41/10; ; 15/4; 4; 4; ; ; 15/4; ; ; ; ; 4; ; 4; ; 39/10; 4; ; 4; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-24 22:19:25 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 87/ 100; ; 8/11; 4/6; 8/11; ; ; 3/4; ; ; ; ; 4/6; ; 4/6; ; 8/11; 8/11; ; 8/11; ; ; ; ; 
Draw; ; ; ; ; 51/20; ; 5/2; 13/5; 5/2; ; ; 5/2; ; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; 51/20; ; ; ; ; 
Eibar; ; ; ; ; 41/10; ; 15/4; 4; 4; ; ; 15/4; ; ; ; ; 4; ; 4; ; 39/10; 4; ; 4; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-25 02:19:30 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 89/ 100; ; 8/11; 4/6; 8/11; ; ; 3/4; ; ; ; ; 4/6; ; 4/6; ; 8/11; 8/11; ; 8/11; ; ; ; ; 
Draw; ; ; ; ; 63/25; ; 5/2; 13/5; 5/2; ; ; 5/2; ; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; 51/20; ; ; ; ; 
Eibar; ; ; ; ; 79/20; ; 15/4; 4; 4; ; ; 15/4; ; ; ; ; 4; ; 4; ; 39/10; 4; ; 4; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-25 10:19:27 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 89/ 100; ; 3/4; 8/11; 8/11; ; ; 3/4; ; ; ; ; 4/6; ; 4/6; ; 8/11; 8/11; ; 8/11; ; ; ; ; 
Draw; ; ; ; ; 63/25; ; 5/2; 13/5; 5/2; ; ; 5/2; ; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; 51/20; ; ; ; ; 
Eibar; ; ; ; ; 79/20; ; 15/4; 4; 4; ; ; 15/4; ; ; ; ; 4; ; 4; ; 39/10; 4; ; 4; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-25 14:19:31 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 89/ 100; ; 3/4; 8/11; 8/11; ; ; 3/4; ; ; ; ; 4/6; 5/7; 4/6; ; 8/11; 8/11; ; 8/11; 5/7; ; ; ; 
Draw; ; ; ; ; 63/25; ; 5/2; 13/5; 5/2; ; ; 5/2; ; ; ; ; 13/5; 5/2; 13/5; ; 5/2; 13/5; ; 51/20; 5/2; ; ; ; 
Eibar; ; ; ; ; 79/20; ; 15/4; 4; 4; ; ; 15/4; ; ; ; ; 4; 50/13; 4; ; 39/10; 4; ; 4; 39/10; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-25 18:19:28 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 89/ 100; ; 3/4; 8/11; 8/11; ; ; 3/4; ; ; ; ; 4/6; 5/7; 4/6; ; 8/11; 8/11; ; 8/11; 5/7; ; ; ; 
Draw; ; ; ; ; 63/25; ; 5/2; 13/5; 5/2; ; ; 5/2; ; ; ; ; 13/5; 5/2; 13/5; ; 5/2; 13/5; ; 51/20; 5/2; ; ; ; 
Eibar; ; ; ; ; 79/20; ; 15/4; 4; 4; ; ; 15/4; ; ; ; ; 4; 39/10; 4; ; 39/10; 4; ; 4; 39/10; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-25 22:19:31 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 89/ 100; ; 3/4; 8/11; 8/11; ; ; 3/4; ; ; ; ; 4/6; 5/7; 4/6; ; 8/11; 8/11; ; 8/11; 5/7; ; ; ; 
Draw; ; ; ; ; 63/25; ; 5/2; 13/5; 5/2; ; ; 5/2; ; ; ; ; 13/5; 5/2; 13/5; ; 5/2; 13/5; ; 51/20; 5/2; ; ; ; 
Eibar; ; ; ; ; 79/20; ; 15/4; 4; 4; ; ; 15/4; ; ; ; ; 4; 39/10; 4; ; 39/10; 4; ; 4; 39/10; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-26 02:19:29 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 89/ 100; ; 3/4; 8/11; 8/11; ; ; 3/4; ; ; ; ; 4/6; 5/7; 4/6; ; 8/11; 8/11; ; 8/11; 5/7; ; ; ; 
Draw; ; ; ; ; 63/25; ; 5/2; 13/5; 5/2; ; ; 5/2; ; ; ; ; 13/5; 5/2; 13/5; ; 5/2; 13/5; ; 51/20; 5/2; ; ; ; 
Eibar; ; ; ; ; 79/20; ; 15/4; 4; 4; ; ; 15/4; ; ; ; ; 4; 39/10; 4; ; 39/10; 4; ; 4; 39/10; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-26 10:19:37 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 89/ 100; ; 3/4; 8/11; 8/11; ; ; 3/4; ; ; ; ; 4/6; 5/7; 4/6; ; 8/11; 8/11; ; 8/11; 5/7; ; ; ; 
Draw; ; ; ; ; 63/25; ; 5/2; 13/5; 5/2; ; ; 5/2; ; ; ; ; 13/5; 5/2; 13/5; ; 5/2; 13/5; ; 51/20; 5/2; ; ; ; 
Eibar; ; ; ; ; 79/20; ; 15/4; 4; 4; ; ; 15/4; ; ; ; ; 4; 39/10; 4; ; 39/10; 4; ; 4; 39/10; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-26 14:20:37 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 89/ 100; ; 3/4; 8/11; 8/11; ; ; 3/4; ; ; ; ; 4/6; 5/7; 4/6; ; 8/11; 8/11; ; 8/11; 5/7; ; ; ; 
Draw; ; ; ; ; 63/25; ; 5/2; 13/5; 5/2; ; ; 5/2; ; ; ; ; 13/5; 5/2; 13/5; ; 5/2; 13/5; ; 51/20; 5/2; ; ; ; 
Eibar; ; ; ; ; 79/20; ; 15/4; 4; 4; ; ; 15/4; ; ; ; ; 4; 39/10; 4; ; 39/10; 4; ; 4; 39/10; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-26 18:19:34 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 89/ 100; ; 3/4; 8/11; 8/11; ; ; 3/4; ; ; ; ; 4/6; 5/7; 4/6; ; 8/11; 8/11; ; 8/11; 14/19; ; ; ; 
Draw; ; ; ; ; 63/25; ; 5/2; 5/2; 5/2; ; ; 5/2; ; ; ; ; 13/5; 27/11; 13/5; ; 5/2; 13/5; ; 51/20; 5/2; ; ; ; 
Eibar; ; ; ; ; 79/20; ; 7/2; 7/2; 4; ; ; 15/4; ; ; ; ; 4; 50/13; 4; ; 39/10; 19/5; ; 4; 39/10; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-26 22:19:08 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 89/ 100; ; 3/4; 8/11; 8/11; ; ; 3/4; ; ; ; ; 4/6; 5/7; 4/6; ; 8/11; 8/11; ; 8/11; 14/19; ; ; ; 
Draw; ; ; ; ; 63/25; ; 5/2; 5/2; 5/2; ; ; 5/2; ; ; ; ; 13/5; 27/11; 13/5; ; 5/2; 13/5; ; 51/20; 5/2; ; ; ; 
Eibar; ; ; ; ; 79/20; ; 7/2; 7/2; 4; ; ; 15/4; ; ; ; ; 4; 50/13; 4; ; 39/10; 19/5; ; 4; 39/10; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-27 02:19:08 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 89/ 100; ; 3/4; 8/11; 8/11; ; ; 3/4; ; ; ; ; 4/6; 5/7; 4/6; ; 8/11; 8/11; ; 8/11; 14/19; ; ; ; 
Draw; ; ; ; ; 63/25; ; 5/2; 5/2; 5/2; ; ; 5/2; ; ; ; ; 13/5; 27/11; 13/5; ; 5/2; 13/5; ; 51/20; 5/2; ; ; ; 
Eibar; ; ; ; ; 79/20; ; 7/2; 7/2; 4; ; ; 15/4; ; ; ; ; 4; 50/13; 4; ; 39/10; 19/5; ; 4; 39/10; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-27 10:19:13 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 89/ 100; ; 3/4; 8/11; 8/11; ; ; 3/4; ; ; ; ; 4/6; 5/7; 4/6; ; 8/11; 8/11; ; 8/11; 14/19; ; ; ; 
Draw; ; ; ; ; 63/25; ; 5/2; 5/2; 5/2; ; ; 5/2; ; ; ; ; 13/5; 27/11; 13/5; ; 5/2; 13/5; ; 51/20; 5/2; ; ; ; 
Eibar; ; ; ; ; 79/20; ; 7/2; 7/2; 4; ; ; 15/4; ; ; ; ; 4; 50/13; 4; ; 39/10; 19/5; ; 4; 39/10; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-27 14:20:39 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 89/ 100; ; 3/4; 8/11; 8/11; ; ; 3/4; ; ; ; ; 4/6; 5/7; 4/6; ; 8/11; 8/11; ; 8/11; 14/19; ; ; ; 
Draw; ; ; ; ; 63/25; ; 5/2; 5/2; 5/2; ; ; 5/2; ; ; ; ; 13/5; 27/11; 13/5; ; 5/2; 13/5; ; 51/20; 27/11; ; ; ; 
Eibar; ; ; ; ; 79/20; ; 7/2; 7/2; 4; ; ; 15/4; ; ; ; ; 4; 39/10; 4; ; 39/10; 19/5; ; 4; 75/19; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-27 18:19:14 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 89/ 100; ; 3/4; 8/11; 8/11; ; ; 3/4; ; 5/6; ; ; 4/6; 14/19; 4/6; 5/6; 8/11; 8/11; ; 10/13; 14/19; ; ; ; 
Draw; ; ; ; ; 63/25; ; 5/2; 13/5; 5/2; ; ; 5/2; ; 47/20; ; ; 13/5; 27/11; 13/5; 12/5; 5/2; 13/5; ; 51/20; 27/11; ; ; ; 
Eibar; ; ; ; ; 79/20; ; 7/2; 7/2; 4; ; ; 15/4; ; 15/4; ; ; 4; 19/5; 4; 16/5; 39/10; 19/5; ; 15/4; 50/13; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-27 22:19:33 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; 4/5; ; ; ; 89/ 100; ; 3/4; 8/11; 8/11; ; ; 3/4; ; 5/6; 5/6; ; 4/6; 10/13; 4/6; 5/6; 8/11; 4/5; ; 4/5; 14/19; ; ; ; 
Draw; 5/2; ; ; ; 63/25; ; 5/2; 13/5; 5/2; ; ; 13/5; ; 47/20; 12/5; ; 13/5; 27/11; 13/5; 12/5; 5/2; 5/2; ; 5/2; 27/11; ; ; ; 
Eibar; 7/2; ; ; ; 79/20; ; 7/2; 7/2; 4; ; ; 7/2; ; 15/4; 15/4; ; 4; 18/5; 4; 16/5; 39/10; 7/2; ; 7/2; 50/13; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-28 02:20:08 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; 4/5; ; ; ; 89/ 100; ; 4/5; 4/5; 8/11; ; ; 4/5; ; 5/6; 5/6; ; 4/6; 10/13; 4/6; 5/6; 8/11; 4/5; 4/5; 4/5; 10/13; ; ; ; 
Draw; 5/2; ; ; ; 63/25; ; 12/5; 12/5; 5/2; ; ; 12/5; ; 47/20; 12/5; ; 13/5; 27/11; 13/5; 12/5; 5/2; 5/2; 13/5; 5/2; 27/11; ; ; ; 
Eibar; 7/2; ; ; ; 79/20; ; 7/2; 7/2; 4; ; ; 15/4; ; 15/4; 15/4; ; 4; 18/5; 4; 16/5; 39/10; 7/2; 18/5; 7/2; 62/17; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-28 10:19:35 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; 4/5; ; ; ; 89/ 100; ; 4/5; 4/5; 8/11; ; ; 4/5; ; 5/6; 5/6; ; 4/6; 10/13; 4/6; 5/6; 8/11; 4/5; 4/5; 4/5; 10/13; ; ; ; 
Draw; 5/2; ; ; ; 63/25; ; 12/5; 12/5; 5/2; ; ; 12/5; ; 47/20; 12/5; ; 13/5; 27/11; 13/5; 12/5; 5/2; 5/2; 13/5; 5/2; 27/11; ; ; ; 
Eibar; 7/2; ; ; ; 79/20; ; 7/2; 7/2; 4; ; ; 15/4; ; 15/4; 15/4; ; 4; 18/5; 4; 16/5; 39/10; 7/2; 18/5; 7/2; 62/17; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-28 14:19:41 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; 4/5; ; ; ; 89/ 100; ; 4/5; 4/5; 8/11; ; ; 4/5; ; 5/6; 5/6; ; 4/6; 10/13; 4/6; 5/6; 8/11; 4/5; 4/5; 4/5; 10/13; ; ; ; 
Draw; 5/2; ; ; ; 63/25; ; 12/5; 12/5; 5/2; ; ; 12/5; ; 47/20; 12/5; ; 13/5; 27/11; 13/5; 12/5; 5/2; 5/2; 13/5; 5/2; 27/11; ; ; ; 
Eibar; 7/2; ; ; ; 79/20; ; 7/2; 7/2; 4; ; ; 15/4; ; 15/4; 15/4; ; 4; 18/5; 4; 16/5; 39/10; 7/2; 18/5; 7/2; 62/17; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-28 18:19:37 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; 4/5; ; ; ; 89/ 100; ; 4/5; 4/5; 8/11; ; ; 4/5; ; 4/5; 5/6; ; 4/6; 10/13; 4/6; 4/5; 8/11; 4/5; 4/5; 10/13; 10/13; ; ; ; 
Draw; 5/2; ; ; ; 63/25; ; 12/5; 12/5; 5/2; ; ; 23/10; ; 47/20; 12/5; ; 13/5; 27/11; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 27/11; ; ; ; 
Eibar; 7/2; ; ; ; 79/20; ; 7/2; 7/2; 4; ; ; 15/4; ; 4; 15/4; ; 4; 62/17; 4; 33/10; 39/10; 7/2; 19/5; 15/4; 62/17; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-28 22:19:39 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; 4/5; ; ; ; 89/ 100; 17/20; 4/5; 4/5; 8/11; ; ; 4/5; ; 4/5; 5/6; ; 4/6; 10/13; 4/6; 4/5; 8/11; 4/5; 4/5; 10/13; 10/13; ; 1/100; ; 
Draw; 5/2; ; ; ; 63/25; 5/2; 12/5; 12/5; 5/2; ; ; 23/10; ; 47/20; 12/5; ; 13/5; 27/11; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 27/11; ; 1/100; ; 
Eibar; 7/2; ; ; ; 79/20; 15/4; 7/2; 7/2; 4; ; ; 15/4; ; 4; 15/4; ; 4; 62/17; 4; 33/10; 39/10; 7/2; 19/5; 15/4; 62/17; ; 1/100; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-29 02:19:35 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
