Barcelona; ; ; 19/10; ; 21/10; 11/5; 15/8; 21/10; 21/10; 19/10; ; 2; ; 2; 21/10; 21/10; 21/10; 39/19; 21/10; 29/16; 19/10; 2; 2; 21/10; 2; ; ; ; 
Draw; ; ; 11/4; ; ; 14/5; 11/4; 11/4; 11/4; 27/10; ; 13/5; ; ; ; 14/5; 13/5; 13/5; 72/25; 3; 13/5; 14/5; 3; 14/5; 45/17; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-12 22:20:54 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; 15/13; ; 15/13; 23/20; 6/5; 11/10; 15/13; 11/10; ; 6/5; ; 23/20; 23/20; 6/5; 15/13; 15/13; 13/10; 10/9; 5/4; 11/10; 23/20; 11/10; 6/5; ; ; ; 
Barcelona; ; ; 2; ; 21/10; 11/5; 15/8; 21/10; 21/10; 2; ; 2; ; 41/20; 21/10; 21/10; 21/10; 39/19; 21/10; 29/16; 19/10; 2; 2; 21/10; 2; ; ; ; 
Draw; ; ; 11/4; ; ; 14/5; 11/4; 11/4; 11/4; 11/4; ; 13/5; ; ; ; 14/5; 13/5; 13/5; 72/25; 3; 13/5; 14/5; 3; 14/5; 45/17; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-13 02:19:28 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; 15/13; ; 15/13; 23/20; 6/5; 11/10; 15/13; 11/10; ; 6/5; ; 23/20; 23/20; 6/5; 15/13; 15/13; 13/10; 10/9; 5/4; 11/10; 23/20; 11/10; 15/13; ; ; ; 
Barcelona; ; ; 2; ; 21/10; 11/5; 15/8; 21/10; 21/10; 2; ; 2; ; 41/20; 21/10; 21/10; 21/10; 39/19; 21/10; 29/16; 19/10; 2; 2; 21/10; 2; ; ; ; 
Draw; ; ; 11/4; ; ; 14/5; 11/4; 11/4; 11/4; 11/4; ; 13/5; ; ; ; 14/5; 13/5; 13/5; 72/25; 3; 13/5; 14/5; 3; 14/5; 45/17; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-13 10:19:28 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; 15/13; ; 15/13; 23/20; 6/5; 11/10; 15/13; ; ; 6/5; ; 23/20; 23/20; 6/5; 15/13; 15/13; 13/10; 10/9; 5/4; 11/10; 23/20; 11/10; 15/13; ; 21/20; ; 
Barcelona; ; ; 2; ; 21/10; 11/5; 15/8; 21/10; 21/10; ; ; 2; ; 41/20; 21/10; 21/10; 21/10; 39/19; 21/10; 29/16; 19/10; 2; 2; 21/10; 2; ; 17/10; ; 
Draw; ; ; 11/4; ; ; 14/5; 11/4; 11/4; 11/4; ; ; 13/5; ; ; ; 14/5; 13/5; 13/5; 72/25; 3; 13/5; 14/5; 3; 14/5; 45/17; ; 19/10; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-13 14:19:34 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; 15/13; 11/10; 15/13; 23/20; 6/5; 11/10; 15/13; ; ; 6/5; ; 23/20; 23/20; 6/5; 15/13; 15/13; 13/10; 10/9; 5/4; 11/10; 23/20; 11/10; 15/13; ; 21/20; ; 
Barcelona; ; ; 2; 2; 21/10; 11/5; 15/8; 21/10; 21/10; ; ; 2; ; 41/20; 21/10; 21/10; 21/10; 39/19; 21/10; 29/16; 19/10; 2; 2; 21/10; 2; ; 6/4; ; 
Draw; ; ; 11/4; 3; ; 14/5; 11/4; 11/4; 11/4; ; ; 13/5; ; ; ; 14/5; 13/5; 13/5; 72/25; 3; 13/5; 14/5; 3; 14/5; 45/17; ; 19/10; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-13 18:19:43 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; 15/13; 11/10; 15/13; 23/20; 6/5; 11/10; 15/13; ; ; 6/5; ; 23/20; 23/20; 11/10; 15/13; 15/13; 13/10; 10/9; 5/4; 11/10; 23/20; 11/10; 15/13; ; 21/20; ; 
Barcelona; ; ; 2; 2; 21/10; 11/5; 15/8; 21/10; 21/10; ; ; 2; ; 41/20; 21/10; 2; 21/10; 39/19; 21/10; 29/16; 19/10; 2; 2; 21/10; 2; ; 6/4; ; 
Draw; ; ; 11/4; 3; ; 14/5; 11/4; 11/4; 11/4; ; ; 13/5; ; ; ; 13/5; 13/5; 13/5; 72/25; 3; 13/5; 14/5; 3; 14/5; 45/17; ; 19/10; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-13 22:19:57 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; 6/5; 11/10; 15/13; 23/20; 6/5; 11/10; 15/13; ; ; 6/5; ; 6/5; 23/20; 11/10; 15/13; 15/13; 13/10; 10/9; 5/4; 11/10; 23/20; 11/10; 6/5; ; 21/20; ; 
Barcelona; ; ; 19/10; 2; 21/10; 11/5; 15/8; 21/10; 21/10; ; ; 2; ; 2; 21/10; 2; 21/10; 39/19; 21/10; 29/16; 19/10; 2; 2; 21/10; 2; ; 6/4; ; 
Draw; ; ; 11/4; 3; ; 14/5; 11/4; 11/4; 11/4; ; ; 13/5; ; ; ; 13/5; 13/5; 13/5; 72/25; 3; 13/5; 14/5; 3; 14/5; 45/17; ; 13/5; ; 
