META; spain/la-liga-primera/alaves-v-eibar; 2017-10-29 22:20:29 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
META; spain/la-liga-primera/alaves-v-eibar; 2017-10-30 18:20:53 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-10-30 22:21:00 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-10-31 02:20:51 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-10-31 10:21:39 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-10-31 14:23:01 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-10-31 18:21:48 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-10-31 22:21:52 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-01 02:21:37 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-01 10:21:27 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-01 14:22:04 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-01 18:21:55 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-01 22:21:26 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-02 02:21:36 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-02 10:21:32 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-02 14:07:07 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; 23/17; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; 21/10; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; 21/10; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-02 18:20:40 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 23/17; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; 21/10; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 21/10; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-02 22:20:31 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 23/17; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; 21/10; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 21/10; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-03 02:19:41 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 23/17; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; 21/10; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 21/10; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-03 10:19:46 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 23/17; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; 21/10; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 21/10; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-03 14:21:09 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 23/17; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; 21/10; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 21/10; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-03 18:20:52 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 23/17; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; 21/10; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 21/10; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-03 22:21:04 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 23/17; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; 21/10; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 21/10; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-04 02:20:53 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 23/17; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; 21/10; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 21/10; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-04 10:20:54 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 23/17; ; 29/20; ; ; ; ; 27/20; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; 21/10; ; 56/25; ; ; ; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 21/10; ; 47/20; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-04 14:21:33 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 23/17; ; 147/ 100; ; ; ; ; 27/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 21/10; ; 111/ 50; ; ; ; ; 21/10; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; 21/10; ; 117/ 50; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-04 18:20:46 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; 23/17; ; 147/ 100; ; ; ; ; 27/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; 21/10; ; 111/ 50; ; ; ; ; 21/10; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; 21/10; ; 117/ 50; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-04 22:20:17 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; 23/17; ; 147/ 100; ; ; ; ; 27/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; 21/10; ; 111/ 50; ; ; ; ; 21/10; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; 21/10; ; 117/ 50; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-05 02:20:18 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; 23/17; ; 147/ 100; ; ; ; ; 27/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; 21/10; ; 111/ 50; ; ; ; ; 21/10; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; 21/10; ; 117/ 50; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-05 10:20:19 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; 7/5; ; ; 11/8; ; ; ; ; ; ; ; ; 23/17; ; 147/ 100; ; ; ; ; 27/20; ; ; ; ; 
Draw; ; ; ; ; 11/5; ; ; 21/10; ; ; ; ; ; ; ; ; 21/10; ; 111/ 50; ; ; ; ; 21/10; ; ; ; ; 
Eibar; ; ; ; ; 11/5; ; ; 21/10; ; ; ; ; ; ; ; ; 21/10; ; 117/ 50; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-05 14:20:09 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; 7/5; ; ; 11/8; ; ; ; 13/10; ; ; ; ; 23/17; ; 147/ 100; ; ; ; ; 27/20; ; ; ; ; 
Draw; ; ; ; ; 11/5; ; ; 21/10; ; ; ; 9/4; ; ; ; ; 21/10; ; 111/ 50; ; ; ; ; 21/10; ; ; ; ; 
Eibar; ; ; ; ; 11/5; ; ; 21/10; ; ; ; 21/10; ; ; ; ; 21/10; ; 117/ 50; ; ; ; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-05 18:20:19 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; 7/5; ; ; 11/8; ; ; ; 13/10; ; ; ; ; 23/17; ; 147/ 100; ; ; 7/5; ; 27/20; ; ; ; ; 
Draw; ; ; ; ; 11/5; ; ; 11/5; ; ; ; 9/4; ; ; ; ; 21/10; ; 111/ 50; ; ; 85/40; ; 21/10; ; ; ; ; 
Eibar; ; ; ; ; 11/5; ; ; 21/10; ; ; ; 21/10; ; ; ; ; 21/10; ; 117/ 50; ; ; 11/5; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-05 22:19:48 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; ; ; ; ; 7/5; ; ; 13/10; ; ; ; 13/10; ; ; ; ; 23/17; ; 147/ 100; ; ; 7/5; ; 27/20; ; ; ; ; 
Draw; ; ; ; ; 11/5; ; ; 21/10; ; ; ; 9/4; ; ; ; ; 21/10; ; 111/ 50; ; ; 85/40; ; 21/10; ; ; ; ; 
Eibar; ; ; ; ; 11/5; ; ; 11/5; ; ; ; 21/10; ; ; ; ; 21/10; ; 117/ 50; ; ; 11/5; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-06 02:19:40 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; ; 7/5; ; 7/5; ; ; 7/5; ; 11/8; ; 13/10; ; ; ; ; 23/17; 7/5; 37/25; ; ; 7/5; 11/8; 27/20; 7/5; ; ; ; 
Draw; 11/5; ; 21/10; ; 11/5; ; ; 21/10; ; 2; ; 23/10; ; ; ; ; 21/10; 28/13; 111/ 50; ; ; 85/40; 11/5; 21/10; 11/5; ; ; ; 
Eibar; 2; ; 21/10; ; 11/5; ; ; 21/10; ; 21/10; ; 2; ; ; ; ; 21/10; 37/19; 58/25; ; ; 11/5; 85/40; 11/5; 37/19; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-06 10:19:34 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; ; 7/5; ; 7/5; ; ; 11/8; ; 7/5; ; 13/10; ; ; 7/5; ; 23/17; ; 37/25; 4/3; ; 7/5; ; 27/20; ; ; ; ; 
Draw; 11/5; ; 21/10; ; 11/5; ; ; 21/10; ; 2; ; 23/10; ; ; 11/5; ; 21/10; ; 111/ 50; 28/13; ; 85/40; ; 21/10; ; ; ; ; 
Eibar; 2; ; 21/10; ; 11/5; ; ; 21/10; ; 2; ; 2; ; ; 21/10; ; 21/10; ; 58/25; 20/11; ; 11/5; ; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-06 14:19:51 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; ; 7/5; ; 7/5; ; ; 11/8; ; 7/5; ; 13/10; ; ; 7/5; ; 23/17; 7/5; 37/25; 4/3; ; 7/5; 29/20; 27/20; ; ; ; ; 
Draw; 11/5; ; 21/10; ; 11/5; ; ; 21/10; ; 2; ; 23/10; ; ; 11/5; ; 21/10; 28/13; 111/ 50; 28/13; ; 85/40; 11/5; 21/10; ; ; ; ; 
Eibar; 2; ; 21/10; ; 11/5; ; ; 21/10; ; 2; ; 2; ; ; 21/10; ; 21/10; 37/19; 58/25; 20/11; ; 11/5; 2; 11/5; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-06 18:19:40 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; ; 16/11; ; 7/5; ; ; 11/8; ; 29/20; ; 29/20; ; ; 7/5; ; 23/17; 16/11; 37/25; 4/3; ; 7/5; 7/5; 7/5; 16/11; ; ; ; 
Draw; 11/5; ; 2; ; 11/5; ; ; 21/10; ; 2; ; 21/10; ; ; 11/5; ; 21/10; 28/13; 111/ 50; 28/13; ; 11/5; 11/5; 11/5; 28/13; ; ; ; 
Eibar; 2; ; 2; ; 11/5; ; ; 21/10; ; 2; ; 2; ; ; 21/10; ; 21/10; 24/13; 58/25; 20/11; ; 2; 21/10; 2; 24/13; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-06 22:19:46 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; ; 16/11; ; 7/5; ; ; 11/8; 7/5; 29/20; ; 29/20; ; ; 6/4; ; 23/17; 7/5; 6/4; 15/11; 7/5; 7/5; 7/5; 7/5; 16/11; ; ; ; 
Draw; 11/5; ; 2; ; 11/5; ; ; 21/10; 2; 2; ; 2; ; ; 19/10; ; 21/10; 37/19; 54/25; 21/10; 2; 11/5; 11/5; 11/5; 2; ; ; ; 
Eibar; 2; ; 2; ; 11/5; ; ; 21/10; 11/5; 2; ; 21/10; ; ; 9/4; ; 21/10; 39/19; 117/ 50; 24/13; 11/5; 2; 21/10; 2; 39/19; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-07 10:19:40 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; ; 16/11; ; 7/5; ; ; 7/5; 7/5; 29/20; ; 29/20; ; ; 6/4; ; 23/17; 7/5; 6/4; 15/11; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; ; 2; ; 11/5; ; ; 2; 2; 2; ; 19/10; ; ; 19/10; ; 21/10; 37/19; 54/25; 21/10; 2; 11/5; 11/5; 11/5; 2; ; ; ; 
Eibar; 2; ; 2; ; 11/5; ; ; 21/10; 11/5; 2; ; 11/5; ; ; 9/4; ; 21/10; 39/19; 117/ 50; 24/13; 11/5; 2; 2; 2; 39/19; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-07 14:19:59 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; ; 6/4; ; 7/5; ; ; 7/5; 7/5; 29/20; ; 7/5; ; ; 6/4; ; 23/17; 7/5; 6/4; 11/8; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; ; 2; ; 11/5; ; ; 2; 2; 2; ; 21/10; ; ; 19/10; ; 21/10; 37/19; 54/25; 39/19; 2; 11/5; 11/5; 11/5; 2; ; ; ; 
Eibar; 2; ; 2; ; 11/5; ; ; 21/10; 11/5; 2; ; 21/10; ; ; 9/4; ; 21/10; 39/19; 117/ 50; 13/7; 11/5; 2; 2; 2; 39/19; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-07 18:19:40 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; ; 6/4; ; 7/5; ; ; 7/5; 7/5; 29/20; ; 7/5; ; ; 6/4; ; 23/17; 7/5; 31/20; 11/8; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; ; 2; ; 11/5; ; ; 2; 2; 2; ; 21/10; ; ; 19/10; ; 21/10; 37/19; 52/25; 39/19; 2; 11/5; 11/5; 11/5; 2; ; ; ; 
Eibar; 2; ; 2; ; 11/5; ; ; 21/10; 11/5; 2; ; 21/10; ; ; 9/4; ; 21/10; 39/19; 47/20; 13/7; 11/5; 2; 2; 2; 39/19; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-07 22:19:40 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; ; 6/4; ; 7/5; ; ; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 23/17; 16/11; 31/20; 11/8; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; ; 2; ; 11/5; ; ; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 21/10; 37/19; 52/25; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; ; 2; ; 11/5; ; ; 21/10; 11/5; 2; ; 11/5; ; 21/10; 9/4; ; 21/10; 21/10; 47/20; 13/7; 11/5; 85/40; 21/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-08 02:19:36 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
