META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-21 02:20:03 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-25 14:19:29 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 2/7; ; 1/5; 1/6; 3/13; ; ; 2/9; ; ; ; ; 1/5; 3/14; 1/5; ; 3/13; 1/4; ; 1/5; 2/9; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; 5; ; ; 11/2; ; ; ; ; 5; 96/19; 5; ; 24/5; 11/2; ; 11/2; 51/10; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; 21/2; ; ; 10; ; ; ; ; 11; 21/2; 11; ; 10; 9; ; 12; 43/4; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-25 18:19:26 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 2/7; ; 1/5; 1/6; 3/13; ; ; 2/9; ; ; ; ; 1/5; 3/14; 1/5; ; 3/13; 1/4; ; 1/5; 2/9; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; 5; ; ; 11/2; ; ; ; ; 5; 96/19; 5; ; 24/5; 11/2; ; 11/2; 51/10; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; 21/2; ; ; 10; ; ; ; ; 11; 21/2; 11; ; 10; 9; ; 12; 43/4; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-25 22:19:28 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 2/7; ; 1/5; 1/6; 3/13; ; ; 2/9; ; ; ; ; 1/5; 3/14; 1/5; ; 3/13; 1/4; ; 1/5; 2/9; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; 5; ; ; 11/2; ; ; ; ; 5; 96/19; 5; ; 24/5; 11/2; ; 11/2; 51/10; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; 21/2; ; ; 9; ; ; ; ; 11; 21/2; 11; ; 10; 9; ; 12; 43/4; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-26 02:19:27 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 7/25; ; 2/11; 1/6; 3/13; ; ; 2/9; ; ; ; ; 1/5; 3/14; 1/5; ; 3/13; 1/4; ; 1/5; 2/9; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; 5; ; ; 11/2; ; ; ; ; 5; 96/19; 5; ; 24/5; 11/2; ; 11/2; 51/10; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; 21/2; ; ; 9; ; ; ; ; 11; 21/2; 11; ; 10; 9; ; 12; 43/4; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-26 10:19:35 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 7/25; ; 2/11; 1/6; 3/13; ; ; 2/9; ; ; ; ; 1/5; 3/14; 1/5; ; 3/13; 1/4; ; 1/5; 2/9; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; 5; ; ; 11/2; ; ; ; ; 5; 96/19; 5; ; 24/5; 11/2; ; 11/2; 51/10; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; 21/2; ; ; 9; ; ; ; ; 11; 21/2; 11; ; 10; 9; ; 12; 43/4; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-26 14:20:35 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 7/25; ; 1/5; 1/6; 3/13; ; ; 2/9; ; ; ; ; 1/5; 3/14; 1/5; ; 3/13; 1/4; ; 1/5; 2/9; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; 5; ; ; 11/2; ; ; ; ; 5; 96/19; 5; ; 24/5; 11/2; ; 11/2; 51/10; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; 21/2; ; ; 9; ; ; ; ; 11; 21/2; 11; ; 10; 9; ; 12; 43/4; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-26 18:19:31 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 7/25; ; 1/5; 2/9; 3/13; ; ; 2/9; ; ; ; ; 1/5; 2/9; 1/5; ; 3/13; 1/4; ; 1/5; 2/9; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 11/2; 5; ; ; 11/2; ; ; ; ; 5; 51/10; 5; ; 24/5; 11/2; ; 11/2; 67/13; ; ; ; 
Villarreal; ; ; ; ; 12; ; 10; 11; 21/2; ; ; 9; ; ; ; ; 11; 41/4; 11; ; 10; 10; ; 12; 41/4; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-26 22:19:05 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 7/25; ; 1/5; 2/9; 3/13; ; ; 2/9; ; ; ; ; 1/5; 2/9; 1/5; ; 3/13; 1/4; ; 1/5; 2/9; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 11/2; 5; ; ; 11/2; ; ; ; ; 5; 51/10; 5; ; 24/5; 11/2; ; 11/2; 67/13; ; ; ; 
Villarreal; ; ; ; ; 12; ; 10; 11; 21/2; ; ; 9; ; ; ; ; 11; 41/4; 11; ; 10; 10; ; 12; 41/4; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-27 02:19:05 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 7/25; ; 1/5; 2/9; 3/13; ; ; 2/9; ; ; ; ; 1/5; 2/9; 1/5; ; 3/13; 1/4; ; 1/5; 2/9; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 11/2; 5; ; ; 11/2; ; ; ; ; 5; 51/10; 5; ; 24/5; 11/2; ; 11/2; 67/13; ; ; ; 
Villarreal; ; ; ; ; 12; ; 10; 11; 21/2; ; ; 9; ; ; ; ; 11; 41/4; 11; ; 10; 10; ; 12; 41/4; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-27 10:19:11 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 7/25; ; 1/5; 2/9; 3/13; ; ; 2/9; ; ; ; ; 1/5; 2/9; 1/5; ; 3/13; 1/4; ; 1/5; 2/9; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 11/2; 5; ; ; 11/2; ; ; ; ; 5; 51/10; 5; ; 24/5; 11/2; ; 11/2; 67/13; ; ; ; 
Villarreal; ; ; ; ; 12; ; 10; 11; 21/2; ; ; 9; ; ; ; ; 11; 41/4; 11; ; 10; 10; ; 12; 41/4; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-27 14:20:36 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 7/25; ; 1/5; 2/9; 3/13; ; ; 2/9; ; ; ; ; 1/5; 2/9; 1/5; ; 3/13; 1/4; ; 1/5; 2/9; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 11/2; 5; ; ; 11/2; ; ; ; ; 5; 49/10; 5; ; 24/5; 11/2; ; 11/2; 94/19; ; ; ; 
Villarreal; ; ; ; ; 12; ; 10; 11; 21/2; ; ; 9; ; ; ; ; 11; 41/4; 11; ; 10; 10; ; 12; 41/4; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-27 18:19:12 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 7/25; ; 2/9; 2/9; 3/13; ; ; 1/4; ; 3/10; ; ; 1/5; 2/9; 1/5; 2/7; 3/13; 1/4; ; 1/4; 3/13; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 11/2; 5; ; ; 5; ; 19/4; ; ; 5; 51/10; 5; 49/10; 24/5; 11/2; ; 21/4; 67/13; ; ; ; 
Villarreal; ; ; ; ; 12; ; 10; 11; 21/2; ; ; 10; ; 8; ; ; 11; 19/2; 11; 32/5; 10; 10; ; 9; 19/2; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-27 22:19:30 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; 1/4; ; ; ; 7/25; ; 2/9; 1/4; 3/13; ; ; 1/4; ; 3/10; 30/ 100; ; 1/5; 4/17; 1/5; 2/7; 3/13; 3/10; ; 1/4; 3/13; ; ; ; 
Draw; 5; ; ; ; 27/5; ; 11/2; 5; 5; ; ; 5; ; 19/4; 5; ; 5; 49/10; 5; 49/10; 24/5; 21/4; ; 21/4; 67/13; ; ; ; 
Villarreal; 9; ; ; ; 12; ; 19/2; 9; 21/2; ; ; 9; ; 8; 15/2; ; 11; 37/4; 11; 32/5; 10; 15/2; ; 9; 19/2; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-28 10:19:33 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; 1/4; ; ; ; 7/25; ; 2/9; 1/4; 3/13; ; ; 1/4; ; 3/10; 2/7; ; 1/4; 4/17; 1/4; 2/7; 3/13; 3/10; 1/4; 1/4; 4/17; ; ; ; 
Draw; 5; ; ; ; 27/5; ; 5; 5; 5; ; ; 9/2; ; 19/4; 11/2; ; 19/4; 94/19; 19/4; 49/10; 24/5; 21/4; 11/2; 21/4; 5; ; ; ; 
Villarreal; 9; ; ; ; 12; ; 9; 9; 21/2; ; ; 10; ; 8; 15/2; ; 9; 37/4; 9; 32/5; 10; 15/2; 19/2; 9; 37/4; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-28 14:19:39 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; 1/4; ; ; ; 7/25; ; 2/9; 1/4; 3/13; ; ; 1/4; ; 3/10; 2/7; ; 1/4; 4/17; 1/4; 2/7; 3/13; 3/10; 1/4; 1/4; 4/17; ; ; ; 
Draw; 5; ; ; ; 27/5; ; 5; 5; 5; ; ; 9/2; ; 19/4; 11/2; ; 19/4; 94/19; 19/4; 49/10; 24/5; 21/4; 11/2; 21/4; 5; ; ; ; 
Villarreal; 9; ; ; ; 12; ; 9; 9; 21/2; ; ; 10; ; 8; 15/2; ; 9; 37/4; 9; 32/5; 10; 15/2; 19/2; 9; 37/4; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-28 18:19:35 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; 1/4; ; ; ; 7/25; ; 2/9; 1/4; 3/13; ; ; 1/4; ; 3/10; 2/7; ; 1/4; 4/17; 1/4; 2/7; 3/13; 3/10; 1/4; 1/4; 4/17; ; ; ; 
Draw; 5; ; ; ; 27/5; ; 5; 5; 5; ; ; 9/2; ; 19/4; 11/2; ; 19/4; 49/10; 19/4; 49/10; 24/5; 21/4; 11/2; 21/4; 94/19; ; ; ; 
Villarreal; 9; ; ; ; 12; ; 9; 9; 21/2; ; ; 10; ; 8; 15/2; ; 9; 37/4; 9; 32/5; 10; 15/2; 19/2; 9; 37/4; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-28 22:19:36 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; 1/4; ; ; ; 7/25; 2/7; 2/9; 1/4; 3/13; ; ; 1/4; ; 3/10; 2/7; ; 1/4; 4/17; 1/4; 2/7; 3/13; 3/10; 1/4; 1/4; 4/17; ; 1/100; ; 
Draw; 5; ; ; ; 27/5; 11/2; 5; 5; 5; ; ; 5; ; 19/4; 11/2; ; 19/4; 49/10; 19/4; 49/10; 24/5; 21/4; 11/2; 21/4; 94/19; ; 1/100; ; 
Villarreal; 9; ; ; ; 12; 19/2; 9; 9; 21/2; ; ; 9; ; 8; 15/2; ; 9; 37/4; 9; 32/5; 10; 15/2; 19/2; 9; 37/4; ; 1/100; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-29 02:19:32 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; 1/4; ; ; ; 7/25; 2/7; 2/9; 1/4; 3/13; ; ; 1/4; ; 3/10; 2/7; ; 1/4; 4/17; 1/4; 2/7; 3/13; 3/10; 1/4; 1/4; 4/17; ; 1/100; ; 
Draw; 5; ; ; ; 27/5; 11/2; 5; 5; 5; ; ; 5; ; 19/4; 11/2; ; 19/4; 49/10; 19/4; 49/10; 24/5; 21/4; 11/2; 21/4; 94/19; ; 1/3; ; 
Villarreal; 9; ; ; ; 12; 19/2; 9; 9; 21/2; ; ; 9; ; 8; 15/2; ; 9; 37/4; 9; 32/5; 10; 15/2; 19/2; 9; 37/4; ; 1/3; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-29 10:19:32 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; 1/4; ; ; ; 7/25; 2/7; 2/9; 1/4; 3/13; ; ; 3/10; ; 3/10; 30/ 100; ; 1/4; 4/17; 1/4; 2/7; 3/13; 3/10; 1/4; 1/4; 4/17; ; 1/50; ; 
Draw; 5; ; ; ; 27/5; 11/2; 5; 5; 5; ; ; 9/2; ; 19/4; 5; ; 19/4; 63/13; 19/4; 49/10; 24/5; 5; 11/2; 5; 94/19; ; 4/11; ; 
Villarreal; 9; ; ; ; 12; 19/2; 9; 9; 21/2; ; ; 15/2; ; 8; 15/2; ; 9; 37/4; 9; 32/5; 10; 15/2; 19/2; 9; 37/4; ; 1/3; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-29 18:19:35 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; 1/4; ; ; ; 7/25; 1/4; 2/9; 1/4; 3/13; ; ; 3/10; ; 3/10; 30/ 100; ; 1/4; 4/17; 1/4; 2/7; 3/13; 3/10; 1/4; 1/4; 4/17; ; 1/20; ; 
Draw; 5; ; ; ; 27/5; 5; 5; 5; 5; ; ; 9/2; ; 19/4; 5; ; 19/4; 49/10; 19/4; 49/10; 24/5; 5; 11/2; 5; 94/19; ; 4/11; ; 
Villarreal; 9; ; ; ; 12; 19/2; 9; 9; 21/2; ; ; 15/2; ; 8; 15/2; ; 9; 9; 9; 32/5; 10; 15/2; 19/2; 9; 37/4; ; 1/3; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-29 22:19:36 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
