META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-06 02:19:08 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Leganes; ; ; ; ; 61/10; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 6; ; 13/2; ; ; ; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-09 14:19:37 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 6/17; ; ; 2/5; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 17/4; ; 4; ; ; ; ; 
Leganes; ; ; ; ; 61/10; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 6; ; 13/2; ; ; ; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-09 18:18:53 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 6/17; ; ; 2/5; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 17/4; ; 4; ; ; ; ; 
Leganes; ; ; ; ; 61/10; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 6; ; 13/2; ; ; ; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-09 22:19:44 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 6/17; ; ; 2/5; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 17/4; ; 4; ; ; ; ; 
Leganes; ; ; ; ; 61/10; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 6; ; 13/2; ; ; ; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-10 02:19:13 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 6/17; ; ; 2/5; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 17/4; ; 4; ; ; ; ; 
Leganes; ; ; ; ; 61/10; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 6; ; 13/2; ; ; ; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-10 10:19:27 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 6/17; ; ; 2/5; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 17/4; ; 4; ; ; ; ; 
Leganes; ; ; ; ; 61/10; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 6; ; 13/2; ; ; ; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-10 14:20:45 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 6/17; ; ; 2/5; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 17/4; ; 4; ; ; ; ; 
Leganes; ; ; ; ; 61/10; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 6; ; 13/2; ; ; ; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-10 18:19:38 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 6/17; ; ; 2/5; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 17/4; ; 4; ; ; ; ; 
Leganes; ; ; ; ; 61/10; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 6; ; 13/2; ; ; ; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-10 22:18:49 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 6/17; ; ; 2/5; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 17/4; ; 4; ; ; ; ; 
Leganes; ; ; ; ; 61/10; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 6; ; 13/2; ; ; ; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-11 02:18:41 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 6/17; ; ; 2/5; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 17/4; ; 4; ; ; ; ; 
Leganes; ; ; ; ; 61/10; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 6; ; 13/2; ; ; ; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-11 10:18:43 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 6/17; ; ; 2/5; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 17/4; ; 4; ; ; ; ; 
Leganes; ; ; ; ; 61/10; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 6; ; 13/2; ; ; ; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-11 14:18:59 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 6/17; ; ; 2/5; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 17/4; ; 4; ; ; ; ; 
Leganes; ; ; ; ; 61/10; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 6; ; 13/2; ; ; ; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-11 18:18:53 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 6/17; ; ; 2/5; ; 4/11; ; ; 1/4; ; 
Draw; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 17/4; ; 4; ; ; 21/10; ; 
Leganes; ; ; ; ; 61/10; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 6; ; 13/2; ; ; 7/2; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-11 22:18:38 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 3/10; ; 9/25; 3/10; ; 2/7; ; 3/10; ; ; ; ; 30/100; 3/10; 6/19; 6/17; ; ; 3/10; 3/10; 3/10; 6/19; ; 1/4; ; 
Draw; 9/2; ; 21/5; ; 23/5; 9/2; ; 9/2; ; 21/5; ; ; ; ; 9/2; 9/2; 4; 4; ; ; 9/2; 9/2; 9/2; 4; ; 4; ; 
Leganes; 17/2; ; 9; ; 44/5; 17/2; ; 8; ; 9; ; ; ; ; 9; 17/2; 15/2; 7; ; ; 8; 19/2; 17/2; 15/2; ; 38/5; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-12 02:18:29 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 3/10; ; 9/25; 1/3; ; 3/10; ; 3/10; ; ; ; ; 1/3; 3/10; 6/19; 6/17; ; ; 3/10; 3/10; 3/10; 6/19; ; 3/10; ; 
Draw; 9/2; ; 21/5; ; 23/5; 9/2; ; 4; ; 21/5; ; ; ; ; 17/4; 9/2; 4; 4; ; ; 9/2; 9/2; 9/2; 77/19; ; 4; ; 
Leganes; 17/2; ; 9; ; 44/5; 9; ; 17/2; ; 9; ; ; ; ; 8; 17/2; 15/2; 7; ; ; 8; 19/2; 17/2; 31/4; ; 41/5; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-12 10:18:53 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 3/10; ; 9/25; 1/3; ; 3/10; ; 3/10; ; ; ; ; 1/3; 3/10; 6/19; 6/17; ; ; 3/10; ; 3/10; 6/19; ; 3/10; ; 
Draw; 9/2; ; 21/5; ; 23/5; 9/2; ; 4; ; 21/5; ; ; ; ; 17/4; 9/2; 4; 4; ; ; 9/2; ; 9/2; 77/19; ; 4; ; 
Leganes; 17/2; ; 9; ; 44/5; 9; ; 17/2; ; 9; ; ; ; ; 8; 17/2; 15/2; 7; ; ; 8; ; 17/2; 31/4; ; 19/2; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-12 14:19:00 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 3/10; ; 8/25; 1/3; ; 3/10; 6/19; 2/7; ; 3/10; ; 3/10; 30/100; 2/7; 5/18; 3/10; ; 6/19; 3/10; ; 3/10; 5/18; ; 3/10; ; 
Draw; 9/2; ; 17/4; ; 26/5; 9/2; ; 4; 43/10; 21/5; ; 4; ; 17/4; 9/2; 9/2; 49/11; 17/4; ; 17/4; 9/2; ; 9/2; 9/2; ; 4; ; 
Leganes; 17/2; ; 10; ; 19/2; 9; ; 17/2; 17/2; 9; ; 9; ; 9; 9; 17/2; 33/4; 8; ; 17/2; 17/2; ; 17/2; 33/4; ; 19/2; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-12 18:19:02 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 3/10; ; 8/25; 3/10; ; 1/4; 6/19; 2/7; ; 3/10; ; 3/10; 30/100; 2/7; 5/18; 3/10; ; 6/19; 3/10; 2/7; 3/10; 5/18; ; 1/4; ; 
Draw; 9/2; ; 17/4; ; 26/5; 9/2; ; 4; 43/10; 21/5; ; 4; ; 17/4; 9/2; 9/2; 22/5; 17/4; ; 17/4; 9/2; 9/2; 9/2; 22/5; ; 4; ; 
Leganes; 17/2; ; 10; ; 19/2; 10; ; 9; 17/2; 9; ; 9; ; 9; 9; 17/2; 8; 8; ; 17/2; 17/2; 10; 17/2; 33/4; ; 19/2; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-12 22:19:05 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 5/18; ; 8/25; 3/10; 1/4; 1/4; 5/18; 2/7; ; 3/10; ; 3/10; 30/100; 2/7; 3/11; 3/10; ; 5/18; 3/10; ; 2/7; 5/18; ; 1/4; ; 
Draw; 9/2; ; 17/4; ; 26/5; 9/2; 9/2; 4; 9/2; 17/4; ; 4; ; 17/4; 9/2; 9/2; 49/11; 17/4; ; 22/5; 9/2; ; 9/2; 9/2; ; 4; ; 
Leganes; 17/2; ; 10; ; 19/2; 10; 9; 9; 17/2; 10; ; 9; ; 10; 9; 9; 33/4; 8; ; 17/2; 17/2; ; 9; 33/4; ; 19/2; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-13 02:18:55 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 5/18; ; 8/25; 3/10; 1/4; 1/4; 5/18; 2/7; ; 3/10; ; 3/10; 30/100; 2/7; 3/11; 3/10; ; 5/18; 3/10; 2/7; 2/7; 5/18; ; 1/4; ; 
Draw; 9/2; ; 17/4; ; 26/5; 9/2; 9/2; 4; 9/2; 17/4; ; 4; ; 17/4; 9/2; 9/2; 49/11; 17/4; ; 22/5; 9/2; 9/2; 9/2; 9/2; ; 4; ; 
Leganes; 17/2; ; 10; ; 19/2; 10; 9; 9; 17/2; 10; ; 9; ; 10; 9; 9; 33/4; 8; ; 17/2; 17/2; 10; 9; 33/4; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-13 10:19:00 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 5/18; ; 8/25; 3/10; 1/4; 1/4; 5/18; 2/7; ; 3/10; ; 3/10; 30/100; 2/7; 3/11; 3/10; ; 5/18; 3/10; 2/7; 2/7; 5/18; ; 1/4; ; 
Draw; 9/2; ; 17/4; ; 26/5; 9/2; 9/2; 4; 9/2; 17/4; ; 4; ; 17/4; 9/2; 9/2; 49/11; 17/4; ; 22/5; 9/2; 9/2; 9/2; 9/2; ; 4; ; 
Leganes; 17/2; ; 10; ; 19/2; 10; 9; 9; 17/2; 10; ; 9; ; 10; 9; 9; 33/4; 8; ; 17/2; 17/2; 10; 9; 33/4; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-13 14:19:02 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 5/18; ; 8/25; 3/10; 1/4; 1/4; 5/18; 2/7; ; 3/10; ; 3/10; 30/100; 2/7; 3/11; 3/10; ; 5/18; 3/10; 2/7; 2/7; 5/18; ; 1/4; ; 
Draw; 9/2; ; 17/4; ; 26/5; 9/2; 9/2; 4; 9/2; 17/4; ; 4; ; 17/4; 9/2; 9/2; 49/11; 17/4; ; 22/5; 9/2; 9/2; 9/2; 9/2; ; 4; ; 
Leganes; 17/2; ; 10; ; 19/2; 10; 9; 9; 17/2; 10; ; 9; ; 10; 9; 9; 33/4; 8; ; 17/2; 17/2; 10; 9; 33/4; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-13 18:19:01 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 3/10; 2/7; 8/25; 3/10; 1/4; 1/4; 5/18; 2/7; ; 3/10; ; 3/10; 30/100; 2/7; 3/11; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 5/18; ; 1/4; ; 
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; ; 4; ; 17/4; 9/2; 9/2; 49/11; 17/4; 22/5; 22/5; 9/2; 9/2; 9/2; 9/2; ; 4; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; 9; ; 9; ; 10; 9; 9; 33/4; 8; 37/5; 17/2; 17/2; 10; 9; 33/4; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-13 22:18:53 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 3/10; 2/7; 8/25; 3/10; 1/4; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 2/7; 3/11; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 5/18; ; 1/4; ; 
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 49/11; 17/4; 22/5; 22/5; 9/2; 9/2; 9/2; 9/2; ; 4; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; 9; 9; 9; ; 10; 9; 9; 33/4; 8; 37/5; 17/2; 17/2; 10; 9; 33/4; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-14 02:18:51 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 3/10; 2/7; 8/25; 3/10; 1/4; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 2/7; 3/11; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 5/18; ; 1/4; ; 
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 49/11; 17/4; 22/5; 22/5; 9/2; 9/2; 9/2; 9/2; ; 4; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; 9; 9; 9; ; 10; 9; 9; 33/4; 8; 37/5; 17/2; 17/2; 10; 9; 33/4; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-14 10:18:52 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 3/10; 2/7; 8/25; 3/10; 1/4; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 2/7; 3/11; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 5/18; ; 1/4; ; 
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 49/11; 17/4; 22/5; 22/5; 9/2; 9/2; 9/2; 9/2; ; 4; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; 9; 9; 9; ; 10; 9; 9; 33/4; 8; 37/5; 17/2; 17/2; 10; 9; 33/4; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-14 14:18:55 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 3/10; 2/7; 8/25; 3/10; 1/4; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 2/7; 3/11; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 5/18; ; 1/4; ; 
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 49/11; 17/4; 22/5; 22/5; 9/2; 9/2; 9/2; 9/2; ; 4; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; 9; 9; 9; ; 10; 9; 9; 33/4; 8; 37/5; 17/2; 17/2; 10; 9; 33/4; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-14 18:18:56 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 3/10; 2/7; 8/25; 3/10; 1/4; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 2/7; 3/11; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 5/18; ; 1/4; ; 
