META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-20 14:19:25 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; 1/5; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; 23/4; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; 21/2; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-22 10:18:56 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; 1/5; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; 23/4; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; 21/2; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-22 14:18:59 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; ; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; ; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-22 18:22:16 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; ; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; ; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-22 22:23:32 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; ; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; ; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-23 02:21:41 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; ; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; ; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-23 10:21:24 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; ; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; ; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-23 14:22:41 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; ; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; ; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-23 18:22:56 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; ; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; ; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-23 22:22:58 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; ; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; ; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-24 02:22:18 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; ; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; ; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-24 10:21:52 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; ; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; ; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-24 14:22:17 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; ; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; ; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-24 18:23:33 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; ; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; ; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-24 22:22:09 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; ; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; ; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-25 02:19:50 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; ; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; ; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-25 10:20:55 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; ; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; ; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-25 14:21:09 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; ; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; ; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-25 18:20:52 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; 1/5; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; 28/5; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; 21/2; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-25 22:20:30 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; 1/5; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; 28/5; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; 21/2; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-26 02:21:28 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; 1/5; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; 28/5; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; 21/2; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-26 10:24:23 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; 1/5; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; 28/5; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; 21/2; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-26 14:25:20 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; 1/5; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; 28/5; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; 21/2; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-26 18:25:49 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; 1/5; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; 28/5; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; 21/2; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-26 22:24:55 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; 1/5; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; 28/5; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; 21/2; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-27 02:25:17 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; 1/5; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; 28/5; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; 21/2; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-27 10:25:13 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; 1/5; ; ; ; 1/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; 28/5; ; ; ; 23/4; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; 21/2; ; ; ; 21/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-27 14:25:29 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; 1/5; ; ; ; 1/5; ; ; 2/11; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; 28/5; ; ; ; 23/4; ; ; 6; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; 21/2; ; ; ; 21/2; ; ; 11; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-27 18:25:21 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; 1/5; ; ; ; 1/5; ; ; 2/11; ; ; ; 
Draw; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; 28/5; ; ; ; 23/4; ; ; 6; ; ; ; 
Espanyol; ; ; ; ; ; 12; ; ; 21/2; ; ; ; ; ; ; ; 11; 21/2; ; ; ; 21/2; ; ; 11; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-27 22:26:03 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 2/11; 2/9; ; ; 1/5; ; ; ; ; ; ; ; 1/5; 1/5; ; ; ; 1/5; ; ; 2/11; ; ; ; 
Draw; ; ; ; ; 13/2; 11/2; ; ; 6; ; ; ; ; ; ; ; 5; 28/5; ; ; ; 23/4; ; ; 11/2; ; ; ; 
Espanyol; ; ; ; ; 14; 12; ; ; 23/2; ; ; ; ; ; ; ; 11; 11; ; ; ; 11; ; ; 12; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-28 02:24:36 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 2/11; 1/5; ; ; 1/5; ; ; ; ; ; ; ; 2/11; 1/5; ; ; ; 1/5; ; ; 1/6; ; ; ; 
Draw; ; ; ; ; 6; 6; ; ; 6; ; ; ; ; ; ; ; 11/2; 28/5; ; ; ; 23/4; ; ; 11/2; ; ; ; 
Espanyol; ; ; ; ; 16; 14; ; ; 23/2; ; ; ; ; ; ; ; 14; 11; ; ; ; 11; ; ; 12; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-28 10:24:25 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 1/5; ; ; 1/5; ; ; ; ; ; ; ; 2/11; 1/5; ; ; ; 1/5; ; ; 2/13; ; ; ; 
Draw; ; ; ; ; 13/2; 6; ; ; 6; ; ; ; ; ; ; ; 11/2; 28/5; ; ; ; 23/4; ; ; 6; ; ; ; 
Espanyol; ; ; ; ; 16; 14; ; ; 23/2; ; ; ; ; ; ; ; 14; 11; ; ; ; 11; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-28 14:24:54 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 2/11; 1/5; ; ; 1/5; ; ; ; ; ; ; ; 2/11; 1/5; ; ; ; 1/5; ; ; 2/13; ; ; ; 
Draw; ; ; ; ; 13/2; 6; ; ; 6; ; ; ; ; ; ; ; 11/2; 28/5; ; ; ; 23/4; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 14; 14; ; ; 23/2; ; ; ; ; ; ; ; 14; 11; ; ; ; 11; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-28 18:24:55 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 2/11; 1/5; ; ; 1/5; ; ; ; ; ; ; 1/6; 2/11; 1/5; ; ; ; 1/5; ; ; 2/13; ; ; ; 
Draw; ; ; ; ; 13/2; 6; ; ; 6; ; ; ; ; ; ; 6; 11/2; 28/5; ; ; ; 23/4; ; ; 6; ; ; ; 
Espanyol; ; ; ; ; 14; 14; ; ; 23/2; ; ; ; ; ; ; 12; 14; 11; ; ; ; 11; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-28 22:23:43 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 1/5; ; ; 2/11; ; ; ; ; ; ; 1/6; 2/11; 2/11; ; ; ; 2/11; ; ; 2/13; ; ; ; 
Draw; ; ; ; ; 13/2; 6; ; ; 13/2; ; ; ; ; ; ; 6; 11/2; 13/2; ; ; ; 13/2; ; ; 6; ; ; ; 
Espanyol; ; ; ; ; 16; 14; ; ; 13; ; ; ; ; ; ; 12; 14; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-29 02:23:04 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 1/5; ; ; 2/11; ; ; ; ; ; ; 1/6; 2/11; 2/11; ; ; ; 2/11; ; ; 2/13; ; ; ; 
Draw; ; ; ; ; 13/2; 6; ; ; 13/2; ; ; ; ; ; ; 6; 11/2; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 16; 14; ; ; 13; ; ; ; ; ; ; 12; 14; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-29 10:22:53 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 2/11; 1/5; ; ; 2/11; ; ; ; ; ; ; 1/6; 2/11; 2/11; ; ; ; 2/11; ; ; 2/13; ; ; ; 
Draw; ; ; ; ; 13/2; 6; ; ; 13/2; ; ; ; ; ; ; 6; 11/2; 13/2; ; ; ; 13/2; ; ; 6; ; ; ; 
Espanyol; ; ; ; ; 14; 14; ; ; 13; ; ; ; ; ; ; 12; 14; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-29 14:23:18 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 2/11; 1/5; ; ; 2/11; ; ; ; ; ; ; 1/6; 2/11; 2/11; ; ; ; 2/11; ; ; 2/13; ; ; ; 
Draw; ; ; ; ; 13/2; 6; ; ; 13/2; ; ; ; ; ; ; 6; 11/2; 13/2; ; ; ; 13/2; ; ; 6; ; ; ; 
Espanyol; ; ; ; ; 14; 14; ; ; 13; ; ; ; ; ; ; 12; 14; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-29 18:23:44 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 1/5; ; ; 2/11; ; ; ; ; ; ; 1/7; 2/11; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 6; ; ; 13/2; ; ; ; ; ; ; 6; 11/2; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
