META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-20 02:19:43 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Draw; ; ; ; ; 27/10; ; ; 13/5; ; ; ; ; ; ; ; ; 5/2; ; 5/2; ; ; ; ; 53/20; ; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; ; 4; ; ; ; ; ; ; ; ; 7/2; ; 7/2; ; ; ; ; 7/2; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-22 22:20:10 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 8/11; 8/11; ; ; ; ; ; ; ; ; 3/4; ; 3/4; ; ; ; ; 10/13; ; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 13/5; ; ; ; ; ; ; ; ; 5/2; ; 5/2; ; ; ; ; 53/20; ; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 15/4; 4; ; ; ; ; ; ; ; ; 7/2; ; 7/2; ; ; ; ; 7/2; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-23 02:19:51 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 8/11; 8/11; ; ; ; ; ; ; ; ; 3/4; ; 3/4; ; ; ; ; 10/13; ; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 13/5; ; ; ; ; ; ; ; ; 5/2; ; 5/2; ; ; ; ; 53/20; ; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 15/4; 4; ; ; ; ; ; ; ; ; 7/2; ; 7/2; ; ; ; ; 7/2; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-23 10:19:53 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 8/11; 8/11; ; ; ; ; ; ; ; ; 3/4; ; 3/4; ; ; ; ; 10/13; ; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 13/5; ; ; ; ; ; ; ; ; 5/2; ; 5/2; ; ; ; ; 53/20; ; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 15/4; 4; ; ; ; ; ; ; ; ; 7/2; ; 7/2; ; ; ; ; 7/2; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-23 14:20:12 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 8/11; 8/11; ; ; ; ; ; ; ; ; 3/4; ; 3/4; ; ; 4/5; ; 10/13; ; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 13/5; ; ; ; ; ; ; ; ; 5/2; ; 5/2; ; ; 13/5; ; 53/20; ; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 15/4; 4; ; ; ; ; ; ; ; ; 7/2; ; 7/2; ; ; 7/2; ; 7/2; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-23 18:19:37 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 8/11; ; ; ; ; ; ; ; ; 3/4; ; 3/4; ; ; 4/5; ; 10/13; ; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 13/5; ; ; ; ; ; ; ; ; 5/2; ; 5/2; ; ; 13/5; ; 53/20; ; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 4; ; ; ; ; ; ; ; ; 7/2; ; 7/2; ; ; 7/2; ; 7/2; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-23 22:19:09 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 8/11; ; ; ; ; ; ; ; ; 3/4; ; 3/4; ; ; 4/5; ; 10/13; ; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 13/5; ; ; ; ; ; ; ; ; 5/2; ; 5/2; ; ; 13/5; ; 53/20; ; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 4; ; ; ; ; ; ; ; ; 7/2; ; 7/2; ; ; 7/2; ; 7/2; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-24 02:19:23 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 8/11; ; ; ; 3/4; ; ; ; ; 3/4; ; 3/4; ; ; 4/5; ; 10/13; ; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 13/5; ; ; ; 11/4; ; ; ; ; 5/2; ; 5/2; ; ; 13/5; ; 53/20; ; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 4; ; ; ; 7/2; ; ; ; ; 7/2; ; 7/2; ; ; 7/2; ; 7/2; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-24 10:19:18 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 8/11; ; ; ; 3/4; ; ; ; ; 3/4; ; 3/4; ; ; 4/5; ; 10/13; ; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 13/5; ; ; ; 11/4; ; ; ; ; 5/2; ; 5/2; ; ; 13/5; ; 53/20; ; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 7/2; ; ; ; 7/2; ; ; ; ; 7/2; ; 7/2; ; ; 7/2; ; 7/2; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-24 14:19:23 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 8/11; 3/4; ; ; 3/4; ; ; ; ; 3/4; ; 3/4; ; 3/4; 4/5; ; 3/4; ; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 11/4; 13/5; ; ; 11/4; ; ; ; ; 5/2; ; 5/2; ; 13/5; 13/5; ; 53/20; ; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; ; ; ; 7/2; ; 7/2; ; 37/10; 7/2; ; 15/4; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-24 18:19:21 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 8/11; 3/4; ; ; 3/4; ; ; ; ; 3/4; ; 3/4; ; 3/4; 4/5; ; 3/4; ; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 11/4; 13/5; ; ; 11/4; ; ; ; ; 5/2; ; 5/2; ; 13/5; 13/5; ; 53/20; ; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; ; ; ; 7/2; ; 7/2; ; 37/10; 7/2; ; 15/4; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-24 22:19:21 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 8/11; 3/4; ; ; 3/4; ; ; ; ; 3/4; ; 3/4; ; 3/4; 4/5; ; 3/4; ; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 11/4; 13/5; ; ; 11/4; ; ; ; ; 5/2; ; 5/2; ; 13/5; 13/5; ; 53/20; ; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; ; ; ; 7/2; ; 7/2; ; 37/10; 7/2; ; 15/4; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-25 02:19:25 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 8/11; 3/4; ; ; 3/4; ; ; ; ; 3/4; ; 3/4; ; 3/4; 4/5; ; 3/4; ; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 11/4; 13/5; ; ; 11/4; ; ; ; ; 5/2; ; 5/2; ; 13/5; 13/5; ; 53/20; ; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; ; ; ; 7/2; ; 7/2; ; 37/10; 7/2; ; 15/4; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-25 10:19:22 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 8/11; 3/4; ; ; 3/4; ; ; ; ; 3/4; ; 3/4; ; 3/4; 4/5; ; 3/4; ; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 11/4; 13/5; ; ; 11/4; ; ; ; ; 5/2; ; 5/2; ; 13/5; 13/5; ; 53/20; ; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; ; ; ; 7/2; ; 7/2; ; 37/10; 7/2; ; 15/4; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-25 14:19:26 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 8/11; 3/4; ; ; 3/4; ; ; ; ; 3/4; 14/19; 3/4; ; 3/4; 4/5; ; 3/4; 14/19; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 11/4; 13/5; ; ; 11/4; ; ; ; ; 5/2; 28/11; 5/2; ; 13/5; 13/5; ; 53/20; 28/11; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; ; ; ; 7/2; 62/17; 7/2; ; 37/10; 7/2; ; 15/4; 37/10; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-25 18:19:23 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 8/11; 3/4; ; ; 3/4; ; ; ; ; 3/4; 14/19; 3/4; ; 3/4; 4/5; ; 3/4; 14/19; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 11/4; 13/5; ; ; 11/4; ; ; ; ; 5/2; 28/11; 5/2; ; 13/5; 13/5; ; 53/20; 28/11; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; ; ; ; 7/2; 62/17; 7/2; ; 37/10; 7/2; ; 15/4; 37/10; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-25 22:19:26 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 8/11; 3/4; ; ; 3/4; ; ; ; ; 3/4; 14/19; 3/4; ; 3/4; 4/5; ; 3/4; 14/19; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 11/4; 13/5; ; ; 11/4; ; ; ; ; 5/2; 28/11; 5/2; ; 13/5; 13/5; ; 53/20; 28/11; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; ; ; ; 7/2; 62/17; 7/2; ; 37/10; 7/2; ; 15/4; 37/10; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-26 02:19:24 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 8/11; 3/4; ; ; 3/4; ; ; ; ; 3/4; 14/19; 3/4; ; 3/4; 4/5; ; 3/4; 14/19; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 11/4; 13/5; ; ; 11/4; ; ; ; ; 5/2; 28/11; 5/2; ; 13/5; 13/5; ; 53/20; 28/11; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; ; ; ; 7/2; 62/17; 7/2; ; 37/10; 7/2; ; 15/4; 37/10; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-26 10:19:32 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 8/11; 3/4; ; ; 3/4; ; ; ; ; 3/4; 14/19; 3/4; ; 3/4; 4/5; ; 3/4; 14/19; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 11/4; 13/5; ; ; 11/4; ; ; ; ; 5/2; 28/11; 5/2; ; 13/5; 13/5; ; 53/20; 28/11; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; ; ; ; 7/2; 62/17; 7/2; ; 37/10; 7/2; ; 15/4; 37/10; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-26 14:20:30 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 8/11; 3/4; ; ; 3/4; ; ; ; ; 3/4; 14/19; 3/4; ; 3/4; 4/5; ; 3/4; 14/19; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 11/4; 13/5; ; ; 11/4; ; ; ; ; 5/2; 28/11; 5/2; ; 13/5; 13/5; ; 53/20; 28/11; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; ; ; ; 7/2; 62/17; 7/2; ; 37/10; 7/2; ; 15/4; 37/10; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-26 18:19:29 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 4/5; 3/4; ; ; 3/4; ; ; ; ; 3/4; 14/19; 3/4; ; 3/4; 4/5; ; 3/4; 14/19; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 13/5; 13/5; ; ; 11/4; ; ; ; ; 5/2; 28/11; 5/2; ; 13/5; 13/5; ; 53/20; 28/11; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; ; ; ; 7/2; 18/5; 7/2; ; 37/10; 7/2; ; 15/4; 62/17; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-26 22:19:03 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 4/5; 3/4; ; ; 3/4; ; ; ; ; 3/4; 14/19; 3/4; ; 3/4; 4/5; ; 3/4; 14/19; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 13/5; 13/5; ; ; 11/4; ; ; ; ; 5/2; 28/11; 5/2; ; 13/5; 13/5; ; 53/20; 28/11; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; ; ; ; 7/2; 18/5; 7/2; ; 37/10; 7/2; ; 15/4; 62/17; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-27 02:19:03 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 4/5; 3/4; ; ; 3/4; ; ; ; ; 3/4; 14/19; 3/4; ; 3/4; 4/5; ; 3/4; 14/19; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 13/5; 13/5; ; ; 11/4; ; ; ; ; 5/2; 28/11; 5/2; ; 13/5; 13/5; ; 53/20; 28/11; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; ; ; ; 7/2; 18/5; 7/2; ; 37/10; 7/2; ; 15/4; 62/17; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-27 10:19:09 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 3/4; 4/5; 3/4; ; ; 3/4; ; ; ; ; 3/4; 14/19; 3/4; ; 3/4; 4/5; ; 3/4; 14/19; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 13/5; 13/5; ; ; 11/4; ; ; ; ; 5/2; 28/11; 5/2; ; 13/5; 13/5; ; 53/20; 28/11; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; ; ; ; 7/2; 18/5; 7/2; ; 37/10; 7/2; ; 15/4; 62/17; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-27 14:20:33 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; 8/11; 4/5; 3/4; ; ; 3/4; ; ; ; ; 3/4; 14/19; 3/4; ; 3/4; 4/5; ; 3/4; 14/19; ; ; ; 
Draw; ; ; ; ; 27/10; ; 13/5; 13/5; 13/5; ; ; 11/4; ; ; ; ; 5/2; 28/11; 5/2; ; 13/5; 13/5; ; 53/20; 28/11; ; ; ; 
Las Palmas; ; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; ; ; ; 7/2; 62/17; 7/2; ; 37/10; 7/2; ; 15/4; 37/10; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-27 18:19:09 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; ; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; ; ; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; ; ; 
Draw; 5/2; ; ; ; 27/10; ; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; ; ; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; ; ; 
Las Palmas; 15/4; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; ; ; 7/2; 18/5; 7/2; 37/13; 37/10; 7/2; 7/2; 7/2; 62/17; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-27 22:19:27 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; ; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; ; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; ; ; 
Draw; 5/2; ; ; ; 27/10; ; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; ; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; ; ; 
Las Palmas; 15/4; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; ; 7/2; 18/5; 7/2; 37/13; 37/10; 7/2; 7/2; 7/2; 62/17; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-28 02:19:55 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; ; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; ; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; ; ; 
Draw; 5/2; ; ; ; 27/10; ; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; ; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; ; ; 
Las Palmas; 15/4; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; ; 7/2; 18/5; 7/2; 37/13; 37/10; 7/2; 7/2; 7/2; 62/17; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-28 10:19:30 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; ; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; ; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; ; ; 
Draw; 5/2; ; ; ; 27/10; ; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; ; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; ; ; 
Las Palmas; 15/4; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; ; 7/2; 18/5; 7/2; 37/13; 37/10; 7/2; 18/5; 7/2; 62/17; ; ; ; 
