META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-02-25 18:18:53 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Draw; 3; 29/10; 11/4; 13/5; 13/4; 3; 29/10; 11/4; 3; 27/10; 3; 14/5; ; 14/5; 14/5; 14/5; 37/13; 3; ; 3; 3; 29/10; 29/10; ; 14/5; ; 
Atletico Madrid; 4; 4; 4; 19/5; 22/5; 9/2; 4; 4; 41/10; 4; 4; 15/4; ; 4; 4; 4; 19/5; 4; ; 4; 21/5; 4; 50/13; ; 4; ; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-02-26 18:19:04 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 8/13; 4/6; 4/6; 13/20; 17/25; 13/20; 13/20; 4/7; 11/17; 4/6; 8/13; ; ; 7/10; 7/10; 4/6; 11/17; 3/5; 19/29; 11/17; 13/20; 13/20; 11/17; ; 4/7; ; 
Draw; 3; 29/10; 11/4; 13/5; 13/4; 3; 29/10; 11/4; 29/10; 27/10; 3; ; ; 14/5; 14/5; 14/5; 37/13; 3; 37/13; 37/13; 3; 29/10; 29/10; ; 14/5; ; 
Atletico Madrid; 4; 4; 4; 19/5; 22/5; 9/2; 4; 4; 21/5; 4; 4; 4; ; 4; 4; 4; 41/10; 4; 18/5; 41/10; 21/5; 4; 54/13; ; 4; ; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-02-26 22:19:01 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 8/13; 4/6; 4/6; 13/20; 17/25; 13/20; 13/20; 4/7; 11/17; 4/6; 8/13; ; 7/10; 4/6; 7/10; 4/6; 11/17; 3/5; 19/29; 11/17; 13/20; 13/20; 11/17; ; 4/7; ; 
Draw; 3; 29/10; 11/4; 13/5; 13/4; 3; 29/10; 11/4; 29/10; 27/10; 3; ; 3; 14/5; 14/5; 14/5; 37/13; 3; 37/13; 37/13; 3; 29/10; 29/10; ; 14/5; ; 
Atletico Madrid; 4; 4; 4; 19/5; 22/5; 9/2; 4; 4; 21/5; 4; 4; 4; 4; 17/4; 4; 4; 41/10; 4; 18/5; 41/10; 21/5; 4; 54/13; ; 4; ; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-02-27 02:18:56 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 8/13; 4/6; 4/6; 13/20; 17/25; 13/20; 13/20; 4/7; 11/17; 4/6; 8/13; ; 7/10; 4/6; 7/10; 4/6; 11/17; 3/5; 19/29; 11/17; 13/20; 13/20; 11/17; ; 4/7; ; 
Draw; 3; 29/10; 11/4; 13/5; 13/4; 3; 29/10; 11/4; 29/10; 27/10; 3; ; 3; 14/5; 14/5; 14/5; 37/13; 3; 37/13; 37/13; 3; 29/10; 29/10; ; 14/5; ; 
Atletico Madrid; 4; 4; 4; 19/5; 22/5; 9/2; 4; 4; 21/5; 4; 4; 4; 4; 17/4; 4; 4; 41/10; 4; 18/5; 41/10; 21/5; 4; 54/13; ; 4; ; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-02-27 10:18:55 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 8/13; 4/6; 4/6; 13/20; 71/100; 13/20; 13/20; 4/7; 11/17; 4/6; 8/13; ; 7/10; 4/6; 7/10; 4/6; 11/17; 3/5; 19/29; 11/17; 13/20; 13/20; 11/17; ; 4/7; ; 
Draw; 3; 29/10; 11/4; 13/5; 61/20; 3; 29/10; 11/4; 29/10; 27/10; 3; ; 3; 14/5; 14/5; 14/5; 37/13; 3; 37/13; 37/13; 3; 29/10; 29/10; ; 14/5; ; 
Atletico Madrid; 4; 4; 4; 19/5; 9/2; 9/2; 4; 4; 21/5; 4; 4; 4; 4; 17/4; 4; 4; 41/10; 4; 18/5; 41/10; 21/5; 4; 54/13; ; 4; ; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-02-27 14:19:23 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 8/13; 4/6; 4/6; 13/20; 17/25; 13/20; 13/20; 4/7; 11/17; 4/6; 8/13; ; 7/10; 4/6; 7/10; 4/6; 11/17; 3/5; 19/29; 11/17; 13/20; 13/20; 11/17; ; 4/7; ; 
Draw; 3; 29/10; 11/4; 13/5; 61/20; 3; 29/10; 11/4; 29/10; 27/10; 3; ; 3; 14/5; 14/5; 14/5; 37/13; 3; 37/13; 37/13; 3; 29/10; 29/10; ; 14/5; ; 
Atletico Madrid; 4; 4; 4; 19/5; 24/5; 9/2; 4; 4; 21/5; 4; 4; 4; 4; 17/4; 4; 4; 41/10; 4; 18/5; 41/10; 21/5; 4; 54/13; ; 4; ; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-02-27 18:19:00 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 8/13; 4/6; 4/6; 13/20; 17/25; 13/20; 13/20; 4/7; 11/17; 4/6; 8/13; ; 7/10; 4/6; 7/10; 4/6; 4/6; 3/5; 19/29; 11/17; 13/20; 13/20; 4/6; ; 4/7; ; 
Draw; 3; 29/10; 11/4; 13/5; 61/20; 3; 29/10; 11/4; 29/10; 27/10; 3; ; 3; 14/5; 14/5; 14/5; 29/10; 3; 37/13; 37/13; 3; 29/10; 56/19; ; 14/5; ; 
Atletico Madrid; 4; 4; 4; 19/5; 24/5; 9/2; 4; 4; 21/5; 4; 4; 4; 4; 17/4; 4; 4; 21/5; 4; 18/5; 41/10; 21/5; 4; 21/5; ; 21/5; ; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-03-02 17:42:10 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 8/11; 8/11; 7/10; 13/20; 39/50; 3/4; 8/11; 4/6; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 3/4; 7/10; 14/19; 3/4; 8/11; 5/7; 8/11; 8/11; 14/19; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 59/20; 11/4; 11/4; 13/5; 14/5; 27/10; 13/5; 5/2; 11/4; 14/5; 13/5; 13/5; 27/10; 14/5; 14/5; 11/4; 14/5; 11/4; 11/4; 14/5; 14/5; 14/5
Atletico Madrid; 15/4; 4; 19/5; 19/5; 4; 15/4; 7/2; 4; 4; 4; 4; 50/13; 15/4; 41/10; 4; 17/4; 4; 39/10; 4; 4; ; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-03-02 22:19:49 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 8/11; 8/11; 7/10; 13/20; 37/50; 8/11; 8/11; 4/6; 13/18; 7/10; 7/10; 7/10; 8/13; 8/11; 3/4; 7/10; 5/7; 3/4; 8/11; 5/7; 8/11; 7/10; 5/7; 4/6; 8/11; 8/11
Draw; 14/5; 13/5; 27/10; 13/5; 149/0; 29/10; 11/4; 11/4; 14/5; 27/10; 11/4; 11/4; 29/10; 14/5; 13/5; 13/5; 27/10; 14/5; 14/5; 11/4; 14/5; 11/4; 11/4; 14/5; 14/5; 14/5
Atletico Madrid; 15/4; 4; 19/5; 43/10; 4; 15/4; 7/2; 4; 4; 9/2; 4; 4; 15/4; 41/10; 4; 17/4; 17/4; 4; 7/2; 7/2; 21/5; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-03-03 02:19:42 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 8/11; 4/6; 7/10; 13/20; 37/50; 8/11; 8/11; 4/6; 13/18; 7/10; 7/10; 7/10; 8/13; 7/10; 3/4; 7/10; 5/7; 13/18; 5/7; 5/7; 8/11; 7/10; 5/7; 4/6; 8/11; 8/11
Draw; 14/5; 11/4; 27/10; 13/5; 149/0; 29/10; 11/4; 11/4; 14/5; 27/10; 11/4; 11/4; 29/10; 29/10; 13/5; 11/4; 11/4; 11/4; 14/5; 11/4; 14/5; 11/4; 11/4; 14/5; 14/5; 14/5
Atletico Madrid; 15/4; 4; 19/5; 43/10; 4; 15/4; 7/2; 4; 4; 9/2; 17/4; 4; 4; 41/10; 4; 22/5; 17/4; 77/19; 4; 21/5; ; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-03-03 10:20:10 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 7/10; 7/10; 7/10; 13/20; 37/50; 8/11; 7/10; 4/6; 13/18; 7/10; 7/10; 7/10; 8/13; 7/10; 3/4; 7/10; 5/7; 13/18; 5/7; 5/7; 7/10; 5/7; 4/6; 8/11; 8/11
Draw; 3; 11/4; 27/10; 13/5; 149/0; 29/10; 11/4; 11/4; 14/5; 27/10; 11/4; 11/4; 29/10; 14/5; 13/5; 11/4; 11/4; 11/4; 14/5; 11/4; 3; 14/5; 14/5; 14/5; 14/5
Atletico Madrid; 15/4; 19/5; 4; 19/5; 43/10; 4; 15/4; 7/2; 4; 4; 9/2; 17/4; 4; 75/19; 4; 41/10; 4; 21/5; 4; 4; 21/5; ; ; ; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-03-03 14:19:49 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 7/10; 7/10; 7/10; 13/20; 7/10; 7/10; 4/6; 13/18; 7/10; 7/10; 7/10; 8/13; 7/10; 7/10; 7/10; 14/19; 13/18; 5/7; 5/7; 7/10; 10/13; 4/6; 4/6; 8/11
Draw; 3; 11/4; 13/5; 13/5; 73/25; 29/10; 11/4; 11/4; 14/5; 27/10; 11/4; 13/5; 29/10; 14/5; 14/5; 14/5; 27/10; 11/4; 14/5; 11/4; 11/4; 14/5; 14/5; 14/5
Atletico Madrid; 15/4; 19/5; 4; 19/5; 22/5; 4; 4; 21/5; 19/5; 4; 9/2; 17/4; 4; 37/10; 4; 41/10; 4; 17/4; 17/4; 15/4; 21/5; 21/5; 22/5; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-03-03 18:19:38 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 7/10; 7/10; 7/10; 7/10; 7/10; 7/10; 4/6; 13/18; 7/10; 7/10; 8/11; 8/11; 7/10; 7/10; 14/19; 13/18; 5/7; 5/7; 7/10; 14/19; 4/6; 4/6; 8/11
Draw; 3; 11/4; 13/5; 11/4; 73/25; 29/10; 11/4; 11/4; 14/5; 27/10; 13/5; 11/4; 14/5; 14/5; 14/5; 27/10; 11/4; 14/5; 11/4; 11/4; 14/5; 11/4; 14/5
Atletico Madrid; 15/4; 19/5; 4; 19/5; 22/5; 4; 4; 21/5; 4; 4; 17/4; 4; 19/5; 4; 41/10; 4; 17/4; 17/4; 50/13; 21/5; 21/5; 22/5; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-03-03 22:18:56 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 7/10; 7/10; 4/6; 7/10; 18/25; 7/10; 7/10; 4/6; 13/18; 4/6; 7/10; 8/11; 7/10; 7/10; 7/10; 14/19; 4/6; 5/7; 5/7; 4/6; 4/6; 14/19; 4/6; 4/6; 4/6
Draw; 3; 13/5; 27/10; 11/4; 74/25; 29/10; 11/4; 11/4; 14/5; 27/10; 13/5; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 14/5; 11/4; 3; 11/4; 14/5; 14/5; 3; 
Atletico Madrid; 15/4; 4; 21/5; 19/5; 9/2; 4; 4; 21/5; 19/5; 4; 17/4; 4; 50/13; 17/4; 41/10; 4; 22/5; 9/2; 39/10; 21/5; 22/5; 22/5; ; ; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-03-04 02:18:44 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 7/10; 7/10; 4/6; 7/10; 7/10; 4/6; 7/10; 8/13; 13/18; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 7/10; 4/6; 4/6; 9/13; 5/7; 4/6; 4/6; 9/13; 4/6; 4/6; 4/6
Draw; 3; 13/5; 27/10; 11/4; 149/0; 29/10; 11/4; 11/4; 14/5; 27/10; 14/5; 11/4; 14/5; 11/4; 14/5; 11/4; 14/5; 14/5; 11/4; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 
Atletico Madrid; 15/4; 4; 17/4; 19/5; 47/10; 9/2; 4; 4; 17/4; 4; 17/4; 9/2; 9/2; 4; 43/10; 17/4; 43/10; 4; 9/2; 9/2; 43/10; 9/2; 9/2; 23/5; ; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-03-04 10:18:49 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 4/6; 4/7; 8/13; 8/13; 17/25; 8/13; 5/8; 4/7; 4/6; 8/13; 8/13; 4/6; 8/13; 8/13; 4/6; 8/13; 8/13; 11/17; 11/17; 19/29; 13/20; 13/20; 8/13; 4/7; 8/13; 4/6
Draw; 3; 14/5; 11/4; 14/5; 31/10; 29/10; 14/5; 11/4; 37/13; 14/5; 14/5; 14/5; 3; 11/4; 14/5; 37/13; 3; 56/19; 37/13; 3; 59/20; 37/13; 14/5; 14/5; 3; 
Atletico Madrid; 4; 9/2; 9/2; 47/10; 9/2; 9/2; 9/2; 43/10; 19/4; 9/2; 9/2; 5; 19/4; 9/2; 9/2; 47/10; 17/4; 23/5; 17/4; 19/4; 9/2; 24/5; 24/5; 24/5; 5; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-03-04 14:18:50 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 8/13; 4/7; 8/13; 8/13; 69/00; 8/13; 13/20; 4/7; 11/17; 8/13; 8/13; 4/6; 8/13; 13/20; 4/6; 8/13; 11/17; 11/17; 11/17; 11/17; 13/20; 13/20; 11/17; 4/7; 8/13; 4/6
Draw; 3; 14/5; 14/5; 11/4; 147/0; 3; 14/5; 11/4; 37/13; 14/5; 11/4; 14/5; 14/5; 3; 11/4; 14/5; 14/5; 3; 14/5; 37/13; 3; 29/10; 37/13; 14/5; 14/5; 14/5
Atletico Madrid; 9/2; 5; 9/2; 9/2; 49/10; 9/2; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 5; 19/4; 9/2; 9/2; 50/11; 17/4; 24/5; 9/2; 19/4; 9/2; 23/5; 23/5; 24/5; 24/5
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-03-04 18:18:38 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 2/11; 1/6; 1/5; 8/13; 19/00; 2/9; 91/00; 1/6; 3/14; 1/5; 1/5; 2/9; 2/9; 1/5; 9/50; 1/6; 3/16; 2/11; 3/14; 3/14; 2/11; 2/11; 2/9; 2/9; 2/9
Draw; 5; 11/2; 19/4; 11/4; 57/10; 9/2; 5; 9/2; 24/5; 5; 11/2; 17/4; 5; 19/4; 5; 94/19; 5; 51/10; 9/2; 21/4; 5; 26/5; 26/5; 27/5; 
Atletico Madrid; 18; 20; 16; 9/2; 17; 16; 20; 13; 17; 18; 20; 22; 14; 16; 17; 16; 31/2; 17; 16; 17; 20; 37/2; 23; 23; 21
