Deportivo La Coruna; 10; 17/2; 9; 9; 10; 8; 9; 9; 19/2; 17/2; 17/2; 9; 10; 10; 8; 17/2; 35/4; 19/2; 17/2; 19/2; 37/5; 19/2; ; ; 9; ; 7/2; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-02 14:19:12 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 3/10; 2/7; 2/7; 1/4; 2/7; 2/9; 1/4; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; ; 5/19; 31/100; 3/11; ; ; ; 1/4; ; 2/15; ; 3/10
Draw; 11/2; 9/2; 9/2; 9/2; 5; 19/4; 5; 5; 5; 21/5; 21/5; 4; 19/4; 5; 19/4; 9/2; 19/4; ; 79/17; 27/5; 47/10; ; ; ; 9/2; ; 14/5; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 10; 8; 9; 10; 19/2; 17/2; 17/2; 9; 10; 10; 8; 9; 35/4; ; 17/2; 19/2; 37/5; ; ; ; 9; ; 7/2; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-02 18:19:12 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 3/10; 2/7; 2/7; 1/4; 2/7; 2/9; 1/4; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; 1/4; 5/19; 31/100; 3/11; 1/4; ; ; 1/4; ; 2/15; ; 3/10
Draw; 11/2; 9/2; 9/2; 9/2; 5; 19/4; 5; 5; 5; 21/5; 21/5; 4; 19/4; 5; 19/4; 9/2; 19/4; 24/5; 79/17; 27/5; 47/10; 24/5; ; ; 9/2; ; 14/5; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 10; 8; 9; 10; 19/2; 17/2; 17/2; 9; 10; 11; 8; 9; 35/4; 19/2; 17/2; 19/2; 37/5; 19/2; ; ; 9; ; 7/2; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-02 22:19:03 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 3/10; 2/7; 1/4; 1/4; 2/7; 2/9; 1/4; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; 1/4; 5/19; 31/100; 3/11; 1/4; ; ; 1/4; ; 2/15; ; 3/10
Draw; 11/2; 9/2; 9/2; 9/2; 11/2; 19/4; 5; 5; 5; 21/5; 21/5; 4; 19/4; 5; 19/4; 9/2; 19/4; 24/5; 79/17; 27/5; 47/10; 24/5; ; ; 9/2; ; 14/5; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 10; 8; 9; 10; 19/2; 17/2; 17/2; 9; 10; 11; 8; 9; 35/4; 19/2; 17/2; 19/2; 37/5; 19/2; ; ; 9; ; 7/2; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-03 02:18:45 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 3/10; 2/7; 2/7; 1/4; 2/7; 2/9; 1/4; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; 1/4; 5/19; 31/100; 3/11; 1/4; ; ; 1/4; ; 2/15; ; 3/10
Draw; 11/2; 9/2; 9/2; 9/2; 5; 19/4; 5; 5; 5; 21/5; 21/5; 4; 19/4; 5; 19/4; 9/2; 19/4; 24/5; 79/17; 27/5; 47/10; 24/5; ; ; 9/2; ; 14/5; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 10; 8; 9; 10; 19/2; 17/2; 17/2; 9; 10; 11; 8; 9; 35/4; 19/2; 17/2; 19/2; 37/5; 19/2; ; ; 9; ; 7/2; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-03 10:18:47 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 3/10; 2/7; 2/7; 1/4; 2/7; 2/9; 1/4; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; 1/4; 1/4; 31/100; 3/11; 1/4; ; ; 1/4; ; 2/15; ; 3/10
Draw; 11/2; 9/2; 9/2; 9/2; 5; 19/4; 5; 5; 5; 21/5; 21/5; 4; 19/4; 5; 19/4; 9/2; 19/4; 24/5; 47/10; 27/5; 47/10; 24/5; ; ; 9/2; ; 14/5; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 10; 8; 9; 10; 19/2; 17/2; 17/2; 9; 10; 11; 8; 9; 35/4; 19/2; 35/4; 19/2; 37/5; 19/2; ; ; 9; ; 7/2; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-03 14:18:51 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 3/10; 2/7; 2/7; 1/4; 2/7; 2/9; 1/4; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; 1/4; 1/4; 31/100; 3/11; 1/4; ; ; 1/4; ; 2/15; ; 3/10
Draw; 11/2; 9/2; 9/2; 9/2; 5; 19/4; 5; 5; 5; 21/5; 21/5; 4; 19/4; 5; 19/4; 9/2; 19/4; 24/5; 47/10; 27/5; 47/10; 24/5; ; ; 9/2; ; 14/5; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 10; 8; 9; 10; 19/2; 17/2; 17/2; 9; 10; 11; 8; 9; 35/4; 19/2; 35/4; 19/2; 37/5; 19/2; ; ; 9; ; 7/2; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-03 18:18:46 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 3/10; 2/7; 2/7; 1/4; 2/7; 1/4; 5/18; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; 1/4; 5/19; 31/100; 3/11; 5/18; ; ; 1/4; ; 2/15; ; 3/10
Draw; 11/2; 9/2; 9/2; 9/2; 5; 19/4; 5; 5; 9/2; 21/5; 21/5; 4; 19/4; 5; 19/4; 9/2; 19/4; 22/5; 79/17; 27/5; 47/10; 22/5; ; ; 9/2; ; 14/5; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 10; 8; 9; 9; 17/2; 17/2; 17/2; 9; 10; 10; 8; 17/2; 35/4; 17/2; 17/2; 19/2; 37/5; 17/2; ; ; 9; ; 7/2; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-03 22:18:38 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
