Draw; 17/4; 4; 4; 15/4; 4; 19/5; 22/5; 7/2; 17/4; 4; 4; 4; 4; 4; 4; 15/4; 4; 74/17; 4; 7/2; 4; 74/17; 22/5; 21/5; 4; ; 21/5; 7/2; 
North Ferriby Utd; 9; 7; 8; 7; 15/2; 13/2; 17/2; 15/2; 15/2; 15/2; 17/2; 8; 15/2; 17/2; 17/2; 8; 17/2; 17/2; 15/2; 11/2; 15/2; 17/2; 83/10; 38/5; 15/2; ; 17/2; 39/5; 
META; english/non-league/national-league/gateshead-v-north-ferriby-utd; 2016-09-13 00:23:06 GMT+3; 2016-09-13 19:45; e70300-dr003
Gateshead; 3/10; 1/3; 1/3; 3/10; 3/10; 2/7; 1/3; 3/10; 1/3; 3/10; 1/3; 1/3; 1/3; 3/10; 3/10; 1/3; 1/3; 2/7; 3/10; 4/11; 3/10; 2/7; 4/11; 6/19; 1/3; ; 4/11; 1/3; 
Draw; 17/4; 4; 19/5; 7/2; 4; 15/4; 21/5; 7/2; 17/4; 4; 4; 19/5; 4; 4; 15/4; 15/4; 4; 21/5; 4; 7/2; 4; 21/5; 22/5; 41/10; 4; ; 21/5; 7/2; 
North Ferriby Utd; 9; 7; 15/2; 7; 15/2; 13/2; 15/2; 15/2; 7; 15/2; 8; 15/2; 15/2; 8; 8; 8; 8; 8; 15/2; 11/2; 15/2; 8; 83/10; 38/5; 7; ; 8; 38/5; 
META; english/non-league/national-league/gateshead-v-north-ferriby-utd; 2016-09-13 04:22:57 GMT+3; 2016-09-13 19:45; e70300-dr003
Gateshead; 3/10; 1/3; 1/3; 3/10; 3/10; 2/7; 1/3; 3/10; 1/3; 3/10; 1/3; 1/3; 1/3; 3/10; 3/10; 1/3; 1/3; 2/7; 3/10; 4/11; 3/10; 2/7; 4/11; 6/19; 1/3; ; 4/11; 3/10; 
Draw; 17/4; 4; 19/5; 7/2; 4; 15/4; 21/5; 7/2; 17/4; 4; 4; 19/5; 4; 4; 15/4; 15/4; 4; 21/5; 4; 7/2; 4; 21/5; 22/5; 41/10; 4; ; 21/5; 7/2; 
North Ferriby Utd; 9; 7; 15/2; 7; 15/2; 13/2; 15/2; 15/2; 7; 15/2; 8; 15/2; 15/2; 8; 8; 8; 8; 33/4; 15/2; 11/2; 15/2; 33/4; 83/10; 38/5; 7; ; 8; 34/5; 
META; english/non-league/national-league/gateshead-v-north-ferriby-utd; 2016-09-13 08:23:05 GMT+3; 2016-09-13 19:45; e70300-dr003
Gateshead; 3/10; 1/3; 1/3; 3/10; 3/10; 2/7; 1/3; 3/10; 1/3; 3/10; 1/3; 1/3; 1/3; 3/10; 3/10; 1/3; 1/3; 2/7; 3/10; 4/11; 3/10; 2/7; 4/11; 6/19; 1/3; ; 4/11; 1/3; 
Draw; 17/4; 4; 19/5; 7/2; 4; 15/4; 21/5; 7/2; 17/4; 4; 4; 19/5; 4; 4; 15/4; 15/4; 4; 21/5; 4; 7/2; 4; 21/5; 22/5; 41/10; 4; ; 21/5; 7/2; 
North Ferriby Utd; 9; 7; 15/2; 7; 15/2; 13/2; 15/2; 15/2; 7; 15/2; 8; 15/2; 15/2; 8; 8; 8; 8; 33/4; 15/2; 11/2; 15/2; 33/4; 83/10; 38/5; 7; ; 17/2; 38/5; 
META; english/non-league/national-league/gateshead-v-north-ferriby-utd; 2016-09-13 12:24:07 GMT+3; 2016-09-13 19:45; e70300-dr003
Gateshead; 3/10; 1/3; 3/10; 2/7; 3/10; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 3/10; 1/3; 1/3; 5/19; 3/10; 4/11; 3/10; 3/11; 4/11; 6/19; 3/10; ; 3/10; 3/10; 
Draw; 17/4; 19/5; 4; 7/2; 4; 15/4; 22/5; 7/2; 17/4; 4; 17/4; 4; 4; 4; 4; 15/4; 4; 22/5; 4; 7/2; 4; 22/5; 22/5; 41/10; 4; ; 9/2; 4; 
North Ferriby Utd; 9; 15/2; 8; 15/2; 8; 13/2; 17/2; 15/2; 15/2; 15/2; 17/2; 8; 15/2; 9; 17/2; 8; 8; 9; 15/2; 11/2; 15/2; 35/4; 83/10; 38/5; 15/2; ; 9; 8; 
META; english/non-league/national-league/gateshead-v-north-ferriby-utd; 2016-09-13 16:24:41 GMT+3; 2016-09-13 19:45; e70300-dr003
Gateshead; 2/7; 1/3; 3/10; 2/7; 3/10; 2/7; 3/10; 3/10; 1/3; 3/10; 3/10; 3/10; 1/3; 3/10; 3/10; 1/3; 1/3; 3/11; 3/10; 4/11; 3/10; 3/11; 10/29; 1/3; 3/10; ; 1/3; 1/3; 
Draw; 9/2; 19/5; 19/5; 7/2; 4; 15/4; 22/5; 7/2; 17/4; 4; 4; 4; 4; 4; 4; 15/4; 4; 22/5; 4; 7/2; 4; 22/5; 23/5; 4; 4; ; 22/5; 4; 
North Ferriby Utd; 9; 15/2; 8; 8; 15/2; 13/2; 17/2; 15/2; 15/2; 15/2; 9; 8; 15/2; 17/2; 8; 8; 8; 35/4; 15/2; 11/2; 15/2; 35/4; 89/10; 15/2; 15/2; ; 19/2; 38/5; 
META; english/non-league/national-league/gateshead-v-north-ferriby-utd; 2016-09-13 20:24:21 GMT+3; 2016-09-13 19:45; e70300-dr003
Gateshead; 2/7; 1/3; 3/10; 2/7; 3/10; 4/15; 2/7; 1/4; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 2/7; 30/100; 3/10; 3/11; 3/10; 3/10; 3/10; 3/11; 10/29; 1/3; 3/10; ; 3/10; 3/10; 
Draw; 9/2; 19/5; 4; 15/4; 21/5; 19/5; 19/4; 4; 9/2; 4; 17/4; 4; 4; 17/4; 4; 17/4; 9/2; 49/11; 4; 15/4; 4; 49/11; 23/5; 41/10; 17/4; ; 9/2; 9/2; 
North Ferriby Utd; 9; 15/2; 8; 7; 15/2; 13/2; 17/2; 8; 15/2; 15/2; 8; 17/2; 15/2; 17/2; 17/2; 8; 8; 33/4; 15/2; 27/4; 15/2; 33/4; 89/10; 73/10; 15/2; ; 9; 46/5; 
