META; english/non-league/national-league/braintree-town-v-wrexham; 2017-02-26 16:28:09 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 7/5; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; 27/20; ; ; ; 23/17; ; ; ; ; 
Wrexham; 7/4; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; ; ; 17/10; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 12/5; ; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; 5/2; ; 9/4; 11/5; 49/20; ; ; 5/2; 12/5; 23/10; 12/5; 12/5; ; ; 12/5; ; ; 1/4; ; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-02-28 04:23:01 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 7/5; ; ; ; 29/20; ; 7/5; ; 7/5; ; 7/5; 11/8; 7/5; ; ; 7/5; 23/17; 23/17; 27/20; ; ; ; 23/17; ; ; 2/7; ; 
Wrexham; 7/4; ; ; ; 9/5; ; 9/5; ; 7/4; ; 7/4; 17/10; 17/10; ; ; 7/4; 17/10; 28/17; 17/10; ; ; ; 17/10; ; ; 2/7; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; 5/2; ; 9/4; 11/5; 49/20; ; ; 5/2; 12/5; 23/10; 12/5; ; ; ; 12/5; ; ; 1/4; ; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-02-28 08:22:44 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 7/5; ; ; ; 29/20; ; 7/5; ; 7/5; ; 7/5; 11/8; 7/5; ; ; 7/5; 23/17; 23/17; 27/20; 23/17; ; ; 23/17; ; ; 3/10; ; 
Wrexham; 7/4; ; ; ; 9/5; ; 9/5; ; 7/4; ; 7/4; 17/10; 17/10; ; ; 7/4; 17/10; 28/17; 17/10; 17/10; ; ; 17/10; ; ; 3/10; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; 5/2; ; 9/4; 11/5; 49/20; ; ; 5/2; 12/5; 23/10; 12/5; 12/5; ; ; 12/5; ; ; 3/10; ; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-02-28 12:23:50 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 7/5; ; ; ; 29/20; ; 7/5; ; 7/5; ; 7/5; 11/8; 7/5; ; ; 7/5; 23/17; 23/17; 27/20; 23/17; ; ; 23/17; ; ; 3/10; ; 
Wrexham; 7/4; ; ; ; 9/5; ; 9/5; ; 7/4; ; 7/4; 17/10; 17/10; ; ; 7/4; 17/10; 28/17; 17/10; 17/10; ; ; 17/10; ; ; 3/10; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; 5/2; ; 9/4; 11/5; 49/20; ; ; 5/2; 12/5; 23/10; 12/5; 12/5; ; ; 12/5; ; ; 3/10; ; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-02-28 16:24:28 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 7/5; ; ; ; 7/5; ; 7/5; 7/5; 7/5; ; 7/5; 11/8; 7/5; ; ; 7/5; 23/17; 23/17; 27/20; 23/17; 6/4; ; 23/17; ; ; 1/2; ; 
Wrexham; 7/4; ; ; ; 15/8; ; 9/5; 7/4; 7/4; ; 7/4; 17/10; 17/10; ; ; 9/5; 17/10; 28/17; 17/10; 17/10; 15/8; ; 17/10; ; ; 1/100; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; 23/10; 5/2; ; 9/4; 11/5; 49/20; ; ; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; ; 12/5; ; ; 1/2; ; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-02-28 20:24:21 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 7/5; ; ; ; 7/5; ; 7/5; 7/5; 7/5; ; 7/5; 11/8; 7/5; ; ; 7/5; 23/17; 23/17; 27/20; 23/17; 6/4; ; 23/17; ; ; 1/2; ; 
Wrexham; 7/4; ; ; ; 15/8; ; 9/5; 7/4; 7/4; ; 7/4; 17/10; 17/10; ; ; 9/5; 17/10; 28/17; 17/10; 17/10; 15/8; ; 17/10; ; ; 2/7; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; 23/10; 5/2; ; 9/4; 11/5; 49/20; ; ; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; ; 12/5; ; ; 4/6; ; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-03-01 00:21:58 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 7/5; ; ; ; 29/20; ; 7/5; 7/5; 7/5; ; 7/5; 11/8; 7/5; ; ; 7/5; 23/17; 23/17; 27/20; 23/17; 6/4; ; 23/17; ; ; 1/2; ; 
Wrexham; 7/4; ; ; ; 9/5; ; 9/5; 7/4; 7/4; ; 7/4; 17/10; 17/10; ; ; 9/5; 17/10; 28/17; 17/10; 17/10; 15/8; ; 17/10; ; ; 2/7; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; 23/10; 5/2; ; 9/4; 11/5; 49/20; ; ; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; ; 12/5; ; ; 4/6; ; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-03-01 04:21:41 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 7/5; ; ; 7/5; 29/20; ; 7/5; 7/5; 7/5; ; 7/5; 11/8; 7/5; ; ; 7/5; 23/17; 23/17; 27/20; 23/17; 6/4; ; 23/17; ; ; 8/15; ; 
Wrexham; 7/4; ; ; 7/4; 7/4; ; 9/5; 7/4; 7/4; ; 7/4; 17/10; 17/10; ; ; 7/4; 17/10; 28/17; 17/10; 17/10; 15/8; ; 17/10; ; ; 2/7; ; 
Draw; 5/2; ; ; 5/2; 5/2; ; 5/2; 23/10; 5/2; ; 9/4; 11/5; 49/20; ; ; 5/2; 12/5; 23/10; 12/5; 12/5; 13/5; ; 12/5; ; ; 4/6; ; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-03-01 08:21:58 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 7/5; ; ; 7/5; 29/20; ; 7/5; 7/5; 7/5; ; 7/5; 11/8; 7/5; ; ; 7/5; 23/17; 23/17; ; 23/17; 6/4; ; 23/17; ; ; 4/7; ; 
Wrexham; 7/4; ; ; 7/4; 7/4; ; 9/5; 7/4; 7/4; ; 7/4; 17/10; 17/10; ; ; 7/4; 17/10; 28/17; ; 17/10; 15/8; ; 17/10; ; ; 2/7; ; 
Draw; 5/2; ; ; 5/2; 5/2; ; 5/2; 23/10; 5/2; ; 9/4; 11/5; 49/20; ; ; 5/2; 12/5; 23/10; ; 12/5; 13/5; ; 12/5; ; ; 8/11; ; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-03-01 12:23:06 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 7/5; 7/5; 7/5; 7/5; 29/20; ; 7/5; 7/5; 7/5; ; 7/5; 11/8; 7/5; ; ; 7/5; 23/17; 23/17; 27/20; 23/17; 6/4; ; 23/17; ; ; 4/7; ; 
Wrexham; 7/4; 7/4; 7/4; 7/4; 7/4; ; 9/5; 7/4; 7/4; ; 7/4; 17/10; 17/10; ; ; 7/4; 17/10; 28/17; 17/10; 17/10; 15/8; ; 17/10; ; ; 2/7; ; 
Draw; 5/2; 5/2; 23/10; 5/2; 5/2; ; 5/2; 23/10; 5/2; ; 9/4; 11/5; 49/20; ; ; 5/2; 12/5; 23/10; 12/5; 12/5; 13/5; ; 12/5; ; ; 8/11; ; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-03-01 16:21:55 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 13/10; 7/5; 13/10; 7/5; 7/5; 5/4; 7/5; 11/8; 13/10; 13/10; 13/10; 13/10; 27/20; ; ; 11/8; 13/10; 23/17; ; 13/10; 29/20; 5/4; 23/17; ; ; 20/21; ; 
Wrexham; 19/10; 7/4; 39/20; 7/4; 15/8; 17/10; 15/8; 7/4; 9/5; 19/10; 19/10; 9/5; 9/5; ; ; 9/5; 7/4; 28/17; ; 7/4; 97/50; 33/19; 17/10; ; ; 20/21; ; 
Draw; 5/2; 5/2; 11/5; 5/2; 12/5; 23/10; 12/5; 12/5; 5/2; 23/10; 11/5; 21/10; 49/20; ; ; 12/5; 12/5; 23/10; ; 12/5; 13/5; 12/5; 12/5; ; ; 21/10; ; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-03-01 20:23:39 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 13/10; 7/5; 11/8; 6/4; 29/20; 5/4; 29/20; 13/10; 13/10; 7/5; 7/5; 13/10; 7/5; ; 11/8; 7/5; 7/5; 23/17; 27/20; 7/5; 29/20; 9/7; 23/17; ; ; 5/4; 7/5; 
Wrexham; 19/10; 9/5; 15/8; 9/5; 15/8; 17/10; 15/8; 15/8; 15/8; 19/10; 9/5; 9/5; 37/20; ; 9/5; 15/8; 9/5; 28/17; 17/10; 9/5; 97/50; 17/10; 17/10; ; ; 7/4; 9/5; 
Draw; 5/2; 9/4; 11/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 21/10; 21/10; 9/4; ; 12/5; 23/10; 23/10; 9/4; 12/5; 23/10; 13/5; 12/5; 12/5; ; ; 11/5; 21/10; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-03-02 00:21:49 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 13/10; 7/5; 11/8; 6/4; 29/20; 5/4; 29/20; 13/10; 7/5; 7/5; 7/5; 13/10; 7/5; ; 11/8; 7/5; 7/5; 23/17; 27/20; 7/5; 29/20; 9/7; 23/17; ; ; 5/4; 7/5; 
Wrexham; 19/10; 9/5; 15/8; 9/5; 15/8; 17/10; 15/8; 15/8; 15/8; 19/10; 9/5; 9/5; 37/20; ; 9/5; 15/8; 9/5; 28/17; 17/10; 9/5; 97/50; 17/10; 17/10; ; ; 7/4; 9/5; 
Draw; 5/2; 9/4; 11/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 21/10; 21/10; 9/4; ; 12/5; 23/10; 23/10; 9/4; 12/5; 23/10; 13/5; 12/5; 12/5; ; ; 11/5; 21/10; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-03-02 04:21:58 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 13/10; 7/5; 11/8; 6/4; 29/20; 5/4; 29/20; 13/10; 7/5; 7/5; 7/5; 13/10; 7/5; ; 11/8; 7/5; 7/5; 23/17; 27/20; 7/5; 29/20; 9/7; 23/17; ; ; 5/4; 7/5; 
Wrexham; 19/10; 9/5; 15/8; 9/5; 15/8; 17/10; 15/8; 15/8; 15/8; 19/10; 9/5; 9/5; 37/20; ; 9/5; 15/8; 9/5; 28/17; 17/10; 9/5; 97/50; 17/10; 17/10; ; ; 7/4; 9/5; 
