META; english/non-league/national-league/braintree-town-v-woking; 2017-03-18 12:24:53 GMT+2; 2017-03-21 19:45; e70300-dr003
Braintree Town; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-woking; 2017-03-18 16:22:20 GMT+2; 2017-03-21 19:45; e70300-dr003
Braintree Town; 13/10; ; 27/20; ; ; ; 7/5; ; ; 11/8; 11/8; ; 5/4; ; ; 11/8; 13/10; ; ; 13/10; ; ; ; ; ; ; ; ; 
Draw; 23/10; 12/5; 9/4; 23/10; 23/10; 21/10; 12/5; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; ; 9/4; 23/10; 9/4; 9/4; 11/5; 9/4; 12/5; 23/10; 11/5; ; 11/5; ; ; 21/10; 
META; english/non-league/national-league/braintree-town-v-woking; 2017-03-20 12:23:38 GMT+2; 2017-03-21 19:45; e70300-dr003
Braintree Town; 13/10; 5/4; 13/10; 13/10; 7/5; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 27/20; ; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; 6/4; 24/19; 25/19; ; 25/19; ; ; 13/10; 
Woking; 21/10; 19/10; 39/20; 15/8; 2; 20/11; 2; 9/5; 2; 19/10; 15/8; 7/4; 19/10; ; 19/10; 2; 37/19; 7/4; 19/10; 37/19; 101/50; 24/13; 19/10; ; 19/10; ; ; 19/10; 
Draw; 23/10; 12/5; 9/4; 9/4; 23/10; 21/10; 12/5; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; ; 9/4; 23/10; 23/10; 9/4; 11/5; 9/4; 12/5; 23/10; 11/5; ; 11/5; ; ; 21/10; 
META; english/non-league/national-league/braintree-town-v-woking; 2017-03-20 16:22:58 GMT+2; 2017-03-21 19:45; e70300-dr003
Braintree Town; 13/10; 5/4; 13/10; 11/8; 7/5; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 27/20; ; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; 6/4; 5/4; 25/19; ; 25/19; ; ; 13/10; 
Woking; 21/10; 19/10; 39/20; 19/10; 2; 37/20; 2; 9/5; 2; 19/10; 15/8; 7/4; 19/10; ; 19/10; 15/8; 37/19; 7/4; 19/10; 37/19; 101/50; 21/10; 19/10; ; 19/10; ; ; 19/10; 
Draw; 23/10; 12/5; 9/4; 12/5; 9/4; 21/10; 12/5; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; ; 9/4; 12/5; 9/4; 9/4; 11/5; 9/4; 12/5; 23/10; 11/5; ; 11/5; ; ; 21/10; 
META; english/non-league/national-league/braintree-town-v-woking; 2017-03-20 20:21:32 GMT+2; 2017-03-21 19:45; e70300-dr003
Braintree Town; 13/10; 5/4; 13/10; 11/8; 7/5; 5/4; 11/8; 13/10; 13/10; 11/8; 13/10; 5/4; 27/20; ; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; 71/50; 5/4; 25/19; ; 25/19; ; ; 13/10; 
Woking; 21/10; 19/10; 19/10; 19/10; 2; 20/11; 19/10; 9/5; 2; 19/10; 15/8; 15/8; 19/10; ; 19/10; 15/8; 37/19; 7/4; 19/10; 37/19; 103/50; 21/10; 19/10; ; 19/10; ; ; 9/5; 
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 21/10; 12/5; 9/4; 23/10; 23/10; 9/4; 11/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; 11/5; 23/10; 49/20; 23/10; 11/5; ; 11/5; ; ; 11/5; 
META; english/non-league/national-league/braintree-town-v-woking; 2017-03-21 00:21:07 GMT+2; 2017-03-21 19:45; e70300-dr003
Braintree Town; 13/10; 13/10; 13/10; 11/8; 7/5; 5/4; 11/8; 13/10; 13/10; 11/8; 13/10; 5/4; 27/20; ; 11/8; 11/8; 13/10; 13/10; 13/10; 13/10; 71/50; 5/4; 25/19; ; 25/19; ; ; 13/10; 
Woking; 21/10; 15/8; 19/10; 19/10; 2; 20/11; 19/10; 9/5; 2; 19/10; 15/8; 15/8; 19/10; ; 19/10; 15/8; 37/19; 7/4; 19/10; 37/19; 103/50; 21/10; 19/10; ; 19/10; ; ; 9/5; 
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 21/10; 12/5; 9/4; 23/10; 23/10; 9/4; 11/5; 23/10; ; 9/4; 23/10; 23/10; 9/4; 11/5; 23/10; 49/20; 23/10; 11/5; ; 11/5; ; ; 11/5; 
META; english/non-league/national-league/braintree-town-v-woking; 2017-03-21 04:20:57 GMT+2; 2017-03-21 19:45; e70300-dr003
Braintree Town; 13/10; 13/10; 13/10; 11/8; 7/5; 5/4; 11/8; 13/10; 13/10; 11/8; 13/10; 13/10; 27/20; ; 11/8; 11/8; 13/10; 13/10; 13/10; 13/10; 71/50; 5/4; 25/19; ; 25/19; ; ; 11/8; 
Woking; 21/10; 15/8; 19/10; 19/10; 2; 20/11; 19/10; 9/5; 2; 19/10; 15/8; 15/8; 19/10; ; 19/10; 15/8; 37/19; 7/4; 19/10; 37/19; 103/50; 21/10; 19/10; ; 19/10; ; ; 19/10; 
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 21/10; 12/5; 9/4; 23/10; 23/10; 9/4; 21/10; 23/10; ; 9/4; 23/10; 23/10; 9/4; 11/5; 23/10; 49/20; 23/10; 11/5; ; 11/5; ; ; 23/10; 
META; english/non-league/national-league/braintree-town-v-woking; 2017-03-21 08:21:06 GMT+2; 2017-03-21 19:45; e70300-dr003
Braintree Town; 13/10; 13/10; 13/10; 11/8; 7/5; 5/4; 11/8; 13/10; 13/10; 11/8; 13/10; 5/4; 27/20; ; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; 71/50; 5/4; 25/19; ; 25/19; ; ; 11/8; 
Woking; 21/10; 15/8; 39/20; 19/10; 19/10; 20/11; 19/10; 9/5; 2; 19/10; 15/8; 9/5; 19/10; ; 19/10; 15/8; 19/10; 7/4; 19/10; 19/10; 103/50; 21/10; 19/10; ; 19/10; ; ; 19/10; 
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 21/10; 12/5; 9/4; 23/10; 23/10; 9/4; 11/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; 11/5; 23/10; 49/20; 23/10; 11/5; ; 11/5; ; ; 23/10; 
META; english/non-league/national-league/braintree-town-v-woking; 2017-03-21 12:24:57 GMT+2; 2017-03-21 19:45; e70300-dr003
Braintree Town; 13/10; 13/10; 27/20; 11/8; 7/5; 5/4; 7/5; 13/10; 13/10; 7/5; 11/8; 5/4; 27/20; 29/20; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; 71/50; 17/13; 25/19; ; 25/19; ; ; 7/5; 
Woking; 21/10; 7/4; 15/8; 19/10; 19/10; 9/5; 15/8; 9/5; 2; 19/10; 9/5; 9/5; 19/10; 19/10; 19/10; 15/8; 37/19; 7/4; 19/10; 37/19; 103/50; 27/14; 19/10; ; 19/10; ; ; 19/10; 
Draw; 23/10; 12/5; 9/4; 12/5; 12/5; 21/10; 12/5; 9/4; 23/10; 23/10; 9/4; 11/5; 23/10; 11/5; 9/4; 12/5; 23/10; 9/4; 11/5; 23/10; 49/20; 40/17; 11/5; ; 11/5; ; ; 23/10; 
META; english/non-league/national-league/braintree-town-v-woking; 2017-03-21 16:22:42 GMT+2; 2017-03-21 19:45; e70300-dr003
Braintree Town; 13/10; 13/10; 13/10; 11/8; 7/5; 5/4; 11/8; 13/10; 13/10; 11/8; 27/20; 5/4; 27/20; 7/5; 11/8; 13/10; 23/17; 13/10; 13/10; 23/17; 71/50; 23/17; 25/19; ; 25/19; ; ; 7/5; 
Woking; 21/10; 9/5; 15/8; 19/10; 19/10; 9/5; 19/10; 9/5; 2; 19/10; 9/5; 9/5; 19/10; 2; 19/10; 15/8; 19/10; 7/4; 19/10; 19/10; 103/50; 28/15; 19/10; ; 19/10; ; ; 19/10; 
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 21/10; 12/5; 9/4; 23/10; 23/10; 9/4; 11/5; 23/10; 11/5; 9/4; 12/5; 23/10; 9/4; 11/5; 23/10; 49/20; 12/5; 11/5; ; 11/5; ; ; 23/10; 
