META; english/non-league/national-league/gateshead-v-dover; 2016-10-03 20:24:48 GMT+3; 2016-10-08 15:00; e70300-dr003
Dover; 17/10; 17/10; ; 7/4; 9/5; ; 9/5; ; 7/4; 8/5; 9/5; 8/5; 17/10; 17/10; 9/5; 17/10; 7/4; 9/5; 8/5; 28/17; 8/5; 9/5; 15/8; 19/12; ; ; 13/8; ; 
Draw; 13/5; 23/10; ; 21/10; 12/5; ; 5/2; ; 12/5; 5/2; 12/5; 9/4; 23/10; 49/20; 2; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 28/11; 28/11; ; ; 11/5; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-06 04:23:11 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 11/8; 7/5; ; 11/8; 29/20; ; 7/5; ; 7/5; 7/5; 7/5; 13/10; 7/5; 11/8; 7/5; 11/8; 7/5; 23/17; 7/5; 13/10; 7/5; 23/17; 32/21; 4/3; ; ; 7/5; ; 
Dover; 17/10; 17/10; ; 7/4; 9/5; ; 9/5; ; 9/5; 8/5; 9/5; 8/5; 17/10; 7/4; 9/5; 17/10; 7/4; 9/5; 8/5; 28/17; 8/5; 9/5; 15/8; 19/12; ; ; 7/4; ; 
Draw; 13/5; 23/10; ; 21/10; 12/5; ; 5/2; ; 12/5; 5/2; 12/5; 9/4; 23/10; 49/20; 2; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 28/11; 28/11; ; ; 12/5; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-06 08:23:04 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 11/8; 7/5; ; 11/8; 29/20; ; 7/5; ; 7/5; 7/5; 7/5; 13/10; 7/5; 11/8; 7/5; 11/8; 7/5; 23/17; 7/5; 13/10; 7/5; 23/17; 32/21; 4/3; ; ; 7/5; ; 
Dover; 17/10; 17/10; ; 7/4; 9/5; ; 9/5; ; 9/5; 8/5; 9/5; 8/5; 17/10; 7/4; 9/5; 17/10; 7/4; 9/5; 8/5; 28/17; 8/5; 9/5; 15/8; 19/12; ; ; 7/4; ; 
Draw; 13/5; 23/10; ; 21/10; 12/5; ; 5/2; ; 12/5; 5/2; 12/5; 9/4; 23/10; 49/20; 2; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 28/11; 28/11; ; ; 12/5; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-06 12:23:35 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 13/10; 7/5; 27/20; 11/8; 29/20; ; 11/8; ; 7/5; 7/5; 7/5; 13/10; 7/5; 11/8; 11/8; 11/8; 7/5; 23/17; 7/5; 13/10; 7/5; 23/17; 32/21; 4/3; ; ; 27/20; ; 
Dover; 15/8; 17/10; 9/5; 7/4; 9/5; ; 9/5; ; 9/5; 8/5; 9/5; 8/5; 17/10; 7/4; 9/5; 17/10; 7/4; 9/5; 8/5; 28/17; 8/5; 9/5; 15/8; 19/12; ; ; 9/5; ; 
Draw; 13/5; 12/5; 23/10; 21/10; 12/5; ; 5/2; ; 12/5; 5/2; 12/5; 9/4; 23/10; 49/20; 2; 13/5; 5/2; 40/17; 5/2; 12/5; 5/2; 40/17; 28/11; 28/11; ; ; 11/5; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-06 16:24:09 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 13/10; 7/5; 27/20; 11/8; 7/5; 13/10; 11/8; ; 7/5; 7/5; 7/5; 13/10; 7/5; 27/20; 11/8; 11/8; 11/8; 23/17; 7/5; 13/10; 7/5; 23/17; 32/21; 4/3; ; ; 27/20; ; 
Dover; 15/8; 17/10; 9/5; 7/4; 9/5; 17/10; 9/5; ; 9/5; 8/5; 9/5; 8/5; 17/10; 9/5; 9/5; 17/10; 9/5; 24/13; 8/5; 28/17; 8/5; 24/13; 15/8; 19/12; ; ; 9/5; ; 
Draw; 13/5; 12/5; 23/10; 21/10; 5/2; 9/4; 5/2; ; 12/5; 5/2; 12/5; 9/4; 23/10; 12/5; 2; 13/5; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; 28/11; 5/2; ; ; 11/5; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-06 20:24:58 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 13/10; 7/5; 27/20; 11/8; 7/5; 13/10; 11/8; ; 7/5; 7/5; 7/5; 13/10; 7/5; 27/20; 7/5; 11/8; 11/8; 23/17; 7/5; 13/10; 7/5; 23/17; 32/21; 4/3; ; ; 11/8; 11/8; 
Dover; 15/8; 17/10; 9/5; 7/4; 9/5; 17/10; 9/5; ; 9/5; 8/5; 9/5; 8/5; 17/10; 9/5; 19/10; 17/10; 9/5; 9/5; 8/5; 28/17; 8/5; 9/5; 15/8; 19/12; ; ; 9/5; 9/5; 
Draw; 13/5; 12/5; 47/20; 21/10; 5/2; 9/4; 5/2; ; 12/5; 5/2; 12/5; 9/4; 23/10; 12/5; 2; 13/5; 12/5; 40/17; 5/2; 12/5; 5/2; 40/17; 28/11; 5/2; ; ; 23/10; 11/5; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-07 00:23:29 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 13/10; 7/5; 27/20; 11/8; 7/5; 13/10; 11/8; ; 7/5; 7/5; 7/5; 13/10; 7/5; 27/20; 7/5; 11/8; 11/8; 23/17; 7/5; 13/10; 7/5; 23/17; 32/21; 4/3; ; ; 7/5; 11/8; 
Dover; 15/8; 17/10; 9/5; 7/4; 9/5; 17/10; 9/5; ; 9/5; 8/5; 9/5; 8/5; 17/10; 9/5; 19/10; 17/10; 9/5; 9/5; 8/5; 28/17; 8/5; 9/5; 15/8; 19/12; ; ; 15/8; 9/5; 
Draw; 13/5; 12/5; 23/10; 21/10; 5/2; 9/4; 5/2; ; 12/5; 5/2; 12/5; 9/4; 23/10; 12/5; 2; 13/5; 12/5; 40/17; 5/2; 12/5; 5/2; 40/17; 28/11; 5/2; ; ; 9/4; 11/5; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-07 04:23:39 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 11/8; 7/5; 11/8; 11/8; 29/20; 13/10; 11/8; ; 7/5; 7/5; 7/5; 13/10; 7/5; 27/20; 7/5; 11/8; 7/5; 23/17; 7/5; 13/10; 7/5; 23/17; 32/21; 4/3; ; ; 11/8; 11/8; 
Dover; 15/8; 17/10; 9/5; 7/4; 9/5; 17/10; 9/5; ; 9/5; 8/5; 9/5; 8/5; 17/10; 9/5; 19/10; 17/10; 9/5; 9/5; 8/5; 28/17; 8/5; 9/5; 15/8; 19/12; ; ; 15/8; 9/5; 
Draw; 12/5; 12/5; 23/10; 21/10; 12/5; 9/4; 5/2; ; 12/5; 5/2; 12/5; 9/4; 23/10; 12/5; 2; 13/5; 12/5; 40/17; 5/2; 12/5; 5/2; 40/17; 28/11; 41/17; ; ; 12/5; 11/5; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-07 08:23:13 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 11/8; 7/5; 11/8; 11/8; 29/20; 13/10; 11/8; ; 7/5; 7/5; 7/5; 13/10; 7/5; 27/20; 7/5; 11/8; 7/5; 23/17; 7/5; 13/10; 7/5; 23/17; 32/21; 13/10; ; ; 7/5; 13/10; 
Dover; 15/8; 17/10; 9/5; 7/4; 9/5; 17/10; 9/5; ; 9/5; 8/5; 9/5; 8/5; 17/10; 9/5; 19/10; 17/10; 9/5; 9/5; 8/5; 28/17; 8/5; 9/5; 15/8; 28/17; ; ; 15/8; 7/4; 
Draw; 12/5; 12/5; 23/10; 21/10; 12/5; 9/4; 5/2; ; 12/5; 5/2; 12/5; 9/4; 23/10; 12/5; 2; 13/5; 12/5; 40/17; 5/2; 12/5; 5/2; 40/17; 28/11; 5/2; ; ; 12/5; 11/5; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-07 12:25:16 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 11/8; 7/5; 11/8; 11/8; 29/20; 13/10; 11/8; ; 7/5; 7/5; 7/5; 13/10; 7/5; 27/20; 7/5; 11/8; 7/5; 23/17; 7/5; 13/10; 7/5; 23/17; 32/21; 13/10; ; ; 11/8; 11/8; 
Dover; 15/8; 17/10; 7/4; 7/4; 9/5; 17/10; 9/5; ; 9/5; 8/5; 9/5; 8/5; 17/10; 9/5; 19/10; 17/10; 9/5; 9/5; 8/5; 28/17; 8/5; 9/5; 15/8; 28/17; ; ; 9/5; 9/5; 
Draw; 12/5; 12/5; 47/20; 21/10; 12/5; 9/4; 5/2; ; 12/5; 5/2; 12/5; 9/4; 23/10; 12/5; 2; 13/5; 12/5; 40/17; 5/2; 12/5; 5/2; 40/17; 28/11; 5/2; ; ; 12/5; 11/5; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-07 16:24:28 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 11/8; 13/10; 27/20; 5/4; 7/5; 13/10; 11/8; ; 7/5; 7/5; 13/10; 7/5; 7/5; 13/10; 11/8; 11/8; 13/10; 13/10; 7/5; 13/10; 7/5; 13/10; 17/12; 26/19; ; ; 13/10; 13/10; 
Dover; 15/8; 15/8; 9/5; 17/10; 15/8; 17/10; 9/5; ; 15/8; 8/5; 19/10; 15/8; 19/10; 37/20; 2; 15/8; 15/8; 19/10; 8/5; 28/17; 8/5; 19/10; 83/41; 22/13; ; ; 9/5; 19/10; 
Draw; 12/5; 12/5; 47/20; 5/2; 12/5; 9/4; 5/2; ; 12/5; 5/2; 12/5; 12/5; 23/10; 49/20; 2; 23/10; 12/5; 40/17; 5/2; 12/5; 5/2; 40/17; 28/11; 5/2; ; ; 12/5; 11/5; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-07 20:26:25 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 11/8; 13/10; 27/20; 5/4; 7/5; ; 11/8; ; 7/5; 13/10; 13/10; 11/8; 7/5; 13/10; 11/8; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 17/12; 26/19; ; ; 13/10; 13/10; 
Dover; 15/8; 15/8; 9/5; 17/10; 15/8; ; 9/5; ; 15/8; 7/4; 19/10; 15/8; 19/10; 15/8; 2; 15/8; 15/8; 19/10; 7/4; 28/17; 7/4; 19/10; 83/41; 22/13; ; ; 19/10; 19/10; 
Draw; 12/5; 12/5; 47/20; 5/2; 12/5; ; 5/2; ; 12/5; 5/2; 12/5; 12/5; 23/10; 12/5; 2; 23/10; 12/5; 40/17; 5/2; 12/5; 5/2; 40/17; 28/11; 5/2; ; ; 5/2; 11/5; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-08 00:24:12 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 11/8; 13/10; 27/20; 5/4; 7/5; 13/10; 13/10; ; 7/5; 13/10; 13/10; 11/8; 7/5; 13/10; 11/8; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 17/12; 26/19; ; ; 13/10; 13/10; 
Dover; 15/8; 15/8; 9/5; 9/5; 19/10; 17/10; 19/10; ; 15/8; 7/4; 19/10; 19/10; 19/10; 15/8; 2; 15/8; 15/8; 37/19; 7/4; 28/17; 7/4; 19/10; 83/41; 22/13; ; ; 19/10; 19/10; 
Draw; 12/5; 12/5; 47/20; 11/5; 12/5; 9/4; 5/2; ; 12/5; 5/2; 12/5; 12/5; 23/10; 12/5; 2; 23/10; 12/5; 23/10; 5/2; 12/5; 5/2; 40/17; 28/11; 5/2; ; ; 5/2; 11/5; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-08 04:24:23 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 11/8; 13/10; 27/20; 5/4; 7/5; 13/10; 13/10; ; 7/5; 13/10; 13/10; 11/8; 7/5; 13/10; 11/8; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 17/12; 26/19; ; ; 13/10; 13/10; 
Dover; 15/8; 15/8; 37/20; 7/4; 19/10; 17/10; 19/10; ; 15/8; 7/4; 19/10; 19/10; 19/10; 15/8; 2; 15/8; 15/8; 19/10; 7/4; 28/17; 7/4; 19/10; 83/41; 22/13; ; ; 19/10; 19/10; 
Draw; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 5/2; ; 12/5; 5/2; 12/5; 12/5; 23/10; 12/5; 2; 23/10; 12/5; 40/17; 5/2; 12/5; 5/2; 40/17; 28/11; 5/2; ; ; 5/2; 11/5; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-08 08:25:17 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 11/8; 5/4; 27/20; 5/4; 7/5; 5/4; 13/10; ; 7/5; 13/10; 13/10; 11/8; 7/5; 13/10; 11/8; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 17/12; 26/19; ; ; 13/10; 13/10; 
Dover; 15/8; 19/10; 37/20; 9/5; 19/10; 7/4; 19/10; ; 15/8; 7/4; 19/10; 19/10; 19/10; 15/8; 2; 15/8; 15/8; 19/10; 7/4; 28/17; 7/4; 19/10; 83/41; 22/13; ; ; 19/10; 19/10; 
Draw; 12/5; 12/5; 23/10; 11/5; 12/5; 11/5; 5/2; ; 12/5; 5/2; 12/5; 12/5; 23/10; 12/5; 2; 23/10; 12/5; 40/17; 5/2; 12/5; 5/2; 40/17; 28/11; 5/2; ; ; 12/5; 23/10; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-08 12:27:27 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 11/10; 5/4; 23/20; 11/10; 6/5; 5/4; 23/20; ; 6/5; 15/13; 23/20; 23/20; 6/5; 23/20; 23/20; 23/20; 15/13; 15/13; 15/13; 11/10; 23/20; 15/13; 14/11; 15/13; ; ; 6/5; 23/20; 
Dover; 12/5; 19/10; 11/5; 2; 11/5; 7/4; 9/4; ; 9/4; 11/5; 23/10; 9/4; 11/5; 21/10; 23/10; 23/10; 11/5; 9/4; 11/5; 2; 11/5; 9/4; 23/10; 39/19; ; ; 11/5; 11/5; 
Draw; 12/5; 12/5; 47/20; 23/10; 12/5; 11/5; 5/2; ; 12/5; 9/4; 23/10; 12/5; 12/5; 49/20; 21/10; 23/10; 12/5; 23/10; 9/4; 23/10; 9/4; 23/10; 28/11; 27/11; ; ; 12/5; 12/5; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-08 16:25:14 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 11/10; 5/4; 11/10; 11/10; 6/5; 5/4; 23/20; ; 6/5; 15/13; 23/20; 23/20; 6/5; ; 23/20; 23/20; 15/13; 15/13; 15/13; 11/10; 23/20; 15/13; 14/11; 12/11; ; ; 23/20; 23/20; 
Dover; 12/5; 19/10; 11/5; 21/10; 11/5; 7/4; 9/4; ; 9/4; 11/5; 23/10; 9/4; 11/5; ; 9/4; 23/10; 11/5; 9/4; 11/5; 2; 11/5; 9/4; 23/10; 28/13; ; ; 23/10; 23/10; 
Draw; 12/5; 12/5; 47/20; 11/5; 12/5; 11/5; 5/2; ; 12/5; 9/4; 23/10; 12/5; 12/5; ; 11/5; 23/10; 12/5; 23/10; 9/4; 23/10; 9/4; 23/10; 28/11; 5/2; ; ; 12/5; 12/5; 
