META; english/non-league/national-league/tranmere-v-bromley; 2017-02-09 00:22:30 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 3/5; 6/10; 4/7; 3/5; 8/15; 4/7; 8/15; 4/7; 3/5; 4/7; 6/10; 3/5; 11/20; 4/7; 8/13; 5/9; 4/7; 8/15; 5/9; 63/100; 6/11; 6/11; ; ; 4/7; 4/7; 
Draw; 14/5; 13/5; 27/10; 5/2; 29/10; 13/5; 29/10; 11/4; 14/5; 14/5; 27/10; 11/4; 14/5; 13/5; 14/5; 14/5; 37/13; 13/5; 14/5; 37/13; 13/4; 29/10; 14/5; ; ; 14/5; 13/5; 
Bromley; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 5; 9/2; 9/2; 19/4; 9/2; 4; 17/4; 9/2; 19/4; 9/2; 24/5; 4; 9/2; 24/5; 47/10; 4; 9/2; ; ; 23/5; 22/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-09 04:22:23 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 3/5; 6/10; 4/7; 3/5; 8/15; 4/7; 8/15; 4/7; 4/7; 4/7; 6/10; 3/5; 11/20; 4/7; 8/13; 5/9; 4/7; 8/15; 5/9; 63/100; 6/11; 6/11; ; ; 4/7; 4/7; 
Draw; 14/5; 13/5; 27/10; 5/2; 29/10; 13/5; 29/10; 11/4; 14/5; 14/5; 27/10; 11/4; 14/5; 13/5; 14/5; 14/5; 37/13; 13/5; 14/5; 37/13; 13/4; 29/10; 14/5; ; ; 14/5; 13/5; 
Bromley; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 5; 9/2; 9/2; 19/4; 9/2; 4; 17/4; 9/2; 19/4; 9/2; 24/5; 4; 9/2; 24/5; 47/10; 4; 9/2; ; ; 23/5; 22/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-09 08:22:21 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 3/5; 6/10; 4/7; 3/5; 8/15; 4/7; 8/15; 4/7; 4/7; 4/7; 6/10; 4/7; 11/20; 4/7; 8/13; 5/9; 4/7; 8/15; 5/9; 63/100; 6/11; 6/11; ; ; 4/7; 4/7; 
Draw; 14/5; 13/5; 27/10; 5/2; 29/10; 13/5; 29/10; 11/4; 14/5; 14/5; 27/10; 11/4; 57/20; 13/5; 14/5; 14/5; 37/13; 13/5; 14/5; 37/13; 13/4; 29/10; 14/5; ; ; 14/5; 13/5; 
Bromley; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 5; 9/2; 9/2; 19/4; 9/2; 4; 9/2; 9/2; 19/4; 9/2; 63/13; 4; 9/2; 63/13; 47/10; 4; 9/2; ; ; 23/5; 22/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-09 12:32:14 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 3/5; 6/10; 4/7; 3/5; 8/15; 4/7; 8/15; 4/7; 4/7; 4/7; 6/10; 4/7; 11/20; 4/7; 8/13; 5/9; 4/7; 8/15; 5/9; 63/100; 6/11; 6/11; ; ; 4/7; 8/15; 
Draw; 14/5; 13/5; 27/10; 5/2; 29/10; 13/5; 29/10; 11/4; 14/5; 14/5; 27/10; 11/4; 57/20; 13/5; 14/5; 14/5; 37/13; 13/5; 14/5; 37/13; 13/4; 29/10; 14/5; ; ; 14/5; 5/2; 
Bromley; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 5; 9/2; 9/2; 19/4; 9/2; 4; 9/2; 9/2; 19/4; 9/2; 24/5; 4; 9/2; 24/5; 47/10; 4; 9/2; ; ; 24/5; 4; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-09 13:58:16 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 3/5; 6/10; 4/7; 3/5; 8/15; 4/7; 8/15; 4/7; 4/7; 4/7; 6/10; 4/7; 11/20; 4/7; 8/13; 5/9; 4/7; 8/15; 5/9; 63/100; 6/11; 6/11; ; ; 4/7; 4/7; 
Draw; 14/5; 13/5; 27/10; 5/2; 29/10; 13/5; 29/10; 11/4; 14/5; 14/5; 27/10; 11/4; 57/20; 13/5; 14/5; 14/5; 37/13; 13/5; 14/5; 37/13; 13/4; 29/10; 14/5; ; ; 14/5; 13/5; 
Bromley; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 5; 9/2; 9/2; 19/4; 9/2; 4; 9/2; 9/2; 19/4; 9/2; 24/5; 4; 9/2; 24/5; 47/10; 4; 9/2; ; ; 24/5; 22/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-09 16:23:37 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 3/5; 6/10; 4/7; 3/5; 8/15; 4/7; 8/15; 4/7; 4/7; 4/7; 6/10; 4/7; 11/20; 4/7; 8/13; 5/9; 4/7; 8/15; 5/9; 63/100; 6/11; 6/11; ; ; 4/7; 4/7; 
Draw; 14/5; 13/5; 27/10; 5/2; 29/10; 13/5; 29/10; 11/4; 14/5; 14/5; 27/10; 11/4; 57/20; 13/5; 14/5; 14/5; 37/13; 13/5; 14/5; 37/13; 13/4; 29/10; 14/5; ; ; 14/5; 13/5; 
