Aldershot; 1/2; ; ; 4/9; 1/2; ; 9/20; 4/9; 1/2; ; 1/2; ; ; ; ; ; 7/15; 5/11; ; 4/9; 7/15; ; ; 5/11; ; ; 1/20; ; 
Draw; 3; ; ; 3; 31/10; ; 31/10; 3; 3; ; 3; ; ; ; ; ; 56/19; 3; ; 3; 56/19; ; ; 3; ; ; 21/10; ; 
Guiseley; 6; ; ; 5; 6; ; 13/2; 11/2; 6; ; 11/2; ; ; ; ; ; 57/10; 6; ; 6; 57/10; ; ; 6; ; ; 13/8; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-26 04:22:45 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 1/2; ; ; 4/9; 9/20; ; 9/20; 4/9; 1/2; ; 1/2; ; ; ; ; ; 3/7; 5/11; ; 4/9; 3/7; ; ; 5/11; ; ; 1/20; ; 
Draw; 3; ; ; 3; 31/10; ; 31/10; 3; 3; ; 3; ; ; ; ; ; 3; 3; ; 3; 3; ; ; 3; ; ; 21/10; ; 
Guiseley; 6; ; ; 5; 13/2; ; 7; 11/2; 6; ; 11/2; ; ; ; ; ; 6; 6; ; 6; 6; ; ; 6; ; ; 13/8; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-26 08:22:38 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 1/2; ; ; 4/9; 9/20; ; 9/20; 4/9; 1/2; ; 1/2; ; ; ; ; ; 3/7; 5/11; ; 4/9; 3/7; ; ; 5/11; ; ; 1/20; ; 
Draw; 3; ; ; 3; 16/5; ; 31/10; 3; 3; ; 3; ; ; ; ; ; 3; 3; ; 3; 3; ; ; 3; ; ; 21/10; ; 
Guiseley; 6; ; ; 5; 6; ; 7; 11/2; 6; ; 11/2; ; ; ; ; ; 6; 6; ; 6; 6; ; ; 6; ; ; 13/8; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-26 12:24:30 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 1/2; ; ; 4/9; 1/2; ; 9/20; 4/9; 1/2; ; 1/2; ; ; ; ; ; 5/11; 5/11; ; 4/9; 3/7; ; ; 5/11; ; ; 1/20; ; 
Draw; 3; ; ; 3; 31/10; ; 16/5; 3; 3; ; 3; ; ; ; ; ; 29/10; 3; ; 3; 3; ; ; 3; ; ; 21/10; ; 
Guiseley; 6; ; ; 5; 6; ; 13/2; 11/2; 6; ; 11/2; ; ; ; ; ; 59/10; 6; ; 6; 6; ; ; 6; ; ; 13/8; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-26 16:23:47 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 1/2; 4/9; 40/85; 4/9; 9/20; 2/5; 9/20; 4/9; 1/2; ; 1/2; 4/9; ; ; ; ; 3/7; 5/11; 4/9; 4/9; 3/7; ; ; 5/11; ; ; 1/7; ; 
Draw; 3; 3; 3; 3; 16/5; 3; 16/5; 3; 3; ; 3; 3; ; ; ; ; 3; 3; 14/5; 3; 3; ; ; 3; ; ; 21/10; ; 
Guiseley; 6; 11/2; 11/2; 5; 6; 11/2; 13/2; 11/2; 6; ; 11/2; 11/2; ; ; ; ; 6; 6; 11/2; 6; 6; ; ; 6; ; ; 2; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-26 20:24:01 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 4/7; 4/9; 6/10; 4/7; 8/15; 2/5; 1/2; 4/9; 4/7; 8/13; 4/7; 4/9; ; ; ; ; 1/2; 5/11; 4/9; 4/9; 1/2; ; ; 5/11; ; ; 4/7; ; 
Draw; 14/5; 3; 11/4; 5/2; 31/10; 3; 31/10; 3; 3; 14/5; 11/4; 3; ; ; ; ; 56/19; 3; 14/5; 3; 56/19; ; ; 3; ; ; 13/5; ; 
Guiseley; 5; 11/2; 17/4; 4; 5; 11/2; 11/2; 11/2; 9/2; 17/4; 17/4; 11/2; ; ; ; ; 60/11; 6; 11/2; 6; 60/11; ; ; 6; ; ; 7/2; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-27 00:22:51 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 4/7; 4/7; 6/10; 4/7; 4/7; 2/5; 3/5; 1/2; 4/7; 8/13; 4/7; 4/9; ; 11/20; 3/5; ; 8/15; 5/11; 1/2; 4/9; 8/15; ; ; 5/11; ; ; 4/7; ; 
Draw; 14/5; 14/5; 11/4; 5/2; 3; 3; 3; 11/4; 3; 14/5; 11/4; 3; ; 5/2; 11/4; ; 37/13; 3; 27/10; 3; 37/13; ; ; 3; ; ; 27/10; ; 
Guiseley; 5; 9/2; 17/4; 4; 5; 11/2; 22/5; 9/2; 9/2; 17/4; 17/4; 11/2; ; 9/2; 9/2; ; 26/5; 6; 19/4; 6; 26/5; ; ; 6; ; ; 21/5; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-27 04:23:08 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 4/7; 4/7; 6/10; 4/7; 4/7; 2/5; 3/5; 1/2; 4/7; 8/13; 4/7; 4/9; 4/7; 11/20; 3/5; ; 8/15; 5/11; 1/2; 4/9; 8/15; ; ; 5/11; ; ; 8/15; ; 
Draw; 14/5; 14/5; 11/4; 5/2; 3; 3; 3; 11/4; 3; 14/5; 11/4; 3; 29/10; 5/2; 11/4; ; 37/13; 3; 27/10; 3; 37/13; ; ; 3; ; ; 14/5; ; 
Guiseley; 5; 9/2; 17/4; 4; 5; 11/2; 22/5; 9/2; 9/2; 17/4; 17/4; 11/2; 9/2; 9/2; 9/2; ; 26/5; 6; 19/4; 6; 26/5; ; ; 6; ; ; 21/5; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-27 08:23:04 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 4/7; 4/7; 6/10; 4/7; 4/7; 2/5; 3/5; 1/2; 4/7; 8/13; 4/7; 4/9; 4/7; 11/20; 3/5; ; 5/9; 6/11; 1/2; 8/15; 5/9; ; ; 6/11; ; ; 8/15; ; 
