META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-11 20:23:55 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-12 00:22:42 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 10/11; 1; ; 10/11; ; ; 20/21; ; ; ; 11/10; ; 10/11; ; ; 1; 13/15; ; ; 13/15; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-14 04:22:16 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 1; 21/20; 21/20; 21/20; 21/20; 19/20; 11/10; 10/11; 21/20; 21/20; 11/10; 1; 1; ; 21/20; 21/20; 1; 19/20; 20/21; 1; 28/25; 11/10; 28/29; ; 28/29; ; ; 21/20; 
Draw; 13/5; 23/10; 9/4; 12/5; 12/5; 9/4; 12/5; 12/5; 12/5; 23/10; 11/5; 11/5; 47/20; ; 23/10; 12/5; 40/17; 9/4; 9/4; 40/17; 5/2; 28/11; 9/4; ; 9/4; ; ; 21/10; 
Sutton Utd; 5/2; 5/2; 12/5; 13/5; 13/5; 9/4; 5/2; 13/5; 13/5; 13/5; 2; 23/10; 13/5; ; 13/5; 5/2; 45/17; 12/5; 27/10; 45/17; 68/25; 11/5; 27/10; ; 27/10; ; ; 12/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-14 08:22:15 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 1; 21/20; 21/20; 21/20; 21/20; ; 11/10; 10/11; 21/20; 21/20; 11/10; 1; 1; ; 21/20; 21/20; 1; 19/20; 20/21; 1; 28/25; 13/12; 28/29; ; 28/29; ; ; 21/20; 
Draw; 13/5; 23/10; 9/4; 12/5; 12/5; ; 12/5; 12/5; 12/5; 23/10; 11/5; 11/5; 47/20; ; 23/10; 12/5; 40/17; 9/4; 9/4; 40/17; 5/2; 28/11; 9/4; ; 9/4; ; ; 12/5; 
Sutton Utd; 5/2; 12/5; 49/20; 13/5; 13/5; ; 5/2; 13/5; 13/5; 13/5; 2; 23/10; 13/5; ; 13/5; 5/2; 45/17; 12/5; 27/10; 45/17; 68/25; 11/5; 27/10; ; 27/10; ; ; 13/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-14 12:23:52 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 1; 19/20; 1; 21/20; 1; 9/10; 20/21; 10/11; 1; 1; 11/10; 20/21; 1; ; 1; 1; 19/20; 19/20; 20/21; 19/20; 21/20; 68/67; 28/29; ; 28/29; ; ; 20/21; 
Draw; 13/5; 23/10; 23/10; 12/5; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 11/5; 11/5; 47/20; ; 12/5; 12/5; 12/5; 9/4; 23/10; 12/5; 63/25; 28/11; 40/17; ; 40/17; ; ; 5/2; 
Sutton Utd; 5/2; 11/4; 27/10; 13/5; 11/4; 12/5; 14/5; 13/5; 13/5; 11/4; 2; 13/5; 13/5; ; 13/5; 13/5; 27/10; 12/5; 5/2; 27/10; 147/50; 27/11; 28/11; ; 28/11; ; ; 14/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-14 16:22:55 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 1; 19/20; 1; 21/20; 1; 19/20; 21/20; 10/11; 1; 1; 11/10; 20/21; 1; ; 1; 1; 19/20; 19/20; 20/21; 19/20; 51/50; 21/20; 28/29; ; 28/29; ; ; 1; 
Draw; 13/5; 23/10; 23/10; 12/5; 12/5; 9/4; 12/5; 12/5; 12/5; 12/5; 11/5; 11/5; 47/20; ; 12/5; 12/5; 12/5; 9/4; 23/10; 12/5; 13/5; 28/11; 40/17; ; 40/17; ; ; 12/5; 
Sutton Utd; 5/2; 11/4; 13/5; 13/5; 11/4; 23/10; 13/5; 13/5; 13/5; 11/4; 2; 5/2; 13/5; ; 13/5; 13/5; 27/10; 12/5; 5/2; 45/17; 59/20; 40/17; 28/11; ; 28/11; ; ; 14/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-14 20:23:34 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 1; 1; 21/20; 21/20; 21/20; 19/20; 11/10; 10/11; 21/20; 21/20; 11/10; 1; 1; ; 11/10; 21/20; 1; 1; 20/21; 1; 11/10; 15/14; 28/29; ; 28/29; ; ; 21/20; 
Draw; 13/5; 23/10; 9/4; 12/5; 12/5; 9/4; 12/5; 12/5; 12/5; 12/5; 11/5; 11/5; 47/20; ; 23/10; 12/5; 12/5; 9/4; 23/10; 12/5; 13/5; 28/11; 40/17; ; 40/17; ; ; 5/2; 
Sutton Utd; 5/2; 5/2; 49/20; 13/5; 13/5; 9/4; 5/2; 13/5; 13/5; 5/2; 2; 12/5; 13/5; ; 12/5; 5/2; 5/2; 23/10; 5/2; 5/2; 53/20; 9/4; 28/11; ; 28/11; ; ; 13/5; 
